"Access Denied";"Acesso negado"
"Regular Price";"Preço normal"
"Shipping fee";"Despesas de envio"
"Retail Price";"Preço de venda"
Commission;Comissão
Date;Data
"Promo Name";"Nome Promocional"
"Promo Discount";"Desconto promocional"
42716;42716
"Perfect Purple Pair";"Dupla roxa perfeita"
"Last Edit By";"Última edição por"
"Time Stamp";"Registo da hora"
"Chris Paul George";"Chris Paul George"
"Upload 5 Photos";"Carregar 5 fotos"
"0.0833333333333333";"0.0833333333333333"
"Date Range:";"Gama de data"
"Start Date";"Data de início"
"End Date";"Data límite"
"Quantity Sold";"Quantidade vendida"
50;50
"Export to Excel";"Exportar Excel"
"In-House Listings";"Listados internos"
Item;Artigo
Category;Categoria
Brand;Marca
Brief;Sumário
Details;Detalhes
Photos;Fotos
Combinations;Combinações
"Reason of Approval";"Motivo de aprovação"
Back;Voltar
"Reason of Rejection";"Motivo de rejeição"
[[Username]];Nome de Usuário
Refund;Reembolso
"Order ID";"Número do Pedido"
"Invoice No";"Número de Fatura"
"Seller ID";"Identificador de Vendedor"
User;Usuário
"Product ID";"Número do Produto"
"Order Quantity";"Quantidade do Pedido"
"Unit Price";"Preço por unidade"
"Total Amount";"Quantidade total"
EasyPoint;EasyPoint (Ponto Simples)
NET;NET
144;144
144-2-1503240909;144-2-1503240909
2;2
"man of effin steel";"homem de aço effin"
333;333
"sammmy sam";"sammy sam"
1;1
On-going;Contínua
182;182
182-12003-1504280105;182-12003-1504280105
79;79
warcraft;Warcraft
14;14
"Paid - Returned";"Pago devolvido"
"Proceed To Refund";"Proceder ao reembolso"
"History Information";"Informação histórica"
"Shipping Price";"Preço de envio"
"Easyshop Charge";"Custos de Easyshop"
"Payment Method Charge";"Custos de método de pagamento"
Easypoints;Easypoints (Pontos fáceis)
Net;Net
201-1-1506040106;201-1-1506040106
sammyboi22_22;sammyboi22_22
apple;maçá
"History ID";"Identificação histórica"
State;Estado
404;404
"42157.7479166667";"42157.7479166667"
"Item has not been shipped";"Os itens não forem enviados"
"Reason of Cancellation";"Motivo do cancelamento"
Requestor;Requisitante
"--Select Requestor--";"Selecionar requisitante"
Buyer;Comprador
"Type of Reason";"Tipo de motivo"
"--Select Reason--";"Escolher motivo"
"Edit/Add Category";"Revisar / Adicionar Categoria"
Name;Nome 
Description;Descrição
Keyword;Palabra-chave
"Sort Order";"Ordem de ordenação"
"Order Product Id";"Identificação de Produtos Pedidos"
"Shipping Fee";"Taxa de envio"
"Total Price";"Preço total"
"Net Price";"Preço líquido"
"Current Tag";"Etiqueta atual"
209;209
"Order Details";"Detalhes do pedido"
Sample;mostra
KD3-38u123pi;KD3-38U123pi
"YiLinker Charge";"Custo de YiLinker"
"Order Product ID";"Identificação de Produtos Pedidos"
"Unflag Transaction";"Transação incondicional"
"Void Transaction";"Transação anulada"
"Apple Watch";"Relógio de Apple"
"Short Description";"Breve descrição"
"Full Description";"Descrição completa"
"Jewellery &amp Watches";"Joalharia Relógios"
Custom;Personalizado
"Dimensions &amp Weight";"Dimensões Peso"
"Length (CM)";"Comprimento (CM)"
"Width (CM)";"Largura (CM)"
"Weight (KG)";"Peso (KG)"
"Height (CM)";"Altura (CM)"
"Combination Name";"Nome de Combinação"
10001;10001
10;10
Color;Cor
Blue;Azul
Size;Tamanho
Large;Grande
Address;Endereço
"asdsadsad, 123 jkhjk, asdsadsad, BF International Village, Las Pinas, Metro Manila, 1213";"asdsadsad, 123 jkhjk, asdsadsad, BF International Village, Las Pinas, Metro Manila, 1213"
"Generate Code";"Gerar Código"
477-344-1;477-344-1
"This account doesnt have any bank information";"Esta conta não dispor de informação bancária"
Add;Adicionar
"My BPI Bank Account";"Mi conta bancária MPI"
284000000000000;284000000000000
"George Macalulo Winston Lee";"George Macalulo Winston Lee"
BPI;BPI
Edit;Editar
"Bank Account Title";"Nome de Conta Bancária"
UCPB;UCPB
"Allied Bank";"Banco Associado"
"Returned Item Pickup";"A coleta do item devolvido"
Schedule;Programa
02/29/16;02/29/16
"Day Hour";"Jornada de dia"
"eq. 1 Am";"eq. 1 AM"
Why?;Porque?
"Bank Name:";"Nome do Banco:"
Payout;Desembolso
"Buyer ID";"Identificação de Comprador"
"Proceed To Payment";"Proceder ao pagamento"
"Paid - Forwarded";"Pago enviado"
"Shipment Information";"Informação de envio"
Courier;Serviço de entregas
"Boy George Delivery";"Entrega Boy George"
"Date of Shipment";"Data de envio"
"42095";""
"Expected Date of Arrival";"Data prevista de chegada"
"42098";""
"Tracking Number";"Número de rastreamento"
PK-235-137-556;
"Missing Courier";"Mensageiro ausente"
"Last updated on 2015-04-06 17:37:55";"Última atualização em 2015-04-06 17:37:55"
Cancelled;Anulado
"&#8230";"&#8230"
Color:;Cor:
Red;Vermelho
Size:;Tamanho:
Samplenation:;Samplenation:
"Super Duper Ninja Warrior";"Super Duper Ninja Warrior"
resolved;Solucionado
"George Chris Paul";"George Chris Paul"
"requested items for cancellations";"Solicitação de cancelamento de itens"
"Order ID 209: Shoulder Bag";"Número de Pedido 209: Saco de tiracolo"
"Posted on 12:30 pm, July 21, 2014";"Apresentado no Julho 21 de 2014, às 12:30pm"
"Koya Carl";"Koya Carl"
"Approve Cancellation";"Aprovar cancelamento"
Reject;Rejeitar
"Select Reason";"Escolher motivo"
"Resolution Center";"Central de soluções"
"Disputed Tag Detected!";"etiqueta contestada detectada!"
attachments;Anexos
"Proceed to Resolution Center";"Proceder à Central de soluções"
"Flagged Tag Detected!";"Etiqueta marcada detectada!"
Approve;Confirmar
"Search By Batch ID/Process By";"Pesquisar por número de lote / Processar por"
"Grand Batch Amount";"Cantidade grande de lote"
"Batch ID";"Número de lote"
Count;Contar
"Process By";"Processar por"
Amount;Cantidade grande de lote
Memo;Nota
Action;Ação
"Are you sure you want to remove payout?";"Você tem certeza de que deseja remover o desembolso?"
Remove;Remover
"Batch Payout";"Desembolso de lote"
"Batch Number";"Número lote"
"Batch Date";"Data lote"
"Write your Remarks";"Escrever às suas observações "
"Attach Files";"Anexar arquivos"
"Upload Receipt";"Carregar recibo"
"Transaction Update List";"Lista atualizada de transações"
"Search by reference number";"Pesquisar por número de referência"
"Request By";"Pedido por"
Method;Método
Bank;Banco
"Bank Info / Pay To";"Informação bancaria / Pagar á"
Charge;Cobrar
"Net Amount";"Valor líquido"
"Total Batch Amount";"Valor total lote"
"Are you sure you want to remove file?";"Você tem certeza de que deseja remover o arquivo?"
"Are you sure you want to remove payout request?";"Você tem certeza de que deseja remover a solicitação de desembolso? "
"Search (requester fullname, requester email, bank name, bank account number, bank account name, reference no.)";"Pesquisar (Nome completo de requerente, correio electrónico de requerente, nome de banco, número de conta bancária, número de referência)"
"Order by Date";"Data do pedido"
Ascending;Ascendente
Descending;Decrescente
"Payment Status:";"Estado de pagamento:"
"Payment Method";"Método de pagamento"
"Reference Id";"Número de referência"
"Proceed Batch Pay-Out";"Proceder para o desembolso de lote"
"For Review";"Para revisão"
InActive;Inactivo
Store:;Loja
Condition;Condição
URL;URL
Videos;Vídeos
"Reject Remarks";"Rejeitar as observações "
"Item Details";"Detalhes do artigo"
"Shipping Category";"Categoria de expedição"
"Store Details";"Detalhes de loja"
"Seller Name";"Nome de Vendedor"
"No youtube video";"Nenhum vídeo youtube disponível"
"Posted on";"Postado no"
"Send Reject Remark";"Enviar observação de rejeito"
"Promo Management";"Gestão de promoção"
"Promo Type";"Tipo de promoção"
"Promo Details";"Detalhes de promoção"
"Promo is currently Active";"Promoção actualmente está ativa"
Advertisement;Anúncio
"Discount %";"% de desconto"
Discount;Desconto
Start;Começar
End;Finalizar
"% per hour";"% por hora"
"Percent per hour";"Por cento por hora"
"Minimum %";"Mínimo %"
"Quantity Required";"Quantidade solicitada"
"Max Quantity";"Quantidade máxima"
"Countdown Timer is currently Disabled";"O contador regressivo está desativada no momento"
"Yes, Enable the Countdown timer";"Sim, ativar o contador regressivo"
"Countdown Timer is Active";"O contador regressivo está ativo"
"0.208333333333333";"0.208333333333333"
days;dias 
hrs;horas
min;minutos
sec;segundos
"left until the promo ends";"Restante até termina a promoção"
"Disabled Countdown Timer";"Desativado o contador regressivo"
"Product list";"Lista de produtos"
"Item Name";"Nome do Artigo"
Price;Preço
"Activate this Promo";"Ativar esta Promoção"
"Add Item (separated by line break)";"Adicionar Artigo (separado por uma quebra de linha)"
"Congratulations! This promo has been successfully enabled";"Parabéns! Esta promoção foi ativada com sucesso"
Deactivate;Desactivar
Notifications;Notifacações
"Search By Title / Message Content";"Pesquisar por nome / Conteúdo das mensagens"
"IOS (Mobile)";"IOS (móvel)"
"Andriod (Mobile)";"Android (Móvel)"
---;---
"Custom Pages";"Páginas customizáveis"
"Product Search";"Pesquisa de produtos"
Store;Loja
"Store Search";"Pesquisa de lojas"
"Send Notification";"Enviar notificação"
Devices;Dispositivos
Target;Alvo
Sender;Remetente
"Is Active";"Está ativo"
"Recipient Device";"Dispositivo de destinatário"
"Message (Max : 100)";"Mensagem (Máx : 100)"
Schedule:;Programa
"Set Schedule";"Calendário definido"
"Is Active?";"Está ativo?"
"Boy George Dako Wewe";"Boy George Dako Wewe"
"George Haircut Station";"Estação de corte de cabelo de George"
"479 9th Street West, Menomonee Falls, WI 53051";"479 9th Street West, Menomonee Falls, WI 53051"
Position;Posição
"Manager / Yaya";"Gerente / Yaya"
"Telephone Number";"Número de teléfone"
532-2393;532-2393
"(63) 937-234-1286";"(63) 937-234-1286"
"International Bank of the World ever!";"Sempre o melhor Banco Internacional no Mundo "
1872-2783-5869;1872-2783-5869
"File Name";"Nome de arquivo"
414894;414894
"Accreditation Level 0";"Nível de acreditação 0"
"Accreditation Level 1";"Nível de acreditação 1"
"Accreditation Level 2";"Nível de acreditação 2"
"Accreditation Level 3";"Nível de Acreditação 3"
"Accreditation Level 4";"Nível de Acreditação 4"
"Accreditation Level 5";"Nível de Acreditação 5"
"Columns Container";"Recipiente de colunas"
"Order Status";"Estado de encomenda"
41984;41984
"Transaction ID";"Número de transação"
"Date of Transaction";"Data de transação"
"Type of Payment Method";"Forma de método de pagamento"
201;201
PPY-1506040106-1;PPY-1506040106-1
PAID;Pago
"42159.5451388889";"42159.5451388889"
PESOPAY;PESOPAY
11;11
12;12
"Storename / Username";"Nome de loja / Nome de usuário "
From;De
To;A
Storename;Nome de loja / Nome de usuário 
Email;Correio electrónico
"Asia United Bank";"Banco Unido de Asia"
aaaaa;aaaaa
bbbbb;bbbbb
9876545345;9876545345
9878263787;9878263787
"Category Listings";"Listados de categorias"
"Main Category";"Categora principal"
"Sub Category";"Subcategoria"
Filters;Filtros
Slug;Lesma
"10-24-1991 06:30:05";"10-24-1991 06:30:05"
0;0
PROMOTIONAL_ITEMS;Artigos promocionais
"Special Promotional Items";"Artigos promocionais especiais"
"Special Promotional222";"Promocionais especiais222"
promo-special;Promoção especial
"Contact Buyer";"Contato com o comprador"
"Invoice Number";"Número de fatura"
"Buyer Fullname";"Nome completo do comprador"
"Buyer Store Name";"Nome de loja do comprador"
"Buyer Email";"Correio electrónico do comprador"
"Transaction Date";"Data de transação"
198;198
PPY-1506020514-1;PPY-1506020514-1
198-1-1506020514;198-1-1506020514
"Omaha maria23";"Omaha maria 23"
"42157.7513888889";"42157.7513888889"
"Contact Seller";"Contato com o vendedor"
"Seller Fullname";"Nome completo do vendedor"
"Seller Store Name";"Nome de loja do vendedor"
"Number of Products";"Número de produtos"
"Seller Email";"Correio electrónico do vendedor"
Dashboard;Painel
Products;Produtos
Buyers;Compradores
Sellers;Vendedores
Transactions;Transações
"Sorry, Your database is currently empty";"Desculpe, a sua base de dados encontra-se, de momento, vazio"
"Case ID";"Número de caso"
"Dispute Type";"Tipo de litígio"
Complainant;Reclamante
"Date Filed";"Data do arquivo"
email;Correio electrónico
"Seller Payout";"Desembolso do vendedor"
"Legal Documents";"Documentos legais"
"This Account currently Locked";"Esta conta encontra-se, de momento, bloqueada"
"Do you want to Activate it now?";"Você deseja ativar-a agora?"
"Yes, Activate this Account";"Sim, ativar esta Conta"
"Select your DTI/SEC Permit file from your computer";"Selecione o seu arquivo de Autorização DTI/SEC  do seu computador"
"Select your Mayor's Permit file from your computer";"Selecione o seu arquivo de Autorização de Prefeito do seu computador"
"Select your BIR Permit file from your computer";"Selecione o seu arquivo de Autorização BIR do seu computador"
"Form MA1501 Permit";"Formulário de Autorização MA1501"
"Select your Form MA1501 file from your computer";"Selecione o seu formulário de Autorização MA1501 do seu computador"
"Where to get a copy of Form MA1501?";"Onde é possível obter uma cópia de formulário MA1501?"
"Download Form MA1501";"Descarregar Formulário MA1501"
"Other Documents";"Outros documentos"
"Select a document file from your computer";"Selecione um arquivo de documentos do seu computador"
"Mobile Management";"Gestão móvel"
"Push Notification";"Notificações Push"
"Notification Message";"Mensagens de Notificações"
;
"Number of Product Listings:";"Número de listados de produtos:"
10145;10145
"41866.5159722222";"41866.5159722222"
sfasfas;sfasfas
"Building Toys";"Brinquedos para construir"
122121;122121
212;212
"New other (see details)";"Novo outro (ver detalhes)"
"Promo Banners";"Faixas de promoção"
"Create Promo Banner";"Criar faixa de promoção"
"Select Product";"Selecionar produto"
"Enter Product Slug";"Introduzir lesma de produto"
"Add Product";"Adicionar produto"
"Change Product";"Trocar produto"
"This Promo Banner currently Disabled";"Esta faixa de promoção encontra-se, de momento, bloqueada"
"Do you want to enable it now?";"Você deseja ativar-a agora?"
"Yes, Enable this Promo Banner";"Sim, ativar esta faixa de promoção"
"This Promo Banner is Enabled";"Esta faixa de promoção está ativa"
"Disable Now";"Desativar agora"
"Upload Banners";"Carregar faixas"
"Upload Banners here";"Carregar faixas aquí"
"Search By Product Name";"Pesquisar por Nome de Produto"
Category:;Categoria:
Electronics;Eletrônica
Gadget;Dispositivo
Clothes;Roupa
Enable;Ativar
Disable;Desativar agora
"Banner Count";"Conta de faixas"
"Date Added";"Adicionado em"
10/20/15;10/20/15
Enabled;Ativo
"Samsung Galaxy j1";"Samsung Galaxy j1"
5;5
Disabled;Desativado
"Raffle Manager";"Gestor de sorteio"
"Register Raffle";"Registo de sorteio"
"Raffle Name";"Nome de sorteio"
"Pool of Possible Winners";"Agrupamento de possíveis vencedores"
"Number of Winners to Generate";"Número de vencedores a gerar"
"List of Prices";"Listado de preços"
"Raffle Lists";"Listado de sorteio"
Raffle_Name;Nome de sorteio
Winners;Vencedores
"Time Created";"Criado em"
Prices;Preços
2121sadasd;2121sadasd
test22;test22
"41898.4715277778";"41898.4715277778"
"Full Name";"Nome completo"
inonbaguio;inonbaguio
"Inon Baguio";"Inon Baguio"
Content;Conteúdos
CSR;CSR
Marketing;Publicidade
Super-User;usuário super
Guest;visitante
"Registered Users";"Usuários registados"
"Number of Registered Sellers:";"Número de vendedores registados"
141;141
Affiliates;Afiliados
"41822.6069444444";"41822.6069444444"
"sam gavinio";"sam gavinio"
"Banana Republic";"república das bananas"
38;38
"Report Manager";"gestor de relatórios"
"Number of uploaded products per account";"Número de produtos carregados por conta"
"Monthly Sign Up Statistics";"Estatísticas mensais de subscrições"
"Users w/ &amp w/out Products";"Usuários com e sem produtos"
"Number of uploaded items per month";"Número de artigos carregados por mes"
"Number of items per parent category";"Número de artigos por categoria principal"
"Show Entries";"mostrar os registos"
20;20
40;40
80;80
160;160
Monthsss;Meses
"Sign-up Count";"conta de subscrições"
2015;2015
January;Janeiro
29;29
February;Fevereiro
March;Março
April;Avril
May;Maio
2016;2016
Month;Mes
"Showing 1 out 39 Entries";"Mostrando 1 dos 39 registos"
"Dispute Details";"Detalhes de litígio"
KD3-38U123PI;KD3-38U123PI
12371237837;12371237837
"Complainant Full Name";"Nome completo de reclamante"
322-3245-59898;322-3245-59898
"Defendant Full Name";"Nome completo de Demandado"
"Janvan Ding";"Janvan Ding"
"Transaction Details";"Detalhes de transacção"
4920000000000;4920000000000
"Armando Upton";"Armando Upton"
"Waiting for Payment";"Aguardar pagamento"
"Date of transaction";"Data de transacção "
"42249.55";"42249.55"
"see attachments";"Ver os anexos"
x;x
Reason;Motivo
Open;Aberto
On-Going;Permanente
Rejected;Rejeitado
Closed;Fechado
"Boy Tigol";"Boy tigol"
"George Georgina";"George Georgina"
42317;42317
"Search Keyword";"Palavras-chave de pesquisa"
"Query String";"Cadeia de consultas"
"Number of Hits";"Número de visitas"
"apple UNION ALL SELECT NULL--";"Maçâ União todo seleccionar zero"
"Transaction List";"Listado transacção"
!;!
Cancellation;Anulação
"Dispute Something";"Disputa algo"
Flag;Bandeira
DENIED;Negado
"Create Vourcher";"Criar vale"
"Code Name";"Nome de Código"
"Voucher Type";"Tipo de vale"
Duration;Duração
"Usage Limit";"Limites de uso"
"Discount Type";"Classe de desconto"
Ramboo;Ramboo
"Something for Nothing";"Algo de graça"
"10 Days";"10 dias"
"1 per Account";"1 por conta"
Utang;utang
1000;1000
"Voucher Code Name";"Nome de código de vale"
"Voucher Code";"Código de vale"
"Generate Voucher Code";"Gerar código de vale"
One-Time;único
Multi-Use;multi-uso
100;100
"Fixed Amount";"Quantidade fixa"
Percentage;percentagem
1;1
"Voucher is currently Inactive";"Vale encuentra-se, de momento, inativo"
"Yes, Activate this Voucher";"Sim, ativar este vale"
"Voucher is Now Active";"Vale esta ativo agora"
872000000000;872000000000
Unknown;Desconhecido
42287;42287
"FullName / Email";"Nome completo / correio electrónico"
"Remarks from Dispute";"Observações de litígio"
"Deposit Slip";"Comprovante de depósito"
Remarks:;Observações
"Enter your remarks";"Introduza as suas observações"
"Deposit Slip:";"Comprovante de depósito"
"Compatible files: JPG, JPEG, and PNG";"Arquivos compativeis : JPG, JPEG e PNG"
"Are you sure you want to refund this transaction?";"Têm a certeza que deseja reembolsar esta transacção"
No;Não
Yes;Sim
"Refund History Information";"Informação de historial de reembolso"
Print;Impressão
"Dispute ID:";"Número de litígio:"
"Buyer Name:";"Nome de comprador:"
"Buyer Email:";"correio electrónico de comprador:"
"Buyer Contact Number:";"Número de telefone de comprador:"
"Date Request:";"Data solicitada:"
"Date Processed:";"Processada em:"
"Processed By:";"Processada por:"
"Click here";"Clique aquí"
"Supplier Payout";"Desembolso de Fornecedor"
"Date From";"Data de"
"Date To";"Data a"
"Search for keyword: Manufacturer/Contact number";"Pesquisar por palabra-chave: Produtor / Número de telefone"
"Payout List";"Listado de desembolso"
"Payout History";"Historial de desembolso"
Manufacturer;Produtor
"Reference Number";"Número de referência"
"Support CSR";"Apoio CSR"
"Payout Details";"Detalhes de desembolso"
"WayBill Number";"Número de conhecimento"
Warehouse;Armazém
"Payout Order Products";"Produtos de pedido de desembolso"
"Deposit Slips";"Comprovante de depósito"
"Date Modified";"Data de modificação"
Close;Fechar
"Case ID:";"Número de caso:"
"Date Request";"Data solicitada"
"Date Processed";"Data processada"
"Processed By";"Processado por"
"Select type of dispute";"Escolher tipo de litígio"
"Select status";"Escolher estatus"
"No case found";"Nenhum caso encontrado"
"Dispute Resolution";"Resolução de litígio"
"Voucher Name";"Nome de vale"
"Voucher Value";"Valor de vale"
