"Access Denied";"ဝင္ခြင့္ပိတ္ထားပါသည္"
"In-House Listings";"သိုေလွာင္ စာရင္းမ်ား"
Item;ကုန္ပစၥည္း
Category;အမ်ဳိးအစား
Brand;ကုန္အမွတ္တံဆိပ္
Brief;အက်ဥ္းခ်ဳပ္
Details;အေသးစိတ္
Photos;ဓာတ္ပုံမ်ား
Combinations;ေပါင္းစပ္မႈမ်ား
"Reason of Approval";"လက္ခံရသည့္ အေၾကာင္းျပခ်က္"
Back;ေနာက္
"Reason of Rejection";"ျငင္းပယ္ရသည့္ အေၾကာင္းျပခ်က္"
[[Username]];[[အသုံးျပဳသူအမည္]]
Refund;ျပန္အမ္းေငြ
"Order ID";"ေအာ္ဒါ အိုင္ဒီ"
"Invoice No";"ေျပစာ နံပါတ္"
"Seller ID";"ေရာင္းခ်သူ အိုင္ဒီ"
User;အသုံးျပဳသူ
"Product ID";"ကုန္ပစၥည္း အိုင္ဒီ"
"Order Quantity";"ေအာ္ဒါ အေရအတြက္"
"Unit Price";"တစ္ခုခ်င္း ေစ်းႏႈန္း"
"Total Amount";"စုစုေပါင္း ပမာဏ "
EasyPoint;EasyPoint
NET;အသားတင္
144;144
144-2-1503240909;144-2-1503240909
2;2
"man of effin steel";"man of effin steel"
333;333
"sammmy sam";"sammmy sam"
1;1
On-going;ဆက္လက္လုပ္ေဆာင္ေနေသာ
182;182
182-12003-1504280105;182-12003-1504280105
79;79
warcraft;warcraft
14;14
"Paid - Returned";"ေပးျပီး - ျပန္ေပးျပီး"
"Proceed To Refund";"ျပန္ေပးရန္ လုပ္ေဆာင္ပါ"
"History Information";"မွတ္တမ္း အခ်က္အလက္"
"Shipping Price";"ပို႕ေဆာင္ ေစ်းႏႈန္း"
"Easyshop Charge";"Easyshop ကုန္က်စရိတ္"
"Payment Method Charge";"ေငြေပးေခ်မႈ နည္းလမ္း ကုန္က်စရိတ္"
Easypoints;Easypoints
Net;အသားတင္
201-1-1506040106;201-1-1506040106
sammyboi22_22;sammyboi22_22
apple;apple
"History ID";"မွတ္တမ္း အိုင္ဒီ"
State;ျပည္နယ္
404;404
"2015-06-02 17:57:14";"2558-06-02 17:57:14"
"Item has not been shipped";"ကုန္ပစၥည္း မေပးပို႕ရေသးပါ"
"Reason of Cancellation";"ပယ္ဖ်က္ရသည့္ အေၾကာင္းျပခ်က္"
Requestor;ေတာင္းဆိုသူ
"--Select Requestor--";"--ေတာင္းဆိုသူကို ေရြးခ်ယ္ပါ--"
Buyer;ဝယ်ခြမ်းသူ
"Type of Reason";"အေၾကာင္းျပခ်က္ အမ်ဳိးအစား"
"--Select Reason--";"--အေၾကာင္းျပခ်က္ကို ေရြးခ်ယ္ပါ--"
"Edit/Add Category";"အမ်ဳိးအစားကို တည္းျဖတ္ပါ/ ေပါင္းထည့္ပါ"
Name;အမည္
Description;အေၾကာင္းအရာ
Keyword;အေရးပါေသာ စကားလုံး 
"Sort Order";"ေအာ္ဒါ စီပါ"
"Order Product Id";"ေအာ္ဒါ ကုန္ပစၥည္း အိုင္ဒီ"
"Shipping Fee";"ပို႕ေဆာင္ခ"
"Total Price";"စုစုေပါင္း ေစ်းႏႈန္း "
"Net Price";"အသားတင္ ေစ်းႏႈန္း"
"Current Tag";"လက္ရွိ တက္ဂ္"
209;209
"Order Details";"ေအာ္ဒါ အေသးစိတ္"
Sample;နမူနာ
KD3-38u123pi;KD3-38u123pi
"YiLinker Charge";"YiLinker ကုန္က်စရိတ္"
"Order Product ID";"ေအာ္ဒါ ကုန္ပစၥည္း အိုင္ဒီ"
"Unflag Transaction";"အမွတ္အသား မလုပ္ထားေသာ အေရာင္းအဝယ္"
"Void Transaction";"အေရာင္းအဝယ္ကို ဖယ္ပါ"
"Apple Watch";"Apple လက္ပတ္နာရီ"
"Short Description";"အေၾကာင္းအရာ အတို"
"Full Description";"အေၾကာင္းအရာ အျပည့္အစုံ"
"Jewellery &amp; Watches";"ေက်ာက္မ်က္ရတနာမ်ား &amp; လက္ပတ္နာရီမ်ား"
Custom;စိတ္ၾကိဳက္
"Dimensions &amp; Weight";"အတိုင္းအတာ &amp; အေလးခ်ိန္"
"Length (CM)";"အလ်ား (CM)"
"Width (CM)";"အက်ယ္ (CM)"
"Weight (KG)";"အေလးခ်ိန္ (KG)"
"Height (CM)";"အျမင့္ (CM)"
"Combination Name";"ေပါင္းစပ္မႈ အမည္"
10001;10001
10;10
Color;အေရာင္
Blue;အျပာ
Size;ဆိုဒ္
Large;အၾကီး
Address;လိပ္စာ
"asdsadsad, 123 jkhjk, asdsadsad, BF International Village, Las Pinas, Metro Manila, 1213";"asdsadsad, 123 jkhjk, asdsadsad, BF International Village, Las Pinas, Metro Manila, 1213"
"Generate Code";"ကုဒ္ ထုတ္ပါ"
477-344-1;477-344-1
"This account doesnt have any bank information";"ဤအေကာင့္တြင္ မည္သည့္ဘဏ္အခ်က္အလက္မွ မရွိပါ"
Add;ေပါင္းထည့္ပါ
"My BPI Bank Account";"ကၽြန္ုပ္၏ BPI ဘဏ္အေကာင့္"
283713968540781;283713968540781
"George Macalulo Winston Lee";"George Macalulo Winston Lee"
BPI;BPI
Edit;တည္းျဖတ္ပါ
"Bank Account Title";"ဘဏ္အေကာင့္ အမ်ဳိးအစား"
UCPB;UCPB
"Allied Bank";"မဟာမိတ်ဘဏ်၏"
"Returned Item Pickup";"ျပန္ေပးေသာ ကုန္ပစၥည္း ေရြးခ်ယ္မႈ"
Schedule;အခ်ိန္ဇယား
02/29/16;02/29/16
"Day Hour";"ေန႕ နာရီ"
"eq. 1 Am";"eq. 1 Am"
Why?;အဘယ္ေၾကာင့္နည္း။
"Bank Name:";"ဘဏ္အမည္ :"
Payout;အခေၾကးေငြ
"Buyer ID";"ဝယ္သူ အိုင္ဒီ"
"Proceed To Payment";"ေပးေခ်ရန္ လုပ္ေဆာင္ပါ"
"Paid - Forwarded";"ေပးျပီး - ဆက္လုပ္ျပီး"
"Shipment Information";"ေပးပို႕မႈ အခ်က္အလက္"
Courier;လမ္းညႊန္
"Boy George Delivery";"Boy George ေပးပို႕ေရး"
"Date of Shipment";"ေပးပို႕မႈ ေန႕ရက္"
"2015-04-01 00:00:00";"2015-04-01 00:00:00"
"Expected Date of Arrival";"ေမွ်ာ္မွန္းထားေသာ ေရာက္ရွိရက္"
"2015-04-04 00:00:00";"2015-04-04 00:00:00"
"Tracking Number";"လမ္းေၾကာင္း နံပါတ္"
PK-235-137-556;PK-235-137-556
"Missing Courier";"လြဲေနေသာ လမ္းညႊန္"
"Last updated on 2015-04-06 17:37:55";"2015-04-06 17:37:55 တြင္ ေနာက္ဆုံး အပ္ဒိတ္လုပ္ထားသည္"
Cancelled;ပယ္ဖ်က္ျပီး
"&#8230;";"&#8230;"
Color:;အေရာင္ :
Red;အနီ
Size:;ဆိုဒ္ :
Samplenation:;နမူနာ :
"Super Duper Ninja Warrior";"Super Duper Ninja Warrior"
resolved;ေျဖရွင္းျပီး
"George Chris Paul";"George Chris Paul"
"requested items for cancellations";"ပယ္ဖ်က္မႈအတြက္ ေတာင္းဆိုထားေသာ ကုန္ပစၥည္းမ်ား"
"Order ID 209: Shoulder Bag";"ေအာ္ဒါ အိုင္ဒီ 209 : လြယ္အိတ္"
"Posted on 12:30 pm, July 21, 2014";"12:30 pm, July 21, 2014 တြင္ ပိုစ့္တင္ခဲ့သည္"
"Koya Carl";"Koya Carl"
"Approve Cancellation";"ပယ္ဖ်က္မႈကို လက္ခံပါ"
Reject;ပယ္ပါ
"Select Reason";"အေၾကာင္းျပခ်က္ ေရြးခ်ယ္ပါ"
"Resolution Center";"ေျဖရွင္းေရး စင္တာ"
"Disputed Tag Detected!";"အျငင္းပြားထားေသာ တက္ဂ္ ေတြ႕ရွိခဲ့ပါသည္။"
attachments;တြဲခ်ိတ္မႈမ်ား
"Proceed to Resolution Center";"ေျဖရွင္းေရး စင္တာသို႕ ေပးပို႕ လုပ္ေဆာင္ပါ"
"Flagged Tag Detected!";"အမွတ္အသားလုပ္ထားေသာ တက္ဂ္ ေတြ႕ရွိခဲ့ပါသည္။"
Approve;လက္ခံပါ
"Search By Batch ID/Process By";"အပတ္စဥ္ အိုင္ဒီ/ လုပ္ေဆာင္သူျဖင့္ ရွာေဖြပါ"
"Grand Batch Amount";"အပတ္စဥ္ ပမာဏ"
"Batch ID";"အပတ္စဥ္ အိုင္ဒီ"
Count;ေရတြက္ပါ
"Process By";"လုပ္ေဆာင္ပါ"
Amount;ပမာဏ
Memo;မီမို
Action;လုပ္ေဆာင္မႈ
"Are you sure you want to remove payout?";"အခေၾကးေငြကို ဖယ္ရွားလိုသည္မွာ ေသခ်ာပါသလား။"
Remove;ဖယ္ရွားပါ
"Batch Payout";"အပတ္စဥ္ အခေၾကးေငြ"
"Batch Number";"အပတ္စဥ္ နံပါတ္"
"Batch Date";"အပတ္စဥ္ ေန႕ရက္"
"Write your Remarks";"သင့္မွတ္ခ်က္မ်ားကို ေရးပါ"
"Attach Files";"ဖိုင္မ်ားကို တြဲခ်ိတ္ပါ"
"Upload Receipt";"ေျပစာကို အပ္ေလာဒ့္လုပ္ပါ"
"Transaction Update List";"အေရာင္းအဝယ္ အပ္ဒိတ္ စာရင္း"
"Search by reference number";"ရည္ညႊန္းနံပါတ္ျဖင့္ ရွာပါ"
"Request By";"ေတာင္းဆိုပါ"
Method;နည္းလမ္း
Bank;ဘဏ္
"Bank Info / Pay To";"ဘဏ္ အခ်က္အလက္/ ေပးရန္"
Charge;ကုန္က်စရိတ္
"Net Amount";"အသားတင္ ပမာဏ"
"Total Batch Amount";"စုစုေပါင္း အပတ္စဥ္ ပမာဏ"
"Are you sure you want to remove file?";"ဖိုင္ကို ဖယ္ရွားလိုသည္မွာ ေသခ်ာပါသလား။"
"Are you sure you want to remove payout request?";"အခေၾကးေငြ ေတာင္းဆိုမႈကို ဖယ္ရွားလိုသည္မွာ ေသခ်ာပါသလား။"
"Search (requester fullname, requester email, bank name, bank account number, bank account name, reference no.)";"ရွာပါ (ေတာင္းဆိုသူ အမည္အျပည့္အစုံ၊ ေတာင္းဆိုသူ အီးေမးလ္၊ ဘဏ္အမည္၊ ဘဏ္အေကာင့္ နံပါတ္၊ ရည္ညႊန္း နံပါတ္)"
"Order by Date";"ေန႔ရက္ျဖင့္ စီပါ"
Ascending;တိုးသြားသည္
Descending;ေလွ်ာ့သြားသည္
"Payment Status:";"ေငြေပးေခ်မႈ အေျခအေန :"
"Payment Method";"ေငြေပးေခ်မႈ နည္းလမ္း"
"Reference Id";"ရည္ညႊန္း အိုင္ဒီ"
"Proceed Batch Pay-Out";"အပတ္စဥ္ ေငြေပးေခ်မႈကို လုပ္ေဆာင္ပါ"
"For Review";"သုံးသပ္ခ်က္ အတြက္"
InActive;မလုပ္ေဆာင္ပါ
Store:;စတိုး :
Condition;အေျခအေန
URL;URL
Videos;ဗီဒီယိုမ်ား
