"Access Denied";"Accès refusé"
"Buyer Refund";"Remboursement de l'acheteur"
"Buyer Refund History";"Histoire de remboursement de l'acheteur"
"Promo List";"Promo liste"
"Seller Accreditation";"Accréditation du vendeur"
"Inhouse Products";"Produits internes"
"Buyer List";"Liste de l'acheteur"
"Seller/Affiliate List";"Liste de vendeur/affiliation"
"Product Listings";"Listes de produits"
Vouchers;Pièces justificatives
"Request Pay-Outs List";"Demander la liste des Pay-out"
"Batch Pay-Out List";"Liste des Pay-Out lots"
Product;Produit
Notification;Notification
"Mobile Web view (CMS)";"Affichage des pages Web mobiles (CMS)"
"Daily Present";"Actuellement tous les jours"
"Custom Messages";"Messages personnalisés"
"Message here";"Message ici"
"Inner Banners";"Bannières intérieures"
"Upload Banner";"Télécharger la bannière"
"Select your Banner Permit file from your computer";"Sélectionnez votre dossier de permis de la bannière de votre ordinateur"
"Compatible files: JPEG and PNG";"Fichiers compatibles : JPEG et PNG"
"Banner URL";"URL de la bannière"
"Product CMS";"Produit CMS"
"Created Date/Time";"Créé Date/heure"
Creator;Créateur
Type;Type de
"12/31/16, 3:00pm";"31/12/16, 15:00"
"George Paul";"George Paul"
"Homepage Row";"Ligne de la page d'accueil"
"Hot Items";"Articles chauds"
150;150
"Queued " 12:00am";"En file d'attente " montant de 00 00 de "
"Custom Page";"Custom Page"
"Shop Wise";"Boutique Wise"
Create;Créer
"Create Product CMS";"Créer des produits CMS"
"Product Title";"Titre du produit"
"Enter Your Product Title";"Entrez le titre de votre produit"
"Upload Featured Banner (Homepage)";"Télécharger la bannière recommandé (Homepage)"
"Upload Featured Banners (Homepage) here";"Télécharger ici les bannières en vedette (Homepage)"
"Compatible files: JPEG, PNG and PDF";"Fichiers compatibles : JPEG, PNG et PDF"
"Paste Featured Product (Homepage) Link here";"Coller le produit vedette (Homepage) lien ici"
Image;Image
"Upload Featured Banner (Inner-Page)";"Télécharger la bannière recommandé (Inner pages)"
"Upload Featured Banners (Inner-Page) here";"Télécharger les bannières en vedette (Inner pages) ici"
"Paste Product Link (Inner-Page) here";"Collez le lien de produit (Inner pages) ici"
"Product List";"Liste des produits"
Clear;Claire
"Add Products";"Ajouter des produits"
"Date Created";"Date de création"
"Product Name";"Nom du produit"
"Active Promo";"Active Promo"
"Original Price";"Prix d'origine"
"Discounted Price";"Prix réduit"
"Available Stock";"Stock disponible"
"Product Sold";"Produit vendu"
12/16/16;12/16/16
0.2;0.2
"PhP 21230";"PhP 21230"
"PhP 18930";"PhP 18930"
2003;2003
122;122
"By Checking this box";"En cochant cette case"
"Start the Process IMMEDIATELY";"Démarrer le processus immédiatement"
"Enter product list here";"Entrez la liste des produits ici"
"Price Range:";"Gamme de prix:"
Brands:;Marques:
"Sort By:";"Trier par:"
Alphabetical;Alphabétique
"New to Old";"Nouveau à ancien"
"Old to New";"Ancien au nouveau"
Relevance;Intérêt pour
Categories:;Catégories:
Status:;Statut:
Active;Actif
Inactive;Inactifs
Manufacturer:;Fabricant:
"Please click on the image you want to set as primary";"Veuillez cliquer sur l'image que vous souhaitez définir comme primaire"
Primary;Primaire
Check;Vérifier
Error;Erreur
"Remove file";"Supprimer le fichier"
SKU;SKU
Width;Largeur
Height;Hauteur
Length;Longueur
Weight;Poids
Quantity;Quantité
"Regular Price";"Prix régulier"
"Shipping fee";"Frais d'expédition"
"Retail Price";"Prix de vente au détail"
Commission;Commission
Date;Date
"Promo Name";"Nom de la promo"
"Promo Discount";"Promo Discount"
41259;41259
"Perfect Purple Pair";"Parfaite paire violet"
"Last Edit By";"Dernière modification effectuée par"
"Time Stamp";"Horodatage"
"Chris Paul George";"Chris Paul George"
"Upload 5 Photos";"Téléchargez 5 Photos"
"0.0833333333333333";"0.0833333333333333"
"Date Range:";"Plage de dates:"
"Start Date";"Date de début"
"End Date";"Date de fin"
"Quantity Sold";"Quantité vendue"
50;50
"Export to Excel";"Exporter vers Excel"
"In-House Listings";"Listes internes"
Item;Ordre du jour
Category;Catégorie
Brand;Marque
Brief;Bref
Details;Détails
Photos;Photos
Combinations;Combinaisons
"Reason of Approval";"Raison de l'approbation"
Back;Précédent
"Reason of Rejection";"Raison du rejet"
[[Username]];[[Nom d'utilisateur]]
Refund;Remboursement
"Order ID";"ID de commande"
"Invoice No";"N° facture"
"Seller ID";"ID de vendeur"
User;Utilisateur
"Product ID";"ID de produit"
"Order Quantity";"Quantité d'ordre"
"Unit Price";"Prix unitaire"
"Total Amount";"Montant total"
EasyPoint;EasyPoint
NET;NET
144;144
144-2-1503240909;144-2-1503240909
2;2
"man of effin steel";"homme d'acier effin"
333;333
"sammmy sam";"sam sammmy"
1;1
On-going;En cours
182;182
182-12003-1504280105;182-12003-1504280105
79;79
warcraft;Warcraft
14;14
"Paid - Returned";"IPD - retourné"
"Proceed To Refund";"Procéder au remboursement"
"History Information";"Informations de l'historique"
"Shipping Price";"Prix d'expédition"
"Easyshop Charge";"Easyshop Charge"
"Payment Method Charge";"Supplément de la méthode"
Easypoints;EasyPoints
Net;NET
201-1-1506040106;201-1-1506040106
sammyboi22_22;sammyboi22_22
apple;Apple
"History ID";"ID de l'histoire"
State;État
404;404
"42157.7479166667";"42157.7479166667"
"Item has not been shipped";"Ordre du jour n'a pas été expédié"
"Reason of Cancellation";"Raison d'annulation"
Requestor;Demandeur
"--Select Requestor--";"--Sélectionnez demandeur--"
Buyer;Acheteur
"Type of Reason";"Type de motif"
"--Select Reason--";"--Sélectionnez raison--"
"Edit/Add Category";"Modifier/ajouter une catégorie"
Name;Nom
Description;Description
Keyword;Mot clé
"Sort Order";"Ordre de tri"
"Order Product Id";"Id de produit d'ordre"
"Shipping Fee";"Frais d'expédition"
"Total Price";"Prix total"
"Net Price";"Prix net"
"Current Tag";"Balise en cours"
209;209
"Order Details";"Détails de la commande"
Sample;Échantillon
KD3-38u123pi;KD3-38u123pi
"YiLinker Charge";"YiLinker Charge"
"Order Product ID";"ID de produit d'ordre"
"Unflag Transaction";"Supprimer l'indicateur Transaction"
"Void Transaction";"Invalider"
"Apple Watch";"Apple montre"
"Short Description";"Brève Description"
"Full Description";"Description complète"
"Jewellery &amp Watches";"Montres bijoux & amp"
Custom;Custom
"Dimensions &amp Weight";"Dimensions & amp poids"
"Length (CM)";"Longueur (CM)"
"Width (CM)";"Largeur (CM)"
"Weight (KG)";"Poids (KG)"
"Height (CM)";"Hauteur (CM)"
"Combination Name";"Combinaison nom"
10001;10001
10;10
Color;Couleur
Blue;Bleu
Size;Taille
Large;Grande
Address;Adresse
"asdsadsad, 123 jkhjk, asdsadsad, BF International Village, Las Pinas, Metro Manila, 1213";"asdsadsad, 123 jkhjk, asdsadsad, BF International Village, Las Pinas, Metro Manila, 1213"
"Generate Code";"Générer le Code"
477-344-1;477-344-1
"This account doesnt have any bank information";"Ce compte ne dispose d'aucune information de banque"
Add;Ajouter
"My BPI Bank Account";"Mon compte en banque BPI"
283714000000000;283714000000000
"George Macalulo Winston Lee";"George Macalulo Winston Lee"
BPI;BPI
Edit;Edit
"Bank Account Title";"Titre de compte Banque "
UCPB;UCPB
"Allied Bank";"Allied Bank"
"Returned Item Pickup";"Retourne le point de ramassage"
Schedule;Annexe
02/29/16;02/29/16
"Day Hour";"Heure de la journée"
"eq. 1 Am";"EQ. 01:00"
Why?;Pourquoi?
"Bank Name:";"Nom de la Banque:"
Payout;Déboursement
"Buyer ID";"ID de l'acheteur"
"Proceed To Payment";"Procéder au paiement"
"Paid - Forwarded";"IPD - transmis"
"Shipment Information";"Informations d'expédition"
Courier;Service de messagerie
"Boy George Delivery";"Boy George livraison"
"Date of Shipment";"Date d'expédition"
"42095";"42008"
"Expected Date of Arrival";"Date d'arrivée prévue"
"42098";"42098"
"Tracking Number";"Numéro de suivi"
PK-235-137-556;PK-235-137-556
"Missing Courier";"Service de messagerie manquant"
"Last updated on 2015-04-06 17:37:55";"Dernière mise à jour sur 2015-04-06 17:37:55"
Cancelled;Annulé
"&#8230";"& # 8230"
Color:;Couleur:
Red;Rouge
Size:;Taille:
Samplenation:;Samplenation:
"Super Duper Ninja Warrior";"Super Duper Ninja Warrior"
resolved;résolu
"George Chris Paul";"George Chris Paul"
"requested items for cancellations";"éléments demandés pour les annulations"
"Order ID 209: Shoulder Bag";"Order ID 209: sac à bandoulière"
"Posted on 12:30 pm, July 21, 2014";"Posté le 12:30, 21 juillet 2014"
"Koya Carl";"Koya Carl"
"Approve Cancellation";"Approuver l'annulation"
Reject;Rejeter
"Select Reason";"Sélectionnez la raison"
"Resolution Center";"Centre de résolution"
"Disputed Tag Detected!";"Balise contestée détecté!"
attachments;Pièce détachée
"Proceed to Resolution Center";"Procéder au centre de résolution"
"Flagged Tag Detected!";"Avec indicateur de balise détecté!"
Approve;Approuver les
"Search By Batch ID/Process By";"Recherche par ID/traitement par lots, par"
"Grand Batch Amount";"Grand lot le montant"
"Batch ID";"ID du lot"
Count;Comte
"Process By";"Processus par"
Amount;Montant
Memo;Note de service
Action;Action
"Are you sure you want to remove payout?";"Êtes-vous sûr de que vouloir supprimer le paiement?"
Remove;Supprimer
"Batch Payout";"Paiement des lots"
"Batch Number";"Numéro de lot"
"Batch Date";"Date de traitement par lots"
"Write your Remarks";"Écrivez vos remarques"
"Attach Files";"Joindre des fichiers"
"Upload Receipt";"Télécharger réception"
"Transaction Update List";"Liste mise à jour des transactions"
"Search by reference number";"Recherche par numéro de référence"
"Request By";"Demander par"
Method;Méthode
Bank;Banque
"Bank Info / Pay To";"Banque d'informations ou une rémunération à"
Charge;Frais
"Net Amount";"Montant net"
"Total Batch Amount";"Montant de l'ensemble du lot"
"Are you sure you want to remove file?";"Êtes-vous sûr de que vouloir supprimer le fichier?"
"Are you sure you want to remove payout request?";"Êtes-vous sûr de que vouloir supprimer la demande de paiement?"
"Search (requester fullname, requester email, bank name, bank account number, bank account name, reference no.)";"Recherche (demandeur fullname, email de l'auteur de la demande, la Banque, numéro de compte bancaire, compte bancaire nom, référence ne.)"
"Order by Date";"Order by Date"
Ascending;Ordre croissant
Descending;Décroissant
"Payment Status:";"Statut de paiement:"
"Payment Method";"Mode de paiement"
"Reference Id";"Id de référence"
"Proceed Batch Pay-Out";"Procéder par lot Pay-Out"
"For Review";"Pour l'examen"
InActive;Inactifs
Store:;Magasin:
Condition;Condition
URL;URL
Videos;Vidéos
"Reject Remarks";"Rejeter les remarques"
"Item Details";"Les détails sur les"
"Shipping Category";"Catégorie de navigation"
"Store Details";"Enregistrer les données"
"Seller Name";"Nom du vendeur"
"No youtube video";"Aucune vidéo d'youtube"
"Posted on";"Posté le"
"Send Reject Remark";"Envoyer Reject Remarque"
"Promo Management";"Promo gestion"
"Promo Type";"Type de promo"
"Promo Details";"Détails de la promo"
"Promo is currently Active";"Promo est actuellement Active"
Advertisement;Annonce
"Discount %";"%Remise"
Discount;Remise
Start;Début
End;Fin
"% per hour";"%/heure"
"Percent per hour";"Pour cent à l'heure"
"Minimum %";"%Minimum"
"Quantity Required";"Quantité requise"
"Max Quantity";"Quantité max"
"Countdown Timer is currently Disabled";"Compte à rebours est actuellement désactivé"
"Yes, Enable the Countdown timer";"Oui, activer le compte à rebours"
"Countdown Timer is Active";"Compte à  rebours est active"
"0.208333333333333";"0.208333333333333"
days;jours
hrs;hrs
min;min
sec;sec
"left until the promo ends";"gauche jusqu'à ce que la promo se termine"
"Disabled Countdown Timer";"Handicapées à rebours"
"Product list";"Liste des produits"
"Item Name";"Nom de l'élément"
Price;Prix
"Activate this Promo";"Activer cette Promo"
"Add Item (separated by line break)";"Ajouter l'article (séparé par le saut de ligne)"
"Congratulations! This promo has been successfully enabled";"Félicitations ! Cette promo a été activée avec succès"
Deactivate;Désactiver
Notifications;Notifications
"Search By Title / Message Content";"Recherche par titre/contenu du Message"
"IOS (Mobile)";"IOS (Mobile)"
"Andriod (Mobile)";"Android (Mobile)"
---;---
"Custom Pages";"Pages personnalisées"
"Product Search";"Recherche par produit"
Store;Magasin
"Store Search";"Recherche de magasin"
"Send Notification";"Envoyer une Notification"
Devices;Dispositifs de
Target;Objectif
Sender;Expéditeur
"Is Active";"Est actif"
"Recipient Device";"Dispositif de destinataire"
"Message (Max : 100)";"Message (Max:100)"
Schedule:;Horaire:
"Set Schedule";"La valeur horaire"
"Is Active?";"Est-il actif?"
"Boy George Dako Wewe";"Boy George Dako Wewe"
"George Haircut Station";"George Haircut Station"
"479 9th Street West, Menomonee Falls, WI 53051";"479 9th street West, Menomonee Falls, WI 53051"
Position;Position
"Manager / Yaya";"Gestionnair/Yaya"
"Telephone Number";"Numéro de téléphone"
532-2393;532-2393
"(63) 937-234-1286";"(63) 937-234-1286"
"International Bank of the World ever!";"Banque internationale du monde jamais!"
1872-2783-5869;1872-2783-5869
"File Name";"Nom de fichier"
414894;414894
"Accreditation Level 0";"Accréditation de niveau 0"
"Accreditation Level 1";"Accréditation de niveau 1"
"Accreditation Level 2";"Accréditation de niveau 2"
"Accreditation Level 3";"Accréditation de niveau 3"
"Accreditation Level 4";"Accréditation de niveau 4"
"Accreditation Level 5";"Accréditation de niveau 5"
"Columns Container";"Conteneur de colonnes"
"Order Status";"Statut des commandes"
40891;40891
"Transaction ID";"ID de transaction"
"Date of Transaction";"Date de la Transaction"
"Type of Payment Method";"Type de mode de paiement"
201;201
PPY-1506040106-1;PPY-1506040106-1
PAID;PAYÉ
"42159.5451388889";"42159.5451388889"
PESOPAY;PESOPAY
11;11
12;12
"Storename / Username";"StoreName/nom d'utilisateur"
From;De
To;À
Storename;StoreName
Email;Messagerie
"Asia United Bank";"L'Asie United Bank"
aaaaa;aaaaa
bbbbb;bbbbb
9876545345;9876545345
9878263787;9878263787
"Category Listings";"Catégorie annonces"
"Main Category";"Catégorie principale"
"Sub Category";"Sous catégorie"
Filters;Filtres
Slug;Slug
"10-24-1991 06:30:05";"10-24-1991 06:30:05"
0;0
PROMOTIONAL_ITEMS;PROMOTIONAL_ITEMS
"Special Promotional Items";"Articles promotionnels spéciaux"
"Special Promotional222";"Promotional222 spécial"
promo-special;Promo-spécial
"Contact Buyer";"Contacter l'acheteur"
"Invoice Number";"Numéro de la facture"
"Buyer Fullname";"Fullname de l'acheteur"
"Buyer Store Name";"Nom du magasin de l'acheteur"
"Buyer Email";"Email de l'acheteur"
"Transaction Date";"Date de la transaction"
198;198
PPY-1506020514-1;PPY-1506020514-1
198-1-1506020514;198-1-1506020514
"Omaha maria23";"Omaha maria23"
"42157.7513888889";"42157.7513888889"
"Contact Seller";"Contacter le vendeur"
"Seller Fullname";"Fullname vendeur"
"Seller Store Name";"Nom du vendeur magasin"
"Number of Products";"Nombre de produits"
"Seller Email";"Email du vendeur"
Dashboard;Tableau de bord
Products;Produits
Buyers;Acheteurs
Sellers;Vendeurs
Transactions;Transactions
"Sorry, Your database is currently empty";"Désolé, votre base de données est actuellement vide"
"Case ID";"ID d'affaire"
"Dispute Type";"Type de litige"
Complainant;Plaignant
"Date Filed";"Date de dépôt"
email;Messagerie
"Seller Payout";"Paiement du vendeur"
"Legal Documents";"Documents juridiques"
"This Account currently Locked";"Ce compte actuellement verrouillé"
"Do you want to Activate it now?";"Vous voulez maintenant l'activer?"
"Yes, Activate this Account";"Oui, activer ce compte"
"Select your DTI/SEC Permit file from your computer";"Sélectionnez votre fichier DTI/s permis depuis votre ordinateur"
"Select your Mayor's Permit file from your computer";"Sélectionnez le dossier de permis de votre maire depuis votre ordinateur"
"Select your BIR Permit file from your computer";"Sélectionnez votre fichier BIR permettent depuis votre ordinateur"
"Form MA1501 Permit";"Forme MA1501 permis"
"Select your Form MA1501 file from your computer";"Sélectionnez votre fichier de forme MA1501 de votre ordinateur"
"Where to get a copy of Form MA1501?";"Où se procurer une copie du formulaire MA1501?"
"Download Form MA1501";"Télécharger le formulaire MA1501"
"Other Documents";"Autres Documents"
"Select a document file from your computer";"Sélectionnez un fichier de document depuis votre ordinateur"
"Mobile Management";"Gestion mobile"
"Push Notification";"Notification Push"
"Notification Message";"Message de notification"
;
"Number of Product Listings:";"Nombre de listes de produits :"
10145;10145
"41866.5159722222";"41866.5159722222"
sfasfas;sfasfas
"Building Toys";"Jeux de construction"
122121;122 121
212;212
"New other (see details)";"Neuf autres (voir détails)"
"Promo Banners";"Bannières de promo"
"Create Promo Banner";"Créer bannière Promo"
"Select Product";"Sélectionnez le produit"
"Enter Product Slug";"Entrez produit Slug"
"Add Product";"Ajouter un produit"
"Change Product";"Changement de produit"
"This Promo Banner currently Disabled";"Cette bannière Promo actuellement désactivé"
"Do you want to enable it now?";"Vous voulez lui permettre maintenant?"
"Yes, Enable this Promo Banner";"Oui, activer cette bannière Promo"
"This Promo Banner is Enabled";"Cette bannière de la Promo est activée"
"Disable Now";"Désactiver maintenant"
"Upload Banners";"Télécharger les bannières"
"Upload Banners here";"Télécharger les bannières ici"
"Search By Product Name";"Recherche par nom de produit"
Category:;Catégorie:
Electronics;Electronics
Gadget;Gadget
Clothes;Vêtements
Enable;Enable
Disable;Disable
"Banner Count";"Comte de bannière"
"Date Added";"Date d'ajout"
10/20/15;10/20/15
Enabled;Activé
"Samsung Galaxy j1";"Samsung Galaxy j1"
5;5
Disabled;Personnes handicapées
"Raffle Manager";"Gestionnaire de tirage au sort"
"Register Raffle";"Registre de tirage au sort"
"Raffle Name";"Nom de la tombola"
"Pool of Possible Winners";"Piscine de gagnants possibles"
"Number of Winners to Generate";"Nombre de gagnants pour générer"
"List of Prices";"Liste des prix"
"Raffle Lists";"Listes de tirage au sort"
Raffle_Name;Raffle_Name
Winners;Gagnants
"Time Created";"Heure de création"
Prices;Prix
2121sadasd;2121sadasd
test22;test22
"41898.4715277778";"41898.4715277778"
"Full Name";"Nom et prénom"
inonbaguio;inonbaguio
"Inon Baguio";"Inon Baguio"
Content;Contenu
CSR;RSE
Marketing;De marketing
Super-User;Super-utilisateur
Guest;Commentaires
"Registered Users";"Utilisateurs enregistrés"
"Number of Registered Sellers:";"Nombre de vendeurs enregistrés :"
141;141
Affiliates;Sociétés affiliées
"41822.6069444444";"41822.6069444444"
"sam gavinio";"Sam gavinio"
"Banana Republic";"Banana Republic"
38;38
"Report Manager";"Gestionnaire de rapports"
"Number of uploaded products per account";"Nombre de produits téléchargés par compte"
"Monthly Sign Up Statistics";"Inscription mensuelle de statistiques"
"Users w/ &amp w/out Products";"Utilisateurs w/& amp w/produits"
"Number of uploaded items per month";"Nombre d'éléments téléchargés par mois"
"Number of items per parent category";"Nombre d'articles par catégorie parent"
"Show Entries";"Afficher les entrées"
20;20
40;40
80;80
160;160
Monthsss;Monthsss
"Sign-up Count";"Nombre d'inscription"
2015;2015
January;Janvier
29;29
February;Février
March;Mars
April;Avril
May;Mai
2016;2016
Month;Mois
"Showing 1 out 39 Entries";"Liste 1 39 entrées"
"Dispute Details";"Détails de règlement des différends"
KD3-38U123PI;KD3-38U123PI
12371237837;12371237837
"Complainant Full Name";"Prénom de la plaignante"
322-3245-59898;322-3245-59898
"Defendant Full Name";"Nom complet du défendeur"
"Janvan Ding";"Janvan Ding"
"Transaction Details";"Détails de la transaction"
4916700000000;4916700000000
"Armando Upton";"Armando Upton"
"Waiting for Payment";"En attente de paiement"
"Date of transaction";"Date de la transaction"
"42249.55";"42249.55"
"see attachments";"Voir les pièces jointes"
x;x
Reason;Raison
Open;Ouvert
On-Going;En cours
Rejected;A rejeté
Closed;Fermé
"Boy Tigol";"Tigol garçon"
"George Georgina";"George Georgina"
40132;40132
"Search Keyword";"Recherche par mot clé"
"Query String";"Chaîne de requête"
"Number of Hits";"Nombre de Hits"
"apple UNION ALL SELECT NULL--";"Apple UNION ALL SELECT NULL--"
"Transaction List";"Liste des transactions"
!;!
Cancellation;Annulation
"Dispute Something";"Contester quelque chose"
Flag;Drapeau
DENIED;NIÉ
"Create Vourcher";"Créer Vourcher"
"Code Name";"Nom de code"
"Voucher Type";"Bon Type"
Duration;Durée
"Usage Limit";"Limite d'utilisation"
"Discount Type";"Type de remise"
Ramboo;Ramboo
"Something for Nothing";"Quelque chose pour rien"
"10 Days";"10 jours"
"1 per Account";"1 par compte"
Utang;Outan
1000;1000
"Voucher Code Name";"Nom de Code de bon d'achat"
"Voucher Code";"Code du coupon"
"Generate Voucher Code";"Générer un Code de bon d'achat"
One-Time;Non récurrents
Multi-Use;Usages multiples
100;100
"Fixed Amount";"Montant fixe"
Percentage;Pourcentage
1;1
"Voucher is currently Inactive";"Voucher est actuellement inactif"
"Yes, Activate this Voucher";"Oui, activer ce bon"
"Voucher is Now Active";"Voucher est maintenant actif"
872379000000;872379000000
Unknown;Inconnu
40466;40466
"FullName / Email";"FullNam/Email"
"Remarks from Dispute";"Allocution présentée par litige"
"Deposit Slip";"Bordereau de dépôt"
Remarks:;Remarques:
"Enter your remarks";"Saisissez vos remarques"
"Deposit Slip:";"Bordereau de dépôt:"
"Compatible files: JPG, JPEG, and PNG";"Fichiers compatibles: JPG, JPEG et PNG"
"Are you sure you want to refund this transaction?";"Êtes-vous certain de que vouloir rembourser cette transaction?"
No;Non
Yes;Oui
"Refund History Information";"Informations d'historique de remboursement"
Print;Imprimer
"Dispute ID:";"ID du différend:"
"Buyer Name:";"Nom de l'acheteur:"
"Buyer Email:";"Email de l'acheteur:"
"Buyer Contact Number:";"Numéro de Contact de l'acheteur:"
"Date Request:";"Date demande:"
"Date Processed:";"Date de traitement:"
"Processed By:";"Traitées par:"
"Click here";"Cliquez ici"
"Supplier Payout";"Paiement fournisseur"
"Date From";"Datent de"
"Date To";"Date au"
"Search for keyword: Manufacturer/Contact number";"Recherche de mot clé : numéro de fabricant/Contact"
"Payout List";"Liste de paiement"
"Payout History";"Histoire de paiement"
Manufacturer;Référence du fabricant
"Reference Number";"Numéro de référence"
"Support CSR";"Soutien RSE"
"Payout Details";"Détails de paiement"
"WayBill Number";"Numéro du bordereau"
Warehouse;Entrepôt
"Payout Order Products";"Produits de paiement de la commande"
"Deposit Slips";"Bordereaux de dépôt"
"Date Modified";"Date de modification"
Close;Fermer
"Case ID:";"ID de l'affaire:"
"Date Request";"Demande de date"
"Date Processed";"Date traitée"
