"Access Denied";"Acceso denegado"
Brief;Resumen
Details;detalles
Photos;Fotos
Combinations;Combinaciones
"Reason of Approval";"Razón de aprobación "
Back;Volver
"Reason of Rejection";"Razón de rechazo"
[[Username]];Nombre de usuario
Refund;Reembolso
"Order ID";"Identificación de la Orden de pedido"
"Invoice No";"No. de Factura "
"Seller ID";"Identificación del vendedor"
User;Usuario
"Product ID";"Identificacion del Producto"
"Order Quantity";"Cantidad de orden de pedido"
"Unit Price";"Precio unitario"
"Total Amount";"Cantidad total"
EasyPoint;Easypoints
NET;RED
144;144
144-2-1503240909;144-2-1503240909
2;2
"man of effin steel";"hombre de acero effin"
333;333
"sammmy sam";"sammmy sam"
1;1
On-going;Continuación
182;182
182-12003-1504280105;182-12003-1504280105
79;79
warcraft;warcraft
14;14
"Paid - Returned";"Pagado - Devuelto"
"Proceed To Refund";"Procederá a la devolución"
"History Information";"Historial de información "
"Shipping Price";"Precio de envío"
"Easyshop Charge";"Cargar Easyshop"
"Payment Method Charge";"Carga de Método de Pago"
Easypoints;Easypoints
Net;Red
201-1-1506040106;201-1-1506040106
sammyboi22_22;sammyboi22_22
apple;Apple
"History ID";"Identificación de historial "
State;Estado
404;404
"42157.7479166667";"42041.7479166667"
"Item has not been shipped";"El artículo no se ha enviado"
"Reason of Cancellation";"Motivo de la cancelación"
Requestor;solicitante
"--Select Requestor--";"--seleccionar Solicitante--"
Buyer;Comprador
"Type of Reason";"Tipo de la Razón"
"--Select Reason--";"--Seleccionar razon--"
"Edit/Add Category";"Editar / Añadir categoría"
Name;Nombre
Description;Descripción
Keyword;Palabra clave
"Sort Order";"Orden de Clasificación"
"Order Product Id";"ID del pedido de Producto"
"Shipping Fee";"Gastos de envío"
"Total Price";"Precio total"
"Net Price";"Precio neto"
"Current Tag";"Etiqueta actual"
209;209
"Order Details";"Detalles de orden de pedido"
Sample;Muestra
KD3-38u123pi;KD3-38u123pi
"YiLinker Charge";"Cargar YiLinker"
"Order Product ID";"Identificación de Orden de pedido del Producto"
"Unflag Transaction";"Desmarcar transacción "
"Void Transaction";"Transacción nula"
"Apple Watch";"Ver Apple"
"Short Description";"Descripción breve"
"Full Description";"Descripción completa"
"Jewellery &amp Watches";"Relojes y Joyas "
Custom;Personalizado
"Dimensions &amp Weight";"Dimensiones y Peso"
"Length (CM)";"Longitud (cm)"
"Width (CM)";"Anchura (cm)"
"Weight (KG)";"Peso (kg)"
"Height (CM)";"Altura (cm)"
"Combination Name";"Nombre combinado"
10001;10001
10;10
Color;Color
Blue;Azul
Size;Tamaño
Large;Grande
Address;Dirección
"asdsadsad, 123 jkhjk, asdsadsad, BF International Village, Las Pinas, Metro Manila, 1213";"asdasdasd, 123 jkjk, asdasdasd, BF International Village, Las Pinas, Metro Manila, 1213"
"Generate Code";"Generar código"
477-344-1;477-344-1
"This account doesnt have any bank information";"No es posible obtener  información bancaria de esta cuenta"
Add;Añadir
"My BPI Bank Account";"Mi Cuenta de Banco BPI"
283714000000000;283714000000000
"George Macalulo Winston Lee";"George Winston Lee Macaluso"
BPI;BPI
Edit;Editar
"Bank Account Title";"Título de la cuenta bancaria"
UCPB;UCPB
"Allied Bank";"Banco aliado"
"Returned Item Pickup";"Recogida de artículos devueltos"
Schedule;Programar
02/29/16;02.29.16
"Day Hour";"Día Hora"
"eq. 1 Am";"eq. 01 a.m."
Why?;¿Por qué?
"Bank Name:";"Nombre del banco:"
Payout;Pago
"Buyer ID";"Identificación del comprador"
"Proceed To Payment";"Proceder a pagar"
"Paid - Forwarded";"Pagados - reenviado"
"Shipment Information";"Información de envío"
Courier;Mensajería
"Boy George Delivery";"Entrega Boy George "
"Date of Shipment";"Fecha de envío"
"2015-04-01 00:00:00";"2015-04-01 00:00:00"
"Expected Date of Arrival";"Fecha prevista de llegada"
"2015-04-04 00:00:00";"2015-04-04 00:00:00"
"Tracking Number";"El número de rastreo"
PK-235-137-556;PK-235-137-556
"Missing Courier";"Falta mensajería"
"Last updated on 2015-04-06 17:37:55";"Actualizado el 04/06/2015 17:37:55"
Cancelled;Cancelado
"&#8230";"& # 8230"
Color:;Color:
Red;Rojo
Size:;Tamaño:
Samplenation:;Muestreo:
"Super Duper Ninja Warrior";"Súper Duper  Ninja warrior"
resolved;Solucionado
"George Chris Paul";"George Chris Paul"
"requested items for cancellations";"Artículos solicitados por cancelaciones"
"Order ID 209: Shoulder Bag";"Identificación de la orden de pedido 209: Bolsa de hombro"
"Posted on 12:30 pm, July 21, 2014";"Publicado el 24:30 21 de julio de 2014"
"Koya Carl";"Koya Carl"
"Approve Cancellation";"Aprobar la cancelación"
Reject;Rechazar
"Select Reason";"Selecciona la razón"
"Resolution Center";"Centro de Resolución"
"Disputed Tag Detected!";"Detección de etiqueta de disputa"
attachments;Archivos adjuntos
"Proceed to Resolution Center";"Continúe con el Centro de Resolución"
"Flagged Tag Detected!";"Etiqueta de marcado detectada"
Approve;Aprobar
"Search By Batch ID/Process By";"Buscar por ID del lote / Por proceso"
"Grand Batch Amount";"Gran cantidad de lotes"
"Batch ID";"Identificación del lote"
Count;Conteo
"Process By";"Por proceso"
Amount;Cantidad
Memo;Memorándum
Action;Acción
"Are you sure you want to remove payout?";"¿Está seguro de que desea eliminar el pago?"
Remove;Retirar
"Batch Payout";"Pago por lotes"
"Batch Number";"Número de lote"
"Batch Date";"Fecha de lotes"
"Write your Remarks";"Escribir sus observaciones"
"Attach Files";"Adjuntar archivos"
"Upload Receipt";"cargar el Recibo"
"Transaction Update List";"Actualizar la lista de transacciones"
"Search by reference number";"Búsqueda por número de referencia"
"Request By";"Por petición de"
Method;Método
Bank;Banco
"Bank Info / Pay To";"Información del Banco  / Pagar a"
Charge;Cargar
"Net Amount";"Importe neto"
"Total Batch Amount";"Importe total del lote"
"Are you sure you want to remove file?";"¿Está seguro de que desea eliminar el archivo?"
"Are you sure you want to remove payout request?";"¿Está seguro de que desea eliminar solicitud de pago?"
"Search (requester fullname, requester email, bank name, bank account number, bank account name, reference no.)";"Buscar (nombre completo del solicitante, el correo electrónico del solicitante, nombre del banco, número de cuenta bancaria, nombre de la cuenta bancaria, el número de orden de pedido.)"
"Order by Date";"Ordenar por Fecha"
Ascending;Ascendente
Descending;Descendente
"Payment Status:";"Estado de pago:"
"Payment Method";"Método de pago"
"Reference Id";"Identificación de referencia"
"Proceed Batch Pay-Out";"Proceder al desembolso de los lotes"
"For Review";"Para revisión"
InActive;Inactivo
Store:;Almacenar:
Condition;Condición
URL;URL
Videos;Vídeos
"Reject Remarks";"Rechazar Observaciones"
"Item Details";"Detalles del artículo"
"Shipping Category";"Categoría de envío"
"Store Details";"Detalles de las tiendas"
"Seller Name";"Nombre del vendedor"
"No youtube video";"Sin  videos de youtube"
"Posted on";"Publicado en"
"Send Reject Remark";"Enviar observación de rechazo"
"Promo Management";"Gestión de Promoción"
"Promo Type";"Tipo de Promoción"
"Promo Details";"Detalles de promoción"
"Promo is currently Active";"La promoción está  actualmente activa"
Advertisement;Anuncio
"Discount %";"% de descuento"
Discount;Descuento
Start;Iniciar
End;Finalizar
"% per hour";"% por hora"
"Percent per hour";"Por ciento por hora"
"Minimum %";"% mínimo"
"Quantity Required";"Cantidad requerida"
"Max Quantity";"Cantidad máxima"
"Countdown Timer is currently Disabled";"El temporizador de cuenta regresiva está actualmente desactivado"
"Yes, Enable the Countdown timer";"Sí, Activar el temporizador de cuenta regresiva"
"Countdown Timer is Active";"El temporizador de cuenta regresiva está activo"
"0.208333333333333";"0.208333333333333"
days;Días
hrs;Horas
min;Minutos
sec;segundos
"left until the promo ends";"Ir a la izquierda hasta  los extremos de promociones"
"Disabled Countdown Timer";"Temporizador de cuenta regresiva desactivado"
"Product list";"Lista de productos"
"Item Name";"Nombre del articulo"
Price;Precio
"Activate this Promo";"Activación de esta Promoción"
"Add Item (separated by line break)";"Agregar articulo (separados por salto de línea)"
"Congratulations! This promo has been successfully enabled";"¡Felicitaciones! Esta promoción se ha realizado con éxito"
Deactivate;Desactivar
Notifications;Notificaciones
"Search By Title / Message Content";"Puede buscar por titulo/mensaje de contenido  "
"IOS (Mobile)";"IOS (móvil)"
"Andriod (Mobile)";"Android (móvil)"
---;---
"Custom Pages";"Páginas personalizadas"
"Product Search";"Búsqueda de Producto"
Store;Almacenar
"Store Search";"Búsqueda de tienda "
"Send Notification";"Enviar notificación"
Devices;Dispositivos
Target;Objetivo
Sender;Remitente
"Is Active";"Está activo"
"Recipient Device";"Dispositivo receptor"
"Message (Max : 100)";"Mensaje (máx.: 100)"
Schedule:;Programar:
"Set Schedule";"Horario establecido"
"Is Active?";"¿Está activo?"
"Boy George Dako Wewe";"Boy George Dako Wewe"
"George Haircut Station";"Estación  corte de pelo George"
"479 9th Street West, Menomonee Falls, WI 53051";"479 9th Street West, Menomonee Falls, WI 53051"
Position;Posición
"Manager / Yaya";"Director / Yaya"
"Telephone Number";"Número de teléfono"
532-2393;532-2393
"(63) 937-234-1286";"(63) 937-234-1286"
"International Bank of the World ever!";"Banco Internacional del Mundo !"
1872-2783-5869;1872-2783-5869
"File Name";"Nombre del archivo"
414894;414894
"Accreditation Level 0";"Acreditación Nivel 0"
"Accreditation Level 1";"Nivel 1 de Acreditación"
"Accreditation Level 2";"Nivel 2 de Acreditación"
"Accreditation Level 3";"Nivel 3 de Acreditación"
"Accreditation Level 4";"Nivel 4 de Acreditación"
"Accreditation Level 5";"Nivel 5 de Acreditación "
"Columns Container";"Contenedor de columnas"
"Order Status";"Estado del pedido"
11/12/14;11/12/14
"Transaction ID";"Identificación de transacción"
"Date of Transaction";"Fecha de Transacción"
"Type of Payment Method";"Tipo del método de pago"
201;201
PPY-1506040106-1;PPY-1506040106-1
PAID;PAGADO
"42159.5451388889";"42159.5451388889"
PESOPAY;PESOPAY
11;11
12;12
"Storename / Username";"nombre de la tienda/ Usuario"
From;De
To;Para   
Storename;Nombre de la tienda
Email;Correo electrónico
"Asia United Bank";"Asia United Bank"
aaaaa;aaaaa
bbbbb;bbbbb
9876545345;9876545345
9878263787;9878263787
"Category Listings";"Listados de categoría "
"Main Category";"Categoría principal"
"Sub Category";"Sub Categoría"
Filters;Filtros
Slug;Lingote
"10-24-1991 06:30:05";"10-24-1991 06:30:05"
0;0
PROMOTIONAL_ITEMS;ARTÍCULOS DE PROMOCIÓN
"Special Promotional Items";"Artículos de promociones especiales"
"Special Promotional222";"Promocional especial 222"
promo-special;promoción - especial
"Contact Buyer";"Contactar a Comprador"
"Invoice Number";"Número de factura"
"Buyer Fullname";"Nombre completo del comprador"
"Buyer Store Name";"Nombre de la tienda compradora"
"Buyer Email";"Comprador por correo electrónico"
"Transaction Date";"Fecha de Transacción"
198;198
PPY-1506020514-1;PPY-1506020514-1
198-1-1506020514;198-1-1506020514
"Omaha maria23";"maria23 Omaha"
"42157.7513888889";"42157.7513888889"
"Contact Seller";"Contacte al vendedor"
"Seller Fullname";"Nombre completo del vendedor"
"Seller Store Name";"Nombre de la tienda vendedora"
"Number of Products";"Número de Productos"
"Seller Email";"vendedor por correo electrónico"
Dashboard;Tablero
Products;Productos
Buyers;Compradores
Sellers;Vendedores
Transactions;Transacciones
"Sorry, Your database is currently empty";"Lo sentimos, su base de datos está actualmente vacía"
"Case ID";"Identificación del caso"
"Dispute Type";"Tipo de disputa"
Complainant;Querellante
"Date Filed";"Fecha de presentación"
email;Correo electrónico
"Seller Payout";"Pago del vendedor"
"Legal Documents";"Documentos legales"
"This Account currently Locked";"Esta cuenta actualmente está bloqueado"
"Do you want to Activate it now?";"¿Quieres Activar ahora?"
"Yes, Activate this Account";"Sí, activar esta cuenta"
"Select your DTI/SEC Permit file from your computer";"Seleccione el archivo de Permiso DTI / SEC desde el ordenador"
"Select your Mayor's Permit file from your computer";"Seleccione el archivo de Permiso de Mayorista desde el ordenador"
"Select your BIR Permit file from your computer";"Seleccione el archivo de Permiso BIR desde el ordenador"
"Form MA1501 Permit";"Permiso de FORM MA 1501 "
"Select your Form MA1501 file from your computer";"Seleccione el archivo de FORM MA 1501 desde el ordenador"
"Where to get a copy of Form MA1501?";"Dónde obtener una copia de la FORM MA1501?"
"Download Form MA1501";"Descargar la FORM MA1501"
"Other Documents";"Otros documentos"
"Select a document file from your computer";"Seleccione un archivo de documento desde su ordenador"
"Mobile Management";"Gestión móvil"
"Push Notification";"Notificación de inserción"
"Notification Message";"Mensaje de notificación"
;
"Number of Product Listings:";"Número de listado de producto:"
10145;10145
"41866.5159722222";"41866.5159722222"
sfasfas;sfasfas
"Building Toys";"Juguetes para construcción"
122121;122121
212;212
"New other (see details)";"Otro nuevo (ver detalles)"
"Promo Banners";"Banderas de promoción "
"Create Promo Banner";"Crear bandera de promoción"
"Select Product";"Seleccionar producto"
"Enter Product Slug";"Introducir productos lingote"
"Add Product";"Añadir Producto"
"Change Product";"Cambio de producto"
"This Promo Banner currently Disabled";"Esta bandera de promoción esta  actualmente deshabilitada"
"Do you want to enable it now?";"¿Quiere activarla ahora?"
"Yes, Enable this Promo Banner";"Sí, activar esta bandera de promoción"
"This Promo Banner is Enabled";"Esta bandera de promoción esta  Activada"
"Disable Now";"Ahora desactivar"
"Upload Banners";"Subir Banderas"
"Upload Banners here";"Subir Banderas aquí"
"Search By Product Name";"Búsqueda por Nombre del producto"
Category:;Categoría:
Electronics;Electrónica
Gadget;Artilugio
Clothes;Ropa
Enable;Habilitar
Disable;Inhabilitar
"Banner Count";"Conteo de banderas"
"Date Added";"Fecha Agregada"
10/20/15;20.10.15
Enabled;habilitado
"Samsung Galaxy j1";"Galaxy Samsung J1"
5;5
Disabled;Desactivado
"Raffle Manager";"Director de la rifa"
"Register Raffle";"Registro de la Rifa"
"Raffle Name";"Nombre de la rifa"
"Pool of Possible Winners";"Grupo de posibles ganadores"
"Number of Winners to Generate";"generar número de ganadores "
"List of Prices";"Lista de precios"
"Raffle Lists";"Listas de la rifa"
Raffle_Name;Nombre de la rifa
Winners;Ganadores
"Time Created";"Hora de creación"
Prices;Precios
2121sadasd;2121 sadasd
test22;test22
"41898.4715277778";"41898.4715277778"
"Full Name";"Nombre completo"
inonbaguio;inonbaguio
"Inon Baguio";"Inon Baguio"
Content;Contenido
CSR;CSR
Marketing;Mercadeo
Super-User;Súper-usuario
Guest;Invitado
"Registered Users";"Usuarios Registrados"
"Number of Registered Sellers:";"Número de vendedores registrados:"
141;141
Affiliates;Afiliados
"2014-07-02 14:34:28";"2014-07-02 14:34:28"
"sam gavinio";"gavinio sam"
"Banana Republic";"República bananera"
38;38
"Report Manager";"Administrador de informes"
"Number of uploaded products per account";"Número de productos descargado por una cuenta"
"Monthly Sign Up Statistics";"Estadística mensual de registro"
"Users w/ &amp w/out Products";"Los usuarios w / y w  / salida de los productos"
"Number of uploaded items per month";"Número de artículos descargados al mes"
"Number of items per parent category";"Número de artículos por categoría "
"Show Entries";"Mostrar entradas"
20;20
40;40
80;80
160;160
Monthsss;Meses
"Sign-up Count";"Conteo de registros"
2015;2015
January;Enero
29;29
February;Febrero
March;Marzo
April;Abril
May;Mayo
2016;2016
Month;Mes
"Showing 1 out 39 Entries";"Mostrando 1 fuera 39 Entradas"
"Dispute Details";"Detalles de disputa"
KD3-38U123PI;KD3-38U123PI
12371237837;12371237837
"Complainant Full Name";"Demandante Nombre Completo del querellante"
322-3245-59898;322-3245-59898
"Defendant Full Name";"Nombre Completo del acusado"
"Janvan Ding";"Janvan Ding"
"Transaction Details";"Detalles de la transacción"
4916700000000;4916700000000
"Armando Upton";"Armando Upton"
"Waiting for Payment";"En espera del pago"
"Date of transaction";"Fecha de la transacción"
"2015-09-02 13:12:59";"2015-09-02 13:12:59"
"see attachments";"Ver adjuntos"
x;x
Reason;Razón
Open;Abierto
On-Going;Continuación (en curso)
Rejected;Rechazado
Closed;Cerrado
"Boy Tigol";"Chico Tikol"
"George Georgina";"George Georgina"
42317;42317
"Search Keyword";"Buscar palabra clave"
"Query String";"cadena de consulta"
"Number of Hits";"Número de accesos"
"apple UNION ALL SELECT NULL--";"UNION ALL SELECT NULL--Apple"
"Transaction List";"Lista de transacciones"
!;!
Cancellation;Cancelación
"Dispute Something";"Disputa sobre algo"
Flag;Bandera
DENIED;NEGADO
"Create Vourcher";"crear vale"
"Code Name";"Nombre de código"
"Voucher Type";"Tipo de vales"
Duration;Duración
"Usage Limit";"Límite de uso"
"Discount Type";"Tipo de descuento"
Ramboo;Rambo
"Something for Nothing";"Algo por nada"
"10 Days";"10 días"
"1 per Account";"1 por cada cuenta"
Utang;utang
1000;1000
"Voucher Code Name";"Nombre código del vale"
"Voucher Code";"Código del vale"
"Generate Voucher Code";"Generar código de descuento"
One-Time;Una vez
Multi-Use;Multiuso
100;100
"Fixed Amount";"Cantidad fija"
Percentage;Porcentaje
1;1
"Voucher is currently Inactive";"El vale está actualmente inactivo"
"Yes, Activate this Voucher";"Sí, activar el vale"
"Voucher is Now Active";"El vale está ahora Active"
872379000000;872379000000
Unknown;Desconocido
42287;42287
"FullName / Email";"Nombre Completo / Correo electrónico"
"Remarks from Dispute";"Observaciones de la disputa"
"Deposit Slip";"Recibo de entrega"
Remarks:;observaciones:
"Enter your remarks";"Introduzca sus observaciones"
"Deposit Slip:";"Recibo de entrega:"
"Compatible files: JPG, JPEG, and PNG";"Archivos compatibles: JPG, JPEG y PNG"
"Are you sure you want to refund this transaction?";"¿Está seguro de que quiere reembolsar esta transacción?"
No;No
Yes;Sí
"Refund History Information";"Información del historia de reembolso"
Print;Imprimir
"Dispute ID:";"Identificación de disputa:"
"Buyer Name:";"Nombre del comprador:"
"Buyer Email:";"Correo electrónico del comprador:"
"Buyer Contact Number:";"Teléfono de contacto del comprador:"
"Date Request:";"Fecha de solicitud:"
"Date Processed:";"Fecha Procesamiento:"
"Processed By:";"Procesado por:"
"Click here";"Haga clic aquí"
"Supplier Payout";"Pago de Proveedores"
"Date From";"Desde la fecha "
"Date To";"Hasta la fecha"
"Search for keyword: Manufacturer/Contact number";"Buscar palabra clave: Fabricante / Número de contacto"
"Payout List";"Lista de pagos"
