"Access Denied";"Zugriff verweigert"
Weight;Gewicht
Quantity;Menge
"Regular Price";"Regulärer Preis"
"Shipping fee";"Versandkosten"
"Retail Price";"Empfohlener Verkaufspreis"
Commission;Kommission
Date;Datum
"Promo Name";"Promo-Namen"
"Promo Discount";"Promo-Rabatt"
16/12/2012;16/12/2012
"Perfect Purple Pair";"Perfekte paar lila"
"Last Edit By";"Zuletzt bearbeitet von"
"Time Stamp";"Time-Stamp"
"Chris Paul George";"Chris Paul George"
"Upload 5 Photos";"5 Fotos hochladen"
"0.0833333333333333";"0.0833333333333333"
"Date Range:";"Datumsbereich:"
"Start Date";"Startdatum"
"End Date";"End-Datum"
"Quantity Sold";"Verkaufte Menge"
50;50
"Export to Excel";"Nach Excel exportieren"
"In-House Listings";"Inhouse-Angebote"
Item;Artikel
Category;Kategorie
Brand;Marke
Brief;Kurze
Details;Informationen
Photos;Fotos
Combinations;Kombinationen
"Reason of Approval";"Grund der Zulassung"
Back;Zurück
"Reason of Rejection";"Grund der Ablehnung"
[[Username]];[[Usernamen]]
Refund;Erstattung
"Order ID";"Bestell-ID"
"Invoice No";"Rechnung Nr."
"Seller ID";"Verkäufer-ID"
User;Benutzer
"Product ID";"Produkt-ID"
"Order Quantity";"Bestellmenge"
"Unit Price";"VK-Preis"
"Total Amount";"Gesamtbetrag"
EasyPoint;EasyPoint
NET;NET
144;144
144-2-1503240909;144-2-1503240909
2;2
"man of effin steel";"Mann aus Effin Stahl"
333;333
"sammmy sam";"Sammmy sam"
1;1
On-going;Laufender
182;182
182-12003-1504280105;182-12003-1504280105
79;79
warcraft;Warcraft
14;14
"Paid - Returned";"Bezahlt - zurückgegeben"
"Proceed To Refund";"Weiter zur Rückerstattung"
"History Information";"Geschichte Informationen"
"Shipping Price";"Versandpreis"
"Easyshop Charge";"Easyshop-kostenlos"
"Payment Method Charge";"Zahlung Methode kostenlos"
Easypoints;EasyPoints
Net;NET
201-1-1506040106;201-1-1506040106
sammyboi22_22;sammyboi22_22
apple;Apfel
"History ID";"Geschichte-ID"
State;Zustand
404;404
"02/06/2015  17:57";"02/06/2015  17:57"
"Item has not been shipped";"Element wurde nicht versendet wurden"
"Reason of Cancellation";"Grund der Kündigung"
Requestor;Anforderer
"--Select Requestor--";"--Wählen Sie den Requestor--"
Buyer;Käufer
"Type of Reason";"Typ der Vernunft"
"--Select Reason--";"--Wählen Sie den Grund--"
"Edit/Add Category";"Fügen Sie Kategorie hinzu/bearbeiten"
Name;Namen
Description;Beschreibung
Keyword;Schlüsselwort
"Sort Order";"Sortierreihenfolge"
"Order Product Id";"Bestellung-Produkt-Id"
"Shipping Fee";"Versandkosten"
"Total Price";"Gesamtpreis"
"Net Price";"Netto-Preis"
"Current Tag";"Aktuelle Tag"
209;209
"Order Details";"Bestelldetails"
Sample;Probe
KD3-38u123pi;KD3-38u123pi
"YiLinker Charge";"YiLinker kostenlos"
"Order Product ID";"Bestellung-Produkt-ID"
"Unflag Transaction";"Kennzeichnung der Transaktion aufheben"
"Void Transaction";"Privatevoid Transaktion"
"Apple Watch";"Apple-Watch"
"Short Description";"Kurze Beschreibung"
"Full Description";"Vollständige Beschreibung"
"Jewellery &amp Watches";"Uhren Schmuck & amp"
Custom;Benutzerdefinierte
"Dimensions &amp Weight";"Abmessungen & Amp Gewicht"
"Length (CM)";"Länge (CM)"
"Width (CM)";"Breite (CM)"
"Weight (KG)";"Gewicht (KG)"
"Height (CM)";"Höhe (CM)"
"Combination Name";"Kombination-Namen"
10001;10001
10;10
Color;Farbe
Blue;Blau
Size;Größe
Large;Groß
Address;Adresse
"asdsadsad, 123 jkhjk, asdsadsad, BF International Village, Las Pinas, Metro Manila, 1213";"Asdsadsad, 123 Jkhjk, Asdsadsad, BF International Village, Las Pinas, Metro Manila, 1213"
"Generate Code";"Code generieren"
477-344-1;477-344-1
"This account doesnt have any bank information";"Dieses Konto muss keine Bank-Informationen"
Add;Hinzufügen
"My BPI Bank Account";"Mein Bankkonto BPI"
283714000000000;283714000000000
"George Macalulo Winston Lee";"George Macalulo Winston Lee"
BPI;BPI
Edit;Bearbeiten
"Bank Account Title";"Bankkonto-Titel"
UCPB;UCPB
"Allied Bank";"Allied Bank"
"Returned Item Pickup";"Zurückgegebene Element Pickup"
Schedule;Zeitplan
02/29/16;29.02.16
"Day Hour";"Tag Stunde"
"eq. 1 Am";"eq. 01:00"
Why?;Warum?
"Bank Name:";"Namen der Bank:"
Payout;Auszahlung
"Buyer ID";"Mitgliedsname des Käufers"
"Proceed To Payment";"Fahren Sie mit Zahlung"
"Paid - Forwarded";"Bezahlt - weitergeleitet"
"Shipment Information";"Versandinformationen"
Courier;Kurier
"Boy George Delivery";"Boy George Lieferung"
"Date of Shipment";"Versanddatum"
"01/04/2015 0:00";"01/04/2015 0:00"
"Expected Date of Arrival";"Voraussichtliche Datum der Ankunft"
"04/04/2015 0:00";"04/04/2015 0:00"
"Tracking Number";"Tracking-Nummer"
PK-235-137-556;PK-235-137-556
"Missing Courier";"Fehlende Courier"
"Last updated on 2015-04-06 17:37:55";"Zuletzt aktualisiert am 2015-04-06 17:37:55"
Cancelled;Abgesagt
"&#8230";"& #8230"
Color:;Farbe:
Red;Rot
Size:;Größe:
Samplenation:;Samplenation:
"Super Duper Ninja Warrior";"Super Duper Ninja Warrior"
resolved;gelöst
"George Chris Paul";"George Chris Paul"
"requested items for cancellations";"angeforderten Elemente für Stornierungen"
"Order ID 209: Shoulder Bag";"Bestell-Nr. 209: Umhängetasche"
"Posted on 12:30 pm, July 21, 2014";"Geschrieben pm 12:30, 21. Juli 2014"
"Koya Carl";"Koya Carl"
"Approve Cancellation";"Kündigung zu genehmigen"
Reject;Zurückweisen
"Select Reason";"Wählen Sie Grund"
"Resolution Center";"Auflösung-Center"
"Disputed Tag Detected!";"Umstrittene Tag erkannt!"
attachments;Anlagen
"Proceed to Resolution Center";"Weiter zur Resolution Center"
"Flagged Tag Detected!";"Gekennzeichnete Tag erkannt!"
Approve;Genehmigen
"Search By Batch ID/Process By";"Suche nach ID/Stapelverarbeitung von"
"Grand Batch Amount";"Großen Batch Betrag"
"Batch ID";"Batch-ID"
Count;Count
"Process By";"Prozess durch"
Amount;Betrag
Memo;Memo
Action;Aktion
"Are you sure you want to remove payout?";"Sind Sie sicher, dass Sie Auszahlung entfernen möchten?"
Remove;Entfernen
"Batch Payout";"Batch-Auszahlung"
"Batch Number";"Chargennummer"
"Batch Date";"Batch-Datum"
"Write your Remarks";"Schreiben Sie Ihre Bemerkungen"
"Attach Files";"Anhängen von Dateien"
"Upload Receipt";"Laden Eingang"
"Transaction Update List";"Update Transaktionsliste"
"Search by reference number";"Nach der Artikelnummer suchen"
"Request By";"Fordern Sie von"
Method;Methode
Bank;Bank
"Bank Info / Pay To";"Bank Info/bezahlen"
Charge;Kostenlos
"Net Amount";"Nettobetrag"
"Total Batch Amount";"Gesamtchargenmenge"
"Are you sure you want to remove file?";"Sind Sie sicher, dass Sie die Datei entfernen möchten?"
"Are you sure you want to remove payout request?";"Sind Sie sicher, dass Sie Auszahlung Anforderung entfernen möchten?"
"Search (requester fullname, requester email, bank name, bank account number, bank account name, reference no.)";"Suche (Anforderer Fullname, Anforderer e-Mail, bank Name, Kontonummer, Bank Account-Namen Verweis nicht.)"
"Order by Date";"Reihenfolge nach Datum"
Ascending;Aufsteigend
Descending;Absteigend
"Payment Status:";"Status der Zahlung:"
"Payment Method";"Zahlungsmethode"
"Reference Id";"Referenz-Id"
"Proceed Batch Pay-Out";"Gehen Sie Batch Auszahlung"
"For Review";"Für die Überprüfung"
InActive;Inaktive
Store:;Speicher:
Condition;Zustand
URL;URL
Videos;Videos
"Reject Remarks";"Ablehnen von Bemerkungen"
"Item Details";"Artikeldetails"
"Shipping Category";"Versand-Kategorie"
"Store Details";"Speichern von Informationen"
"Seller Name";"Verkäufer-Name"
"No youtube video";"Kein Youtube-video"
"Posted on";"Geschrieben am"
"Send Reject Remark";"Abweisen Bemerkung senden"
"Promo Management";"Promo-Management"
"Promo Type";"Promo-Typ"
"Promo Details";"Promo Informationen"
"Promo is currently Active";"Promo ist derzeit aktiv"
Advertisement;Werbung
"Discount %";"%Rabatt"
Discount;Rabatt
Start;Anfangen
End;Ende
"% per hour";"%pro Stunde"
"Percent per hour";"Prozent pro Stunde"
"Minimum %";"Minimum%"
"Quantity Required";"Benötigte Menge"
"Max Quantity";"Max-Menge"
"Countdown Timer is currently Disabled";"Countdown-Timer ist derzeit deaktiviert."
"Yes, Enable the Countdown timer";"Ja, aktivieren Sie den Countdown-timer"
"Countdown Timer is Active";"Countdowntimer ist aktiv"
"0.208333333333333";"0.208333333333333"
days;Tagen
hrs;HRS
min;min
sec;sec
"left until the promo ends";"nach links, bis die Promo endet"
"Disabled Countdown Timer";"Behinderten-Countdown-Timer"
"Product list";"Produktliste"
"Item Name";"Elementname"
Price;Preis
"Activate this Promo";"Diese Promo zu aktivieren"
"Add Item (separated by line break)";"Fügen Sie Element (durch Zeilenumbruch getrennt hinzu)"
"Congratulations! This promo has been successfully enabled";"Herzlichen Glückwunsch! Diese Promo wurde erfolgreich aktiviert."
Deactivate;Deaktivieren
Notifications;Benachrichtigungen
"Search By Title / Message Content";"Suche nach Titel/Message-Inhalt"
"IOS (Mobile)";"IOS (mobil)"
"Andriod (Mobile)";"Andriod (mobil)"
---;---
"Custom Pages";"Benutzerdefinierte Seiten"
"Product Search";"Produktsuche"
Store;Shop
"Store Search";"Shop-Suche"
"Send Notification";"Benachrichtigung senden"
Devices;Geräte
Target;Ziel
Sender;Absender
"Is Active";"Ist aktiv"
"Recipient Device";"Empfangsgerät"
"Message (Max : 100)";"Nachricht (max.:100)"
Schedule:;Zeitplan:
"Set Schedule";"Zeitplan festlegen"
"Is Active?";"Ist aktiv?"
"Boy George Dako Wewe";"Boy George Dako Wewe"
"George Haircut Station";"George-Haircut-Station"
"479 9th Street West, Menomonee Falls, WI 53051";"479 9th Street West, Menomonee Falls, WI 53051"
Position;Stellung
"Manager / Yaya";"Manager/Yaya"
"Telephone Number";"Telefonnummer"
532-2393;532-2393
"(63) 937-234-1286";"(63) 937-234-1286"
"International Bank of the World ever!";"International Bank der Welt überhaupt!"
1872-2783-5869;1872-2783-5869
"File Name";"Dateiname"
414894;414894
"Accreditation Level 0";"Akkreditierung-Ebene 0"
"Accreditation Level 1";"Akkreditierung-Stufe 1"
"Accreditation Level 2";"Akkreditierung-Stufe 2"
"Accreditation Level 3";"Akkreditierung-Stufe 3"
"Accreditation Level 4";"Akkreditierung-Stufe 4"
"Accreditation Level 5";"Akkreditierung-Level 5"
"Columns Container";"Spalten-Container"
"Order Status";"Bestellstatus"
14/12/2011;14/12/2011
"Transaction ID";"Transaktions-ID"
"Date of Transaction";"Datum der Transaktion"
"Type of Payment Method";"Typ der Zahlungsart"
201;201
PPY-1506040106-1;PPY-1506040106-1
PAID;BEZAHLT
"04/06/2015 13:05";"04/06/2015 13:05"
PESOPAY;PESOPAY
11;11
12;12
"Storename / Username";"Shop namen/ Usernamen"
From;Von
To;An
Storename;Shop namen
Email;E-Mail
"Asia United Bank";"Asien Vereinigte Bank"
aaaaa;aaaaa
bbbbb;bbbbb
9876545345;9876545345
9878263787;9878263787
"Category Listings";"Kategorieübersicht"
"Main Category";"Hauptkategorie"
"Sub Category";"Sub-Kategorie"
Filters;Filter
Slug;Schnecke
"10-24-1991 06:30:05";"24/10/1991 06:30:05"
0;0
PROMOTIONAL_ITEMS;PROMOTIONAL_ITEMS
"Special Promotional Items";"Spezielle Werbeartikel"
"Special Promotional222";"Spezielle Promotional222"
promo-special;Promo-Spezial
"Contact Buyer";"Kontakt-Käufer"
"Invoice Number";"Rechnungsnummer"
"Buyer Fullname";"Käufer Vollständiger namen"
"Buyer Store Name";"Käufer-Shop-Namen"
"Buyer Email";"Käufer-Email"
"Transaction Date";"Buchungsdatum"
198;198
PPY-1506020514-1;HAPPY-1506020514-1
198-1-1506020514;198-1-1506020514
"Omaha maria23";"Omaha maria23"
"02/06/2015 18:02";"02/06/2015 18:02"
"Contact Seller";"Verkäufer kontaktieren"
"Seller Fullname";"Verkäufer Vollständiger namen"
"Seller Store Name";"Shop des Verkäufers Namen"
"Number of Products";"Anzahl der Produkte"
"Seller Email";"Verkäufer-E-Mail"
Dashboard;Dashboard
Products;Produkte
Buyers;Käufer
Sellers;Verkäufer
Transactions;Transaktionen
"Sorry, Your database is currently empty";"Es tut uns leid, ist Ihre Datenbank zur Zeit leer"
"Case ID";"Fall-ID"
"Dispute Type";"Streit-Typ"
Complainant;Beschwerdeführer
"Date Filed";"Datum abgelegt"
email;E-Mail
"Seller Payout";"Verkäufer-Auszahlung"
"Legal Documents";"Juristische Dokumente"
"This Account currently Locked";"Dieses Konto derzeit gesperrt"
"Do you want to Activate it now?";"Möchten Sie es jetzt aktivieren?"
"Yes, Activate this Account";"Ja, dieses Konto aktivieren"
"Select your DTI/SEC Permit file from your computer";"Wählen Sie zulassen DTI/SEC-Datei von Ihrem computer"
"Select your Mayor's Permit file from your computer";"Wählen Sie Ihren Bürgermeister Genehmigung Datei von Ihrem computer"
"Select your BIR Permit file from your computer";"Wählen Sie zulassen BIR-Datei von Ihrem computer"
"Form MA1501 Permit";"Form MA1501 Genehmigung"
"Select your Form MA1501 file from your computer";"Wählen Sie die Form MA1501-Datei von Ihrem computer"
"Where to get a copy of Form MA1501?";"Wo kann man eine Kopie der Form MA1501 erhalten?"
"Download Form MA1501";"Download Formular MA1501"
"Other Documents";"Andere Dokumente"
"Select a document file from your computer";"Wählen Sie eine Dokumentdatei von Ihrem computer"
"Mobile Management";"Mobile-Management"
"Push Notification";"Push-Benachrichtigung"
"Notification Message";"Benachrichtigung"
;
"Number of Product Listings:";"Anzahl der Produkt-Angebote:"
10145;10145
"15/08/2014 12:23";"15/08/2014 12:23"
sfasfas;sfasfas
"Building Toys";"Gebäude-Spielzeug"
122121;122121
212;212
"New other (see details)";"Neu andere (siehe Details)"
"Promo Banners";"Promo-Banner"
"Create Promo Banner";"Promo-Banner erstellen"
"Select Product";"Wählen Sie Produkt"
"Enter Product Slug";"Geben Sie die Produkt-Slug"
"Add Product";"Produkt hinzufügen"
"Change Product";"Änderung-Produkt"
"This Promo Banner currently Disabled";"Diese Promo-Banner derzeit deaktiviert"
"Do you want to enable it now?";"Möchten Sie es jetzt aktivieren?"
"Yes, Enable this Promo Banner";"Ja, diese Promo-Banner aktivieren"
"This Promo Banner is Enabled";"Diese Promo-Banner ist aktiviert"
"Disable Now";"Jetzt deaktivieren"
"Upload Banners";"Hochladen von Bannern"
"Upload Banners here";"Laden Sie hier Banner"
"Search By Product Name";"Suche nach Produktname"
Category:;Kategorie:
Electronics;Elektronik
Gadget;Gadget
Clothes;Kleidung
Enable;Aktivieren
Disable;Deaktivieren
"Banner Count";"Banner-Count"
"Date Added";"Datum hinzugefügt"
10/20/15;10/20/15
Enabled;Aktiviert
"Samsung Galaxy j1";"Samsung Galaxy-j1"
5;5
Disabled;Behinderte
"Raffle Manager";"Gewinnspiel-Manager"
"Register Raffle";"Gewinnspiel registrieren"
"Raffle Name";"Gewinnspiel Namen"
"Pool of Possible Winners";"Pool von möglichen Gewinner"
"Number of Winners to Generate";"Zahl der Gewinner generieren"
"List of Prices";"Preisliste"
"Raffle Lists";"Gewinnspiel-Listen"
Raffle_Name;Raffle_Name
Winners;Gewinner
"Time Created";"Zeit erstellt"
Prices;Preise
2121sadasd;2121sadasd
test22;test22
"16/09/2014 11:19";"16/09/2014 11:19"
"Full Name";"Vollständiger Namen"
inonbaguio;inonbaguio
"Inon Baguio";"Inon Baguio"
Content;Inhalt
CSR;CSR
Marketing;Vermarktung
Super-User;Superuser
Guest;Gast
"Registered Users";"Registrierte Benutzer"
"Number of Registered Sellers:";"Anzahl der registrierten Anbietern:"
141;141
Affiliates;Verbundenen Unternehmen
"02/07/2014 14:34";"02/07/2014 14:34"
"sam gavinio";"Sam gavinio"
"Banana Republic";"Bananenrepublik"
38;38
"Report Manager";"Berichts-Manager"
"Number of uploaded products per account";"Anzahl der hochgeladenen Produkte pro Konto"
"Monthly Sign Up Statistics";"Monatliche Anmeldung Statistik"
"Users w/ &amp w/out Products";"Benutzer w/& Amp w/out Produkte"
"Number of uploaded items per month";"Stückzahl pro Monat hochgeladen"
"Number of items per parent category";"Stückzahl pro übergeordnete Kategorie"
"Show Entries";"Einträge anzeigen"
20;20
40;40
80;80
160;160
Months;Monaten
"Sign-up Count";"Anmeldung Graf"
2015;2015
January;Januar
29;29
February;Februar
March;März
April;April
May;Mai
2016;2016
Month;Monat
"Showing 1 out 39 Entries";"Anzeigen 1 39 Einträge"
"Dispute Details";"Streit-Details"
KD3-38U123PI;KD3-38U123PI
12371237837;12371237837
"Complainant Full Name";"Beschwerdeführer vollständiger Name"
322-3245-59898;322-3245-59898
"Defendant Full Name";"Vollständiger Namen der Beklagten"
"Janvan Ding";"JanVan Ding"
"Transaction Details";"Angaben zur Transaktion"
4916700000000;4916700000000
"Armando Upton";"Armando Upton"
"Waiting for Payment";"Warte auf Zahlung"
"Date of transaction";"Datum der Transaktion"
"02/09/2015 13:12";"02/09/2015 13:12"
"see attachments";"Sehen zubehör"
x;x
Reason;Grund
Open;Offen
On-Going;Laufender
Rejected;Abgelehnt
Closed;Geschlossen
"Boy Tigol";"Junge Tigol"
"George Georgina";"George Georgina"
15/11/2009;15/11/2009
"Search Keyword";"Suche Schlüsselwort"
"Query String";"Suchanfrage Zeichenfolge"
"Number of Hits";"Anzahl der Hits"
"apple UNION ALL SELECT NULL--";"UNION ALL SELECT NULL--Apfel"
"Transaction List";"Transaktionsliste"
!;!
Cancellation;Stornierung
"Dispute Something";"Bestreiten Sie etwas"
Flag;Flag
DENIED;VERWEIGERT
"Create Vourcher";"Erstellen von Vourcher"
"Code Name";"Code-Namen"
"Voucher Type";"Gutschein-Typ"
Duration;Dauer
"Usage Limit";"Nutzungsbeschränkung"
"Discount Type";"Rabatt-Typ"
Ramboo;Ramboo
"Something for Nothing";"Etwas für nichts"
"10 Days";"10 Tage"
"1 per Account";"1 pro Konto"
Utang;Utang
1000;1000
"Voucher Code Name";"Gutschein-Code-Name"
"Voucher Code";"Gutschein-Code"
"Generate Voucher Code";"Gutscheincode generieren"
One-Time;Einmalige
Multi-Use;Mehrzweck
100;100
"Fixed Amount";"Festbetrag"
