"click here";"ဤေနရာကို ႏွိပ္ပါ"
Website/Facebook/Twitter/Instagram;ဝက္ဘ္ဆိုဒ္/Facebook/Twitter/Instagram
a);a)
b);b)
c);c)
Summary;အက်ဥ္းခ်ဳံး
"Bank Information";"ဘဏ္အခ်က္အလက္"
"Edit Bank Account";"ဘဏ္အေကာင့္အား တည္းျဖတ္ပါ"
"Bank Account";"ဘဏ္အေကာင့္"
"Bank Details are Permanent";"ဘဏ္အခ်က္အလက္သည္ အတည္ျဖစ္ပါသည္"
"Enter your bank account title here";"သင့္ဘဏ္အေကာင့္ အမ်ဳိးအစားကို ဤေနရာတြင္ ျဖည့္ပါ"
"Enter bank here";"ဘဏ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Account Number";"အေကာင့္နံပါတ္"
"Enter your bank account number here";"သင့္ဘဏ္အေကာင့္ နံပါတ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Account Name";"အေကာင့္အမည္"
"Enter your bank account name here";"သင့္ဘဏ္အေကာင့္ အမည္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Are you sure you want to delete this bank account";"ဤဘဏ္အေကာင့္အား ဖ်က္ပစ္လိုသည္မွာ ေသခ်ာပါသလား။"
Ok;အိုေက
"Business Information";"လုပ္ငန္း အခ်က္အလက္"
"Store Name";"စတိုးအမည္"
"Enter your display name";"ေဖာ္ျပရန္ အမည္ကို ျဖည့္ပါ"
"Store Link";"စတိုးလင့္ခ္"
"Store Name and Store Link are Permanent";"စတိုးအမည္ႏွင့္ စတိုးလင့္ခ္သည္ ပုံေသျဖစ္သည္"
"First Name";"နာမည္ ပထမစာလုံး"
"Last Name";"နာမည္ ေနာက္ဆုံးစာလုံး"
"Mobile Number";"မိုဘိုင္း နံပါတ္"
"Company / School";"ကုမၸဏီ/ ေက်ာင္း"
"Current Job / Course & Year Level";"လက္ရွိ အလုပ္/ သင္ခန္းစာႏွင့္ ႏွစ္ အဆင့္"
TIN;TIN
Address;လိပ္စာ
"Edit Address";"လိပ္စာကို တည္းျဖတ္ပါ"
"Delete Address";"လိပ္စာကို ဖ်က္ပါ"
"Business Website";"လုပ္ငန္း ဝက္ဘ္ဆိုဒ္"
"Ex. https://yourWebSite.com";"Ex. https://yourWebSite.com"
"Social Media Account";"လူမႈကြန္ယက္ မီဒီယာ အေကာင့္"
"Select your Product Categories";"သင္၏ကုန္ပစၥည္း အမ်ဳိးအစားကို ေရြးခ်ယ္ပါ"
"Address Title";"လိပ္စာ အမ်ဳိးအစား"
"Home Address";"အိမ္လိပ္စာ"
"Unit Number";"အခန္းနံပါတ္"
"Building Name";"အေဆာင္နံပါတ္"
"Street Number";"လမ္းနံပါတ္"
"Street Name";"လမ္းအမည္"
Subdivision;ျပည္နယ္ခြဲ
Province;ခရိုင္
"Select your province";"သင့္ခရိုင္ကို ေရြးခ်ယ္ပါ"
City/Municipal;ျမဳိ႕ေတာ္/ကိုယ္ပိုင္အုပ္ခ်ဳပ္ေဒသ
Barangay;Barangay
"Zip Code";"စာပို႕ကုဒ္"
Continue;ဆက္လုပ္ပါ
"Legal Information";"တရားဥပေဒဆိုင္ရာ အခ်က္အလက္"
"Legal Requirements";"တရားဥပေဒဆိုင္ရာ လိုအပ္ခ်က္"
"DTI/SEC Permit";"DTI/SEC ပါမစ္"
"Download DTI/SEC Permit";"DTI/SEC ပါမစ္ကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"Compatible files: JPEG, PNG and PDF";"အသုံးျပဳႏိုင္ေသာ ဖိုင္မ်ား : JPEG, PNG ႏွင့္ PDF"
"Mayor's Permit";"ျမိဳ႕ေတာ္ဝန္ ပါမစ္"
"Download Mayor's Permit";"ျမိဳ႕ေတာ္ဝန္ ပါမစ္ကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"BIR Permit";"BIR ပါမစ္"
"Download BIR Permit";"BIR ပါမစ္ကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"Select your DTI/SEC Permit file from your computer";"သင့္ကြန္ပ်ဴတာမွ DTI/SEC ပါမစ္ကို ေရြးခ်ယ္ပါ"
"Select your Mayor's Permit file from your computer";"သင့္ကြန္ပ်ဴတာမွ ျမိဳ႕ေတာ္ဝန္ ပါမစ္ကို ေရြးခ်ယ္ပါ"
"Select your BIR Permit file from your computer";"သင့္ကြန္ပ်ဴတာမွ BIR ပါမစ္ကို ေရြးခ်ယ္ပါ"
"Other Documents";"အျခား စာရြက္စာတမ္းမ်ား"
"Select a document file from your computer";"သင့္ကြန္ပ်ဴတာမွ စာရြက္စာတမ္းဖိုင္ကို ေရြးခ်ယ္ပါ"
"By Checking this box";"ဤေသတၱာအား စစ္ေဆးျခင္းျဖင့္"
"YiLinker's terms and conditions";"YiLinker ၏ စည္းမ်ဥ္းစည္းကမ္းမ်ား"
"TIN File";"TIN ဖိုင္"
"Download TIN File";"TIN ဖိုင္ကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"SSS File";"SSS ဖိုင္"
"Select Valid ID";"ခိုင္မာေသာ ID ကို ေရြးခ်ယ္ပါ"
"Download SSS File";"SSS ဖိုင္ကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"PAG-IBIG File";"PAG-IBIG ဖိုင္"
"Download PAG-IBIG File";"PAG-IBIG ဖိုင္ကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"Postal File";"စာပို႕ဖိုင္"
"Download Postal File";"စာပို႕ဖိုင္ကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"Passport File";"ပတ္စ္ပို႕တ္ဖိုင္"
"Download Passport File";"ပတ္စ္ပို႕တ္ဖိုင္ကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"Driver's License File";"ယာဥ္ေမာင္း လိုင္စင္ဖိုင္"
"Download Driver's License File";"ယာဥ္ေမာင္း လိုင္စင္ဖိုင္ကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"PRC File";"PRC ဖိုင္"
"Download PRC File";"PRC ဖိုင္ကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"Voter's ID File";"မဲေပးသူ အိုင္ဒီဖိုင္"
"Download Voter's ID File";"မဲေပးသူ အိုင္ဒီဖိုင္ကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"School ID File";"ေက်ာင္း အိုင္ဒီဖိုင္"
"Download School ID File";"ေက်ာင္း အိုင္ဒီဖိုင္ကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"Select your TIN file from your computer";"သင့္ကြန္ပ်ဴတာမွ TIN ဖိုင္ကို ေရြးခ်ယ္ပါ"
"Valid ID";"ခိုင္မာေသာ ID "
"Select the type of Valid ID you want to upload from your computer";"သင့္အပ္ေလာဒ့္လုပ္ခ်င္ေသာ ခိုင္မာေသာ အိုင္ဒီအမ်ိဳးအစားကို သင့္ကြန္ပ်ဴတာမွ ေရြးယူပါ"
"Seller Type:";"ေရာင္းခ်သူ အမ်ဳိးအစား :"
Seller;ေရာင္းခ်သူ
Affiliate;တြဲဖက္
"Owner Name:";"ပိုင္ရွင္ အမည္ :"
"Store Name:";"စတိုးအမည္ :"
"Primary Address:";"ပင္မ လိပ္စာ :"
"Contact Number:";"ဆက္သြယ္ရန္ နံပါတ္ :"
"Change Content";"အေၾကာင္းအရာ ေျပာင္းလဲပါ"
Edit;တည္းျဖတ္ပါ
Start;စတင္ပါ
"Bank Name:";"ဘဏ္အမည္ :"
"Account Title:";"အေကာင့္အမ်ဳိးအစား :"
"Account Name:";"အေကာင့္အမည္ :"
"Account Number:";"အေကာင့္နံပါတ္ :"
"Document Name";"စာရြက္စာတမ္း အမည္ "
"Date Uploaded";"အပ္ေလာဒ့္လုပ္ခဲ့ေသာ ေန႔ရက္"
Status;အေျခအေန
Message;မက္ေဆ့ဂ်္
"FORM MA11501 Permit";"MA11501 ပါမစ္ ေလွ်ာက္လႊာ"
Others;အျခား
SSS;SSS
"PAG IBIG";"PAG IBIG"
Postal;စာပို႕အမွတ္
Passport;ပတ္စ္ပို႕တ္
"Driver's License";"ယာဥ္ေမာင္း လိုင္စင္"
PRC;PRC
"Voter's ID";"မဲေပးသူ အိုင္ဒီ"
"School ID";"ေက်ာင္း အိုင္ဒီ"
"Legal Documents";"တရားဥပေဒဆိုင္ရာ စာရြက္စာတမ္းမ်ား"
Comments;ေဝဖန္ခ်က္မ်ား
Close;ပိတ္ပါ
"Already a member?";"အဖြဲ႔ဝင္ျဖစ္ျပီးသားလား။"
"Sign In";"ဝင္ပါ"
"The Question";"ေမးခြန္း"
"&#9679;";"&#9679;"
Benefits;အက်ဳိးရလဒ္မ်ား
System;စနစ္
Support;ပံ့ပိုးမႈ
"Want to start-up a business without any investment? Looking for passive income?";"မည္သည့္ အရင္းအႏွီးမွမလိုဘဲ လုပ္ငန္းတစ္ခုကို စလိုပါသလား။ တဆင့္ခံ ဝင္ေငြကို ရွာေဖြေနပါသလား။"
"Sign in";"ဝင္ပါ"
Register;မွတ္ပုံတင္ပါ
"Enter your email or contact number here";"သင့္အီးေမးလ္ သို႕မဟုတ္ ဆက္သြယ္ရန္ နံပါတ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
Password;စကားဝွက္
"Forgot Password?";"စကားဝွက္ေမ့သြားပါသလား။"
Administrator;စီမံအုပ္ခ်ဳပ္သူ
View;ၾကည့္ရႈပါ
Hide;ကြယ္ဝွက္ထားပါ
"New Bank Account";"ဘဏ္အေကာင့္အသစ္"
"Update Bank Account";"ဘဏ္အေကာင့္အား အပ္ဒိတ္လုပ္ပါ"
Logout;ထြက္ပါ
"View Store Info";"စတိုးအခ်က္အလက္ကို ၾကည့္ပါ"
Settings;ခ်ိန္ညိွခ်က္မ်ား
Help;အကူအညီ
Categories;အမ်ဳိးအစား
"Current Order:";"လက္ရွိ ေအာ္ဒါ :"
"New Category";"အမ်ဳိးအစား အသစ္"
"Add new category";"အမ်ဳိးအစားအသစ္ကို ေပါင္းထည့္ပါ"
"Delete Categories";"အမ်ဳိးအစားမ်ားကို ဖ်က္ပစ္ပါ"
"Customize Category";"စိတ္ၾကိဳက္ အမ်ဳိးအစား"
"Category Name";"အမ်ဳိးအစား အမည္"
"Parent Category";"ပင္မ အမ်ဳိးအစား"
"Select a parent category";"ပင္မ အမ်ဳိးအစားကို ေရြးပါ"
"Custom Category Products";"စိတ္ၾကိဳက္ အမ်ဳိးအစား ကုန္ပစၥည္း"
"Search item here";"ဤေနရာတြင္ ကုန္ပစၥည္းကို ရွာပါ"
"All Products";"ကုန္ပစၥည္းမ်ား အားလုံး"
"Total Earning";"စုစုေပါင္း ဝင္ေငြ"
"Active Earning";"လုပ္ေဆာင္မႈရွိေသာ ဝင္ေငြ"
"Tentative Earning";"မေသခ်ာေသာ ဝင္ေငြ"
"Total Withdrew";"စုစုေပါင္း ထုတ္ေငြ"
"Search :";"ရွာေဖြပါ :"
"Keyword :";"အေရးပါေသာ စကားလုံး :"
"Type :";"အမ်ဳိးအစား :"
"Status :";"အေျခအေန :"
"Date :";"ေန႔ရက္ :"
"Net Receivables";"စုစုေပါင္း လက္ခံႏိုင္မႈ"
"Tentative Receivable";"မေသခ်ာေသာ လက္ခံႏိုင္မႈ"
"Available Balance";"ရရွိႏိုင္ေသာ လက္က်န္ေငြ"
"Available Balance:";"ရရွိႏိုင္ေသာ လက္က်န္ေငြ :"
"Withdrawal Amount:";"ထုတ္ေငြ ပမာဏ :"
"Withdrawal Method:";"ထုတ္ယူမည့္ နည္းလမ္း :"
"Deposit to Bank";"ဘဏ္သို႔သြင္းထားေသာ ၾကိဳတင္ေငြ"
"Deposit To:";"ၾကိဳတင္ေငြ :"
"Mobile Number:";"မိုဘိုင္း နံပါတ္ :"
"Confirmation Code:";"အတည္ျပဳကုဒ္ :"
"Confirm Withdrawal";"ထုတ္ယူမႈကို အတည္ျပဳပါ"
"Withdrawal Request List";"ထုတ္ယူမႈ ေတာင္းဆိုသည့္ စာရင္း"
Date;ေန႔ရက္
Method;နည္းလမ္း
"Deposit To/Pay To";"ၾကိဳတင္ေငြ / ေပးေငြ"
Requested;ေတာင္းဆိုထားေသာ
"Bank Charge";"ဘဏ္ ကုန္က်စရိတ္"
Amount;ပမာဏ
"Your QR Code";"သင့္ QR ကုဒ္"
"Download your QR Code";"သင့္ QR ကုဒ္ကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"240 x 240";"240 x 240"
"480 x 480";"480 x 480"
"960 x 960";"960 x 960"
"1920 x 1920";"1920 x 1920"
"SVG Format";"SVG အမ်ဳိးအစား"
"How to Earn More";"ဝင္ေငြပိုရေအာင္ ဘယ္လိုလုပ္မလဲ"
Comment;ေဝဖန္ခ်က္
"Earn Per Comment";"ေဝဖန္ခ်က္တစ္ခုလွ်င္ ဝင္ေငြ"
"Bonus Earning";"ဆုေၾကးေငြ ဝင္ေငြ"
"1 - 5";"1 - 5"
"6 - 20";"6 - 20"
"21 - 50";"21 - 50"
"51 - 100";"51 - 100"
"100 - 500";"100 - 500"
"501 - above";"501 - အထက်"
-;-
"Total Comments";"စုစုေပါင္း ေဝဖန္ခ်က္"
32;32
"Earning on Comment";"ေဝဖန္ခ်က္အလိုက္ ဝင္ေငြ"
Followers;လိုက္ပါသူမ်ား
"Earn Per Follower";"လိုက္သူတစ္ဦးလွ်င္ ဝင္ေငြ"
"1 - 20";"1 - 20"
"101 - 500";"101 - 500"
"501 - 2,000";"501 - 2,000"
"Total Followers";"စုစုေပါင္း လိုက္ပါသူ"
106;106
"Earning on Followers";"လိုက္ပါသူအလိုက္ ဝင္ေငြ"
"Your Referral Code";"သင့္ အညႊန္းကုဒ္"
100-043-210;100-043-210
"Your Referral Link";"သင့္ အညႊန္းလင့္ခ္"
"Copy Link";"လင့္ခ္ကို ကူးပါ"
"Share on Social Media";"လူမႈ မီဒီယာတြင္ ေဝမွ်ပါ"
"Total Buyer Network";"ဝယ္သူ ကြန္ယက္ စုစုေပါင္း"
"Earning on Buyer Network";"ဝယ္သူ ကြန္ယက္အလိုက္ ဝင္ေငြ"
"Affiliate Level";"တြဲဖက္အဆင့္"
"Store Space";"စတိုး ေနရာ"
Silver;ေငြ
"Below P 5,000";"P 5,000 ေအာက္"
"150 Products";"ကုန္ပစၥည္း 150"
"Current Level";"လက္ရွိအဆင့္"
Gold;ေရႊ
"P 5,001 to P 20,000";"P 5,001 မွ P 20,000 ထိ"
"200 Products";"ကုန္ပစၥည္း 200"
Platinum;ပလက္တီနမ္
"P 20,001 to P 50,000";"P 20,001 မွ P 50,000 ထိ"
"300 Products";"ကုန္ပစၥည္း 300"
Diamond;စိန္
"Above P 50,000";"P 50,000 ေအာက္"
"500 Products";"ကုန္ပစၥည္း 500"
Name;အမည္
"Contact Number";"ဆက္သြယ္ရန္ နံပါတ္"
Action;လုပ္ေဆာင္မႈ
Dashboard;ဒတ္ခ်္ဘုတ္
"Store Information";"စတိုးအခ်က္အလက္"
Transaction;အေရာင္းအဝယ္
"Product Management";"ကုန္ပစၥည္း စီမံခန္႔ခြဲမႈ"
"Customized Category";"စိတ္ၾကိဳက္ အမ်ဳိးအစား"
"Upload Product";"ကုန္ပစၥည္းကို အပ္ေလာဒ့္လုပ္ပါ"
"Select Product";"ကုန္ပစၥည္းအား ေရြးခ်ယ္ပါ"
Reports;အစီရင္ခံခ်က္မ်ား
Messages;မက္ေဆ့ဂ်္မ်ား
"Resolution Center";"ေျဖရွင္းေရး စင္တာ"
"Point Earned";"ပိြဳင့္ဝင္ေငြ"
Breakdown;စိစစ္ျခင္း
"+ 10 Points";"+ 10 ပိြဳင့္"
"- 10 Points";"- 10 ပိြဳင့္"
Status:;အေျခအေန :
"Seller ID:";"ေရာင္းခ်သူ အိုင္ဒီ :"
;
"Total Sales";"စုစုေပါင္း ေရာင္းခ်မႈ"
"Total Net Sales";"စုစုေပါင္း အသားတင္ ေရာင္းခ်မႈ"
"Buyer Networks";"ဝယ္သူ ကြန္ယက္"
"Success Transaction";"အေရာင္းအဝယ္ ေအာင္ျမင္ပါသည္"
"Total Earnings";"စုစုေပါင္း ဝင္ေငြ"
"Search type :";"ရွာေဖြမႈ အမ်ဳိးအစား :"
"Select Here";"ဤေနရာတြင္ ေရြးခ်ယ္ပါ"
"Search keyword here";"ဤေနရာတြင္ အေ၇းပါေသာ စကားလုံးကို ရွာပါ"
"Sales (Tentative/Complete)";"အေရာင္း (မေသခ်ာ/ျပီးျပည့္စုံ)"
"Invalid (Cancelled/Disputed)";"မခိုင္မာမႈ (ပယ္ဖ်က္ထားျပီး/အျငင္းပြားမႈ)"
"Sales Report";"အေရာင္း အစီရင္ခံစာ"
"Recent Earning";"မၾကာေသးမီက ဝင္ေငြ"
Description;အေၾကာင္းအရာ
"Transaction Amount";"အေရာင္းအဝယ္ ပမာဏ"
Charges;ကုန္က်စရိတ္
Receivable;လက္ခံႏိုင္ေသာ
"Select Products";"ကုန္ပစၥည္းမ်ားအား ေရြးခ်ယ္ပါ"
Sub-Category;အမ်ဳိးအစားခြဲ
"Select a category to filter the results";"ရလဒ္မ်ားကို စစ္ထုတ္ရန္ အမ်ဳိးအစား ေရြးခ်ယ္ပါ"
"Product to Sell";"ေရာင္းခ်ရန္ ကုန္ပစၥည္း"
Details;အေသးစိတ္
Price:;ေစ်းႏႈန္း :
Comission:;ေကာ္မစ္ရွင္ :
"Add to Selected";"ေရြးခ်ယ္ထားသည္မ်ားထဲသို႔ ေပါင္းထည့္ပါ"
"View product";"ကုန္ပစၥည္းအား ျပပါ"
Cases;အေၾကာင္းအရာမ်ား
"Search By Case Id";"အေၾကာင္းအရာ အိုင္ဒီျဖင့္ ရွာပါ"
Search;ရွာေဖြပါ
Filter;စစ္ထုတ္ပါ
"Case ID";"အေၾကာင္းအရာ အိုင္ဒီ"
"Dispute Title";"အျငင္းပြားမႈ ေခါင္းစဥ္"
"Other Party";"အျခားေသာ အဖြဲ႕အစည္း"
"Date Opened";"ဖြင့္ခဲ့ေသာ ေန႔ရက္"
Open;ဖြင့္ပါ
Closed;ပိတ္ထားပါသည္
"No case found";"မည္သည့္ အေၾကာင္းအရာမွ ရွာမေတြ႕ပါ"
"Enter title here";"ေခါင္းစဥ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"Select dispute type here";"အျငင္းပြားမႈ အမ်ဳိးအစားကို ဤေနရာတြင္ ေရြးခ်ယ္ပါ"
"Select reason here";"အေၾကာင္းအရင္းကို ဤေနရာတြင္ ေရြးခ်ယ္ပါ"
"Select transaction here";"အေရာင္းအဝယ္ကို ဤေနရာတြင္ ေရြးခ်ယ္ပါ"
"Select item to dispute:";"အေခ်အတင္ ေဆြးေႏြးရန္ ကုန္ပစၥည္းကို ေရြးခ်ယ္ပါ :"
"Leave your remarks here";"သင့္မွတ္ခ်က္မ်ားကို ဤေနရာတြင္ ခ်န္ခဲ့ပါ"
OPEN;ဖြင့္သည္
CLOSED;ပိတ္ထားသည္
Reason:;အေၾကာင္းအရင္း :
Notifications;အသိေပးခ်က္မ်ား
"Account setting";"အေကာင့္ ခ်ိန္ညိွခ်က္"
"Enter your password here";"သင့္စကားဝွက္ကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
Deactivate;သက္ဝင္လုပ္ေဆာင္မႈကို ရပ္တန္႕ပါ
"This Year";"ယခုႏွစ္"
"This Week";"ယခုအပတ္"
"This Month";"ယခုလ"
"Payment Method";"ေငြေပးေခ်မႈ နည္းလမ္း"
Qty;အေရအတြက္
"Payment Type";"ေငြေပးေခ်မႈ အမ်ဳိးအစား"
"Order Status";"ေအာ္ဒါ အေျခအေန"
Total;စုစုေပါင္း
"Transaction Number";"အေရာင္းအဝယ္ နံပါတ္"
"Payment Type:";"ေငြေပးေခ်မႈ အမ်ဳိးအစား :"
"Date Created:";"ဖန္တီးခဲ့ေသာ ေန႔ရက္ :"
"Total Quantity:";"စုစုေပါင္း အေရအတြက္ :"
"Total Product Cost:";"စုစုေပါင္း ကုန္ပစၥည္း ကုန္က်စရိတ္ :"
"Total Shipping Fee:";"စုစုေပါင္း ပို႔ေဆာင္ခ :"
"Total Cost:";"စုစုေပါင္း ကုန္က်စရိတ္ :"
"Product List";"ကုန္ပစၥည္း စာရင္း"
SKU:;SKU:
Details:;အေသးစိတ္ :
Quantity:;အေရအတြက္ :
"Product Price:";"ကုန္ပစၥည္း ေစ်းႏႈန္း :"
Condition:;အေျခအေန :
"Total Price:";"စုစုေပါင္း ေစ်းႏႈန္း :"
Brand:;ကုန္အမွတ္တံဆိပ္ :
Consignee;လက္ခံသူ
Consignee:;လက္ခံသူ :
Address:;လိပ္စာ :
Type;အမ်ဳိးအစား
"Earning Report";"ဝင္ေငြ အစီရင္ခံစာ"
Resources;အရင္းအျမစ္
Percent;ရာခိုင္ႏႈန္း
"View Detail";"အေသးစိတ္ ၾကည့္ပါ"
Weekly;အပတ္စဥ္
Monthly;လစဥ္
Earnings;ဝင္ေငြ
"View All";"အားလုံး ၾကည့္ပါ"
"Total Tentative Earning";"မေသခ်ာေသာ ဝင္ေငြ စုစုေပါင္း"
"Total Complete Earning";"ျပီးျပည့္စုံေသာ ဝင္ေငြ စုစုေပါင္း"
"Total Affiliate Network";"တြဲဖက္ ကြန္ယက္ စုစုေပါင္း"
"Earning on Affiliate Network";"တြဲဖက္ ကြန္ယက္အလိုက္ ဝင္ေငြ"
"Total Charges";"စုစုေပါင္း ကုန္က်စရိတ္"
"Total Net Receivables";"စုစုေပါင္း အသားတင္ လက္ခံႏိုင္စြမ္း"
"Total Active Receivables";"စုစုေပါင္း လုပ္ေဆာင္မႈ လက္ခံႏိုင္စြမ္း"
"Requested Amount";"ေတာင္းဆိုထားေသာ ပမာဏ"
"Amount to be Received";"လက္ခံရမည့္ ပမာဏ"
All;အားလုံး
"Submit for Review";"သုံးသပ္မႈအတြက္ ထည့္သြင္းပါ"
"Activate Product";"သက္ဝင္လႈပ္ရွားမႈရွိေသာ ကုန္ပစၥည္း"
"Deactivate Product";"သက္ဝင္လႈပ္ရွားမႈမရွိေသာ ကုန္ပစၥည္း"
"Delete Product";"ကုန္ပစၥည္းကို ဖ်က္ပါ"
"Date Updated";"အပ္ဒိတ္လုပ္ခဲ့ေသာ ေန႕ရက္"
"Product Name";"ကုန္ပစၥည္းအမည္"
"Total Quantity";"စုစုေပါင္း အေရအတြက္"
"Product Price";"ကုန္ပစၥည္း ေစ်းႏႈန္း "
Condition;အေျခအေန 
Active;လုပ္ေဆာင္ေနသည္
Deleted;ဖ်က္ျပီး
Inactive;မလုပ္ေဆာင္ပါ
Draft;အၾကမ္း
"Under Review";"သုံးသပ္ေနသည္"
Rejected;ပယ္ဖ်က္ျပီး
"Manage your preferences";"သင့္လိုလားမႈမ်ားကို စီမံခန္႕ခြဲပါ"
"Upload it now";"ယခုပင္ အပ္ေလာဒ့္လုပ္ပါ"
"Save as Draft";"အၾကမ္းအျဖစ္ သိမ္းပါ"
"Product Details";"ကုန္ပစၥည္း အေသးစိတ္"
"Enter product name here";"ကုန္ပစၥည္း အမည္ကို ဤေနရာတြင္ ထည့္ပါ"
"Short Description";"အေၾကာင္းအရာ အတို"
"Enter short product description here";"ကုန္ပစၥည္း အေၾကာင္းအရာ အတိုကို ဤေနရာတြင္ ထည့္ပါ"
"characters remaining";"အကၡရာ က်န္ရွိေနသည္"
"Upload Video";"ဗီဒီယိုကို အပ္ေလာဒ့္လုပ္ပါ"
"Enter youtube video url here";"Youtube ဗီဒီယို url ကို ဤေနရာတြင္ ျဖည့္ပါ"
Upload;အပ္ေလာဒ့္
"Invalid video embed URL";"မခိုင္မာေသာ ဗီဒီယို ထည့္သြင္း URL"
"Verifying video";"ဗီဒီယိုကို အတည္ျပဳေနသည္"
"Complete Description";"အေၾကာင္းအရာ ျဖည့္ျပီး"
"Enter product description here";"ကုန္ပစၥည္း အေၾကာင္းအရာကို ဤေနရာတြင္ ထည့္ပါ"
