"click here";"Clique aquí"
"Phone and Fax";"Número de telefone e Telefax"
"Email Address";"Correio electrónico"
Website/Facebook/Twitter/Instagram;Site / Facebook / Twitter / Instagram
a);a)
b);b)
c);c)
Summary;Resumo
"Bank Information";"Informaçã bancária"
"Edit Bank Account";"Editar Conta Bancária"
"Bank Account";"Conta Bancária"
"Bank Details are Permanent";"Os detalhes de Banco são permanentes"
"Enter your bank account title here";"Insira o nome da sua conta bancária aquí"
"Enter bank here";"Insira o nome de Banco aquí"
"Account Number";"Número da Conta"
"Enter your bank account number here";"Insira o número da sua conta bancária aquí"
"Account Name";"Nome da Conta"
"Enter your bank account name here";"Insira o nome da sua conta bancária aquí"
"Are you sure you want to delete this bank account";"Tem certeza de que deseja eliminar esta conta bancária"
Ok;Está bem
"Business Information";"Informação empresarial"
"Store Name";"Nome de Loja"
"Enter your display name";"Insira seu Display Nome"
"Store Link";"Vínculo de Loja"
"Store Name and Store Link are Permanent";"Nome de Loja e vínculo de loja são permanentes"
"First Name";"Nome"
"Last Name";"Apelido"
"Mobile Number";"Telemóvel"
"Company / School";"Empresa / Escola"
"Current Job / Course & Year Level";"Emprego atual / Curso & Nivel de ano"
TIN;TIN
Address;Endereço
"Edit Address";"Editar Endereço"
"Delete Address";"Eliminar Endereço"
"Business Website";"Site de empresa"
"Ex. https://yourWebSite.com";"Ex. https://yourWebSite.com"
"Social Media Account";"Conta das redes sociais"
"Select your Product Categories";"Escolher categorias dos produtos"
"Address Title";"Endereço"
"Home Address";"Endereço residencial"
"Unit Number";"Número unidade"
"Building Name";"Nome de prédio"
"Street Number";"Número de rua"
"Street Name";"Nome de rua"
Subdivision;Subdivisão
Province;Província
"Select your province";"Escolher província"
City/Municipal;Cidade / Município
Barangay;Favela
"Zip Code";"Código Postal"
Continue;Continuar
"Legal Information";"Informação legal"
"Legal Requirements";"Requisitos legais"
"DTI/SEC Permit";"DTI / SEC Autorização"
"Download DTI/SEC Permit";"Descarregar Autorização DTI / SEC"
"Compatible files: JPEG, PNG and PDF";"Arquivos compatíveis: JPEG, PNG, JPNG"
"Mayor's Permit";"Autorização de Prefeito"
"Download Mayor's Permit";"Descarregar Autorização de Prefeito"
"BIR Permit";"Autorização BIR"
"Download BIR Permit";"Descarregar Autorização BIR"
"Select your DTI/SEC Permit file from your computer";"Selecionar arquivo de autorização DTI / SEC do seu computador"
"Select your Mayor's Permit file from your computer";"Selecionar arquivo de autorização de Prefeito do seu computador"
"Select your BIR Permit file from your computer";"Selecionar arquivo de autorização BIR do seu computador"
"Other Documents";"Outros documentos"
"Select a document file from your computer";"Escolher arquivo de documentos do seu computador"
"By Checking this box";"Ao marcar esta opção"
"YiLinker's terms and conditions";"Termos e condições de YiLinker"
"TIN File";"Arquivo TIN"
"Download TIN File";"Descarregar arquivo TIN"
"SSS File";"Arquivo SSS"
"Select Valid ID";"Selecionar identidade válido"
"Download SSS File";"Descarregar arquivo SSS"
"PAG-IBIG File";"Arquivo PAG-IBIG"
"Download PAG-IBIG File";"Descarregar arquivo PAG-IBIG"
"Postal File";"Arquivo postal"
"Download Postal File";"Descarregar arquivo postal"
"Passport File";"Arquivo de passaporte"
"Download Passport File";"Descarregar arquivo passaporte"
"Driver's License File";"Arquivo Carta de Condução"
"Download Driver's License File";"Descarregar arquivo Carta de Condução"
"PRC File";"Arquivo PRC"
"Download PRC File";"Descarregar arquivo PRC"
"Voter's ID File";"Arquivo de Identidade do eleitor"
"Download Voter's ID File";"Descarregar arquivo de Identidade do eleitor"
"School ID File";"Arquivo Identidade Escola"
"Download School ID File";"Descarregar arquivo Identidade Escola"
"Select your TIN file from your computer";"Seleccionar arquivo TIN do seu computador"
"Valid ID";"Identidade valida"
"Select the type of Valid ID you want to upload from your computer";"Selecione o tipo de documento de identificação válido que deseja carregar do seu computador"
"Seller Type:";"Tipo de vendedor"
Seller;Vendedor
Affiliate;Afiliado
"Owner Name:";"Nome de proprietário"
"Store Name:";"Nome de loja"
"Primary Address:";"Endereço principal"
"Contact Number:";"Número de telefone"
"Change Content";"Alterar o conteúdo"
Edit;Editar
Start;Começar
"Bank Name:";"Nome de Banco:"
"Account Title:";"Título da conta bancária:"
"Account Name:";"Nome da conta bancária:"
"Account Number:";"Número da conta bancária:"
"Document Name";"Nome de documento"
"Date Uploaded";"Carregado em"
Status;Status
Message;Mensagem
"FORM MA11501 Permit";"Autorização formulário MA11501"
Others;Outros  
SSS;SSS
"PAG IBIG";"PAG IBIG"
Postal;Postal
Passport;Passaporte
"Driver's License";"Carta de condução"
PRC;PRC
"Voter's ID";"Identidade do eleitor"
"School ID";"Identidade de escola"
"Legal Documents";"Documentos legais"
Comments;Observações
Close;Fechar
"Already a member?";"Já és membro?"
"Sign In";"Iniciar sessão"
"The Question";"Pregunta"
"&#9679";"&#9679"
Benefits;Benefícios
System;Sistema
Support;Apoio
"Want to start-up a business without any investment? Looking for passive income?";"Deseja começar um negócio sem qualquer investimento? Olhando os rendimentos passivos?"
"Sign in";"Iniciar sessão"
Register;Registrar
"Enter your email or contact number here";"Insira o seu correio eletrónico ou número de telefone aquí"
Password;Senha
"Forgot Password?";"Esqueceu sua senha?"
Administrator;Administrador
View;Ver
Hide;Ocultar
"New Bank Account";"Conta bancária nova"
"Update Bank Account";"Atualizar sua conta bancária"
Logout;Terminar sessão
"View Store Info";"Ver informação de loja"
Settings;Configuração
Help;Ajuda
Categories;Categorias
"Current Order:";"Pedido atual:"
"New Category";"Nova categoria"
"Add new category";"Adicionar nova categoriaa"
"Delete Categories";"Eliminar categorias"
"Customize Category";"Personalizar categorias"
"Category Name";"Nome de categoria"
"Parent Category";"Categoria pai"
"Select a parent category";"Escolher categoria pai"
"Custom Category Products";"Personalizar produtos de categoria"
"Search item here";"Pesquisar artigo aquí"
"All Products";"Tudos os produtos"
"Total Earning";"Rendimento total"
"Active Earning";"Rendimento ativo"
"Tentative Earning";"Rendimento provisório"
"Total Withdrew";"Retirou total"
"Search :";"Pesquisa:"
"Keyword :";"Palabra-chave:"
"Type :";"Tipo:"
"Status :";"Status:"
"Date :";"Data:"
"Net Receivables";"Contas líquidas a receber"
"Tentative Receivable";"Contas a receber provisórias"
"Available Balance";"Saldo disponível"
"Available Balance:";"Saldo disponível:"
"Withdrawal Amount:";"Saque mínimo:"
"Withdrawal Method:";"Métodos de saque:"
"Deposit to Bank";"Depósito ao banco"
"Deposit To:";"Depositar:"
"Mobile Number:";"Telemóvel:"
"Confirmation Code:";"Código de confirmação:"
"Confirm Withdrawal";"Confirmação saque"
"Withdrawal Request List";"Lista de solicitações de saque"
Date;Data
Method;Método
"Deposit To/Pay To";"Depósito / Pagar"
Requested;Solicitado
"Bank Charge";"Taxas bancárias"
Amount;Quantidade
"Your QR Code";"O seu código QR"
"Download your QR Code";"Descarregar o seu código QR"
"240 x 240";"240 x 240"
"480 x 480";"480 x 480"
"960 x 960";"960 x 960"
"1920 x 1920";"1920 x 1920"
"SVG Format";"Formato SVG"
"How to Earn More";"Como ganhar mais"
Comment;Observações
"Earn Per Comment";"Ganhar por observações"
"Bonus Earning";"Ganhos Bónus"
"__1 - 5";"__1 - 5"
"__6 - 20";"__6 - 20"
"21 - 50";"21 - 50"
"51 - 100";"51 - 100"
"100 - 500";"100 - 500"
"501 - above";"501 - mais"
-;-
"Total Comments";"Observações totais"
32;32
"Earning on Comment";"Ganhar com observações"
Followers;Seguidores
"Earn Per Follower";"Ganhar por seguidor"
"__1 - 20";"__1 - 20"
"101 - 500";"101 - 500"
"501 - 2,000";"501 - 2,000"
"Total Followers";"Seguidores em total"
106;106
"Earning on Followers";"Ganhar com seguidores"
"Your Referral Code";"O seu código de referência"
100-043-210;100-043-210
"Your Referral Link";"o seu link de referência"
"Copy Link";"Copiar link"
"Share on Social Media";"Partilhar nas redes sociais"
"Total Buyer Network";"Rede total de compradores"
"Earning on Buyer Network";"Ganhar na rede de compradores"
"Affiliate Level";"Nível de afiliado"
"Store Space";"Espaço comercial"
Silver;Prata
"Below P 5,000";"Sob P 5,000"
"150 Products";"150 produtos"
"Current Level";"Nível atual"
Gold;Ouro
"P 5,001 to P 20,000";"P 5,001 até P 20,000"
"200 Products";"200 produtos"
Platinum;Platina
"P 20,001 to P 50,000";"P 20,001 até P 50,000"
"300 Products";"300 produtos"
Diamond;Diamante
"Above P 50,000";"Superior P 50,000"
"500 Products";"500 produtos"
Name;Nome
"Contact Number";"Número de telefone"
Action;Ação 
Dashboard;Panel
"Store Information";"Informação de loja"
Transaction;Transacção
"Product Management";"Gestão de produtos"
"Customized Category";"Categoria personalizada"
"Upload Product";"Carregar produto"
"Select Product";"Selecionar produto"
Reports;Relatórios
Messages;Mensagen
"Resolution Center";"Centro de Resoluções"
"Point Earned";"Pontos obtenidos"
Breakdown;Desagregação
"+ 10 Points";"+ 10pontos"
"- 10 Points";"- 10 pontos"
Status:;Status:
"Seller ID:";"Identificação Vendedor:"
;
"Total Sales";"Vendas totais"
"Total Net Sales";"Vendas líquidas totais"
"Buyer Networks";"Redes de compradores"
"Success Transaction";"Transacção com sucesso"
"Total Earnings";"Ganhos totais"
"Search type :";"Tipo pesquisa:"
"Select Here";"Selecionar aqui"
"Search keyword here";"Pesquisar palabra-chave aquí"
"Sales (Tentative/Complete)";"Vendas (provisórias / completas)"
"Invalid (Cancelled/Disputed)";"(Inválido (Cancelado / lítigio)"
"Sales Report";"Relatório de vendas"
"Recent Earning";"Ganhos recentes"
Description;Descrição
"Transaction Amount";"Valor da transacção "
Charges;Taxas
Receivable;Cobrável
"Select Products";"Selecionar produtos"
Sub-Category;Subcategoria
"Select a category to filter the results";"Selecionar categoria para a filtrar produtos"
"Product to Sell";"Produtos venda"
Details;Detalhes
Price:;Preço
Comission:;Encomenda
"Add to Selected";"Adicionar ao escolhido"
"View product";"Ver produto"
Cases;Casos 
"Search By Case Id";"Pesquisar identificação caso"
Search;Pesquisar
Filter;Filtrar
"Case ID";"Identificação caso"
"Dispute Title";"Litígio título "
"Other Party";"Outra Parte"
"Date Opened";"Aberto em"
Open;Aberto  
Closed;Fechado
"No case found";"Nenhum caso encontrado"
"Enter title here";"Insira título aquí"
"Select dispute type here";"Selecionar tipo de litígio aqui"
"Select reason here";"Selecionar razão aqui"
"Select transaction here";"Selecionar transacção aqui"
"Select item to dispute:";"Selecionar artigo de litígio"
"Leave your remarks here";"Complete com as suas observações aquí"
OPEN;Aberto
CLOSED;Fechado
Reason:;Razão
Notifications;Notificações
"Account setting";"Configurações da conta"
"Enter your password here";"Introduza sua senha aquí"
Deactivate;Desactivar
"This Year";"Este ano"
"This Week";"Esta semana"
"This Month";"este mes"
"Payment Method";"Método de pagamento"
Qty;Quantidade
"Payment Type";"Tipo de pagamento"
"Order Status";"Status de pedido"
Total;Total
"Transaction Number";"Número de transacção"
"Payment Type:";"Tipo de pagamento:"
"Date Created:";"Criado em:"
"Total Quantity:";"Quantidade total:"
"Total Product Cost:";"Quantidade total de produto:"
"Total Shipping Fee:";"Taxa total de envio:"
"Total Cost:";"Preço total:"
"Product List";"Lista de produtos"
SKU:;SKU
Details:;Detalhes
Quantity:;Quantidade 
"Product Price:";"Preço de produto:"
Condition:;Condição:
"Total Price:";"Preço total:"
Brand:;Marca:
Consignee;Destinatário
Consignee:;Destinatário:
Address:;Endereço:
Type;Tipo
"Earning Report";"Relatório de ganhas"
Resources;Recursos
Percent;Por cento
"View Detail";"Ver detalhes"
Weekly;Base semanal
Monthly;Mensalmente
Earnings;Ganhos
"View All";"Ver todo"
"Total Tentative Earning";"Ganhos totais provisórios"
"Total Complete Earning";"Ganhos totais completos"
"Total Affiliate Network";"Rede total de Afiliados"
"Earning on Affiliate Network";"Ganhos na rede de Afiliados"
"Total Charges";"Taxas totais"
"Total Net Receivables";"Total contas líquidas em receber"
"Total Active Receivables";"Total contas líquidas ativas"
"Requested Amount";"Quantia pedida"
"Amount to be Received";"Quantia a receber"
All;Tudo
"Submit for Review";"Submeter à apreciação"
"Activate Product";"Ativar produto"
"Deactivate Product";"Deativar produto"
"Delete Product";"Eliminar produto"
"Date Updated";"Data actualização"
"Product Name";"Nome de produto"
"Total Quantity";"Quantidade total"
"Product Price";"Preço de produto"
Condition;Condição
Active;Ativo
Deleted;Cancelado
Inactive;Inativo
Draft;Proposta
"Under Review";"Em análise"
Rejected;Rejeitado
"Manage your preferences";"Gerir ás suas preferências"
"Upload it now";"Carregar agora"
"Save as Draft";"Gravar como esboço"
"Product Details";"Detalhes de produto"
"Enter product name here";"Digite o nome de produto aquí"
"Short Description";"Descrição breve"
"Enter short product description here";"Digite descrição breve de produto aquí"
"characters remaining";"Caracteres restantes"
"Upload Video";"Carregar vídeo"
"Enter youtube video url here";"Introduza url de youtube vídeo aquí"
Upload;Carregar
"Invalid video embed URL";"Inválido código incorporádo URL de vídeo"
"Verifying video";"Verificação de vídeo"
"Complete Description";"Descrição completa"
"Enter product description here";"Introduza a descrição de produto aquí"
"Enter brand here";"Introduza a marca aquí"
"Select Condition";"Selecionar condição"
"Select your Category";"Selecione a sua categoria"
"Select Category";"Selecionar categoria"
"Inventory and Variants";"Balanço e versões"
"Detail Name";"Nome de detalhe"
Values;Valores
Actions;Acções
"Product Combinations";"Combinações de produtos"
Images;Imagens
Combinations;Combinações  
Price;Preço
Stocks;Estoques
__0.00;__0.00
"Add Discount";"Adicionar desconto"
"Final Price";"Preço final"
"SKU (Stock Keeping Unit)";"(SKU (Unidade de Manutenção de Stock)"
"Enter stock keeping unit here";"Introduza Unidade de Manutenção de Stock aquí"
"You can assign any code in order to keep track of your items";"Você pode atribuir qualquer código, a fim de manter o controle de seus itens"
"Number of Stocks Available";"Número de estoques disponíveis"
0;0
"Maximum quantity allowed is 999";"Quantidade máxima permitida és 999"
"Dimensions and Weight";"Dimenções e Peso"
"Length (CM)";"Comprimento (CM)"
"Height (CM)";"Altura (CM)"
"Width (CM)";"Largura (CM)"
"Weight (KG)";"Peso (KG)"
"Variant Name";"Nome da variante"
"Enter keywords here";"Digite aquí palavras-chave"
"Variant Choice";"Preferência da variante"
"Hit enter to add another";"Presionar "Enter" para adicionar outro"
"You can search your category here";"Você pode pesquisar a sua categoria aquí"
Back;Voltar
Size;Tamanho
"Select Size Here";"Escolher tamanho aquí"
"Upload image first";"Carregar primeiro imagen"
"Variant Successfully Added";"Variante adicionado com sucesso"
"Crop Photo";"Cortar fotografia"
Crop;Cortar 
"All Categories";"Todas categorias"
"Category Search Suggestion";"Sugestão de pesquisa de categoria"
Select;Seleccionar
"&larr";"&larr"
Photos;Fotografías
"Full Description";"Descrição completa"
"See More";"Ver mais"
Video;Vídeo
Category:;Categoria:
"Regular Price:";"Preço normal:"
"Discounted Price:";"Preço com desconto:"
Commission:;Encomenda:
"Length (CM):";"Comprimento (CM):"
"Width (CM):";"Largura (CM):"
"Height (CM):";"Altura (CM):"
"Weight (KG):";"Peso (KG):"
"Additional Details";"Detalhes adicionais"
"Edit Product";"Editar produto"
Email;correio eletrónico
"Enter your email here";"Digite o seu correio eletrónico aquí"
Change;Alterar
"Click here to verify";"Clique aquí para verificar"
"Change Email Address";"Alterar correio eletrónico"
"Enter your new email address here";"Digite o seu novo correio eletrónico aquí"
"Confirm your new email address here";"Confirme o seu novo correio eletrónico aquí"
"Change Password";"Alterar senha"
"Current Password";"Senha atual"
"Enter your current password here";"Digite a sua senha atual aquí"
"New Password";"Senha nova"
"Confirm New Password";"Confirme senha nova"
"Confirm your new password here";"Confirme senha nova aquí"
"All in one place";"Tudo em um só lugar"
"Invalid email/contact number or password.";"Correio eletrónico / número telefone / senha inválidos."
"Email Verified.";"correio eletrónico verificado."
"Password reset success.";"Redefinição de senha com sucesso."
"Enter your email contact number here";"Digite o número de contato do correio eletrónico aquí"
"Remember Me";"Lembre-se de mim"
"Copyright 2015 YiLinker. All Rights Reserved";"Direitos Autorais 2015 YiLinker. Todos os direitos reservados."
"Reset password request sent";"pedido de redefinição de senha enviado"
"Reset Password";"Trocar a senha"
"Confirm new password";"Confirmar nova senha"
"Verify Number";"Verificar número"
"Profile Photo";"Fotografía do perfil"
"Select an image from your computer (10mb max)";"Selecione uma imagem do seu computador (10mb max)"
"Cover Photo";"Foto de capa"
"Enter your store name here";"Digite o nome da sua loja aquí"
"Mobile Phone";"Telemóvel"
"Enter your mobile number here";"Digite o seu telemóvel aquí"
"Enter your store slug here";"digite lesma da sua loja aqui"
"Store Description";"Descrição de loja"
"Enter your store description here";"Digite a descrição da sua loja aquí"
"Save Changes";"salvar as alterações"
Undo;Desfazer
"Select your categories";"Selecione as suas categorias"
"QR Code";"Código QR"
"Share with";"Compartilhar com"
"Generate your QR Code";"Gerar o seu código QR"
"Copy Link.";"Copiar Link"
"Copy Code";"Copiar Código"
"Referral Person";"Pessoa de referência"
"Referrers Name:";"Nome de pessoa de referência:"
"Referrers Code:";"Código de pessoa de referência:"
"Change Mobile Number";"Alterar telemóvel"
"Old Number";"Número antigo"
"Enter New Number";"Digite o número novo"
"Enter your new number here";"Digite o seu número novo aquí"
"Time Left:";"Tempo restante:"
0.208333333333333;0.208333333333333
"Enter Code";"Inzire código"
"Crop Profile Photo";"Cortar fotografía do perfil"
"Crop Cover Photo";"Cortar foto da capa"
"Share via Email";"Compartilhar via correio eletrónico"
"Enter recipient email here. Separated with commas.";"Digite e-mail do destinatário aqui. Separado por vírgulas."
"Enter your message here";"Digite o seu mensagem aquí"
"Personal Information";"Informação pessoal"
"Enter your first name here";"Digite o seu nome aquí"
"Enter your last name here";"Digite o seu apelido aquí"
"TIN ID:";"TIN ID:"
"Enter your TIN here";"Digite o seu TIN aquí"
"Upload Valid ID Photo:";"Carregar foto válida de identificação:"
"You already uploaded your valid ID";"Você já carregado o seu documento de identificação válido"
"Why am i being asked for my TIN?";"Por que estou sendo solicitado para o meu TIN?"
"Enter your address title here";"Digite o seu título de endereço aquí"
"Enter your address unit number here";"Digite o seu número de unidade de endereço aquí"
"Enter your address building name here";"Digite o nome do prédio do endereço aquí"
"Enter your address street number here";"Digite o número da sua rua aquí"
"Enter your address street name here";"Digite o nome da sua rua aquí"
"Enter your address subdivision here";"Digite a subdivisão aquí"
"Select your city";"Selecione a sua cidade"
"Select your barangay";"Selecione a sua Favela"
"Enter your zip code here";"Digite o seu código postal"
"Do you want to set this new address as the default location for every Product Pick-up request?";"Você deseja definir este novo endereço como o local padrão para cada produto pedido  para Pick-up?"
"Update Shipping Address";"Atualização de Endereço para envio"
