"click here";"Klik di sini"
"Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman""Affiliate鈥檚 Website";"Affiliate â €™ s laman"
Customer;pelanggan
EDM;EDM
Marks;Markah
Merchant;Saudagar
Platform;Platform
Site;Laman web
SEM;SEM
SEO;SEO
"MERCHANT SERVICES AGREEMENT";"PERJANJIAN PERKHIDMATAN SAUDAGAR"
"6/F Five E-com, Mall of Asia, Pacific Drive";"6/F 5 E-com, Mall of Asia Pacific memandu"
"Merchant Agreement";"Perjanjian Saudagar"
"Site, Website";"Laman ,Laman "
Payout;Pembayaran
Products;Produk-produk
Buyer;Pembeli
"Selling Price";"Harga jualan"
"Corporate Name / Business Name";"Nama korporat / nama perniagaan"
Owner/President;Pemilik/Presiden
"Company Phone Number";"Nombor telefon Syarikat"
"Registered Office Address";"Alamat Pejabat Berdaftar Syarikat"
"Business Address (If different to registered office)";"Alamat perniagaan (sekiranya berbeza dengan Pejabat berdaftar)"
"Contact Person";"Sila hubungi"
"Phone and Fax";"Telefon dan Faks"
"Email Address";"Alamat e-mel"
Website/Facebook/Twitter/Instagram;Laman/Facebook/Twitter/Instagram
a);a)
b);b)
c);c)
Summary;Ringkasan
"Bank Information";"Bank Maklumat "
"Edit Bank Account";"Edit akaun Bank"
"Bank Account";"Akaun bank"
"Bank Details are Permanent";"Butiran Bank akan tetap"
"Enter your bank account title here";"Masukkan tajuk akaun bank anda di sini"
"Enter bank here";"Masukkan bank di sini"
"Account Number";"Nombor akaun"
"Enter your bank account number here";"Masukkan nombor akaun bank anda di sini"
"Account Name";"Nama akaun"
"Enter your bank account name here";"Masukkan nama akaun bank anda di sini"
"Are you sure you want to delete this bank account";"Adakah anda pasti hendak menghapuskan akaun bank ini"
Ok;Ok
"Business Information";"Maklumat Perniagaan"
"Store Name";"Nama kedai"
"Enter your display name";"Masukkan nama paparan anda"
"Store Link";"Pautan kedai"
"Store Name and Store Link are Permanent";"Nama kedai dan Link kedai adalah tetap"
"First Name";"nama depan"
"Last Name";"Nama akhir"
"Mobile Number";"Nombor  bimbit"
"Company / School";"Syarikat / sekolah"
"Current Job / Course & Year Level";"Pekerjaan semasa / dan Kursus Tahap Pengajian"
TIN;TIN
Address;Alamat
"Edit Address";"Edit alamat"
"Delete Address";"Menghapuskan alamat"
"Business Website";"Laman web perniagaan"
"Ex. https://yourWebSite.com";"Https://yourWebSite.com cth"
"Social Media Account";"Akaun Media sosial"
"Select your Product Categories";"Pilih kategori produk anda"
"Address Title";"Alamat tajuk"
"Home Address";"Alamat rumah"
"Unit Number";"Jumlah unit"
"Building Name";"Nama bangunan"
"Street Number";"Nombor jalan"
"Street Name";"Nama jalan"
Subdivision;Pecah sempadan
Province;Wilayah
"Select your province";"Pilih jajahan anda"
City/Municipal;Bandaraya/Perbandaran
Barangay;Barangay
"Zip Code";"poskod"
Continue;Terus
"Legal Information";"Maklumat perundangan"
"Legal Requirements";"Keperluan undang-undang"
"DTI/SEC Permit";"Permit DTI/SEC"
"Download DTI/SEC Permit";"Muat turun Permit DTI/SEC"
"Compatible files: JPEG, PNG and PDF";"Fail yang sesuai: JPEG, PNG dan PDF"
"Mayor's Permit";"Datuk bandar Permit"
"Download Mayor's Permit";"Muat turun Permit Datuk bandar"
"BIR Permit";"BIR Permit"
"Download BIR Permit";"Muat turun BIR Permit"
"Select your DTI/SEC Permit file from your computer";"Pilih fail DTI/SEC Permit dari komputer anda"
"Select your Mayor's Permit file from your computer";"Pilih Mayors anda Permit fail dari komputer anda"
"Select your BIR Permit file from your computer";"Pilih fail BIR Permit dari komputer anda"
"Other Documents";"Lain-lain dokumen"
"Select a document file from your computer";"Pilih fail dokumen dari komputer anda"
"By Checking this box";"Dengan menanda kotak ini"
"YiLinker's terms and conditions";"Terma dan syarat di YiLinker"
"TIN File";"TIMAH fail"
"Download TIN File";"Muat turun fail timah"
"SSS File";"Fail SSS"
"Select Valid ID";"Pilih ID sah"
"Download SSS File";"Muat turun fail SSS"
"PAG-IBIG File";"PAG IBIG fail"
"Download PAG-IBIG File";"Muat turun fail PAG IBIG"
"Postal File";"Pos fail"
"Download Postal File";"Muat turun fail pos"
"Passport File";"Fail pasport"
"Download Passport File";"Muat turun fail pasport"
"Driver's License File";"Fail lesen pemandu"
"Download Driver's License File";"Muat turun fail lesen pemandu"
"PRC File";"RRC fail"
"Download PRC File";"Muat turun fail PRC"
"Voter's ID File";"Pengundi ID fail"
"Download Voter's ID File";"Muat turun fail ID pengundi"
"School ID File";"Fail ID sekolah"
"Download School ID File";"ID sekolah muat turun fail"
"Select your TIN file from your computer";"Pilih fail timah dari komputer anda"
"Valid ID";"ID sah"
"Select the type of Valid ID you want to upload from your computer";"Pilih jenis ID sah yang anda ingin muat naik dari komputer anda"
"Seller Type:";"Jenis penjual:"
Seller;Penjual
Affiliate;Affiliate
"Owner Name:";"Nama pemilik:"
"Store Name:";"Nama kedai:"
"Primary Address:";"Alamat utama:"
"Contact Number:";"Nombor telefon:"
"Change Content";"Mengubah kandungan"
Edit;Edit
Start;Mula
"Bank Name:";"Nama Bank:"
"Account Title:";"Tajuk akaun:"
"Account Name:";"Nama akaun:"
"Account Number:";"Nombor akaun:"
"Document Name";"Nama dokumen"
"Date Uploaded";"Tarikh muat naik"
Status;Status
Message;Mesej
"FORM MA11501 Permit";"Borang MA11501 Permit"
Others;yang lain
SSS;SSS
"PAG IBIG";"PAG IBIG"
Postal;Pos
Passport;Pasport
"Driver's License";"Lesen memandu"
PRC;RRC
"Voter's ID";"ID pengundi"
"School ID";"ID sekolah"
"Legal Documents";"Dokumen undang-undang"
Comments;Komen
Close;Tutup
"Already a member?";"Sudah menjadi ahli?"
"Sign In";"Masuk Masukkan"
"The Question";"Soalan"
"&#9679;";"&#9679;"
Benefits;Faedah
System;Sistem
Support;Sokongan
"Want to start-up a business without any investment? Looking for passive income?";"Ingin memulakan perniagaan tanpa sebarang pelaburan? Mencari pendapatan pasif?"
"Sign in";"Masuk Masukkan"
Register;Mendaftar
"Enter your email or contact number here";"Masukkan e-mel atau nombor telefon di sini anda"
Password;Kata laluan
"Forgot Password?";"Terlupa kata laluan?"
Administrator;Pentadbir
View;Pandangan
Hide;Sembunyi
"New Bank Account";"Akaun Bank baru"
"Update Bank Account";"Kemaskini Terakhir akaun Bank"
Logout;Log keluar
"View Store Info";"Info lihat kedai"
Settings;Seting
Help;Bantuan
Categories;Kategori
"Current Order:";"Semasa Order:"
"New Category";"Kategori baru"
"Add new category";"Menambah kategori baru"
"Delete Categories";"Menghapuskan kategori"
"Customize Category";"Menyesuaikan kategori"
"Category Name";"Nama kategori"
"Parent Category";"Ibu bapa kategori"
"Select a parent category";"Pilih satu kategori ibu/bapa"
"Custom Category Products";"Produk-produk kategori adat"
"Search item here";"Item carian di sini"
"All Products";"Semua produk"
"Total Earning";"Jumlah pendapatan"
"Active Earning";"Pendapatan aktif"
"Tentative Earning";"Sementara pendapatan"
"Total Withdrew";"Jumlah berundur"
"Search :";"Carian:"
"Keyword :";"Kata kunci:"
"Type :";"Jenis:"
"Status :";"Status:"
"Date :";"Tarikh:"
"Net Receivables";"Penghutang bersih"
"Tentative Receivable";"Tentatif yang akan diterima"
"Available Balance";"Baki sedia ada"
"Available Balance:";"Baki sedia ada:"
"Withdrawal Amount:";"Jumlah pengeluaran:"
"Withdrawal Method:";"Kaedah pengeluaran:"
"Deposit to Bank";"simpanan kepada Bank"
"Deposit To:";"simpanan"
"Mobile Number:";"Nombor bimbit:"
"Confirmation Code:";"Kod pengesahan:"
"Confirm Withdrawal";"Mengesahkan pengeluaran"
"Withdrawal Request List";"Senarai permintaan pengeluaran"
Date;Tarikh
Method;Kaedah
"Deposit To/Pay To";"Deposit / membayar kepada"
Requested;Diminta
"Bank Charge";"Caj Bank"
Amount;Jumlah
"Your QR Code";"Kod QR anda"
"Download your QR Code";"Muat turun kod QR anda"
"240 x 240";"240 x 240"
"480 x 480";"480 x 480"
"960 x 960";"960 x 960"
"1920 x 1920";"1920 x 1920"
"SVG Format";"SVG Format"
"How to Earn More";"Bagaimana untuk mendapat pendapatan yang lebih"
Comment;Komen
"Earn Per Comment";"Mendapat satu komen"
"Bonus Earning";"Bonus pendapatan"
"1 - 5";"1 - 5"
"6 - 20";"6 - 20"
"21 - 50";"21 - 50"
"51 - 100";"51 - 100"
"100 - 500";"100 - 500"
"501 - above";"501 - ke atas"
-;-
"Total Comments";"Jumlah Komen"
32;32
"Earning on Comment";"Pendapatan pada Komen"
Followers;Pengikut-pengikut
"Earn Per Follower";"Peroleh setiap pengikut"
"1 - 20";"1 - 20"
"101 - 500";"101 - 500"
"501 - 2,000";"501 - 2,000"
"Total Followers";"Jumlah pengikut"
106;106
"Earning on Followers";"Pendapatan pada pengikut"
"Your Referral Code";"Kod rujukan anda"
100-043-210;100-043-210
"Your Referral Link";"Referral Link anda"
"Copy Link";"Salin pautan"
"Share on Social Media";"Berkongsi di Media sosial"
"Total Buyer Network";"Jumlah pembeli rangkaian"
"Earning on Buyer Network";"Pendapatan rangkaian pembeli"
"Affiliate Level";"Gabungan peringkat"
"Store Space";"Ruang stor"
Silver;Perak
"Below P 5,000";"Di bawah P 5,000"
"150 Products";"150 produk"
"Current Level";"Semasa peringkat"
Gold;Emas
"P 5,001 to P 20,000";"P 5,001 kepada 20,000 P"
"200 Products";"200 produk"
Platinum;Platinum
"P 20,001 to P 50,000";"P 20,001 50,000 P"
"300 Products";"300 produk"
Diamond;Diamond
"Above P 50,000";"Di atas P 50,000"
"500 Products";"500 produk"
Name;Nama
"Contact Number";"Nombor telefon"
Action;Tindakan
Dashboard;Papan pemuka
"Store Information";"Menyimpan maklumat"
Transaction;Urus niaga
"Product Management";"Pengurusan produk"
"Customized Category";"Kategori tersuai"
"Upload Product";"Gambar produk"
"Select Product";"Pilih produk"
Reports;Laporan-laporan
Messages;Mesej-mesej
"Resolution Center";"Resolusi Pusat"
"Point Earned";"Titik yang diperolehi"
Breakdown;Pecahan
"+ 10 Points";"+ 10 mata"
"- 10 Points";"-10 mata"
Status:;Status:
"Seller ID:";"Penjual ID:"
;
"Total Sales";"Jumlah jualan"
"Total Net Sales";"Jumlah jualan bersih"
"Buyer Networks";"Rangkaian pembeli"
"Success Transaction";"Kejayaan urusniaga"
"Total Earnings";"Jumlah pendapatan"
"Search type :";"Jenis carian:"
"Select Here";"Pilih di sini"
"Search keyword here";"Kata kunci Carian di sini"
"Sales (Tentative/Complete)";"Jualan (tentatif/selesai)"
"Invalid (Cancelled/Disputed)";"Tidak sah (dibatalkan/dipertikai)"
"Sales Report";"Laporan jualan"
"Recent Earning";"Pendapatan hari"
Description;Description/kawalan
"Transaction Amount";"Jumlah transaksi"
Charges;Caj-caj
Receivable;Boleh diterima
"Select Products";"Pilih produk"
Sub-Category;Sub-kategori
"Select a category to filter the results";"Pilih satu kategori untuk menapis keputusan"
"Product to Sell";"Produk untuk menjual"
Details;Butir-butir
Price:;Harga:
Comission:;Suruhanjaya:
"Add to Selected";"Tambah ke terpilih"
"View product";"Paparan produk"
Cases;Kes-kes
"Search By Case Id";"Cari mengikut kes Id"
Search;Cari
Filter;Penapis
"Case ID";"Kes ID"
"Dispute Title";"Pertikaian Hakmilik"
"Other Party";"Pihak yang satu lagi"
"Date Opened";"Tarikh dibuka"
Open;Terbuka
Closed;Ditutup
"No case found";"Tiada kes yang ditemui"
"Enter title here";"Masukkan tajuk di sini"
"Select dispute type here";"Pilih jenis pertikaian di sini"
"Select reason here";"Sebab pilih di sini"
"Select transaction here";"Pilih urus niaga di sini"
"Select item to dispute:";"Pilih item untuk mempertikaikan:"
"Leave your remarks here";"Meninggalkan kata-kata anda di sini"
OPEN;TERBUKA
CLOSED;DITUTUP
Reason:;Sebab:
Notifications;Pemberitahuan
"Account setting";"Penetapan akaun"
"Enter your password here";"Masukkan kata laluan anda di sini"
Deactivate;Menyahaktifkan
"This Year";"Tahun ini"
"This Week";"Minggu ini"
"This Month";"Bulan ini"
"Payment Method";"Kaedah pembayaran"
Qty;Qty
"Payment Type";"Jenis bayaran"
"Order Status";"Status pesanan"
Total;Jumlah keseluruhan
"Transaction Number";"Bilangan Transaksi"
"Payment Type:";"Jenis bayaran:"
"Date Created:";"Tarikh Dicipta:"
"Total Quantity:";"Jumlah kuantiti:"
"Total Product Cost:";"Kos keseluruhan produk:"
"Total Shipping Fee:";"Kos penghantaran jumlah:"
"Total Cost:";"Jumlah kos:"
"Product List";"Senarai produk"
SKU:;SKU:
Details:;Butiran:
Quantity:;Kuantiti:
"Product Price:";"Harga produk:"
Condition:;Keadaan:
"Total Price:";"Jumlah harga:"
Brand:;Jenama:
Consignee;Perisian
Consignee:;Perisian:
Address:;Alamat:
Type;Jenis
"Earning Report";"Laporan pendapatan"
Resources;Sumber-sumber
Percent;Peratus
"View Detail";"Paparan terperinci"
Weekly;Mingguan
Monthly;Bulanan
Earnings;Pendapatan
"View All";"Lihat semua"
"Total Tentative Earning";"Sementara jumlah pendapatan"
"Total Complete Earning";"Jumlah pendapatan lengkap"
"Total Affiliate Network";"Rangkaian gabungan jumlah"
"Earning on Affiliate Network";"Pendapatan Affiliate rangkaian"
"Total Charges";"Jumlah caj"
"Total Net Receivables";"Jumlah penghutang bersih"
"Total Active Receivables";"Jumlah penghutang yang aktif"
"Requested Amount";"Diminta jumlah"
"Amount to be Received";"Amaun yang diterima"
All;Semua
"Submit for Review";"Hantar untuk semakan"
"Activate Product";"Mengaktifkan produk"
"Deactivate Product";"Menyahaktifkan produk"
"Delete Product";"Menghapuskan produk"
"Date Updated";"Tarikh Dikemaskini"
"Product Name";"Nama produk"
"Total Quantity";"Kuantiti jumlah"
"Product Price";"Harga produk"
Condition;Keadaan
Active;Aktif
Deleted;Dihapuskan
Inactive;Tidak aktif
Draft;Draf
"Under Review";"Di bawah kajian"
Rejected;Ditolak
"Manage your preferences";"Menguruskan pilihan anda"
"Upload it now";"Meng-upload itu kini"
"Save as Draft";"Simpan sebagai Draf"
"Product Details";"Maklumat produk"
"Enter product name here";"Masukkan nama produk di sini"
"Short Description";"Huraian ringkas"
"Enter short product description here";"Masukkan penerangan produk yang pendek di sini"
"characters remaining";"watak-watak yang tinggal"
"Upload Video";"Meng-upload Video"
"Enter youtube video url here";"Masukkan youtube url video di sini"
Upload;Muat naik
"Invalid video embed URL";"Video sah menerapkan URL"
"Verifying video";"Mengesahkan video"
"Complete Description";"Penerangan lengkap"
"Enter product description here";"Masukkan penerangan produk di sini"
"Enter brand here";"Masukkan jenama di sini"
"Select Condition";"Pilih keadaan"
"Select your Category";"Pilih kategori anda"
"Select Category";"Pilih kategori"
"Inventory and Variants";"Inventori dan varian"
"Detail Name";"Butiran nama"
Values;Nilai-nilai
Actions;Tindakan-tindakan
"Product Combinations";"Kombinasi produk"
Images;Imej
Combinations;Kombinasi
Price;Harga
Stocks;Stok
0.00;0
"Add Discount";"Tambah diskaun"
"Final Price";"Harga muktamad"
"SKU (Stock Keeping Unit)";"SKU (stok penyimpanan Unit)"
"Enter stock keeping unit here";"Masukkan stok penyimpanan unit di sini"
"You can assign any code in order to keep track of your items";"Anda boleh menguntukkan mana-mana kod untuk menjejaki barangan anda"
"Number of Stocks Available";"Bilangan saham-saham yang tersedia"
0;0
"Maximum quantity allowed is 999";"Kuantiti maksima yang dibenarkan adalah 999"
"Dimensions and Weight";"Berat dan dimensi"
"Length (CM)";"Panjang (CM)"
"Height (CM)";"Tinggi graduan (CM)"
"Width (CM)";"Lebar (CM)"
"Weight (KG)";"Berat (KG)"
"Variant Name";"Nama variant"
"Enter keywords here";"Masukkan kata kunci di sini"
"Variant Choice";"Variant pilihan"
"Hit enter to add another";"Hit masukkan untuk menambah satu peranti lagi"
"You can search your category here";"Anda boleh mencari kategori anda di sini"
Back;Belakang
Size;Saiz
"Select Size Here";"Pilih saiz di sini"
"Upload image first";"Muat naik gambar dahulu"
"Variant Successfully Added";"Varian yang berjaya ditambah"
"Crop Photo";"Foto tanaman"
Crop;Tanaman
"All Categories";"Semua kategori"
"Category Search Suggestion";"Kategori carian cadangan"
Select;Pilih
"&larr;";"&larr;"
Photos;Gambar-gambar
"Full Description";"Penerangan penuh"
"See More";"Melihat lebih banyak"
Video;Video
Category:;Kategori:
"Regular Price:";"Harga biasa:"
"Discounted Price:";"Harga diskaun:"
Commission:;Suruhanjaya:
"Length (CM):";"Panjang (CM):"
"Width (CM):";"Lebar (CM):"
"Height (CM):";"Tinggi (CM):"
"Weight (KG):";"Berat (KG):"
"Additional Details";"Maklumat tambahan"
"Edit Product";"Mengedit produk"
Email;E-mel
"Enter your email here";"Masukkan email anda di sini"
Change;Perubahan
"Click here to verify";"Klik di sini untuk mengesahkan"
"Change Email Address";"Tukar alamat e-mel"
"Enter your new email address here";"Masukkan alamat e-mel baru anda di sini"
"Confirm your new email address here";"Mengesahkan alamat emel baru anda di sini"
"Change Password";"Tukar kata laluan"
"Current Password";"Kata laluan semasa"
"Enter your current password here";"Masukkan kata laluan anda di sini"
"New Password";"Kata laluan baru"
"Confirm New Password";"Sahkan kata laluan baru"
"Confirm your new password here";"Sahkan kata laluan baru anda di sini"
"All in one place";"Semua dalam satu tempat"
"Invalid email/contact number or password.";"Nombor e-mel/telefon tidak sah atau kata laluan."
"Email Verified.";"E-mel yang disahkan."
"Password reset success.";"Kata laluan set semula kejayaan."
"Enter your email contact number here";"Masukkan e-mel kenalan nombor anda di sini"
"Remember Me";"Ingat saya"
"Copyright 2015 YiLinker. All Rights Reserved";"Hak cipta YiLinker tahun 2015. Hak Cipta Terpelihara"
"Reset password request sent";"Permintaan kata laluan set semula dihantar"
"Reset Password";"Set semula kata laluan"
"Confirm new password";"Sahkan kata laluan baru"
"Verify Number";"Sahkan nombor"
"Profile Photo";"Gambar profil"
"Select an image from your computer (10mb max)";"Pilih imej dari komputer anda (10mb max)"
"Cover Photo";"Merangkumi foto"
"Enter your store name here";"Masukkan nama kedai anda di sini"
"Mobile Phone";"Telefon mudah alih"
"Enter your mobile number here";"Masukkan nombor telefon bimbit anda di sini"
"Enter your store slug here";"Masukkan slug kedai anda di sini"
"Store Description";"Keterangan stor"
"Enter your store description here";"Masukkan Perihalan kedai anda di sini"
"Save Changes";"Simpan perubahan"
Undo;Buat asal
"Select your categories";"Pilih kategori anda"
"QR Code";"Kod QR"
"Share with";"Berkongsi dengan"
"Generate your QR Code";"Menjana kod QR anda"
"Copy Link.";"Salin pautan."
"Copy Code";"Salin kod"
"Referral Person";"Rujukan orang"
"Referrers Name:";"Nama perujuk terbaik:"
"Referrers Code:";"Kod perujuk terbaik:"
"Change Mobile Number";"Menukar nombor telefon bimbit"
"Old Number";"Nombor lama"
"Enter New Number";"Masukkan nombor baru"
"Enter your new number here";"Masukkan nombor baru anda di sini"
"Time Left:";"Masa kiri:"
5:00;5:00
"Enter Code";"Masukkan kod"
"Crop Profile Photo";"Gambar profil tanaman"
"Crop Cover Photo";"Foto perlindungan tanaman"
"Share via Email";"Kongsi melalui e-mel"
"Enter recipient email here. Separated with commas.";"Masukkan emel penerima di sini. Dipisahkan dengan koma."
"Enter your message here";"Masukkan mesej anda di sini"
"Personal Information";"Maklumat peribadi"
"Enter your first name here";"Masukkan nama pertama anda di sini"
"Enter your last name here";"Masukkan nama terakhir anda di sini"
"TIN ID:";"TIN ID:"
"Enter your TIN here";"Masukkan TIN anda di sini"
"Upload Valid ID Photo:";"Meng-upload foto ID sah:"
"You already uploaded your valid ID";"Anda sudah muat naik ID anda sah"
"Why am i being asked for my TIN?";"Mengapa saya sedang ditanya untuk TIN saya?"
"Enter your address title here";"Masukkan tajuk alamat anda di sini"
"Enter your address unit number here";"Masukkan alamat unit nombor anda di sini"
"Enter your address building name here";"Masukkan alamat anda membina nama di sini"
"Enter your address street number here";"Masukkan alamat jalan nombor anda di sini"
"Enter your address street name here";"Masukkan nama jalan alamat di sini"
"Enter your address subdivision here";"Masukkan subbahagian alamat anda di sini"
"Select your city";"Pilih bandar anda"
"Select your barangay";"Pilih barangay anda"
"Enter your zip code here";"Masukkan Kod zip anda disini"
"Do you want to set this new address as the default location for every Product Pick-up request?";"Adakah anda mahu mengeset alamat baru ini sebagai lokasi lalai untuk setiap permintaan ke pengambilan produk?"
"Update Shipping Address";"Kemaskini Terakhir alamat penghantaran"
