"click here";"Klicken Sie hier"
"Enter your bank account number here";"Geben Sie hier Ihre Bankverbindung"
"Account Name";"Konto Namen"
"Enter your bank account name here";"Geben Sie hier Ihren Bankkonto ein"
"Are you sure you want to delete this bank account";"Sind Sie sicher, dass Sie dieses Konto löschen möchten"
Ok;Okay
"Business Information";"Geschäftsinformationen"
"Store Name";"Geschäft-Namen"
"Enter your display name";"Geben Sie Ihren Anzeigenamen"
"Store Link";"Geschäft-Link"
"Store Name and Store Link are Permanent";"Geschäftsnamen und Store Link sind Permanent"
"First Name";"Vornamen"
"Last Name";"Nachnamen"
"Mobile Number";"Mobil Nummer"
"Company / School";"Firma/Schule"
"Current Job / Course & Year Level";"Aktuelle Job/Level-Kurs & Jahr"
TIN;TIN
Address;Adresse
"Edit Address";"Adresse bearbeiten"
"Delete Address";"Adresse löschen"
"Business Website";"Geschäft Website"
"Ex. https://yourWebSite.com";"Ex-https://yourWebSite.com"
"Social Media Account";"Social-Media-Account"
"Select your Product Categories";"Wählen Sie Ihre Produkt-Kategorien"
"Address Title";"Adresse-Titel"
"Home Address";"Home-Adresse"
"Unit Number";"Apartmentnummer"
"Building Name";"Gebäudenamen"
"Street Number";"Hausnummer"
"Street Name";"Straßennamen"
Subdivision;Vorort
Province;Provinz
"Select your province";"Wählen Sie Ihre Provinz"
City/Municipal;Stadt/Municipal
Barangay;Barangay
"Zip Code";"PLZ"
Continue;Weiter
"Legal Information";"Rechtliche Hinweise"
"Legal Requirements";"Gesetzliche Bestimmungen"
"DTI/SEC Permit";"Erlaubnis DTI/SEC"
"Download DTI/SEC Permit";"Download Erlaubnis DTI/SEC"
"Compatible files: JPEG, PNG and PDF";"Kompatiblen Dateien: JPEG, PNG und PDF"
"Mayor's Permit";"Genehmigung des Bürgermeisters"
"Download Mayor's Permit";"Download des Bürgermeisters Genehmigung"
"BIR Permit";"BIR-Genehmigung"
"Download BIR Permit";"Download von BIR-Genehmigung"
"Select your DTI/SEC Permit file from your computer";"Wählen Sie zulassen DTI/SEC-Datei von Ihrem computer"
"Select your Mayor's Permit file from your computer";"Wählen Sie Ihren Bürgermeister Genehmigung Datei von Ihrem computer"
"Select your BIR Permit file from your computer";"Wählen Sie zulassen BIR-Datei von Ihrem computer"
"Other Documents";"Andere Dokumente"
"Select a document file from your computer";"Wählen Sie eine Dokumentdatei von Ihrem computer"
"By Checking this box";"Durch Aktivieren dieses Kontrollkästchens"
"YiLinker's terms and conditions";"YiLinker der allgemeinen Geschäftsbedingungen"
"TIN File";"Zinn-Datei"
"Download TIN File";"Zinn-Datei herunterladen"
"SSS File";"SSS-Datei"
"Select Valid ID";"Gültige ID auswählen"
"Download SSS File";"SSS-Datei herunterladen"
"PAG-IBIG File";"PAG-IBIG Datei"
"Download PAG-IBIG File";"PAG-IBIG Datei herunterladen"
"Postal File";"PLZ-Datei"
"Download Postal File";"Postal-Datei herunterladen"
"Passport File";"Reisepass-Datei"
"Download Passport File";"Passport-Datei herunterladen"
"Driver's License File";"Lizenz-Datei des Treibers"
"Download Driver's License File";"Download Lizenz-Datei des Treibers"
"PRC File";"PRC-Datei"
"Download PRC File";"PRC-Datei herunterladen"
"Voter's ID File";"ID-Datei des Wählers"
"Download Voter's ID File";"Download des Wählers ID-Datei"
"School ID File";"Schule-ID-Datei"
"Download School ID File";"Download Schule ID-Datei"
"Select your TIN file from your computer";"Wählen Sie Ihre TIN-Datei von Ihrem computer"
"Valid ID";"Gültige ID"
"Select the type of Valid ID you want to upload from your computer";"Wählen Sie den Typ der gültig-ID, die Sie von Ihrem Computer hochladen möchten"
"Seller Type:";"Verkäufertyp:"
Seller;Verkäufer
Affiliate;Partner
"Owner Name:";"Name des Besitzers:"
"Store Name:";"Geschäft-Namen:"
"Primary Address:";"Hauptadresse:"
"Contact Number:";"Kontakt Nummer:"
"Change Content";"Inhalt ändern"
Edit;Bearbeiten
Start;Starten
"Bank Name:";"Namen der Bank:"
"Account Title:";"Konto-Titel:"
"Account Name:";"Kontoname:"
"Account Number:";"Kontonummer:"
"Document Name";"Name des Dokuments"
"Date Uploaded";"Datum hochgeladen"
Status;Status
Message;Nachricht
"FORM MA11501 Permit";"FORM MA11501 Genehmigung"
Others;Andere
SSS;SSS
"PAG IBIG";"PAG-IBIG"
Postal;Postal
Passport;Passes
"Driver's License";"Führerschein"
PRC;PRC
"Voter's ID";"ID des Wählers"
"School ID";"Schule-ID"
"Legal Documents";"Juristische Dokumente"
Comments;Kommentare
Close;Schließen
"Already a member?";"Bereits Mitglied?"
"Sign In";"Anmelden"
"The Question";"Die Frage"
"&#9679";"&#9679"
Benefits;Vorteile
System;System
Support;Unterstützung
"Want to start-up a business without any investment? Looking for passive income?";"Bis zur Inbetriebnahme wollen ein Geschäft ohne Investitionen? Suchen Sie passives Einkommen?"
"Sign in";"Anmelden"
Register;Registrieren
"Enter your email or contact number here";"Geben Sie Ihre e-Mail oder Telefonnummer hier"
Password;Passwort
"Forgot Password?";"Vergessen Passwort?"
Administrator;Administrator
View;Anzeigen
Hide;Ausblenden
"New Bank Account";"Neues Bankkonto"
"Update Bank Account";"Bank-Konto aktualisieren"
Logout;Logout
"View Store Info";"View-Geschäft Info"
Settings;Einstellungen
Help;Hilfe
Categories;Kategorien
"Current Order:";"Aktuellen Auftrag:"
"New Category";"Neue Kategorie"
"Add new category";"Neue Kategorie hinzufügen"
"Delete Categories";"Löschen von Kategorien"
"Customize Category";"Passen Kategorie an"
"Category Name";"Kategorienamen"
"Parent Category";"Übergeordnete Kategorie"
"Select a parent category";"Wählen Sie eine übergeordnete Kategorie"
"Custom Category Products";"Benutzerdefinierte Kategorie Produkte"
"Search item here";"Suchbegriff hier"
"All Products";"Alle Produkte"
"Total Earning";"Insgesamt verdienen"
"Active Earning";"Aktive verdienen"
"Tentative Earning";"Vorläufige verdienen"
"Total Withdrew";"Insgesamt zog sich"
"Search :";"Suche:"
"Keyword :";"Stichwort:"
"Type :";"Typ:"
"Status :";"Status:"
"Date :";"Datum:"
"Net Receivables";"NET-Forderungen"
"Tentative Receivable";"Vorläufige Forderung"
"Available Balance";"Verfügbaren Saldo"
"Available Balance:";"Verfügbaren Saldo:"
"Withdrawal Amount:";"Auszahlungsbetrag:"
"Withdrawal Method:";"Rücknahme-Methode:"
"Deposit to Bank";"Einzahlung auf die Bank"
"Deposit To:";"Einzahlung an:"
"Mobile Number:";"Handynummer:"
"Confirmation Code:";"Bestätigungs-Code:"
"Confirm Withdrawal";"Rückzug zu bestätigen"
"Withdrawal Request List";"Rückzug der Anforderungsliste"
Date;Datum
Method;Methode
"Deposit To/Pay To";"Einzahlung auf/zu bezahlen"
Requested;Angefordert
"Bank Charge";"Bank-kostenlos"
Amount;Betrag
"Your QR Code";"Der QR-Code"
"Download your QR Code";"Download der QR-Code"
"240 x 240";"240 x 240"
"480 x 480";"480 x 480"
"960 x 960";"960 x 960"
"1920 x 1920";"1920 x 1920"
"SVG Format";"SVG-Format"
"How to Earn More";"Wie man mehr verdienen"
Comment;Kommentar
"Earn Per Comment";"Verdienen pro Kommentar"
"Bonus Earning";"Prämie zu verdienen"
"__1 - 5";"__1 - 5"
"__6 - 20";"__6 - 20"
"21 - 50";"21 - 50"
"51 - 100";"51 - 100"
"100 - 500";"100 - 500"
"501 - above";"501 - vor"
-;-
"Total Comments";"Kommentare insgesamt"
32;32
"Earning on Comment";"Kommentar zu verdienen"
Followers;Anhänger
"Earn Per Follower";"Verdienen pro Anhänger"
"__1 - 20";"__1 - 20"
"101 - 500";"101 - 500"
"501 - 2,000";"501 - 2.000"
"Total Followers";"Gesamt-Anhänger"
106;106
"Earning on Followers";"Erwerbsfähigkeit auf Anhänger"
"Your Referral Code";"Referral Code"
100-043-210;100-043-210
"Your Referral Link";"Empfehlungslink"
"Copy Link";"Link kopieren"
"Share on Social Media";"Teilen auf Social Media"
"Total Buyer Network";"Insgesamt Käufer Netzwerk"
"Earning on Buyer Network";"Erwerbsfähigkeit auf Käufer-Netzwerk"
"Affiliate Level";"Affiliate-Ebene"
"Store Space";"Raum zu speichern"
Silver;Silber
"Below P 5,000";"Unter 5.000 P"
"150 Products";"150 Produkte"
"Current Level";"Aktuelle Ebene"
Gold;Gold
"P 5,001 to P 20,000";"P 5.001 bis 20.000 P"
"200 Products";"200 Produkte"
Platinum;Platin
"P 20,001 to P 50,000";"P 20.001 bis 50.000 P"
"300 Products";"300 Produkte"
Diamond;Diamant
"Above P 50,000";"Über 50.000 P"
"500 Products";"500 Produkte"
Name;Name
"Contact Number";"Kontakt-Telefon"
Action;Aktion
Dashboard;Dashboard
"Store Information";"Geschäft-Informationen"
Transaction;Transaktion
"Product Management";"Produktmanagement"
"Customized Category";"Angepasste Kategorie"
"Upload Product";"Produkt hochladen"
"Select Product";"Wählen Sie Produkt"
Reports;Berichte
Messages;Nachrichten
"Resolution Center";"Auflösung-Center"
"Point Earned";"Punkt verdient"
Breakdown;Aufschlüsselung
"+ 10 Points";"+ 10 Punkte"
"- 10 Points";"-10 Punkte"
Status:;Status:
"Seller ID:";"Verkäufer-ID:"
;
"Total Sales";"Gesamtumsatz"
"Total Net Sales";"Umsatz"
"Buyer Networks";"Käufer-Netzwerke"
"Success Transaction";"Erfolg-Transaktion"
"Total Earnings";"Gesamtverdienst"
"Search type :";"Suchkategorie:"
"Select Here";"Wählen Sie hier"
"Search keyword here";"Suchbegriff hier"
"Sales (Tentative/Complete)";"Umsatz (mit Vorbehalt/vollständig)"
"Invalid (Cancelled/Disputed)";"Ungültig (abgesagt/umstritten)"
"Sales Report";"Umsatzbericht"
"Recent Earning";"Den letzten verdienen"
Description;Beschreibung
"Transaction Amount";"Transaktionsbetrag"
Charges;Gebühren
Receivable;Aus Lieferungen und Leistungen
"Select Products";"Wählen Sie die Produkte"
Sub-Category;Unter-Kategorie
"Select a category to filter the results";"Wählen Sie eine Kategorie um die Ergebnisse zu filtern"
"Product to Sell";"Produkt verkaufen möchten"
Details;Informationen
Price:;Preis:
Comission:;Comission:
"Add to Selected";"Fügen Sie zu ausgewählten"
"View product";"Produkt anzeigen"
Cases;Fällen
"Search By Case Id";"Suche nach Fall-Id"
Search;Suche
Filter;Filtern
"Case ID";"Fall-ID"
"Dispute Title";"Streit-Titel"
"Other Party";"Anderen Partei"
"Date Opened";"Ersteröffnung"
Open;Offen
Closed;Geschlossen
"No case found";"Keinem Fall gefunden"
"Enter title here";"Geben Sie hier Titel"
"Select dispute type here";"Wählen Sie hier die Streit-Typ"
"Select reason here";"Wählen Sie Grund hier"
"Select transaction here";"Wählen Sie hier"
"Select item to dispute:";"AuswÃ ¤ hlen bestreiten:"
"Leave your remarks here";"Hinterlassen Sie hier Ihre Anmerkungen"
OPEN;OFFEN
CLOSED;GESCHLOSSEN
Reason:;Grund:
Notifications;Benachrichtigungen
"Account setting";"Konto einrichten"
"Enter your password here";"Geben Sie Ihr Passwort hier"
Deactivate;Deaktivieren
"This Year";"In diesem Jahr"
"This Week";"Diese Woche"
"This Month";"In diesem Monat"
"Payment Method";"Zahlungsmethode"
Qty;Qty
"Payment Type";"Zahlungsart"
"Order Status";"Bestellstatus"
Total;Insgesamt
"Transaction Number";"Transaktionsnummer"
"Payment Type:";"Zahlungsart:"
"Date Created:";"Erstellungsdatum:"
"Total Quantity:";"Gesamtmenge:"
"Total Product Cost:";"Gesamtprodukt Kosten:"
"Total Shipping Fee:";"Gesamt-Versandkosten:"
"Total Cost:";"Gesamtkosten:"
"Product List";"Produktliste"
SKU:;SKU:
Details:;Informationen:
Quantity:;Menge:
"Product Price:";"Produktpreis:"
Condition:;Zustand:
"Total Price:";"Gesamtpreis:"
Brand:;Marke:
Consignee;Empfänger
Consignee:;Empfänger:
Address:;Adresse:
Type;Typ
"Earning Report";"Bericht zu verdienen"
Resources;Ressourcen
Percent;Prozent
"View Detail";"Details anzeigen"
Weekly;Pro
Monthly;Monatliche
Earnings;Das Ergebnis
"View All";"Alle ansehen"
"Total Tentative Earning";"Gesamte vorläufige verdienen"
"Total Complete Earning";"Insgesamt vollständige verdienen"
"Total Affiliate Network";"Gesamten Affiliate-Netzwerk"
"Earning on Affiliate Network";"Verdienen Affiliate-Netzwerk"
"Total Charges";"Aufwendungen insgesamt"
"Total Net Receivables";"Summe netto Forderungen"
"Total Active Receivables";"Total aktiven Forderungen"
"Requested Amount";"Beantragte Summe"
"Amount to be Received";"Betrag, ist"
All;Alle
"Submit for Review";"Legt für die Überprüfung"
"Activate Product";"Produkt aktivieren"
"Deactivate Product";"Produkt zu deaktivieren"
"Delete Product";"Produkt löschen"
"Date Updated";"Zuletzt aktualisiert"
"Product Name";"Produktname"
"Total Quantity";"Gesamtmenge"
"Product Price";"Produktpreis"
Condition;Zustand
Active;Aktive
Deleted;Gelöscht
Inactive;Inaktive
Draft;Entwurf einer
"Under Review";"Im Berichtsjahr"
Rejected;Abgelehnt
"Manage your preferences";"Verwalten Sie Ihre Einstellungen"
"Upload it now";"Laden Sie es jetzt"
"Save as Draft";"Als Entwurf speichern"
"Product Details";"Produktdetails"
"Enter product name here";"Geben Sie hier die Produktnamen"
"Short Description";"Kurze Beschreibung"
"Enter short product description here";"Geben Sie hier kurze Produktbeschreibung"
"characters remaining";"verbleibende Zeichen"
"Upload Video";"Video hochladen"
"Enter youtube video url here";"Youtube video-Url hier eingeben"
Upload;Upload
"Invalid video embed URL";"Ungültiger Video einbetten URL"
"Verifying video";"Überprüfung von video"
"Complete Description";"Vollständige Beschreibung"
"Enter product description here";"Geben Sie hier die Produktbeschreibung"
"Enter brand here";"Geben Sie hier die Marke"
"Select Condition";"Wählen Sie Bedingung"
"Select your Category";"Wählen Sie Ihre Kategorie"
"Select Category";"Wählen Sie Kategorie"
"Inventory and Variants";"Inventar und Varianten"
"Detail Name";"Detail Namen"
Values;Werte
Actions;Aktionen
"Product Combinations";"Produktkombinationen"
Images;Bilder und Videos
Combinations;Kombinationen
Price;Preis
Stocks;Aktien
__0.00;__0.00
"Add Discount";"Fügen Sie Rabatt"
"Final Price";"Endpreis"
"SKU (Stock Keeping Unit)";"SKU (Stock Keeping Unit)"
"Enter stock keeping unit here";"Geben Sie hier die Lagerhaltung-Einheit"
"You can assign any code in order to keep track of your items";"Sie können keinen Code zuweisen, um zu verfolgen Ihre Artikel"
"Number of Stocks Available";"Anzahl der verfügbaren Bestände"
0;0
"Maximum quantity allowed is 999";"Maximale bestellbare ist 999"
"Dimensions and Weight";"Abmessungen und Gewicht"
"Length (CM)";"Länge (CM)"
"Height (CM)";"Höhe (CM)"
"Width (CM)";"Breite (CM)"
"Weight (KG)";"Gewicht (KG)"
"Variant Name";"Variantennamen"
"Enter keywords here";"Geben Sie hier Stichwörter"
"Variant Choice";"Variant-Wahl"
"Hit enter to add another";"Drücken Sie enter um eine weitere hinzuzufügen"
"You can search your category here";"Sie können Sie hier eine Kategorie suchen."
Back;Zurück
Size;Größe
"Select Size Here";"Wählen Sie Größe hier"
"Upload image first";"Upload Bild zuerst"
"Variant Successfully Added";"Variante, die erfolgreich hinzugefügt"
"Crop Photo";"Foto zuschneiden"
Crop;Ernte
"All Categories";"Alle Kategorien"
"Category Search Suggestion";"Kategorie Suche Anregung"
Select;Wählen Sie
"&larr";"& larr"
Photos;Fotos
"Full Description";"Vollständige Beschreibung"
"See More";"Sehen Sie mehr"
Video;Video
Category:;Kategorie:
"Regular Price:";"Regulärer Preis:"
"Discounted Price:";"Sonderpreis:"
Commission:;Kommission:
"Length (CM):";"Länge (CM):"
"Width (CM):";"Breite (CM):"
"Height (CM):";"Höhe (CM):"
"Weight (KG):";"Gewicht (KG):"
"Additional Details";"Zusätzliche Details"
"Edit Product";"Produkt bearbeiten"
Email;E-Mail
"Enter your email here";"Geben Sie Ihre e-Mail hier"
Change;Änderung
"Click here to verify";"Klicken Sie hier, um zu überprüfen"
"Change Email Address";"E-Mail-Adresse ändern"
"Enter your new email address here";"Geben Sie hier Ihre neue Email-Adresse"
"Confirm your new email address here";"Bestätigen Sie Ihre neue e-Mail-Adresse hier"
"Change Password";"Passwort ändern"
"Current Password";"Aktuelles Kennwort"
"Enter your current password here";"Geben Sie Ihr aktuelle Passwort hier"
"New Password";"Neues Passwort"
"Confirm New Password";"Neues Kennwort bestätigen"
"Confirm your new password here";"Bestätigen Sie Ihr neue Passwort hier"
"All in one place";"Alles an einem Ort"
"Invalid email/contact number or password.";"Ungültige Email/Kontakt-Nummer oder Kennwort."
"Email Verified.";"E-Mail überprüft."
"Password reset success.";"Kennwort zurücksetzen Erfolg."
"Enter your email contact number here";"Geben Sie Ihre e-Mail Kontakt hier"
"Remember Me";"An mich erinnern"
"Copyright 2015 YiLinker. All Rights Reserved";"Urheberrecht 2015 YiLinker. Alle Rechte vorbehalten"
"Reset password request sent";"Zurücksetzen der Passwort-Anfrage gesendet"
"Reset Password";"Passwort zurücksetzen"
"Confirm new password";"Neues Kennwort bestätigen"
"Verify Number";"Überprüfen Sie die Anzahl"
"Profile Photo";"Profilfoto"
"Select an image from your computer (10mb max)";"Wählen Sie ein Bild von Ihrem Computer (max 10mb)"
"Cover Photo";"Cover-Foto"
"Enter your store name here";"Geben Sie hier Ihren Geschäft-Namen"
"Mobile Phone";"Mobil"
"Enter your mobile number here";"Geben Sie hier Ihre Handy-Nummer"
"Enter your store slug here";"Geben Sie hier Ihre Geschäft-Schnecke"
"Store Description";"Geschäft-Beschreibung"
"Enter your store description here";"Geben Sie hier Ihre Geschäft-Beschreibung"
"Save Changes";"Änderungen speichern"
Undo;Rückgängig machen
"Select your categories";"Wählen Sie Ihre Kategorien"
"QR Code";"QR-Code"
"Share with";"Teilen Sie mit"
"Generate your QR Code";"Der QR-Code zu generieren"
"Copy Link.";"Link kopieren."
"Copy Code";"Code kopieren"
"Referral Person";"Empfehlungs-Person"
"Referrers Name:";"Referrer Namen:"
"Referrers Code:";"Referrer-Code:"
"Change Mobile Number";"Mobilnummer ändern"
"Old Number";"Alte Nummer"
"Enter New Number";"Neue Nummer eingeben"
"Enter your new number here";"Geben Sie hier Ihre neue Nummer"
"Time Left:";"Zeit verließ:"
0.208333333333333;0.208333333333333
"Enter Code";"Code eingeben"
"Crop Profile Photo";"Profil-Foto zuschneiden"
"Crop Cover Photo";"Cover-Foto zuschneiden"
"Share via Email";"Per E-Mail teilen"
"Enter recipient email here. Separated with commas.";"Geben Sie die Empfänger-Email hier. Durch Kommas getrennt."
"Enter your message here";"Geben Sie Ihre Nachricht hier"
"Personal Information";"Persönliche Informationen"
"Enter your first name here";"Geben Sie hier Ihren Vornamen"
"Enter your last name here";"Geben Sie hier Ihren Nachnamen ein"
"TIN ID:";"TIN-ID:"
"Enter your TIN here";"Geben Sie hier Ihre TIN"
"Upload Valid ID Photo:";"Hochladen Sie gültige ID Foto:"
"You already uploaded your valid ID";"Sie hochgeladen bereits Ihre gültige ID"
"Why am i being asked for my TIN?";"Warum bin ich für meine Zinn wird aufgefordert?"
"Enter your address title here";"Geben Sie hier Ihre Adresse-Titel"
"Enter your address unit number here";"Geben Sie hier Ihre Adresse Apartmentnummer"
"Enter your address building name here";"Geben Sie Ihre Adresse hier ein Gebäude"
"Enter your address street number here";"Geben Sie Ihre Adresse Hausnummer hier"
"Enter your address street name here";"Geben Sie Ihre Adresse Straßennamen hier"
"Enter your address subdivision here";"Geben Sie hier Ihre Adresse Vorort"
"Select your city";"Wählen Sie Ihre Stadt"
"Select your barangay";"Wählen Sie Ihre barangay"
"Enter your zip code here";"Geben Sie hier Ihre Postleitzahl"
"Do you want to set this new address as the default location for every Product Pick-up request?";"Möchten Sie diese neue Adresse als den Standardspeicherort für jedes Produkt Abholungsauftrag festgelegt?"
"Update Shipping Address";"Aktualisieren Sie Lieferadresse"
