"click here";"Cliquez ici"
"Confirmation Code:";"Code de confirmation:"
"Confirm Withdrawal";"Confirmer le retrait"
"Withdrawal Request List";"Liste de demandes de retrait"
Date;Date
Method;Méthode
"Deposit To/Pay To";"Dépôt à/de payer à"
Requested;A demandé
"Bank Charge";"Frais de banque"
Amount;Montant
"Your QR Code";"Votre QR Code"
"Download your QR Code";"Télécharger votre QR Code"
"240 x 240";"240 x 240"
"480 x 480";"480 x 480"
"960 x 960";"960 x 960"
"1920 x 1920";"1920 x 1920"
"SVG Format";"Format SVG"
"How to Earn More";"Comment faire pour gagner plus"
Comment;Commentaire
"Earn Per Comment";"Gagner par commentaire"
"Bonus Earning";"Gagner des bonus"
"__1 - 5";"__1 - 5"
"__6 - 20";"__6 - 20"
"21 - 50";"21 - 50"
"51 - 100";"51 - 100"
"100 - 500";"100 - 500"
"501 - above";"501 - avant"
-;-
"Total Comments";"Totales commentaires"
32;32
"Earning on Comment";"Gagner le commentaire"
Followers;Disciples
"Earn Per Follower";"Gagner par suiveur"
"__1 - 20";"__1 - 20"
"101 - 500";"101 - 500"
"501 - 2,000";"501 - 2 000"
"Total Followers";"Total abonnés Regardé"
106;106
"Earning on Followers";"Gagner sur les disciples"
"Your Referral Code";"Votre Code de parrainage"
100-043-210;100-043-210
"Your Referral Link";"Votre lien de parrainage"
"Copy Link";"Copier le lien"
"Share on Social Media";"Partager sur les médias sociaux"
"Total Buyer Network";"L'acheteur Total réseau"
"Earning on Buyer Network";"Gagner sur le réseau de l'acheteur"
"Affiliate Level";"Niveau d'affiliation"
"Store Space";"Magasin espace"
Silver;Silver
"Below P 5,000";"Inférieure à P 5 000"
"150 Products";"150 produits"
"Current Level";"Niveau actuel"
Gold;Or
"P 5,001 to P 20,000";"P 5 001 à 20 000 P"
"200 Products";"200 produits"
Platinum;Platinum
"P 20,001 to P 50,000";"P 20 001 à 50 000 P"
"300 Products";"300 produits"
Diamond;Diamant
"Above P 50,000";"Au-dessus de P 50 000"
"500 Products";"500 produits"
Name;Nom
"Contact Number";"Numéro de téléphone"
Action;Action
Dashboard;Tableau de bord
"Store Information";"Stocker des informations"
Transaction;Transaction
"Product Management";"Gestion des produits"
"Customized Category";"Catégorie personnalisée"
"Upload Product";"Télécharger le produit"
"Select Product";"Sélectionnez le produit"
Reports;Rapports
Messages;Messages
"Resolution Center";"Centre de résolution"
"Point Earned";"Point gagné"
Breakdown;Ventilation
"+ 10 Points";"+ 10 points"
"- 10 Points";"-10 points"
Status:;Statut:
"Seller ID:";"ID du vendeur:"
;
"Total Sales";"Total des ventes"
"Total Net Sales";"Chiffre d'affaires total"
"Buyer Networks";"Réseaux de l'acheteur"
"Success Transaction";"Transaction de succès"
"Total Earnings";"Total des gains"
"Search type :";"Type de recherche:"
"Select Here";"Sélectionnez ici"
"Search keyword here";"Recherche par mot clé ici"
"Sales (Tentative/Complete)";"Ventes (indicatives/complète)"
"Invalid (Cancelled/Disputed)";"Non valide (annulée/contesté)"
"Sales Report";"Rapport des ventes"
"Recent Earning";"Gagner ces dernières"
Description;Description
"Transaction Amount";"Montant de la transaction"
Charges;Frais
Receivable;À recevoir
"Select Products";"Sélection de produits"
Sub-Category;Sous-catégorie
"Select a category to filter the results";"Sélectionnez une catégorie pour filtrer les résultats"
"Product to Sell";"Produit à vendre"
Details;Détails
Price:;Prix:
Comission:;Commission:
"Add to Selected";"Ajouter à sélectionné"
"View product";"Voir le produit"
Cases;Cas
"Search By Case Id";"Recherche par Id d'affaire"
Search;Recherche
Filter;Filtre
"Case ID";"ID d'affaire"
"Dispute Title";"Titre de règlement des différends"
"Other Party";"Autre partie"
"Date Opened";"Date d'ouverture"
Open;Ouvert
Closed;Fermé
"No case found";"Aucun cas trouvés"
"Enter title here";"Tapez ici le titre ici"
"Select dispute type here";"Sélectionnez le type de litige ici"
"Select reason here";"Sélectionnez la raison ici"
"Select transaction here";"Sélectionnez transaction ici"
"Select item to dispute:";"Sélectionnez l'élément pour contester:"
"Leave your remarks here";"Laissez vos remarques ici"
OPEN;OUVERT
CLOSED;FERMÉ
Reason:;Motif:
Notifications;Notifications
"Account setting";"Compte de mise en"
"Enter your password here";"Entrez votre mot de passe ici"
Deactivate;Désactiver
"This Year";"Cette année"
"This Week";"Cette semaine"
"This Month";"Ce mois-ci"
"Payment Method";"Mode de paiement"
Qty;Qté
"Payment Type";"Type de paiement"
"Order Status";"Statut des commandes"
Total;Total
"Transaction Number";"Numéro de transaction"
"Payment Type:";"Type de paiement:"
"Date Created:";"Date de création:"
"Total Quantity:";"Quantité totale:"
"Total Product Cost:";"Coût total du produit:"
"Total Shipping Fee:";"Frais total:"
"Total Cost:";"Coût total:"
"Product List";"Liste des produits"
SKU:;SKU:
Details:;Détails:
Quantity:;Quantité:
"Product Price:";"Prix du produit:"
Condition:;Condition:
"Total Price:";"Prix total:"
Brand:;Marque:
Consignee;Destinataire
Consignee:;Destinataire:
Address:;Adresse:
Type;Type de
"Earning Report";"Rapport gain"
Resources;Ressources
Percent;Pour cent
"View Detail";"Afficher les détails"
Weekly;Hebdomadaire
Monthly;Mensuel
Earnings;Bénéfice
"View All";"Voir tous les"
"Total Tentative Earning";"Total gagner provisoire"
"Total Complete Earning";"Total gagner complet"
"Total Affiliate Network";"Réseau d'affiliés total"
"Earning on Affiliate Network";"Gagner le réseau d'affiliation"
"Total Charges";"Total des frais"
"Total Net Receivables";"Totales créances nettes"
"Total Active Receivables";"Totales comptes débiteurs actifs"
"Requested Amount";"A demandé le montant"
"Amount to be Received";"Montant à percevoir"
All;Tous les
"Submit for Review";"Soumettre pour examen"
"Activate Product";"Activer le produit"
"Deactivate Product";"Désactiver le produit"
"Delete Product";"Supprimer le produit"
"Date Updated";"Date de mise à jour"
"Product Name";"Nom du produit"
"Total Quantity";"Quantité totale"
"Product Price";"Prix du produit"
Condition;Condition
Active;Actif
Deleted;Supprimé
Inactive;Inactifs
Draft;Projet
"Under Review";"L'étude"
Rejected;A rejeté
"Manage your preferences";"Gérer vos préférences"
"Upload it now";"Téléchargez-le maintenant"
"Save as Draft";"Enregistrer comme brouillon"
"Product Details";"Détails du produit"
"Enter product name here";"Entrez le nom du produit ici"
"Short Description";"Brève Description"
"Enter short product description here";"Entrez la description du produit court ici"
"characters remaining";"caractères restants"
"Upload Video";"Télécharger la vidéo"
"Enter youtube video url here";"Entrez l'url d'youtube vidéo ici"
Upload;Télécharger
"Invalid video embed URL";"Vidéo Invalid embed URL"
"Verifying video";"Vérifier la vidéo"
"Complete Description";"Une Description complète"
"Enter product description here";"Entrez la description du produit ici"
"Enter brand here";"Entrez la marque ici"
"Select Condition";"Sélectionnez la Condition"
"Select your Category";"Choisissez votre catégorie"
"Select Category";"Sélectionnez la catégorie"
"Inventory and Variants";"Inventaire et variantes"
"Detail Name";"Détail nom"
Values;Valeurs
Actions;Actions
"Product Combinations";"Combinaisons de produits"
Images;Images
Combinations;Combinaisons
Price;Prix
Stocks;Stocks
__0.00;__0.00
"Add Discount";"Ajouter Discount"
"Final Price";"Prix final"
"SKU (Stock Keeping Unit)";"SKU (Stock Keeping Unit)"
"Enter stock keeping unit here";"Entrer dans l'unité de maintien de la stock ici"
"You can assign any code in order to keep track of your items";"Vous pouvez assigner n'importe quel code afin de garder une trace de vos Articles"
"Number of Stocks Available";"Nombre de titres disponibles"
0;0
"Maximum quantity allowed is 999";"Quantité maximale autorisée est de 999"
"Dimensions and Weight";"Dimensions et poids"
"Length (CM)";"Longueur (CM)"
"Height (CM)";"Hauteur (CM)"
"Width (CM)";"Largeur (CM)"
"Weight (KG)";"Poids (KG)"
"Variant Name";"Nom de la variante"
"Enter keywords here";"Saisissez ici les mots clés"
"Variant Choice";"Choix de variante"
"Hit enter to add another";"Appuyez sur entrée pour ajouter une autre"
"You can search your category here";"Vous pouvez rechercher votre catégorie ici"
Back;Précédent
Size;Taille
"Select Size Here";"Sélectionnez taille ici"
"Upload image first";"Télécharger image tout d'abord"
"Variant Successfully Added";"Variante a ajouté avec succès"
"Crop Photo";"Rogner la Photo"
Crop;Culture
"All Categories";"Toutes les catégories"
"Category Search Suggestion";"Suggestion de recherche de catégorie"
Select;Sélectionnez
"&larr";"& larr"
Photos;Photos
"Full Description";"Description complète"
"See More";"Voir plus"
Video;Vidéo
Category:;Catégorie:
"Regular Price:";"Prix régulier:"
"Discounted Price:";"Prix remisé:"
Commission:;Commission:
"Length (CM):";"Longueur (CM):"
"Width (CM):";"Largeur (CM):"
"Height (CM):";"Hauteur (CM):"
"Weight (KG):";"Poids (KG):"
"Additional Details";"Détails supplémentaires"
"Edit Product";"Modifier le produit"
Email;Messagerie
"Enter your email here";"Entrez votre email ici"
Change;Changement
"Click here to verify";"Cliquez ici pour vérifier"
"Change Email Address";"Modifier l'adresse E-mail"
"Enter your new email address here";"Entrer votre nouvelle adresse de courriel ici"
"Confirm your new email address here";"Confirmer votre nouvelle adresse de courriel ici"
"Change Password";"Changer mot de passe"
"Current Password";"Mot de passe actuel"
"Enter your current password here";"Entrez votre mot de passe ici"
"New Password";"Nouveau mot de passe"
"Confirm New Password";"Confirmer le nouveau mot de passe"
"Confirm your new password here";"Confirmez votre nouveau mot de passe ici"
"All in one place";"Tous au même endroit"
"Invalid email/contact number or password.";"Numéro de contact/e-mail non valide ou mot de passe."
"Email Verified.";"E-mail vérifiée."
"Password reset success.";"Mot de passe réinitialisé le succès."
"Enter your email contact number here";"Entrez votre numéro de téléphone par courriel ici"
"Remember Me";"Se souvenir de moi"
"Copyright 2015 YiLinker. All Rights Reserved";"Copyright YiLinker de 2015. Tous droits réservés"
"Reset password request sent";"Demande de mot de passe de réinitialisation envoyé"
"Reset Password";"Réinitialiser mot de passe"
"Confirm new password";"Confirmer le nouveau mot de passe"
"Verify Number";"Vérifier le numéro de"
"Profile Photo";"Photo de profil"
"Select an image from your computer (10mb max)";"Sélectionnez une image dans votre ordinateur (max 10 Mo)"
"Cover Photo";"Photo de couverture"
"Enter your store name here";"Entrez ici votre nom de magasin"
"Mobile Phone";"Téléphone mobile"
"Enter your mobile number here";"Entrez ici votre numéro de mobile"
"Enter your store slug here";"Entrez ici votre limace de magasin"
"Store Description";"Description du magasin"
"Enter your store description here";"Entrez ici la description de votre magasin"
"Save Changes";"Enregistrer les modifications"
Undo;Annuler
"Select your categories";"Sélectionnez vos catégories"
"QR Code";"QR Code"
"Share with";"Partager avec"
"Generate your QR Code";"Générer votre Code QR"
"Copy Link.";"Copier le lien."
"Copy Code";"Copier le Code"
"Referral Person";"Personne de référence"
"Referrers Name:";"Nom de référents:"
"Referrers Code:";"Code de référents:"
"Change Mobile Number";"Changer de numéro de téléphone Mobile"
"Old Number";"Ancien numéro"
"Enter New Number";"Entrez le nouveau numéro"
"Enter your new number here";"Entrez ici votre nouvelle"
"Time Left:";"Temps restant:"
0.208333333333333;0.208333333333333
"Enter Code";"Entrez le Code"
"Crop Profile Photo";"Rogner la Photo profil"
"Crop Cover Photo";"Photo de couverture de récolte"
"Share via Email";"Partager par courriel"
"Enter recipient email here. Separated with commas.";"Entrez les destinataire email ici. Séparés par des virgules."
"Enter your message here";"Entrez votre message ici"
"Personal Information";"Renseignements personnels"
"Enter your first name here";"Entrez ici votre prénom"
"Enter your last name here";"Entrez votre nom ici"
"TIN ID:";"ID D'ÉTAIN:"
"Enter your TIN here";"Entrez votre TIN ici"
"Upload Valid ID Photo:";"Télécharger Photo d'identité valide:"
"You already uploaded your valid ID";"Vous avez déjà téléchargé votre pièce d'identité valide"
"Why am i being asked for my TIN?";"Pourquoi me demande-t-on mon étain?"
"Enter your address title here";"Entrez ici le titre de votre adresse"
"Enter your address unit number here";"Entrez votre numéro d'unité adresse ici"
"Enter your address building name here";"Entrez votre adresse ici le nom de construction"
"Enter your address street number here";"Entrez votre numéro de rue adresse ici"
"Enter your address street name here";"Entrez votre nom de rue adresse ici"
"Enter your address subdivision here";"Entrer dans la subdivision de votre adresse ici"
"Select your city";"Sélectionnez votre ville"
"Select your barangay";"Sélectionnez votre barangay"
"Enter your zip code here";"Saisissez votre code postal ici"
"Do you want to set this new address as the default location for every Product Pick-up request?";"Vous voulez mettre cette nouvelle adresse dans l'emplacement par défaut pour chaque demande de produit Pick-up?"
"Update Shipping Address";"Mettre à jour l'adresse de livraison"
