"click here";"clicca qui"
"Driver's License File";"File Patente di Guida"
"Download Driver's License File";"Scarica File Patente di Guida"
"PRC File";"File PRC"
"Download PRC File";"Scarica File PRC"
"Voter's ID File";"File ID dell'Elettore"
"Download Voter's ID File";"Scarica File ID dell'Elettore"
"School ID File";"File ID Scolastico"
"Download School ID File";"Scarica File ID Scolastico"
"Select your TIN file from your computer";"Seleziona il tuo file TN dal tuo computer"
"Valid ID";"ID Valido"
"Select the type of Valid ID you want to upload from your computer";"Seleziona il tipo di ID Valido che desideri caricare dal tuo computer"
"Seller Type:";"Tipo Venditore:"
Seller;Venditore
Affiliate;Affiliato
"Owner Name:";"Nome Proprietario:"
"Store Name:";"Nome Negozio:"
"Primary Address:";"Indirizzo Principale:"
"Contact Number:";"Numero di Telefono:"
"Change Content";"Modifica Contenuto"
Edit;Modifica
Start;Inzia
"Bank Name:";"Nome Banca:"
"Account Title:";"Titolo Conto:"
"Account Name:";"Nome Conto:"
"Account Number:";"Numero Conto:"
"Document Name";"Nome Documento"
"Date Uploaded";"Data di Caricamento"
Status;Stato:
Message;Messaggio
"FORM MA11501 Permit";"Permesso FORM MA11501 "
Others;Altri
SSS;SSS
"PAG IBIG";"PAG IBIG"
Postal;Postale
Passport;Passaporto
"Driver's License";"Patente di Guida"
PRC;PRC
"Voter's ID";"ID Elettore"
"School ID";"ID Scolastico"
"Legal Documents";"Documenti Legali"
Comments;Commenti
Close;Chiudi
"Already a member?";"Sei già membro?"
"Sign In";"Accedi"
"The Question";"La Domanda"
"&#9679";"&#9679"
Benefits;Vantaggi
System;Sistema
Support;Supporto
"Want to start-up a business without any investment? Looking for passive income?";"Vuoi iniziare un'attività senza alcun investimento? Sei alla ricerca di reddito passivo?"
"Sign in";"Accedi"
Register;Registrati
"Enter your email or contact number here";"Inserisci qui il tuo nome o numero da contattare"
Password;Password
"Forgot Password?";"Password Dimenticata?"
Administrator;Amministratore
View;Vedi
Hide;Nascondi
"New Bank Account";"Nuovo Conto Bancario"
"Update Bank Account";"Aggiorna Conto Bancario"
Logout;Logout
"View Store Info";"Vedi Informazioni Negozio"
Settings;Impostazioni
Help;Aiuto
Categories;Categorie
"Current Order:";"Ordine Attuale:"
"New Category";"Nuova Categoria"
"Add new category";"Aggiungi nuova categoria"
"Delete Categories";"Elimina Categorie"
"Customize Category";"Personalizza Categoria"
"Category Name";"Nome Categoria"
"Parent Category";"Categoria Principale"
"Select a parent category";"Seleziona la categoria principale"
"Custom Category Products";"Personalizza Prodotti Categorie"
"Search item here";"Cerca articolo qui"
"All Products";"Tutti i Prodotti"
"Total Earning";"Ricavo Totale"
"Active Earning";"Ricavo Attivo"
"Tentative Earning";"Ricavo Provvisorio"
"Total Withdrew";"Totale Prelevato"
"Search :";"Cerca:"
"Keyword :";"Parola Chiave:"
"Type :";"Tipo:"
"Status :";"Stato:"
"Date :";"Data:"
"Net Receivables";"Non Esigibile"
"Tentative Receivable";"Esigibile Provvisorio"
"Available Balance";"Saldo Disponibile"
"Available Balance:";"Saldo Disponibile:"
"Withdrawal Amount:";"Importo Prelievo:"
"Withdrawal Method:";"Metodo di Prelievo:"
"Deposit to Bank";"Deposita in Banca"
"Deposit To:";"Deposita A:"
"Mobile Number:";"Numero Cellulare:"
"Confirmation Code:";"Codice di Conferma:"
"Confirm Withdrawal";"Conferma Prelievo"
"Withdrawal Request List";"Lista Richiesta Prelievo"
Date;Data
Method;Metodo
"Deposit To/Pay To";"Deposita A/Paga A"
Requested;Richiesto
"Bank Charge";"Addebito Banca"
Amount;Importo
"Your QR Code";"Il tuo Codice QR"
"Download your QR Code";"Scarica il tuo Codice QR"
"240 x 240";"240 x 240"
"480 x 480";"480 x 480"
"960 x 960";"960 x 960"
"1920 x 1920";"1920 x 1920"
"SVG Format";"Formato SVG"
"How to Earn More";"Come Guadagnare di Più"
Comment;Commenta
"Earn Per Comment";"Guadagna Per Commento"
"Bonus Earning";"Guadagno Bonus"
"__1 - 5";"__1 - 5"
"__6 - 20";"__6 - 20"
"21 - 50";"21 - 50"
"51 - 100";"51 - 100"
"100 - 500";"100 - 500"
"501 - above";"501 - superiore"
-;-
"Total Comments";"Commenti Totali"
32;32
"Earning on Comment";"Guadagno su Commento"
Followers;Follower
"Earn Per Follower";"Guadagna per Follower"
"__1 - 20";"__1 - 20"
"101 - 500";"101 - 500"
"501 - 2,000";"501 - 2,000"
"Total Followers";"Follower Totali"
106;106
"Earning on Followers";"Guadagno su Follower"
"Your Referral Code";"Il Tuo Codice di Riferimento"
100-043-210;100-043-210
"Your Referral Link";"Il Tuo Link di Riferimento"
"Copy Link";"Copia Link"
"Share on Social Media";"Condividi su Social Media"
"Total Buyer Network";"Rete Compratori Totali"
"Earning on Buyer Network";"Guadagno su Rete Compratori"
"Affiliate Level";"Livello Affiliato"
"Store Space";"Spazio Negozio"
Silver;Argento
"Below P 5,000";"Inferiore a P 5,000"
"150 Products";"150 Prodotti"
"Current Level";"Livello Attuale"
Gold;Oro
"P 5,001 to P 20,000";"P 5,001 a P 20,000"
"200 Products";"200 Prodotti"
Platinum;Platino
"P 20,001 to P 50,000";"P 20,001 a P 50,000"
"300 Products";"300 Prodotti"
Diamond;Diamante
"Above P 50,000";"Superiore a P 50,000"
"500 Products";"500 Prodotti"
Name;Nome
"Contact Number";"Numero da Contattare"
Action;Azione
Dashboard;Dashboard
"Store Information";"Informazioni Negozio"
Transaction;Transazione
"Product Management";"Gestione Prodotto"
"Customized Category";"Categoria Personalizzata"
"Upload Product";"Carica Prodotto"
"Select Product";"Seleziona Prodotto"
Reports;Report
Messages;Messaggi
"Resolution Center";"Centro di Risoluzione"
"Point Earned";"Punto Guadagnato"
Breakdown;Interruzione
"+ 10 Points";" + 10 Punti"
"- 10 Points";" - 10 Punti"
Status:;Stato:
"Seller ID:";"ID Venditore"
;
"Total Sales";"Vendite Totali"
"Total Net Sales";"Vendite Nette Totali"
"Buyer Networks";"Reti Compratore"
"Success Transaction";"Transazione Completata"
"Total Earnings";"Guadagni Totali"
"Search type :";"Cerca tipo:"
"Select Here";"Seleziona Qui"
"Search keyword here";"Cerca qui per parola chiave"
"Sales (Tentative/Complete)";"Vendite (Provvisorie/Complete)"
"Invalid (Cancelled/Disputed)";"Non Valide (Annullate/Controverse)"
"Sales Report";"Report Vendite"
"Recent Earning";"Guadagno Recente"
Description;Descrizione 
"Transaction Amount";"Importo Transazione"
Charges;Addebiti
Receivable;Esigibile
"Select Products";"Seleziona Prodotti"
Sub-Category;Sotto Categoria
"Select a category to filter the results";"Seleziona una categoria per filtrare i risultati"
"Product to Sell";"Prodotto da Vendere"
Details;Dettagli
Price:;Prezzo:
Comission:;Commissione:
"Add to Selected";"Aggiungi a Selezionati "
"View product";"Vedi prodotto"
Cases;Casi
"Search By Case Id";"Cerca Per Id Caso"
Search;Cerca
Filter;Filtro
"Case ID";"ID Caso"
"Dispute Title";"Titolo Disputa"
"Other Party";"Controparte"
"Date Opened";"Data Aperto"
Open;Aperto
Closed;Chiuso
"No case found";"Nessun caso trovato"
"Enter title here";"Inserisci qui il titolo"
"Select dispute type here";"Seleziona qui il tipo di disputa"
"Select reason here";"Seleziona qui la ragione"
"Select transaction here";"Seleziona qui la transazione"
"Select item to dispute:";"Seleziona l'articolo da disputare:"
"Leave your remarks here";"Lascia i tuoi commenti qui"
OPEN;APERTO
CLOSED;CHIUSO
Reason:;Ragione:
Notifications;Notifiche
"Account setting";"Impostazioni conto"
"Enter your password here";"Inserisci qui la tua password"
Deactivate;Disattiva
"This Year";"Quest'Anno"
"This Week";"Questa Settimana"
"This Month";"Questo Mese"
"Payment Method";"Metodo di Pagamento"
Qty;Quantità
"Payment Type";"Tipo Pagamento"
"Order Status";"Stato Ordine"
Total;Totale
"Transaction Number";"Numero Transazione"
"Payment Type:";"Tipo Pagamento:"
"Date Created:";"Data Creato:"
"Total Quantity:";"Quantità Totale:"
"Total Product Cost:";"Costo Prodotto Totale:"
"Total Shipping Fee:";"Totale Spese di Spedizione:"
"Total Cost:";"Costo Totale:"
"Product List";"Lista Prodotto"
SKU:;SKU:
Details:;Dettagli:
Quantity:;Quantità:
"Product Price:";"Prezzo Prodotto:"
Condition:;Condizione:
"Total Price:";"Prezzo Totale:"
Brand:;Marchio:
Consignee;Mittente
Consignee:;Mittente:
Address:;Indirizzo:
Type;Tipo
"Earning Report";"Report Guadagno"
Resources;Risorse
Percent;Percento
"View Detail";"Vedi Dettaglio"
Weekly;Settimanale
Monthly;Mensile
Earnings;Guadagni
"View All";"Vedi Tutto"
"Total Tentative Earning";"Guadagni "
"Total Complete Earning";"Totale Guadagni Completati"
"Total Affiliate Network";"Rete Affiliate Totali"
"Earning on Affiliate Network";"Guadagni su Rete Affiliate"
"Total Charges";"Addebiti Totali"
"Total Net Receivables";"Totale Esigibile Netto"
"Total Active Receivables";"Totale Esigibile Attivo"
"Requested Amount";"Importo Rihciesto"
"Amount to be Received";"Importo da Ricevere"
All;Tutto
"Submit for Review";"Invia per Revisione"
"Activate Product";"Attiva Prodotto"
"Deactivate Product";"Disattiva Prodotto"
"Delete Product";"Eimina Prodotto"
"Date Updated";"Data Aggiornata"
"Product Name";"Nome Prodotto"
"Total Quantity";"Quantità Totale"
"Product Price";"Prezzo Prodotto"
Condition;Condizione
Active;Attivo
Deleted;Eliminato
Inactive;Inattivo
Draft;Bozza
"Under Review";"Sotto Revisione"
Rejected;Rifiutato
"Manage your preferences";"Gestisci le tue preferenze"
"Upload it now";"Carica ora"
"Save as Draft";"Salva come Bozza"
"Product Details";"Dettagli Prodotto"
"Enter product name here";"Inserisci qui nome prodotto"
"Short Description";"Breve Descrizione"
"Enter short product description here";"Inserisci qui breve descrizione prodotto"
"characters remaining";"caratteri rimanenti"
"Upload Video";"Carica Video"
"Enter youtube video url here";"Inserisci qui URL youtube"
Upload;Carica
"Invalid video embed URL";"Incorporamento di URL video non valido  "
"Verifying video";"Verifica video"
"Complete Description";"Completa Descrizione"
"Enter product description here";"Inserisci qui descrizione prodotto"
"Enter brand here";"Inserisci qui marchio"
"Select Condition";"Seleziona Condizione"
"Select your Category";"Seleziona la tua Categoria"
"Select Category";"Seleziona Categoria"
"Inventory and Variants";"Inventario e Varianti"
"Detail Name";"Nome Dettaglio"
Values;Valori
Actions;Azioni
"Product Combinations";"Combinazioni Prodotto"
Images;Immagini
Combinations;Combinazioni
Price;Prezzo
Stocks;Stock
__0.00;__0.00
"Add Discount";"Aggiungi Sconto"
"Final Price";"Prezzo Finale"
"SKU (Stock Keeping Unit)";"SKU (Stock Keeping Unit)"
"Enter stock keeping unit here";"Inserisci SKU qui"
"You can assign any code in order to keep track of your items";"Puoi assegnare qualsiasi codice per tracciare i tuoi articoli"
"Number of Stocks Available";"Numero di Stock Disponibili"
0;0
"Maximum quantity allowed is 999";"La quantità massima permessa è 999"
"Dimensions and Weight";"Dimensioni e Peso"
"Length (CM)";"Lunghezza (CM)"
"Height (CM)";"Altezza (CM)"
"Width (CM)";"Larghezza (CM)"
"Weight (KG)";"Peso (KG)"
"Variant Name";"Nome Variante"
"Enter keywords here";"Inserisci qui parole chiave"
"Variant Choice";"Scelta Variante"
"Hit enter to add another";"Premi enter per aggiungerne un'altra"
"You can search your category here";"Puoi cercare la tua categoria qui"
Back;Indietro
Size;Misura
"Select Size Here";"Seleziona Qui la Misura"
"Upload image first";"Carica prima l'immagine"
"Variant Successfully Added";"Variante Aggiunta Correttamente"
"Crop Photo";"Taglia Foto"
Crop;Taglia
"All Categories";"Tutte le Categorie"
"Category Search Suggestion";"Suggerimento Ricerca Categoria"
Select;Seleziona
"&larr";"&larr"
Photos;Foto
"Full Description";"Descrizione Intera"
"See More";"Mostra di più"
Video;Video
Category:;Categoria:
"Regular Price:";"Prezzo Regolare:"
"Discounted Price:";"Prezzo Scontato:"
Commission:;Commissione:
"Length (CM):";"Lunghezza (CM):"
"Width (CM):";"Larghezza (CM):"
"Height (CM):";"Altezza (CM):"
"Weight (KG):";"Peso (KG):"
"Additional Details";"Ulteriori Dettagli"
"Edit Product";"Modifica Prodotto"
Email;Email
"Enter your email here";"Inserisci qui il tuo indirizzo email"
Change;Modifica
"Click here to verify";"Clicca qui per verificare"
"Change Email Address";"Cambia Indirizzo Email"
"Enter your new email address here";"Inserisci qui il tuo nuovo indirizzo email"
"Confirm your new email address here";"Conferma qui il tuo nuovo indirizzo email"
"Change Password";"Modifica Password"
"Current Password";"Password Attuale"
"Enter your current password here";"Inserisci qui la tua password attuale"
"New Password";"Nuovo Password"
"Confirm New Password";"Conferma Nuova Password"
"Confirm your new password here";"Conferma qui la tua nuova password"
"All in one place";"Tutto in un unico posto"
"Invalid email/contact number or password.";"Email/numero di telefono o password non corretti."
"Email Verified.";"Email Verificata."
"Password reset success.";"Password Reimpostata con Successo"
"Enter your email contact number here";""
"Remember Me";"Ricordami"
"Copyright 2015 YiLinker. All Rights Reserved";"Copyright 2015 YiLinker. Tutti i Diritti Riservati"
"Reset password request sent";"Richiesta "
"Reset Password";"Reimposta Password"
"Confirm new password";"Conferma nuova password"
"Verify Number";"Verifica Numero"
"Profile Photo";"Foto Profilo"
"Select an image from your computer (10mb max)";"Seleziona un'immagine dal tuo computer (10mb massimo)"
"Cover Photo";"Foto di Copertina"
"Enter your store name here";"Inserisci qui il nome del tuo negozio"
"Mobile Phone";"Cellulare"
"Enter your mobile number here";"Inserisci qui il tuo numero di cellulare"
"Enter your store slug here";"Inserisci qui"
"Store Description";"Descrizione Negozio"
"Enter your store description here";"Inserisci qui la descrizione del tuo negozio"
"Save Changes";"Salva Modifiche"
Undo;Annulla
"Select your categories";"Seleziona le tue categorie"
"QR Code";"Codice QR"
"Share with";"Condividi con"
"Generate your QR Code";"Genera il tuo Codice QR"
"Copy Link.";"Copia Link."
"Copy Code";"Copia Codice"
"Referral Person";"Referente"
"Referrers Name:";"Nome Referenti:"
"Referrers Code:";"Codice Referenti:"
"Change Mobile Number";"Modifica Numero Cellulare"
"Old Number";"Vecchio Numero"
"Enter New Number";"Inserisci Nuovo Numero"
"Enter your new number here";"Inserisci qui il tuo nuovo numero"
"Time Left:";"Tempo Rimasto:"
0.208333333333333;0.208333333333333
"Enter Code";"Inserisci Codice"
"Crop Profile Photo";"Taglia Foto Profilo"
"Crop Cover Photo";"Taglia Foto Copertina"
"Share via Email";"Condividi via Email"
"Enter recipient email here. Separated with commas.";"Inserisci qui l'indirizzo email del destinatario. Separati da virgole."
"Enter your message here";"Inserisci qui il tuo messaggio"
"Personal Information";"Informazioni Personali"
"Enter your first name here";"Inserisci qui il tuo nome"
"Enter your last name here";"Inserisci qui il tuo cognome"
"TIN ID:";"ID TIN:"
"Enter your TIN here";"Inserisci qui il tuo TIN"
"Upload Valid ID Photo:";"Carica Foto Valida ID:"
"You already uploaded your valid ID";"Hai già caricato il tuo ID valido"
"Why am i being asked for my TIN?";"Perché mi è stato chiesto il mio TIN?"
"Enter your address title here";"Inserisci qui il tuo titolo di indirizzo"
"Enter your address unit number here";"Inserisci qui il tuo numero di unità"
"Enter your address building name here";"Inserisci qui il tuo numero di edificio"
"Enter your address street number here";"Inserisci qui il tuo numero civico"
"Enter your address street name here";"Inserisci qui il nome della tua via"
"Enter your address subdivision here";"Inserisci qui la tua sotto divisione"
"Select your city";"Seleziona la tua città"
"Select your barangay";"Inserisci il tuo barangay"
"Enter your zip code here";"Inserisci qui il tuo codice postale"
"Do you want to set this new address as the default location for every Product Pick-up request?";"Vuoi impostare questo nuovo indirizzo come luogo predefinito per ciascuna richiesta di Pick-up del prodotto?"
"Update Shipping Address";"Aggiorna Indirizzo di Spedizione"
