"Women Clothing";"เสื้อผ้าผู้หญิง"
"Schonning Watch (red, metal, large)";"นาฬิกา Schonning (สีแดง โลหะ ขนาดใหญ่)"
"Schonning Watch";"นาฬิกา Schonning"
Size;ขนาด
Color;สี
Metal;โลหะ
"Philips Series 500";"Philips ชุด 500"
Subtotal;ผลรวมย่อย
"Shipping Fee";"ค่าจัดส่ง"
Free;ฟรี
"(Metro Manila only)";"(มะนิลาเท่านั้น)"
Small;ขนาดเล็ก
Red;สีแดง
Steel;เหล็ก
"Add to Cart";"หยิบใส่รถเข็น"
"Powered by:";"รับพลังมาจาก:"
"To Do business";"การทำธุรกิจ"
"Login as seller";"เข้าสู่ระบบเป็นผู้ขาย"
"Login as affiliate";"เข้าสู่ระบบเป็นพันธมิตร"
"Help &amp; Support";"ความช่วยเหลือและสนับสนุนของแอมป์"
"Your account";"บัญชีของคุณ"
"Your order";"การสั่งซื้อ"
"Resolution Center";"ความละเอียดที่ศูนย์"
Complaints;ข้อร้องเรียน
"Privacy Policy";"นโยบายการเก็บข้อมูลส่วนบุคคล"
"Contact Us";"ติดต่อเรา"
"Related Links";"ลิงค์ที่เกี่ยวข้อง"
"Download our app";"ดาวน์โหลดแอปของเรา"
"Download our app (via QR Code)";"ดาวน์โหลดแอพ (ผ่าน QR Code)"
"for apple";"สำหรับแอปเปิ้ล"
"for android";"สำหรับ Android"
"Email Newsletter";"อีเมลล์"
"Get the word out. Make sure you don't miss out on interesting events, sale, and more by joining our newsletter program.";"ได้คำออก ตรวจสอบให้แน่ใจว่า คุณไม่ได้พลาดสนใจกิจกรรม ขาย และอื่น ๆ โดยการเข้าร่วมโปรแกรมจดหมายข่าวของเรา"
Subscribe;สมัครสมาชิก
"&copy; 2015 YiLinker. Trademarks and brands are the property of their respective owners.";"และคัดลอก 2558  YiLinker เครื่องหมายการค้าและแบรนด์เป็นทรัพย์สินของเจ้าของ"
FAQ;คำถามที่ถามบ่อย
"Shipping &amp; delivery";"จัดส่งจัดส่งและแอมป์"
"Return Policy";"นโยบายการคืนสินค้า"
"Terms of use";"เงื่อนไขการใช้"
"Contact us";"ติดต่อเรา"
Payment;ชำระเงิน
"Get the word out. Make sure you didn't miss interesting events, sale, and more by joining our newsletter program.";"ได้คำออก ตรวจสอบให้แน่ใจว่า คุณไม่ควรพลาดสนใจกิจกรรม ขาย และอื่น ๆ โดยการเข้าร่วมโปรแกรมจดหมายข่าวของเรา"
"Your current browser was developed over a decade ago,";"เบราว์เซอร์ปัจจุบันของคุณได้รับการพัฒนามานานกว่าทศวรรษที่ผ่านมา"
"its like watching TV in black and white in 2015!";"มันเป็นเหมือนใน 2015 ดูขาวดำ!"
"Please view the website in one of these modern browsers";"โปรดดูเว็บไซต์ในเบราว์เซอร์ที่ทันสมัยเหล่านี้อย่างใดอย่างหนึ่ง"
download;ดาวน์โหลด
"google chrome";"กูเกิลโครม"
"mozilla firefox";"mozilla firefox"
"apple safari";"แอปเปิ้ลซาฟารี"
Categories;หมวดหมู่
Search...;ค้นหา...
"Suggested Search";"ค้นหาที่แนะนำ"
"(eg. mobile, dress, toys, etc...)";"แอปเปิ้ลซาฟารี"
English;ภาษาอังกฤษสำหรับ
Chinese;ค้นหา...
Canada;ค้นหาที่แนะนำ
"For Android";"สำหรับ Android"
"For IOS";"สำหรับ IOS"
"on your wishlist";"ในรายการโปรดของฉัน"
"0 items";"0 รายการ"
"on your cart";"ในรถเข็นของคุณ"
"Account Management";"การจัดการบัญชี"
Settings;การตั้งค่า
Messages;ข้อความ
Help;วิธีใช้
Logout;ออกจากระบบ
Sign-Up;ลงทะเบียน
Log-In;เข้าสู่ระบบ
"Filter Area:";"พื้นที่ตัวกรอง:"
Sub-Category;ประเภทย่อย
All;ทั้งหมด
Price;ราคา
"Price Range";"ช่วงราคา"
Brand;แบรนด์
"More Filter";"ตัวกรองเพิ่มเติม"
"Sort By:";"เรียงลำดับโดย:"
Relevance;ความเกี่ยวข้อง
"New to Old";"ใหม่ไปเก่า"
"Old to New";"เก่าไปใหม่"
Alphabetical;ตัวอักษร
Popularity;ความนิยม
of;ของ
"View By:";"ดูโดย:"
"Add to cart";"หยิบใส่รถเข็น"
"You have 0 items on your wishlist";"คุณมี 0 รายการในรายการโปรดของฉัน"
"All Categories";"หมวดหมู่ทั้งหมด"
Home;บ้าน
"Sub Category:";"หมวดหมู่ย่อย:"
More;เพิ่มเติม
Less;น้อย
"view more";"ดูเพิ่มเติม"
"Edit Address";"แก้ไขที่อยู่"
"Delete Address";"ลบที่อยู่"
"See More";"ดูเพิ่มเติม"
"Ship To";"จัดส่งให้"
"New Address";"ที่อยู่ใหม่"
Proceed;ดำเนินการต่อไป
"Guest Checkout allows you to purchase from our website even if you aren't registered. After your purchase has been completed you'll still have the option to register for an account.";"ผู้เข้าพักชำระเงินช่วยให้คุณสามารถซื้อจากเว็บไซต์ของเราแม้ว่าคุณไม่ได้ลงทะเบียน หลังจากซื้อของเสร็จ คุณจะยังคงมีตัวเลือกในการลงทะเบียนสำหรับบัญชีผู้ใช้"
"Verify Number";"ตรวจสอบหมายเลข"
"Verification code has been successfully resent";"รหัสตรวจสอบเรียบร้อยแล้วส่ง"
"You are about to change your contact number, please ensure that your mobile phone is within reach before you proceed with this step.";"คุณกำลังจะเปลี่ยนหมายเลขผู้ติดต่อของคุณ โปรดให้แน่ใจว่า โทรศัพท์มือถือเข้าถึง"
"Please enter the 6 digit code that was sent to your mobile phone";"กรุณาใส่รหัส 6 หลักที่ถูกส่งไปยังโทรศัพท์มือถือ"
"Time Left:";"เวลาที่เหลือ:"
00:00;0:00
"Enter Code";"ป้อนรหัส"
"Enter your verification code";"ป้อนรหัสยืนยัน"
Cancel;ยกเลิก
"Resend Code";"ส่งรหัส"
"Verify and Continue";"ตรวจสอบ และดำเนินการต่อไป"
"Checkout Type";"ชนิดการชำระเงิน"
Summary;สรุป
Overview;ภาพรวม
Email/Mobile;มือถืออีเมล์
"Enter your email/mobile here";"ป้อนอีเมล์/มือถือของคุณที่นี่"
Password;รหัสผ่าน
"Enter your password here";"ป้อนรหัสผ่านของคุณที่นี่"
"Sign In &amp; Continue";"ลงชื่อเข้าใช้ และแอมป์"
"or sign in with";"หรือลงชื่อเข้าใช้"
Facebook;Facebook
Google+;Google +
"Order Summary";"สรุปใบสั่ง"
"Grand Total";"รวมทั้งหมด"
"Voucher Deduction";"ใบสำคัญหัก"
"There are no items to checkout.";"ไม่มีรายการการชำระเงิน"
"Go back to checkout";"กลับไปเช็คเอาท์"
Congratulations;ขอแสดงความยินดี
"Your purchase was a success";"ซื้อความสำเร็จ"
"Want to buy more items similar to this?";"ต้องการซื้อสินค้าที่คล้ายกันนี้"
"Congratulations on a successful purchase! While waiting for your product to arrive, we suggest checking out other related products that you just bought.";"ขอแสดงความยินดีในการซื้อสำเร็จ ในขณะที่รอสำหรับผลิตภัณฑ์ของคุณจะมาถึง เราแนะนำให้ตรวจสอบผลิตภัณฑ์อื่น ๆ ที่เกี่ยวข้องที่คุณเพิ่งซื้อ"
"View Transaction";"ดูธุรกรรม"
or;หรือ
"Would you like to register an account?";"คุณต้องการลงทะเบียนสมาชิกหรือไม่"
"Based on the information that you've provided in your order, YiLinker already has your basic information that's needed in creating an account. If you'd like to register on our website to receive more exciting news about our upcoming products & other promos, just enter your password and you're all set.";"YiLinker อิงตามข้อมูลที่คุณให้ในการสั่งซื้อ มีข้อมูลพื้นฐานที่จำเป็นในการสร้างบัญชีผู้ใช้ ถ้าคุณต้องการลงทะเบียนบนเว็บไซต์ของเราได้รับข่าวเกี่ยวกับผลิตภัณฑ์ของเราเกิดและโปรโมชั่นอื่น ๆ โปรดระบุรหัสผ่านของคุณ และตั้งค่าทั้งหมด"
"Sign Up Now";"ลงทะเบียนตอนนี้"
"Consignee Name:";"ชื่อผู้รับ:"
"Justine Carl Duazo";"บริษัทคอสเมติคส์ Carl Duazo"
"Full Address:";"เต็มที่อยู่"
"6F Five E-com Tower, Pacific Drive, Mall of Asia Complex, Pasay City";"มอลล์ห้าหอ E com ไดรฟ์แปซิฟิก 6F ของเอเชียคอมเพล็กซ์ เมืองปา"
"Mobile Number:";"มือถือ:"
09271234567;09271234567
"City/ Municipality:";"เมือง / เทศบาล:"
Manila;มะนิลา
"Transaction Details";"รายละเอียดเพิ่มเติม"
"Transaction Number:";"หมายเลขธุรกรรม:"
123324234;123324234
"Invoice Number:";"หมายเลขใบแจ้งหนี้:"
2342q42342q34;2342q42342q34
"Payment Method:";"วิธีการชำระเงิน:"
"Cash on Delivery";"เก็บเงินปลายทาง"
"Total Amount:";"ยอดเงินรวม:"
"Transaction Date:";"วันที่ธุรกรรม:"
01/21/2016;01/21/2559
"Your Order Details";"รายละเอียดการสั่งซื้อของคุณ"
Product;ผลิตภัณฑ์
Quantity;ปริมาณ
"Size :";"ขนาด:"
"Color :";"สี:"
1;1
"Order Total";"สั่งซื้อทั้งหมด"
"Print Receipt";"พิมพ์ใบเสร็จ"
"YiLinker adheres to the highest standards when it comes to protecting our user's sensitive data. We currently don't save your Credit/Debit Card details on our website.";"YiLinker ยึดมั่นในมาตรฐานสูงสุดเมื่อมันมาถึงการปกป้องข้อมูลสำคัญของผู้ใช้ของเรา เรากำลังต้องบันทึกรายละเอียดของบัตรเครดิตบนเว็บไซต์ของเรา"
"Delivery Address:";"ที่อยู่จัดส่ง:"
"Consignee Contact Number:";"หมายเลขผู้ติดต่อ:"
"Voucher Code";"รหัสคูปอง"
"Invalid Or Expired Code";"รหัสไม่ถูกต้อง หรือหมดอายุ"
"Successfully applied code";"รหัสใช้เรียบร้อยแล้ว"
"Enter your voucher code here";"ป้อนรหัสบัตรกำนัลของคุณที่นี่"
Apply;นำไปใช้
"How Do You Wish To Pay?";"วิธีที่คุณต้องการ"
"Click one of the options below";"คลิกตัวเลือกด้านล่าง"
"To ensure that you'll have a smooth shopping & delivery experience, please prepare the exact amount upon the date of delivery.";"เพื่อให้แน่ใจว่า คุณจะได้ราบรื่นช้อปปิ้งและส่งพบ กรุณาเตรียมพร้อมตามจำนวนตามวันจัดส่ง"
"Your payment solution for Over-the-Counter (OTC) payments if you don't have a Credit/Debit card.";"โซลูชันของคุณชำระเงินสำหรับการชำระเงิน Over-the-Counter (OTC) ถ้าคุณไม่มีบัตรเครดิต"
"The Philippines' leading payment solution for Credit/Debit Card transactions.";"วิธีชำระเงินชั้นนำของฟิลิปปินส์สำหรับธุรกรรมบัตรเครดิต ย้อนกลับ"
"Go back";"ดำเนินการต่อไป"
Continue;ข้อด้อย
Consignee;ผู้รับ
"Ship this transaction with the consignee details below.";"จัดส่งธุรกรรมนี้ ด้วยรายละเอียดผู้รับ"
Name;ชื่อ
"Enter consignee name here";"ใส่ชื่อผู้รับที่นี่"
"Contact Number";"หมายเลขติดต่อ"
"Enter consignee contact number here";"ป้อนหมายเลขติดต่อผู้รับนี่"
"YiLinker Express is capable of shipping anywhere in the Philippines at affordable rates";"ด่วน YiLinker มีความสามารถในการจัดส่งที่ใดก็ได้ในราคาไม่แพง"
"YiLinker Express offers FREE shipping on Metro Manila orders only";"YiLinker Express บริการฟรีค่าจัดส่งในใบสั่งมะนิลาเท่านั้น"
"You'll receive the tracking details for your parcel soon after the dispatch of your order.";"คุณจะได้รับรายละเอียดการติดตามสำหรับพัสดุของคุณหลังจากการจัดส่งของใบสั่ง"
"Ships in";"เรือใน"
"No hidden fees";"ไม่มีค่าธรรมเนียม"
"7 days return policy";"นโยบายคืน 7 วัน"
"Mobile number is required";"หมายเลขโทรศัพท์ที่จำเป็น"
"Enter your mobile number here";"ป้อนหมายเลขโทรศัพท์ได้นี่"
"New Shipping Address";"ที่อยู่ที่จัดส่งใหม่"
"Delete Address?";"ลบที่อยู่"
"Are you sure you want to delete this address";"คุณแน่ใจหรือคุณต้องการลบที่อยู่"
Delete;ลบ
"Update Shipping Address";"ปรับปรุงที่อยู่จัดส่ง"
"Shipping address has been successfully updated";"ที่อยู่จัดส่งเสร็จเรียบร้อยแล้ว"
Okay;โอเค
"Change Mobile Number";"เปลี่ยนมือถือ"
"Invalid contact number";"หมายเลขผู้ติดต่อที่ไม่ถูกต้อง"
"Enter New Number";"ป้อนหมายเลขใหม่"
"Enter your new number here";"หมายเลขใหม่ที่นี่"
Submit;ส่ง
"The code is either invalid or is already expired.";"รหัสไม่ถูกต้อง หรือหมดอายุแล้ว"
Verify;ตรวจสอบ
"Contact number has been successfully verified.";"ตรวจสอบหมายเลขที่ติดต่อสำเร็จ"
"Check As";"ตรวจสอบเป็น"
"Sign In";"เข้าสู่ระบบ"
"Guest Checkout";"ผู้เข้าพักชำระเงิน"
"Welcome to YiLinker";"ยินดีต้อนรับสู่ YiLinker"
"You cannot use the checkout functionality while you're still unverified.";"คุณไม่สามารถใช้ฟังก์ชันการชำระเงินในขณะที่คุณยังไม่ได้ตรวจสอบ"
Back;ย้อนกลับ
"Back to Home Page";"กลับไปหน้าแรก"
"Get Our App for FREE";"ได้รับ App ของเราฟรี"
"YiLinker - All you need in one place";"YiLinker - สิ่งที่คุณต้องการในเดียว"
"Coming soon";"เร็ว ๆ นี้"
;
"Be a Buyer";"เป็นผู้ซื้อ"
"View our Site";"เว็บไซต์ของเรา"
"Be a Seller";"เป็นผู้ขาย"
"Join Now";"เข้าร่วมทันที"
"Be an Affiliate";"เป็นตัวแทน"
"Learn More";"ศึกษาเพิ่มเติม"
"Stay tuned! You can subscribe to our newsletter to get";"ติดตาม คุณสามารถสมัครสมาชิกเพื่อรับจดหมายข่าว"
"a notification when we launch!";"การแจ้งเตือนเมื่อเราเปิดตัว"
"Enter your email address here";"ป้อนที่อยู่อีเมล์ของคุณที่นี่"
SUBSCRIBE;สมัครสมาชิก
"+63 977-7265481";"+ 63 977-7265481"
"Top Brands";"แบรนด์ยอดนิยม"
"Shop This Brand";"ร้านค้าแบรนด์นี้"
off;ปิด
"Add to wislist";"เพิ่ม wislist"
"Top Categories";"หมวดหมู่ยอดนิยม"
"Shop Now";"ซื้อตอนนี้"
"Featured Items";"รายการแนะนำ"
"view more &rarr;";"ดูเพิ่มเติมและ rarr"
"Top Sellers";"ขายดีที่สุด"
"Seller Name";"ชื่อผู้ขาย"
Specialty:;พิเศษ:
FEATURED;ที่โดดเด่น
"Items You May Like";"รายการที่คุณอาจชอบ"
"New Arrivals";"สินค้ามาใหม่"
"Banner Title";"เรื่องแบนเนอร์"
"New Sellers";"ผู้ขายใหม่"
"See What Others are Selling";"ดูอะไรอื่น ๆ ขาย"
"view more sellers";"ดูเพิ่มเติมขาย"
"Our Recommendation";"เราแนะนำ"
"Trending Categories";"หมวดหมู่ยอดนิยม"
"Recommended Seller";"ผู้ขายแนะนำ"
"Free Shipping Nationwide";"จัดส่งฟรีทั่วประเทศ"
"No minimum purchase required";"สั่งซื้อไม่มีขั้นต่ำ"
"7-day return";"คืน 7 วัน"
"Money back guaranteed";"ค่าเงินหลังรับประกัน"
"24/7 Support";"24/7 สนับสนุน"
"Online help";"วิธีใช้แบบออนไลน์"
"Safe Shopping";"รถปลอดภัย"
"Product guaranteed";"สินค้ารับประกัน"
"20% off";"ส่วนลด 20%"
"Thank You!";"ขอบคุณ!"
"See you Soon!";"เจอกันใหม่เร็ว ๆ นี้!"
"Promo Mechanics:";"โปรโมชั่นกลศาสตร์:"
YiLinker;YiLinker
"Campaign Period: November 16 to December 13, 2015";"ระยะเวลาส่งเสริมการขาย: 16 พฤศจิกายนกับ 13 ธันวาคม 2558"
Prizes;รางวัล
"Main Prize:";"รางวัลหลัก:"
"Consolation Prize:";"รางวัลชมเชย:"
"How to Join?";"วิธีการเข้าร่วม"
"6F Five E-Com Center Pacific Drive, MOA Complex, Pasay City, Metro Manila, Philippines";"6F ห้า E Com ศูนย์แปซิฟิกไดรฟ์ ศูนย์บริการ ปาซิตี้ เมโทรมะนิลา ฟิลิปปินส์"
"The following are not qualified for the promo:";"ต่อไปนี้มีคุณสมบัติไม่ครบถ้วนสำหรับการส่งเสริมการขาย:"
"Criteria for Claiming the Prize";"เงื่อนไขสำหรับการรับรางวัล"
"For a person to qualify, he/she:";"สำหรับคนที่จะรับ เขา:"
"Users may join the promo by:";"ผู้ใช้สามารถเข้าร่วมโปรโมชั่นโดย:"
"How to Register?";"วิธีการลงทะเบียน"
"How to Create an Entry?";"วิธีการสร้างรายการ"
"Terms and Condition";"ข้อกำหนดและเงื่อนไข"
"Out of Stock";"ออกจากสต็อก"
"7-Day Return";"คืน 7 วัน"
"Free Shipping";"จัดส่งฟรี"
"scroll down";"เลื่อนลง"
"for more info";"สำหรับข้อมูลเพิ่มเติม"
"{0} no reviews|{1} %count% review|]1,Inf[ %count% reviews";"{0} ไม่ reviews| {1} %จำนวน% review|] 1, Inf [%นับ%ความคิดเห็น"
"Add to Wishlist";"เพิ่มในรายการโปรด"
"Short Description";"คำอธิบายโดยย่อ"
Seller;ผู้ขาย
"Free Shipping (Metro Manila only)";"จัดส่งฟรี (มะนิลาเท่านั้น)"
"out of stock";"ออกจากสต็อก"
"Buy now";"ซื้อตอนนี้"
"Share this product";"แบ่งปันสินค้านี้"
Twitter;ทวิตเตอร์
"Description &amp; Specifications";"คำอธิบายและแอมป์"
"Payment &amp; Shipping";"ชำระเงินและแอมป์"
"Buyer Reviews";"ความคิดเห็นจากผู้ซื้อ"
"Special Offers";"ข้อเสนอพิเศษ"
Description;คำอธิบาย
"Related Video";"วิดีโอที่เกี่ยวข้อง"
Specifications;ข้อมูลจำเพาะ
Condition;เงื่อนไข
SKU;SKU
"Payment Options";"เลือกการชำระเงิน"
"We accept all major credit cards through DragonPay &amp; PesoPay.";"เรารับบัตรเครดิตทุกธนาคารผ่าน DragonPay และแอมป์"
"We do not accept other currency in any amount";"เราไม่รับเงินสกุลอื่นในจำนวนเงิน"
"Sellers can't require buyers to pay using methods that aren't allowed on YiLinker";"ผู้ขายไม่ต้องการผู้ซื้อชำระเงินโดยใช้วิธีที่ไม่ได้รับอนุญาต YiLinker"
"Shipping &amp; Handling";"จัดส่งและแอมป์"
"Not available";"ไม่พร้อมใช้งาน"
"Add to wishlist";"เพิ่มในรายการโปรด"
"No rating or review for this product yet";"ไม่มีคะแนนหรือรีวิวผลิตภัณฑ์นี้ยัง"
Specialty;พิเศษ
"Mark your Address";"เครื่องหมายที่อยู่ของคุณ"
"Mark Location";"ที่ตั้ง"
"Feedback for Product";"ความคิดเห็นสำหรับผลิตภัณฑ์"
"Feedback title and content cannot be empty";"ความคิดเห็นชื่อเรื่องและเนื้อหาต้องไม่ว่างเปล่า"
"Let other people know what you think about this product.";"ให้คนอื่นทราบว่าคุณคิดเกี่ยวกับผลิตภัณฑ์นี้"
Rating:;คะแนน:
Title:;ชื่อเรื่อง:
"Enter review title here";"ป้อนชื่อเรื่องรีวิวนี่"
Comment:;ความคิดเห็น:
"Leave a comment";"ความคิดเห็น"
"Feedback for Seller";"ความคิดเห็นสำหรับผู้ขาย"
"Product List";"รายการผลิตภัณฑ์"
SKU:;SKU:
Quantity:;ปริมาณ:
Details:;รายละเอียด:
Condition:;เงื่อนไข:
"Product Price:";"ราคาสินค้า:"
Brand:;ยี่ห้อ:
Status:;สถานะ:
Total:;ทั้งหมด:
"Feedback to Seller";"ความคิดเห็นผู้ขาย"
"Go to seller page";"ไปที่หน้าผู้ขาย"
"Activity Log";"บันทึกกิจกรรม"
Information;ข้อมูล
"Followed Seller";"ขายติดตาม"
"Upload Document";"อัปโหลดเอกสาร"
"Followed Sellers";"ขายติดตาม"
OOOooops!!!;อุ๊ปซ์ !!!
"It looks like you haven't followed any Sellers yet. Checkout our homepage and follow some of the best Sellers that we have on YiLinker.";"ดูเหมือนว่าคุณยังไม่ได้ตามผู้ขายใด ๆ ได้ เช็คเอาท์หน้าแรกของเราทำของขายดีที่เรามีอยู่ใน YiLinker"
"My Points";"คะแนนสะสม"
"Basic Information";"ข้อมูลพื้นฐาน"
"Email verification sent.";"ตรวจสอบอีเมล์ที่ส่งไป"
"Something went wront. Please try again later";"บางสิ่งบางอย่างไป wront โปรดลองอีกครั้ง"
"Information successfully updated.";"ข้อมูลปรับปรุงสำเร็จแล้ว"
"First Name";"ชื่อแรก"
"Enter your first name here";"ใส่ชื่อที่นี่"
"Last Name";"ชื่อสุดท้าย"
"Enter your last name here";"ใส่นามสกุลที่นี่"
"Mobile Number";"หมายเลขโทรศัพท์"
Change;การเปลี่ยนแปลง
"Mobile number is not yet verified.";"หมายเลขโทรศัพท์ไม่ได้ตรวจสอบ"
"Click here to verify";"คลิกที่นี่เพื่อตรวจสอบ"
"Kindly enter your contact number.";"กรุณาใส่หมายเลขผู้ติดต่อของคุณ"
"Verified mobile number";"ตรวจสอบมือถือ"
"Account Information";"ข้อมูลบัญชี"
"Enter your email here";"ป้อนอีเมลของคุณที่นี่"
"Your Referral Code";"รหัสอ้างอิงของคุณ"
"Copy Link.";"คัดลอกลิงก์"
"Copy Code";"คัดลอกรหัส"
"Referral Person";"บุคคลอ้างอิง"
"Referrers Name:";"ชื่อที่ผู้อ้างอิง:"
"Referrers Code:";"รหัสที่ผู้อ้างอิง:"
Save;บันทึก
"Shipping Address";"ที่อยู่จัดส่ง"
"Save Changes";"บันทึกการเปลี่ยนแปลง"
"New Shippping Address";"ที่อยู่ที่จัดส่งใหม่"
"Pin your address to map";"ปักหมุดที่อยู่การแมป"
"Home Address";"ที่อยู่บ้าน"
"Unit Number";"จำนวนหน่วย"
"Building Name";"ชื่ออาคาร"
"Street Number";"หมายเลขถนน"
"Street Name";"ชื่อถนน"
Subdivision;แผนผัง
"Select your province";"เลือกจังหวัดของคุณ"
"Select your city";"เลือกเมืองของคุณ"
"Select your Barangay";"เลือกของคุณบา"
Zipcode;รหัสไปรษณีย์
"Select your City";"เลือกเมืองของคุณ"
"Apply Changes";"ใช้การเปลี่ยนแปลง"
"Change Email Address";"เปลี่ยนที่อยู่อีเมล"
"Enter your new email address here";"ป้อนอยู่อีเมใหม่นี่"
"Confirm your new email address here";"ยืนยันอยู่อีเมใหม่นี่"
"Change Password";"เปลี่ยนรหัสผ่าน"
"Enter your current password here";"ป้อนรหัสผ่านปัจจุบันของคุณที่นี่"
"Enter your new password here";"ป้อนรหัสผ่านใหม่ที่นี่"
"Confirm your new password here";"ยืนยันรหัสผ่านใหม่"
"My Profile";"โปรไฟล์ของฉัน"
Transaction;ธุรกรรม
"All Transactions";"ธุรกรรมทั้งหมด"
On-Delivery;ส่งแบบ
"For Feedback";"ความคิดเห็น"
"Crop Photo";"ครอบตัดภาพถ่าย"
"Select Products";"เลือกผลิตภัณฑ์"
Category;ประเภท
"Electronics &amp; Gadgets";"อิและแอมป์"
Accessories;อุปกรณ์เสริม
"Product to Sell";"ผลิตภัณฑ์การขาย"
"Search item here";"ค้นหาสินค้าที่นี่"
"All Products";"ผลิตภัณฑ์ทั้งหมด"
"Sample er wer wer wer we rwe r";"ตัวอย่างเอ้อ น้อน้อน้อเรา rwe r"
"Your inbox is currently empty.";"ไม่มีกล่องขาเข้าของคุณ"
"Point Earned";"จุดที่ได้รับ"
Breakdown;แบ่ง
"|{1} จุด|]1,Inf[ Points";"| จุด {1}|]1,Inf[จุด"
"We understand how frustrating it can be when there's a problem with one of your transactions. One of the benefits of using YiLinker is that you can take advantage of our Resolution Center to help you track, manage and resolve it as quickly as possible with absolute transparency.";"เราเข้าใจวิธีกำจัดมีมีปัญหากับการทำธุรกรรมอย่างใดอย่างหนึ่ง ประโยชน์ของการใช้ YiLinker อย่างใดอย่างหนึ่งคือที่คุณสามารถใช้ประโยชน์จากศูนย์ของเราความละเอียดเพื่อช่วยคุณติดตาม จัดการ และแก้ไขโดยเร็วที่สุด ด้วยความโปร่งใสแน่นอน"
