"Women Clothing";"Quần áo phụ nữ"
"Bed &amp; Bath";"Giường &amp; tắm"
"Kitchen &amp; Dining";"Nhà bếp &amp; ăn"
"Window Treatments";"Cửa sổ điều trị"
"Tools &amp; Hardware";"Công cụ &amp; phần cứng"
Stationery;Văn phòng phẩm
"You have";"Bạn có"
"on your shopping cart";"vào giỏ hàng của bạn"
"Payment Method";"Phương thức thanh toán"
Total;Tổng cộng
"Continue Shopping";"Tiếp tục mua sắm"
"Proceed to Checkout";"Tiến hành thanh toán"
"&nbsp;";"& nbsp;"
"Schonning Watch (red, metal, large)";"Schonning xem (đỏ, kim loại, lớn)"
"Schonning Watch";"Schonning xem"
Size;Kích thước
Color;Màu sắc
Metal;Kim loại
"Philips Series 500";"Philips Series 500"
Subtotal;tổng
"Shipping Fee";"Khoản phí vận chuyển"
Free;Miễn phí
"(Metro Manila only)";"(Metro Manila chỉ)"
Small;Nhỏ
Red;Màu đỏ
Steel;Thép
"Add to Cart";"Thêm vào giỏ"
"Powered by:";"Được tài trợ bởi:"
"To Do business";"Để làm kinh doanh"
"Login as seller";"Đăng nhập như là người bán"
"Login as affiliate";"Đăng nhập như là liên kết"
"Help &amp; Support";"Trợ giúp &amp; hỗ trợ"
"Your account";"Tài khoản của bạn"
"Your order";"Đặt hàng của bạn"
"Resolution Center";"Độ phân giải Trung tâm"
Complaints;Khiếu nại
"Privacy Policy";"Chính sách bảo mật"
"Contact Us";"Liên hệ với chúng tôi"
"Related Links";"Liên kết"
"Download our app";"Tải về ứng dụng của chúng tôi"
"Download our app (via QR Code)";"Tải về ứng dụng của chúng tôi (thông qua QR Code)"
"for apple";"cho apple"
"for android";"cho android"
"Email Newsletter";"Đăng ký nhận email"
"Get the word out. Make sure you don't miss out on interesting events, sale, and more by joining our newsletter program.";"Có được chữ ra ngoài. Đảm bảo rằng bạn không bỏ lỡ ra trên các sự kiện thú vị, bán hàng, và nhiều hơn nữa bằng cách tham gia chương trình nhận bản tin của chúng tôi."
Subscribe;Đăng ký
"&copy; 2015 YiLinker. Trademarks and brands are the property of their respective owners.";"&copy; 2015 YiLinker. Nhãn hiệu và thương hiệu là tài sản của chủ sở hữu tương ứng."
FAQ;CÂU HỎI THƯỜNG GẶP
"Shipping &amp; delivery";"Giao thông vận tải &amp;"
"Return Policy";"Chính sách hoàn trả"
"Terms of use";"Điều khoản sử dụng"
"Contact us";"Liên hệ với chúng tôi"
Payment;Thanh toán
"Get the word out. Make sure you didn't miss interesting events, sale, and more by joining our newsletter program.";"Có được chữ ra ngoài. Đảm bảo rằng bạn đã không bỏ lỡ các sự kiện thú vị, bán hàng, và nhiều hơn nữa bằng cách tham gia chương trình nhận bản tin của chúng tôi."
"Your current browser was developed over a decade ago,";"Trình duyệt hiện tại của bạn đã được phát triển hơn một thập kỷ trước đây,"
"its like watching TV in black and white in 2015!";"Nó cũng giống như xem truyền hình màu đen và trắng vào các năm 2015!"
"Please view the website in one of these modern browsers";"Xin vui lòng xem các trang web trong một trong các trình duyệt hiện đại"
download;tải về
"google chrome";"Google chrome"
"mozilla firefox";"mozilla firefox"
"apple safari";"Apple safari"
Categories;Thể loại
Search...;Tìm kiếm...
"Suggested Search";"Gợi ý tìm kiếm"
"(eg. mobile, dress, toys, etc...)";"(ví dụ như. điện thoại di động, trang phục, đồ chơi, etc...)"
English;Tiếng Anh
Chinese;Trung Quốc
Canada;Canađa
"For Android";"Cho Android"
"For IOS";"Cho IOS"
"on your wishlist";"trên danh sách mong ước của bạn"
"0 items";"0 sản phẩm"
"on your cart";"vào giỏ hàng của bạn"
"Account Management";"Quản lý tài khoản"
Settings;Cài đặt
Messages;Tin nhắn
Help;Trợ giúp
Logout;Đăng xuất
Sign-Up;Đăng ký
Log-In;Đăng nhập
"Filter Area:";"Diện tích lọc:"
Sub-Category;Danh mục phụ
All;Tất cả
Price;Giá
"Price Range";"Tầm giá"
Brand;Thương hiệu
"More Filter";"Thêm bộ lọc"
"Sort By:";"Sắp xếp:"
Relevance;Mức độ liên quan
"New to Old";"Mới đến cũ"
"Old to New";"Cũ đến mới"
Alphabetical;Bảng chữ cái
Popularity;Phổ biến
of;của
"View By:";"Xem theo:"
"Add to cart";"Thêm vào giỏ"
"You have 0 items on your wishlist";"Bạn có 0 sản phẩm trong danh sách mong ước của bạn"
"All Categories";"Tất cả thể loại"
Home;Trang chủ
"Sub Category:";"Chuyên mục phụ:"
More;Nhiều hơn
Less;Ít
"view more";"Xem chi tiết"
"Edit Address";"Chỉnh sửa địa chỉ"
"Delete Address";"Xóa địa chỉ"
"See More";"Xem chi tiết"
"Ship To";"Gửi đến"
"New Address";"Địa chỉ mới"
Proceed;Tiến hành
"Guest Checkout allows you to purchase from our website even if you aren't registered. After your purchase has been completed you'll still have the option to register for an account.";"Kiểm tra đánh cho phép bạn mua từ trang web của chúng tôi ngay cả khi bạn không đăng ký. Sau khi mua hàng của bạn đã được hoàn thành, bạn vẫn sẽ có tùy chọn để đăng ký tài khoản."
"Verify Number";"Xác minh số"
"Verification code has been successfully resent";"Mã xác minh đã được gửi thành công"
"You are about to change your contact number, please ensure that your mobile phone is within reach before you proceed with this step.";"Bạn đang định thay đổi số liên lạc của bạn, xin vui lòng đảm bảo rằng điện thoại di động của bạn trong tầm tay trước khi bạn tiến hành với bước này."
"Please enter the 6 digit code that was sent to your mobile phone";"Vui lòng nhập mã 6 chữ số được gửi đến điện thoại di động của bạn"
"Time Left:";"Thời gian còn lại:"
00:00;0
"Enter Code";"0:00
"Enter your verification code";"Nhập mã xác minh của bạn"
Cancel;Hủy bỏ
"Resend Code";"Gửi lại mã"
"Verify and Continue";"Xác minh và tiếp tục"
"Checkout Type";"Loại hình thanh toán"
Summary;Tóm tắt
Overview;Tổng quan
Email/Mobile;Email/điện thoại di động
"Enter your email/mobile here";"Nhập email/di động của bạn ở đây"
Password;Mật khẩu
"Enter your password here";"Nhập mật khẩu của bạn ở đây"
"Sign In &amp; Continue";"Đăng nhập &amp;"
"or sign in with";"hoặc đăng nhập với"
Facebook;Facebook
Google+;Google +
"Order Summary";"Để tóm tắt"
"Grand Total";"Grand tổng số"
"Voucher Deduction";"Chứng từ khấu trừ"
"There are no items to checkout.";"Không có khoản mục nào để thanh toán."
"Go back to checkout";"Quay trở lại để kiểm tra"
Congratulations;Chúc mừng
"Your purchase was a success";"Mua hàng của bạn là một thành công"
"Want to buy more items similar to this?";"Bạn muốn mua thêm các mục tương tự như này?"
"Congratulations on a successful purchase! While waiting for your product to arrive, we suggest checking out other related products that you just bought.";"Xin chúc mừng ngày mua hàng thành công! Trong khi chờ đợi sản phẩm của bạn đến nơi, chúng tôi khuyên bạn nên kiểm tra ra các sản phẩm có liên quan khác bạn chỉ cần mua."
"View Transaction";"Xem giao dịch"
or;hoặc
"Would you like to register an account?";"Bạn có muốn đăng ký một tài khoản?"
"Based on the information that you've provided in your order, YiLinker already has your basic information that's needed in creating an account. If you'd like to register on our website to receive more exciting news about our upcoming products & other promos, just enter your password and you're all set.";"Dựa trên các thông tin mà bạn đã cung cấp trong đơn hàng của bạn, YiLinker đã có thông tin cơ bản đó là cần thiết trong việc tạo ra một tài khoản. Nếu bạn muốn đăng ký trên website của chúng tôi để nhận được các tin tức thú vị hơn về sản phẩm sắp tới của & khuyến mãi khác, chỉ cần nhập mật khẩu của bạn và bạn tất cả các thiết lập."
"Sign Up Now";"Đăng ký bây giờ"
"Consignee Name:";"Tên người nhận hàng:"
"Justine Carl Duazo";"Justine Carl Duazo"
"Full Address:";"Địa chỉ đầy đủ:"
"6F Five E-com Tower, Pacific Drive, Mall of Asia Complex, Pasay City";"6F năm E-com Tower, Pacific Drive, Mall of Asia Complex, Pasay City"
"Mobile Number:";"Số điện thoại di động:"
09271234567;9271234567
"City/ Municipality:";"Thành phố / thị:"
Manila;Manila
"Transaction Details";"Chi tiết giao dịch"
"Transaction Number:";"Số lượng giao dịch:"
123324234;123324234
"Invoice Number:";"Số hóa đơn:"
2342q42342q34;2342q42342q34
"Payment Method:";"Phương thức thanh toán:"
"Cash on Delivery";"Tiền mặt ngày giao hàng"
"Total Amount:";"Tổng số tiền:"
"Transaction Date:";"Ngày giao dịch:"
01/21/2016;01/21/2016
"Your Order Details";"Chi tiết đơn đặt hàng của bạn"
Product;Sản phẩm
Quantity;Số lượng
"Size :";"Kích thước:"
"Color :";"Màu sắc:"
1;1
"Order Total";"Tổng số đơn đặt hàng"
"Print Receipt";"In biên lai"
"YiLinker adheres to the highest standards when it comes to protecting our user's sensitive data. We currently don't save your Credit/Debit Card details on our website.";"YiLinker tuân thủ các tiêu chuẩn cao khi nói đến bảo vệ dữ liệu nhạy cảm của người dùng của chúng tôi. Hiện nay chúng tôi không tiết kiệm các chi tiết thẻ tín dụng/ghi nợ của bạn trên trang web của chúng tôi."
"Delivery Address:";"Địa chỉ giao hàng:"
"Consignee Contact Number:";"Người liên hệ số:"
"Voucher Code";"Phiếu mua hàng mã"
"Invalid Or Expired Code";"Mã không hợp lệ hoặc hết hạn"
"Successfully applied code";"Mã áp dụng thành công"
"Enter your voucher code here";"Nhập mã voucher của bạn ở đây"
Apply;Áp dụng
"How Do You Wish To Pay?";"Làm thế nào bạn có muốn thanh toán?"
"Click one of the options below";"Nhấp vào một trong các tùy chọn dưới đây"
"To ensure that you'll have a smooth shopping & delivery experience, please prepare the exact amount upon the date of delivery.";"Để đảm bảo rằng bạn sẽ có một mua sắm mịn & cung cấp kinh nghiệm, xin vui lòng chuẩn bị số tiền chính xác theo ngày giao hàng."
"Your payment solution for Over-the-Counter (OTC) payments if you don't have a Credit/Debit card.";"Giải pháp thanh toán của bạn cho các thanh toán Over-the-Counter (OTC) nếu bạn không có một thẻ tín dụng/thẻ ghi nợ."
"The Philippines' leading payment solution for Credit/Debit Card transactions.";"Philippin thanh toán giải pháp hàng đầu cho các giao dịch thẻ tín dụng/ghi nợ."
"Go back";"Quay lại"
Continue;Tiếp tục
Consignee;Nhược điểm
"Ship this transaction with the consignee details below.";"Tàu này giao dịch với các chi tiết người dưới đây."
Name;Tên
"Enter consignee name here";"Nhập tên người nhận hàng ở đây"
"Contact Number";"Số liên lạc"
"Enter consignee contact number here";"Nhập số liên lạc người nhận hàng ở đây"
"YiLinker Express is capable of shipping anywhere in the Philippines at affordable rates";"YiLinker Express có khả năng vận chuyển bất cứ nơi nào ở Philippin tại mức giá phải chăng"
"YiLinker Express offers FREE shipping on Metro Manila orders only";"YiLinker Express cung cấp miễn phí vận chuyển trên đơn đặt hàng Metro Manila chỉ"
"You'll receive the tracking details for your parcel soon after the dispatch of your order.";"Bạn sẽ nhận được chi tiết theo dõi cho các bưu kiện của bạn ngay sau khi gửi đơn đặt hàng của bạn."
"Ships in";"Tàu chiến"
"No hidden fees";"Không có phí ẩn"
"7 days return policy";"7 ngày trở lại chính sách"
"Mobile number is required";"Số điện thoại di động là bắt buộc"
"Enter your mobile number here";"Nhập số điện thoại di động của bạn ở đây"
"New Shipping Address";"Địa chỉ vận chuyển mới"
"Delete Address?";"Xóa địa chỉ?"
"Are you sure you want to delete this address";"Bạn có chắc bạn muốn xóa địa chỉ này"
Delete;Xóa bỏ
"Update Shipping Address";"Cập Nhật địa chỉ vận chuyển"
"Shipping address has been successfully updated";"Địa chỉ vận chuyển đã được cập nhật thành công"
Okay;Ok
"Change Mobile Number";"Thay đổi số điện thoại di động"
"Invalid contact number";"Số liên lạc không hợp lệ"
"Enter New Number";"Nhập số mới"
"Enter your new number here";"Nhập số mới của bạn ở đây"
Submit;Gửi
"The code is either invalid or is already expired.";"Mã hoặc không hợp lệ hoặc đã hết hạn."
Verify;Xác minh
"Contact number has been successfully verified.";"Số liên lạc đã được xác minh thành công."
"Check As";"Kiểm tra như"
"Sign In";"Đăng nhập"
"Guest Checkout";"Đánh Checkout"
"Welcome to YiLinker";"Chào mừng đến với YiLinker"
"You cannot use the checkout functionality while you're still unverified.";"Bạn không thể sử dụng chức năng thanh toán trong khi bạn vẫn còn chưa được xác minh."
Back;Trở lại
"Back to Home Page";"Quay lại trang chủ"
"Get Our App for FREE";"Nhận ứng dụng của chúng tôi cho miễn phí"
"YiLinker - All you need in one place";"YiLinker - tất cả các bạn cần ở một nơi"
"Coming soon";"Đến sớm"
;
"Be a Buyer";"Là một người mua"
"View our Site";"Xem trang web của chúng tôi"
"Be a Seller";"Là một người bán"
"Join Now";"Tham gia bây giờ"
"Be an Affiliate";"Có một liên kết"
"Learn More";"Tìm hiểu thêm"
"Stay tuned! You can subscribe to our newsletter to get";"Chơ! Bạn có thể đăng ký để nhận bản tin của chúng tôi để có được"
"a notification when we launch!";"thông báo khi chúng tôi khởi chạy!"
"Enter your email address here";"Nhập địa chỉ email của bạn ở đây"
SUBSCRIBE;ĐĂNG KÝ
"+63 977-7265481";"+63 977-7265481"
"Top Brands";"Thương hiệu hàng đầu"
"Shop This Brand";"Cửa hàng thương hiệu này"
off;tắt
"Add to wislist";"Thêm vào wislist"
"Top Categories";"Top danh mục"
"Shop Now";"Cửa hàng bây giờ"
"Featured Items";"Mặt hàng nổi bật"
"view more &rarr;";"Xem thêm &rarr;"
"Top Sellers";"Top bán chạy"
"Seller Name";"Tên người bán"
Specialty:;Chuyên môn:
FEATURED;ĐẶC TRƯNG
"Items You May Like";"Các bạn có thể giống như"
"New Arrivals";"Mới đến"
"Banner Title";"Tiêu đề biểu ngữ"
"New Sellers";"Người bán hàng mới"
"See What Others are Selling";"Xem những gì người khác đang bán"
"view more sellers";"Xem thêm bán chạy"
"Our Recommendation";"Khuyến nghị của chúng tôi"
"Trending Categories";"Xu hướng thể loại"
"Recommended Seller";"Đề nghị người bán"
"Free Shipping Nationwide";"Miễn phí vận chuyển toàn quốc"
"No minimum purchase required";"Không mua tối thiểu cần thiết"
"7-day return";"7 ngày trở lại"
"Money back guaranteed";"Tiền lại đảm bảo"
"24/7 Support";"Hỗ trợ 24/7"
"Online help";"Trợ giúp trực tuyến"
"Safe Shopping";"Mua sắm an toàn"
"Product guaranteed";"Sản phẩm được bảo đảm"
"20% off";"giảm giá 20%"
"Thank You!";"Cảm ơn bạn!"
"See you Soon!";"Gặp lại bạn sớm!"
"Promo Mechanics:";"Cơ khí quảng cáo:"
YiLinker;YiLinker
"Campaign Period: November 16 to December 13, 2015";"Chiến dịch thời gian: 16 Tháng 11 đến 13 tháng 12 năm 2015"
Prizes;Giải thưởng
"Main Prize:";"Giải thưởng chính:"
"Consolation Prize:";"giải thưởng an ủi"
"How to Join?";"Làm thế nào để tham gia?"
"6F Five E-Com Center Pacific Drive, MOA Complex, Pasay City, Metro Manila, Philippines";"6F năm E-Com Trung tâm Thái Bình Dương Drive, MOA Complex, Pasay City, Metro Manila, Philippines"
"The following are not qualified for the promo:";"Sau đây không đủ điều kiện cho quảng cáo:"
"Criteria for Claiming the Prize";"Các tiêu chí cho tuyên bố giải thưởng"
"For a person to qualify, he/she:";"Cho một người để vượt qua vòng loại, ông/bà:"
"Users may join the promo by:";"Người dùng có thể tham gia quảng cáo bằng cách:"
"How to Register?";"Làm thế nào để đăng ký?"
"How to Create an Entry?";"Làm thế nào để tạo một mục nhập?"
"Terms and Condition";"Điều khoản và điều kiện"
"Out of Stock";"Ra khỏi chứng khoán"
"7-Day Return";"7 ngày trở lại"
"Free Shipping";"Miễn phí vận chuyển"
"scroll down";"di chuyển xuống"
"for more info";"để biết thêm chi tiết"
"{0} no reviews|{1} %count% review|]1,Inf[ %count% reviews";"{0} đã không có reviews| {1} % count % review|] 1, Inf [% count % giá."
"Add to Wishlist";"Thêm vào danh sách mong ước"
"Short Description";"Mô tả ngắn gọn"
Seller;Người bán
"Free Shipping (Metro Manila only)";"Miễn phí vận chuyển (Metro Manila chỉ)"
"out of stock";"ra khỏi chứng khoán"
"Buy now";"Mua ngay bây giờ"
"Share this product";"Chia sẻ sản phẩm này"
Twitter;Twitter
"Description &amp; Specifications";"Mô tả &amp;"
"Payment &amp; Shipping";"Thanh toán &amp;"
"Buyer Reviews";"Người mua đánh giá"
"Special Offers";"Ưu đãi đặc biệt"
Description;Mô tả
"Related Video";"Đoạn Video liên quan"
Specifications;Thông số kỹ thuật
Condition;Điều kiện
SKU;MÃ SẢN PHẨM
"Payment Options";"Tùy chọn thanh toán"
"We accept all major credit cards through DragonPay &amp; PesoPay.";"Chúng tôi chấp nhận tất cả các loại thẻ tín dụng chính thông qua DragonPay &amp;"
"We do not accept other currency in any amount";"Chúng tôi không chấp nhận các loại tiền tệ khác trong bất kỳ số tiền"
"Sellers can't require buyers to pay using methods that aren't allowed on YiLinker";"Người bán không thể đòi hỏi người mua phải trả tiền bằng cách sử dụng phương pháp không được phép trên YiLinker"
"Shipping &amp; Handling";"Vận chuyển &amp;"
"Not available";"Không có sẵn"
"Add to wishlist";"Thêm vào danh sách mong ước"
"No rating or review for this product yet";"Không đánh giá hoặc nhận xét cho sản phẩm này chưa"
Specialty;Đặc sản
"Mark your Address";"Đánh dấu địa chỉ của bạn"
"Mark Location";"Đánh dấu vị trí"
"Feedback for Product";"Thông tin phản hồi cho sản phẩm"
"Feedback title and content cannot be empty";"Thông tin phản hồi tiêu đề và nội dung không được trống"
"Let other people know what you think about this product.";"Hãy để người khác biết bạn nghĩ gì về sản phẩm này."
Rating:;Đánh giá:
Title:;Tiêu đề:
"Enter review title here";"Nhập tiêu đề nhận xét ở đây"
Comment:;Bình luận:
"Leave a comment";"Để lại một bình luận"
"Feedback for Seller";"Phản hồi cho người bán"
"Product List";"Danh sách sản phẩm"
SKU:;MÃ SẢN PHẨM:
Quantity:;Số lượng:
Details:;Thông tin chi tiết:
Condition:;Điều kiện:
"Product Price:";"Giá sản phẩm:"
Brand:;Thương hiệu:
Status:;Tình trạng:
Total:;Tổng số:
"Feedback to Seller";"Thông tin phản hồi cho người bán"
"Go to seller page";"Đi đến trang người bán"
"Activity Log";"Hoạt động đăng nhập"
Information;Thông tin
"Followed Seller";"Sau đó người bán"
"Upload Document";"Upload tài liệu"
"Followed Sellers";"Sau đó người bán"
OOOooops!!!;OOOooops!
"It looks like you haven't followed any Sellers yet. Checkout our homepage and follow some of the best Sellers that we have on YiLinker.";"Chỗ ở này có vẻ như bạn đã không theo bất kỳ người bán hàng nào được nêu ra. Kiểm tra trang chủ của chúng tôi và làm theo một số người bán hàng tốt nhất, và chúng tôi có trên YiLinker."
"My Points";"Điểm của tôi"
"Basic Information";"Thông tin cơ bản"
"Email verification sent.";"Xác minh email được gửi."
"Something went wront. Please try again later";"Một cái gì đó đã đi wront. Xin vui lòng thử lại sau"
"Information successfully updated.";"Thông tin Cập Nhật thành công."
"First Name";"Tên đầu tiên"
"Enter your first name here";"Nhập tên của bạn ở đây"
"Last Name";"Tên cuối cùng"
"Enter your last name here";"Nhập họ của bạn ở đây"
"Mobile Number";"Số điện thoại di động"
Change;Thay đổi
"Mobile number is not yet verified.";"Số điện thoại di động không được xác nhận được nêu ra."
"Click here to verify";"Click vào đây để kiểm tra"
"Kindly enter your contact number.";"Vui lòng nhập số liên lạc của bạn."
"Verified mobile number";"Xác minh số điện thoại di động"
"Account Information";"Thông tin tài khoản"
"Enter your email here";"Nhập email của bạn ở đây"
"Your Referral Code";"Mã giới thiệu của bạn"
"Copy Link.";"Sao chép liên kết."
"Copy Code";"Sao chép mã"
"Referral Person";"Giới thiệu người"
"Referrers Name:";"Giới thiệu tên:"
"Referrers Code:";"Giới thiệu mã:"
Save;Tiết kiệm
"Shipping Address";"Địa chỉ giao hàng"
"Save Changes";"Lưu thay đổi"
"New Shippping Address";"Địa chỉ mới của Shippping"
"Pin your address to map";"Pin của bạn địa chỉ bản đồ"
"Home Address";"Địa chỉ nhà"
"Unit Number";"Số đơn vị"
"Building Name";"Xây dựng tên"
"Street Number";"Đường số"
"Street Name";"Tên đường"
Subdivision;Phân ngành
"Select your province";"Chọn tỉnh của bạn"
"Select your city";"Chọn thành phố của bạn"
"Select your Barangay";"Chọn Barangay của bạn"
Zipcode;ã bưu
"Select your City";"Chọn thành phố của bạn"
"Apply Changes";"Áp dụng thay đổi"
"Change Email Address";"Thay đổi địa chỉ Email"
"Enter your new email address here";"Nhập địa chỉ email mới của bạn ở đây"
"Confirm your new email address here";"Xác nhận địa chỉ email mới của bạn ở đây"
"Change Password";"Thay đổi mật khẩu"
"Enter your current password here";"Nhập mật khẩu hiện tại của bạn ở đây"
"Enter your new password here";"Nhập mật khẩu mới của bạn ở đây"
"Confirm your new password here";"Xác nhận mật khẩu mới của bạn ở đây"
"My Profile";"Hồ sơ của tôi"
Transaction;Giao dịch
"All Transactions";"Tất cả các giao dịch"
On-Delivery;Ngày giao hàng
"For Feedback";"Thông tin phản hồi"
"Crop Photo";"Cắt ảnh"
"Select Products";"Chọn sản phẩm"
Category;Thể loại
"Electronics &amp; Gadgets";"Thiết bị điện tử &amp;"
Accessories;Phụ kiện
"Product to Sell";"Các sản phẩm để bán"
"Search item here";"Mục tìm ở đây"
"All Products";"Tất cả sản phẩm"
"Sample er wer wer wer we rwe r";"Mẫu er wer wer wer chúng tôi rwe r"
"Your inbox is currently empty.";"Hộp thư của bạn là trống rỗng hiện nay."
"Point Earned";"Điểm thu được"
Breakdown;Niu Di-lân
"|{1} Point
                                                |]1,Inf[ Points";"| {1} điểm
                                                |]1,Inf[ Points"
"We understand how frustrating it can be when there's a problem with one of your transactions. One of the benefits of using YiLinker is that you can take advantage of our Resolution Center to help you track, manage and resolve it as quickly as possible with absolute transparency.";"Chúng tôi hiểu làm thế nào bực bội nó có thể khi có một vấn đề với một trong các giao dịch của bạn. Một trong những lợi ích của việc sử dụng YiLinker là bạn có thể tận dụng lợi thế của chúng tôi trung tâm giải quyết để giúp bạn theo dõi, quản lý và giải quyết nó càng nhanh càng tốt với tính minh bạch tuyệt đối."
"Before filing for a dispute, please make sure that you've exhausted all efforts in reaching an agreement with the the other party. Decisions made by our specialists will be deemed final and will only be reopened when new evidence has been presented by one of the parties. We try to resolve cases as quickly as possible, but some may take longer depending on its circumstances.";"Trước khi nộp đơn xin một cuộc tranh cãi, hãy chắc chắn rằng bạn đã cạn kiệt tất cả nỗ lực trong việc tiếp cận một thỏa thuận với các bên kia. Quyết định được thực hiện bởi các chuyên gia sẽ được coi là cuối cùng và sẽ chỉ được mở cửa trở lại khi bằng chứng mới đã được trình bày bởi một trong các bên. Chúng tôi cố gắng để giải quyết trường hợp càng nhanh càng tốt, nhưng một số có thể lâu hơn tùy thuộc vào hoàn cảnh của mình."
"File a dispute";"Tập tin một tranh chấp"
Cases;Trường hợp
"Search By Case Id";"Tìm kiếm theo Case Id"
Search;Tìm kiếm
Filter;Bộ lọc
"Case ID";"Trường hợp ID"
"Dispute Title";"Tiêu đề tranh chấp"
Status;Tình trạng
"Other Party";"bên nào khác"
"Date Opened";"Ngày khai trương"
Open;Mở cửa
Closed;Đóng cửa
"No case found";"Trường hợp không tìm thấy"
"Enter title here";"Nhập tiêu đề ở đây"
"Dispute Type";"Tranh chấp loại"
"Select dispute type here";"Chọn loại tranh chấp ở đây"
"Transaction No.";"Giao dịch số"
"Select transaction here";"Chọn giao dịch tại đây"
"Select reason here";"Chọn lý do ở đây"
"Select item to dispute:";"Chọn mục tranh chấp:"
Remarks;Nhận xét
"Leave your remarks here";"Để lại nhận xét của bạn ở đây"
"Your case has been successfully submitted";"Trường hợp của bạn đã được gửi thành công"
"To be approved by Admin.";"Để được chấp thuận bởi Admin."
OPEN;MỞ CỬA
CLOSED;ĐÓNG CỬA
"Dispute Details";"Tranh chấp chi tiết"
Reason:;Lý do:
Items:;Mục:
"No remarks";"Không có nhận xét"
Contacts;Địa chỉ liên hệ
Notifications;Thông báo
"SMS Notifications";"Tin nhắn SMS thông báo"
"Aside from your email, you'll also receive marketing announcements on your mobile by default. You can choose whether you want to receive SMS notifications.";"Ngoài email của bạn, bạn cũng sẽ nhận được thông báo tiếp thị trên di động của bạn theo mặc định. Bạn có thể chọn xem bạn có muốn nhận tin nhắn SMS thông báo."
"Account setting";"Cài đặt tài khoản"
"Deactivate My Account";"Vô hiệu hóa tài khoản của tôi"
"We'd really hate to see you go but, you still get to decide whether you want to keep your account active or deactivate it. Other people with whom you have transacted with will still have a record of your transactions details including, but not limited to your name & contact number. You will also receive an email that contains a reactivation link should you wish to reactivate your account at a future time.";"Chúng tôi thực sự ghét để xem bạn đi, nhưng bạn vẫn có thể quyết định xem bạn muốn giữ cho tài khoản của bạn hoạt động hoặc tắt nó. Người khác mà bạn đã giao dịch với sẽ vẫn còn có một hồ sơ về các chi tiết giao dịch bao gồm, nhưng không giới hạn số tên & liên lạc của bạn. Bạn cũng sẽ nhận được một email có chứa một liên kết kích hoạt nếu bạn muốn kích hoạt lại tài khoản của bạn tại một thời điểm trong tương lai."
"The password you entered is invalid.";"Mật khẩu bạn nhập không hợp lệ."
"Please enter your password to confirm your account deactivation.";"Vui lòng nhập mật khẩu của bạn để xác nhận vô hiệu hóa tài khoản của bạn."
Deactivate;Tắt
"Account has been successfully deactivated.";"Tài khoản đã được thành công deactivated."
"A reactivation email has been to your email should you wish to reneable your account.You will be logged out now.";"Một email kích hoạt đã là đến email của bạn nếu bạn muốn reneable tài khoản của bạn. Bạn sẽ đăng xuất bây giờ."
"Are you sure you want to proceed?";"Bạn có chắc bạn muốn tiếp tục không?"
