"Women Clothing";"FemmesVêtements"	
Makeup;Maquillage	
"Men's Care";"Soins pour Hommes"	
"Personal Care";"Soins Personnels"	
"Health Care";"Soins de Santé"	
Furniture;Meubles	
Appliance;Appareil	
"Home Decor";"Décor à la Maison"	
"Bed &amp Bath";"Salle de bain lit & amp"	
"Kitchen &amp Dining";"Cuisine & amp à Manger"	
"Window Treatments";"Traitements de fenêtre"	
"Tools &amp Hardware";"Outils & amp Hardware"	
Stationery;Articles de Papeterie	
"You have";"Vous avez"	
"on your shopping cart";"sur votre panier d'achat"	
"Payment Method";"Mode de Paiement"	
Total;Total	
"Continue Shopping";"Continuer vos Achats"	
"Proceed to Checkout";"Passer à la Caisse"	
"&nbsp";"& nbsp"	
"Schonning Watch (red, metal, large)";"SCHONNING Watch (rouge, métal, grand)"	
"Schonning Watch";"SCHONNING Watch"	
Size;Taille	
Color;Couleur	
Metal;Metal	
"Philips Series 500";"Philips série 500"	
Subtotal;Total partiel	
"Shipping Fee";"Frais d'expédition"	
Free;Gratuit	
"(Metro Manila only)";"(Région métropolitaine de Manille seulement)"	
Small;Petit	
Red;Rouge	
Steel;En acier	
"Add to Cart";"Ajouter au Panier"	
"Powered by:";"Alimenté par:"	
"To Do business";"Pour faire des affaires"	
"Login as seller";"Connectez-vous en tant que vendeur"	
"Login as affiliate";"Connectez-vous en tant qu'affilié"	
"Help &amp Support";"Aide & amp Support"	
"Your account";"Votre compte"	
"Your order";"Votre commande"	
"Resolution Center";"Centre de résolution"	
Complaints;Plaintes	
"Privacy Policy";"Politique de confidentialité"	
"Contact Us";"Contactez-nous"	
"Related Links";"Liens connexes"	
"Download our app";"Téléchargez notre application"	
"Download our app (via QR Code)";"Téléchargez notre application (via le QR Code)"	
"for apple";"pour apple"	
"for android";"pour android"	
"Email Newsletter";"Courriel de Lettre "	
"Get the word out. Make sure you don't miss out on interesting events, sale, and more by joining our newsletter program.";"Passer le mot. Assurez-vous que vous ne manquez pas les événements intéressants, vente et plus en adhérant à notre programme de newsletter."	
Subscribe;S'abonner	
"&copy 2015 YiLinker. Trademarks and brands are the property of their respective owners.";"& copier YiLinker de 2015. Marques et marques déposées sont la propriété de leurs propriétaires respectifs."	
FAQ;FAQ	
"Shipping &amp delivery";"Livraison expédition & amp"	
"Return Policy";"Politique de retour"	
"Terms of use";"Conditions d'utilisation"	
"Contact us";"Contactez-nous"	
Payment;Paiement	
"Get the word out. Make sure you didn't miss interesting events, sale, and more by joining our newsletter program.";"Passer le mot. Assurez-vous que vous ne manquez pas intéressants événements, vente et plus en adhérant à notre programme de newsletter."	
"Your current browser was developed over a decade ago,";"Votre navigateur actuel a été mis au point plus de dix ans,"	
"its like watching TV in black and white in 2015!";"C'est comme en 2015, je regarde en noir et blanc !"	
"Please view the website in one of these modern browsers";"Veuillez consulter le site Web dans l'un de ces navigateurs modernes"	
download;Télécharger	
"google chrome";"Google chrome"	
"mozilla firefox";"Mozilla firefox"	
"apple safari";"safari d'Apple"	
Categories;Catégories	
Search...;Rechercher...	
"Suggested Search";"Suggéré de rechercher"	
"(eg. mobile, dress, toys, etc...)";"(eg. mobile, dress, jouets, etc...)"	
English;Anglais	
Chinese;Chinois	
Canada;Canada	
"For Android";"Pour Android"	
"For IOS";"Pour IOS"	
"on your wishlist";"sur votre de souhaits"	
"0 items";"0 Articles"	
"on your cart";"sur votre panier"	
"Account Management";"Gestion des Comptes"	
Settings;Paramètres	
Messages;Messages	
Help;Aide	
Logout;Logout	
Sign-Up;Inscrivez-vous	
Log-In;Log-In	
"Filter Area:";"Surface de Filtration:"	
Sub-Category;Sous-Catégorie	
All;Tous les	
Price;Prix	
"Price Range";"Gamme de prix"	
Brand;Marque	
"More Filter";"Plus de Filtre"	
"Sort By:";"Trier par:"	
Relevance;Intérêt pour	
"New to Old";"Nouveau à Ancien"	
"Old to New";"Ancien au Nouveau"	
Alphabetical;Alphabétique	
Popularity;Popularité	
of;de	
"View By:";"Visualiser par:"	
"Add to cart";"Ajouter au panier"	
"You have 0 items on your wishlist";"Vous avez 0 produits sur votre liste de souhaits"	
"All Categories";"Toutes les Catégories"	
Home;Accueil	
"Sub Category:";"Sous Catégorie:"	
More;Plus	
Less;Moins	
"view more";"Voir plus"	
"Edit Address";"Modifier l'adresse"	
"Delete Address";"Supprimer Adresse"	
"See More";"Voir plus"	
"Ship To";"Expédier à"	
"New Address";"Nouvelle Adresse"	
Proceed;Aller de l'avant	
"Guest Checkout allows you to purchase from our website even if you aren't registered. After your purchase has been completed you'll still have the option to register for an account.";"Guest Checkout vous permet d'acheter sur notre site Internet même si vous n'êtes pas inscrit. Après avoir effectué votre achat, vous aurez toujours la possibilité de s'inscrire pour un compte."	
"Verify Number";"Vérifier le Numéro de"	
"Verification code has been successfully resent";"Code de vérification a été renvoyé avec succès"	
"You are about to change your contact number, please ensure that your mobile phone is within reach before you proceed with this step.";"Vous êtes sur le point de changer votre numéro de téléphone, s'il vous plaît assurez-vous que votre téléphone mobile est à portée de main avant de procéder à cette étape."	
"Please enter the 6 digit code that was sent to your mobile phone";"Veuillez entrer le code à 6 chiffres qui a été envoyé à votre téléphone mobile"	
"Time Left:";"Temps restant :"	
0;0	
"Enter Code";"Entrez le Code"	
"Enter your verification code";"Entrez votre code de vérification"	
Cancel;Annuler	
"Resend Code";"Renvoyer le Code"	
"Verify and Continue";"Vérifier et Continuer"	
"Checkout Type";"Type de caisse"	
Summary;Résumé	
Overview;Vue d'ensemble	
Email/Mobile;Courriel/Mobile	
"Enter your email/mobile here";"Entrez votre e-mail/téléphone portable ici"	
Password;Mot de passe	
"Enter your password here";"Entrez votre mot de passe ici"	
"Sign In &amp";"Connectez-vous & amp"	
"or sign in with";"ou connectez-vous à l'aide"	
Facebook;Facebook	
Google+;Google +	
"Order Summary";"Résumé de l'ordre"	
"Grand Total";"Total Général"	
"Voucher Deduction";"Déduction du bon d'achat"	
"There are no items to checkout.";"Il n'y a aucun élément à la caisse."	
"Go back to checkout";"Retourner à la Caisse"	
Congratulations;Félicitations	
"Your purchase was a success";"Votre achat a été un succès"	
"Want to buy more items similar to this?";"Vous voulez acheter plus d'éléments semblable à cela ?"	
"Congratulations on a successful purchase! While waiting for your product to arrive, we suggest checking out other related products that you just bought.";"Félicitations pour un achat réussi! Pendant que vous attendez de votre produit arriver, nous vous suggérons de vérifier d'autres produits connexes que vous venez d'acheter."	
"View Transaction";"Avis de Transaction"	
or;ou	
"Would you like to register an account?";"Vous souhaitez créer un compte?"	
"Based on the information that you've provided in your order, YiLinker already has your basic information that's needed in creating an account. If you'd like to register on our website to receive more exciting news about our upcoming products & other promos, just enter your password and you're all set.";"D'après les informations que vous avez fourni lors de votre commande, YiLinker a déjà votre information de base nécessaire à la création d'un compte. Si vous souhaitez vous inscrire sur notre site Web pour recevoir les news plus excitants sur nos prochains produits & autres promos, il suffit d'entrer votre mot de passe et vous êtes prêt."	
"Sign Up Now";"Inscrivez-vous dès maintenant"	
"Consignee Name:";"Nom du destinataire:"	
"Justine Carl Duazo";"Justine Carl Duazo"	
"Full Address:";"Adresse Complète:"	
"6F Five E-com Tower, Pacific Drive, Mall of Asia Complex, Pasay City";"6F cinq E-comTour, Pacific Drive, Mall of Asia Complex, Pasay City:"	
"Mobile Number:";"Numéro de mobile:"	
9271234567;9271234567	
"City/ Municipality:";"Ville/Commune:"	
Manila;Manille	
"Transaction Details";"Détails de la Transaction"	
"Transaction Number:";"Numéro de Transaction:"	
123324234;123324234	
"Invoice Number:";"Numéro de la Facture:"	
2342q42342q34;2342q42342q34	
"Payment Method:";"Mode de paiement:"	
"Cash on Delivery";"Paiement à la Livraison"	
"Total Amount:";"Montant Total:"	
"Transaction Date:";"Date de l'opération:"	
01/21/2016;01/21/2016	
"Your Order Details";"Détails de Votre Commande"	
Product;Produit	
Quantity;Quantité	
"Size :";"Taille:"	
"Color :";"Couleur:"	
1;1	
"Order Total";"Total de la Commande"	
"Print Receipt";"Imprimer Reçu"	
"""YiLinker adheres to the highest standards when it comes to protecting our user's sensitive data. We currently don't save your Credit/Debit Card details on our website."";""
YiLinker adhère aux normes plus élevées lorsqu'il s'agit de protéger les données sensibles de nos utilisateurs. Actuellement, nous ne sauvegardons vos détails de carte de Crédit/Débit sur notre site Web."""	
"Delivery Address:";"Adresse de livraison:"	
"Consignee Contact Number:";"Numéro de téléphone destinataire: "	
"Voucher Code";"Code du coupon"	
"Invalid Or Expired Code";"Code non valide ou expiré"	
"Successfully applied code";"Code avec succès appliqué"	
"Enter your voucher code here";"Entrez votre code de bon d'achat ici"	
Apply;S'appliquent	
"How Do You Wish To Pay?";"Comment voulez-vous payer?"	
"Click one of the options below";"Cliquez sur une des options ci-dessous"	
"To ensure that you'll have a smooth shopping & delivery experience, please prepare the exact amount upon the date of delivery.";"Pour vous assurer que vous aurez un bon shopping & de livraison expérience, veuillez préparer le montant exact à la date de livraison."	
"Your payment solution for Over-the-Counter (OTC) payments if you don't have a Credit/Debit card.";"Votre solution de paiement pour les paiements-the-Counter (OTC) si vous n'avez pas une carte de crédit ou de débit."	
"The Philippines' leading payment solution for Credit/Debit Card transactions.";"Solution de paiement leader aux Philippines pour les transactions par carte de crédit ou de débit."	
"Go back";"Retour"	
Continue;Continuer	
Consignee;Destinataire	
"Ship this transaction with the consignee details below.";"Expédier cette transaction avec les informations de destinataire ci-dessous."	
Name;Nom	
"Enter consignee name here";"Entrez ici le nom destinataire"	
"Contact Number";"Numéro de téléphone"	
"Enter consignee contact number here";"Entrez le numéro de contact destinataire ici"	
"YiLinker Express is capable of shipping anywhere in the Philippines at affordable rates";"YiLinker Express est capable d'expédition n'importe où aux Philippines à des tarifs abordables"	
"""YiLinker Express offers FREE shipping on Metro Manila orders only"";""
YiLinker Express offre gratuite livraison sur les commandes de Manille seulement"""	
"You'll receive the tracking details for your parcel soon after the dispatch of your order.";"Vous recevrez les détails de suivi pour votre colis peu de temps après l'envoi de votre commande."	
"Ships in";"Navires en"	
"No hidden fees";"Aucun frais caché"	
"7 days return policy";"Politique de retour 7 jours"	
"Mobile number is required";"Numéro de mobile est requis"	
"Enter your mobile number here";"Entrez ici votre numéro de mobile"	
"New Shipping Address";"Nouvelle adresse d'expédition"	
"Delete Address?";"Désabonner?"	
"Are you sure you want to delete this address";"Êtes-vous sûr de que vouloir supprimer cette adresse"	
Delete;Supprimer	
"Update Shipping Address";"Mettre à jour l'adresse de livraison"	
"Shipping address has been successfully updated";"Adresse d'expédition a été mis à jour"	
Okay;OK	
"Change Mobile Number";"Changer de numéro de téléphone Mobile"	
"Invalid contact number";"Numéro de téléphone non valide"	
"Enter New Number";"Entrez le nouveau numéro"	
"Enter your new number here";"Entrez ici votre nouvelle"	
Submit;Envoyer	
"The code is either invalid or is already expired.";"Le code est pas valide ou est déjà expiré."	
Verify;Vérifier	
"Contact number has been successfully verified.";"Numéro de téléphone a été vérifiée avec succès."	
"Check As";"Vérifiez que"	
"Sign In";"Connecter"	
"Guest Checkout";"Guest Checkout"	
"Welcome to YiLinker";"Bienvenue sur YiLinker"	
"You cannot use the checkout functionality while you're still unverified.";"Vous ne pouvez pas utiliser la fonctionnalité d'extraction pendant que vous êtes encore non vérifiées."	
Back;Précédent	
"Back to Home Page";"Retour à la Page d'accueil"	
"Get Our App for FREE";"Téléchargez notre App gratuite"	
"YiLinker - All you need in one place";"YiLinker - tout ce dont vous avez besoin en un seul endroit"	
"Coming soon";"À venir"	
;	
"Be a Buyer";"Soyez un acheteur"	
"View our Site";"Voir notre Site"	
"Be a Seller";"Être un vendeur"	
"Join Now";"Inscrivez-vous"	
"Be an Affiliate";"Être un affilié"	
"Learn More";"Pour en savoir plus"	
"Stay tuned! You can subscribe to our newsletter to get";"Restez à l'écoute! Vous pouvez vous abonner à notre newsletter pour obtenir"	
"a notification when we launch!";"Nne notification lorsque nous lançons!"	
"Enter your email address here";"Entrez votre adresse e-mail ici"	
SUBSCRIBE;S'ABONNER	
"+63 977-7265481";"+ 63 977-7265481"	
"Top Brands";"Top marques"	
"Shop This Brand";"Boutique de cette marque"	
off;Hors	
"Add to wislist";"Ajouter à wislist"	
"Top Categories";"Principales catégories"	
"Shop Now";"Magasinez maintenant"	
"Featured Items";"Éléments recommandés"	
"view more &rarr";"Vue plus & rarr"	
"Top Sellers";"Meilleurs vendeurs"	
"Seller Name";"Nom du vendeur"	
Specialty:;Spécialité:	
FEATURED;EN VEDETTE	
"Items You May Like";"Vous pouvez, comme les éléments"	
"New Arrivals";"Nouveaux arrivants"	
"Banner Title";"Titre de la bannière"	
"New Sellers";"Nouveaux vendeurs"	
"See What Others are Selling";"Voir ce que d'autres sont vente"	
"view more sellers";"Découvre plus de vendeurs"	
"Our Recommendation";"Notre recommandation"	
"Trending Categories";"Catégories orientées"	
"Recommended Seller";"Vendeur recommandé"	
"Free Shipping Nationwide";"Livraison gratuite dans tout le pays"	
"No minimum purchase required";"Aucun achat minimum requis"	
"7-day return";"Retour 7 jours"	
"Money back guaranteed";"Argent de retour garanti"	
"24/7 Support";"Support 24/7"	
"Online help";"Aide en ligne"	
"Safe Shopping";"Achats sûrs"	
"Product guaranteed";"Produit garanti"	
"20% off";"20% de réduction"	
"Thank You!";"Merci!"	
"See you Soon!";"A bientôt!"	
"Promo Mechanics:";"Promo la mécanique:"	
YiLinker;YiLinker	
"Campaign Period: November 16 to December 13, 2015";"Durée de la campagne : Du 16 novembre au 13 décembre 2015"	
Prizes;Prix	
"Main Prize:";"Prix principal:"	
"Consolation Prize:";"Prix de consolation:"	
"How to Join?";"Comment y adhérer?"	
"6F Five E-Com Center Pacific Drive, MOA Complex, Pasay City, Metro Manila, Philippines";"6F cinq E-Com Centre Pacific Drive, MOA Complex, Pasay City, Metro Manille, Philippines"	
"The following are not qualified for the promo:";"Ce qui suit n'est pas qualifié pour la promo :"	
"Criteria for Claiming the Prize";"Critères pour demander le prix"	
"For a person to qualify, he/she:";"Pour une personne de se qualifier, il/elle :"	
"Users may join the promo by:";"Les utilisateurs peuvent rejoindre la promo de :"	
"How to Register?";"Comment s'inscrire?"	
"How to Create an Entry?";"Comment créer une entrée?"	
"Terms and Condition";"Termes et conditions"	
"Out of Stock";"En rupture de Stock"	
"7-Day Return";"Retour 7 jours"	
"Free Shipping";"Livraison gratuite"	
"scroll down";"Défilez vers le bas"	
"for more info";"Pour plus d'informations"	
"{0} no reviews|{1} %count% review|]1,Inf[ %count% reviews";"{0} ne reviews| {1}% nombre% review|] 1, Inf [% nombre% commentaires"	
"Add to Wishlist";"Ajouter à liste de souhaits"	
"Short Description";"Brève Description"	
Seller;Vendeur	
"Free Shipping (Metro Manila only)";"Livraison gratuite (région métropolitaine de Manille seulement)"	
"out of stock";"En rupture de stock"	
"Buy now";"Acheter maintenant"	
"Share this product";"Partager ce produit"	
Twitter;Twitter	
"Description &amp";"Description & amp"	
"Payment &amp";"Paiement & amp"	
"Buyer Reviews";"Commentaires de l'acheteur"	
"Special Offers";"Offres spéciales"	
Description;Description	
"Related Video";"Spot vidéo"	
Specifications;Spécifications	
Condition;Condition	
SKU;SKU	
"Payment Options";"Options de paiement"	
"We accept all major credit cards through DragonPay &amp";"Nous acceptons toutes les principales cartes de crédit par le biais de DragonPay & amp."	
"We do not accept other currency in any amount";"Nous n'acceptons pas d'autre monnaie dans n'importe quel montant"	
"Sellers can't require buyers to pay using methods that aren't allowed on YiLinker";"Vendeurs ne peuvent pas exiger des acheteurs à payer à l'aide de méthodes qui ne sont pas autorisés sur YiLinker"	
"Shipping &amp";"Livraison & amp"	
"Not available";"Non disponible"	
"Add to wishlist";"Ajouter à liste de souhaits"	
"No rating or review for this product yet";"Aucune notation ou la revue de ce produit encore"	
Specialty;Spécialité	
"Mark your Address";"Marquez votre adresse"	
"Mark Location";"Marquer l'emplacement"	
"Feedback for Product";"Commentaires sur les produits"	
"Feedback title and content cannot be empty";"Contenu et le titre de rétroaction ne peut pas être vides"	
"Let other people know what you think about this product.";"Laissez autrui ce que vous pensez sur ce produit."	
Rating:;Puissance nominale:	
Title:;Titre:	
"Enter review title here";"Tapez ici le titre examen ici"	
Comment:;Commentaire:	
"Leave a comment";"Laisser un commentaire"	
"Feedback for Seller";"Commentaires pour vendeur"	
"Product List";"Liste des produits"	
SKU:;SKU:	
Quantity:;Quantité:	
Details:;Détails:	
Condition:;Condition:	
"Product Price:";"Prix du produit:"	
Brand:;Marque:	
Status:;Statut:	
Total:;Total:	
"Feedback to Seller";"Retour au vendeur"	
"Go to seller page";"Aller ã la page vendeur"	
"Activity Log";"Journal d'activité"	
Information;Informations	
"Followed Seller";"Suivi vendeur"	
"Upload Document";"Télécharger le Document"	
"Followed Sellers";"Suivi des vendeurs"	
OOOooops!!!;Ouuups!!!	
"It looks like you haven't followed any Sellers yet. Checkout our homepage and follow some of the best Sellers that we have on YiLinker.";"On dirait que vous n'avez pas suivi les vendeurs encore. Commander notre page d'accueil et suivre quelques-uns des meilleurs vendeurs que nous avons sur YiLinker."	
"My Points";"Mes Points"	
"Basic Information";"Informations de base"	
"Email verification sent.";"Vérification du courriel envoyée."	
"Something went wront. Please try again later";"Quelque chose a mal tourné. Veuillez réessayer ultérieurement"	
"Information successfully updated.";"Information mise à jour réussie."	
"First Name";"Prénom"	
"Enter your first name here";"Entrez ici votre prénom"	
"Last Name";"Nom de famille"	
"Enter your last name here";"Entrez votre nom ici"	
"Mobile Number";"Numéro de téléphone mobile"	
Change;Changement	
"Mobile number is not yet verified.";"Numéro de téléphone mobile n'est pas encore vérifié."	
"Click here to verify";"Cliquez ici pour vérifier"	
"Kindly enter your contact number.";"Veuillez entrer votre numéro de téléphone."	
"Verified mobile number";"Numéro de téléphone portable vérifié"	
"Account Information";"Informations de compte"	
"Enter your email here";"Entrez votre email ici"	
"Your Referral Code";"Votre Code de parrainage"	
"Copy Link.";"Copier le lien."	
"Copy Code";"Copier le Code"	
"Referral Person";"Personne de référence"	
"Referrers Name:";"Nom de référents:"	
"Referrers Code:";"Code de référents:"	
Save;sauver	
"Shipping Address";"Adresse d'expédition"	
"Save Changes";"Enregistrer les modifications"	
"New Shippping Address";"Nouvelle adresse Shippping"	
"Pin your address to map";"Épinglez votre adresse à la carte"	
"Home Address";"Adresse du domicile"	
"Unit Number";"Numéro d'unité"	
"Building Name";"Nom de l'immeuble"	
"Street Number";"Numéro de la rue"	
"Street Name";"Nom de la rue"	
Subdivision;Subdivision	
"Select your province";"Choisissez votre province"	
"Select your city";"Sélectionnez votre ville"	
"Select your Barangay";"Sélectionnez votre Barangay"	
Zipcode;Code postal	
"Select your City";"Sélectionnez votre ville"	
"Apply Changes";"Appliquer les modifications"	
"Change Email Address";"Modifier l'adresse E-mail"	
"Enter your new email address here";"Entrer votre nouvelle adresse de courriel ici"	
"Confirm your new email address here";"Confirmer votre nouvelle adresse de courriel ici"	
"Change Password";"Changer mot de passe"	
"Enter your current password here";"Entrez votre mot de passe ici"	
"Enter your new password here";"Entrez votre nouveau mot de passe ici"	
"Confirm your new password here";"Confirmez votre nouveau mot de passe ici"	
"My Profile";"Mon profil"	
Transaction;Transaction	
"All Transactions";"Toutes les Transactions"	
On-Delivery;À la livraison	
"For Feedback";"Pour vos commentaires"	
"Crop Photo";"Rogner la Photo"	
"Select Products";"Sélection de produits"	
Category;Catégorie	
"Electronics &amp";"Electronics & amp"	
Accessories;Accessoires	
"Product to Sell";"Produit à vendre"	
"Search item here";"Recherche ici"	
"All Products";"Tous les produits"	
"Sample er wer wer wer we rwe r";"Échantillon er wer wer wer nous rwe r"	
"Your inbox is currently empty.";"Votre boîte de réception est actuellement vide."	
"Point Earned";"Point gagné"	
Breakdown;Ventilation	
"""|{1} Point
                                                |]1,Inf[ Points"";""__|{1} Point
                                                |]1,Inf[ Points""
"	
"We understand how frustrating it can be when there's a problem with one of your transactions. One of the benefits of using YiLinker is that you can take advantage of our Resolution Center to help you track, manage and resolve it as quickly as possible with absolute transparency.";"Nous comprenons comment il peut être frustrant quand il ya un problème avec un de vos transactions. Un des avantages de l'utilisation de YiLinker est que vous pouvez profiter de notre centre de résolution pour vous aider à suivre, gérer et résoudre aussi rapidement que possible avec une transparence absolue."	
"Before filing for a dispute, please make sure that you've exhausted all efforts in reaching an agreement with the the other party. Decisions made by our specialists will be deemed final and will only be reopened when new evidence has been presented by one of the parties. We try to resolve cases as quickly as possible, but some may take longer depending on its circumstances.";"Avant le dépôt d'un litige, veuillez vous assurer que vous avez épuisé tous les efforts pour parvenir à un accord avec l'interlocuteur. Décisions prises par nos spécialistes seront considérée comme définitive et seront rouverte seulement lorsque de nouveaux éléments de preuve a été présentée par une des parties. Nous essayons de résoudre les cas aussi rapidement que possible, mais certains peuvent prendre plus longtemps selon ses circonstances."	
"File a dispute";"Déposer une contestation"	
Cases;Cas	
"Search By Case Id";"Recherche par Id d'affaire"	
Search;Recherche	
Filter;Filtre	
"Case ID";"ID d'affaire"	
"Dispute Title";"Titre de règlement des différends"	
Status;Statut	
"Other Party";"Autre partie"	
"Date Opened";"Date d'ouverture"	
Open;Ouvert	
Closed;Fermé	
"No case found";"Aucun cas trouvés"	
"Enter title here";"Tapez ici le titre ici"	
"Dispute Type";"Type de litige"	
"Select dispute type here";"Sélectionnez le type de litige ici"	
"Transaction No.";"N° de transaction"	
"Select transaction here";"Sélectionnez transaction ici"	
"Select reason here";"Sélectionnez la raison ici"	
"Select item to dispute:";"Sélectionnez l'élément pour contester:"	
Remarks;Remarques	
"Leave your remarks here";"Laissez vos remarques ici"	
"Your case has been successfully submitted";"Votre cas a été soumis avec succès"	
"To be approved by Admin.";"Doit être approuvé par l'administrateur."	
OPEN;OUVERT	
CLOSED;FERMÉ	
"Dispute Details";"Détails de règlement des différends"	
Reason:;Motif:	
Items:;Articles:	
"No remarks";"Pas d'observations"	
Contacts;Contacts	
Notifications;Notifications	
"SMS Notifications";"Notifications par SMS"	
"Aside from your email, you'll also receive marketing announcements on your mobile by default. You can choose whether you want to receive SMS notifications.";"En dehors de votre email, vous recevrez également des annonces marketing sur votre mobile par défaut. Vous pouvez choisir si vous souhaitez recevoir les notifications par SMS."	
"Account setting";"Compte de mise en"	
"Deactivate My Account";"Désactiver mon compte"	
"We'd really hate to see you go but, you still get to decide whether you want to keep your account active or deactivate it. Other people with whom you have transacted with will still have a record of your transactions details including, but not limited to your name & contact number. You will also receive an email that contains a reactivation link should you wish to reactivate your account at a future time.";"Nous ne voudrais pas vraiment voir vous aller mais, vous obtenez toujours de décider si vous voulez garder votre compte actif ou désactivez-le. Autres personnes avec qui vous avez conclues avec la volonté ont toujours un enregistrement de vos détails de transactions, y compris, mais sans s'y limiter votre numéro nom & contact. Vous recevrez également un email contenant un lien de réactivation si vous souhaitez réactiver votre compte à une date ultérieure."	
"The password you entered is invalid.";"Le mot de passe saisi est invalide."	
"Please enter your password to confirm your account deactivation.";"Veuillez entrer votre mot de passe pour confirmer votre désactivation de compte."	
Deactivate;Désactiver	
"Account has been successfully deactivated.";"Compte a été désactivé avec succès."	
"A reactivation email has been to your email should you wish to reneable your account.You will be logged out now.";"Un mail de réactivation a été à votre email si vous souhaitez reneable votre compte. Vous serez connecté maintenant."	
"Are you sure you want to proceed?";"Êtes-vous sûr de que vouloir continuer ?"	
"You are about to change the subscription status of your active mobile number.";"Vous êtes sur le point de changer le statut de l'abonnement de votre numéro de portable actif."	
"This Year";"Cette Année"	
"This Week";"Cette Semaine"	
"This Month";"Ce Mois-ci"	
Date;Date	
Qty;Qté	
"Payment Type";"Type de paiement"	
"Order Status";"Statut des commandes"	
"No transaction available";"Aucune transaction disponible"	
"Go Back";"Retour"	
"Transaction Number";"Numéro de transaction"	
Details;Détails	
"Payment Type:";"Type de paiement:"	
"Date Created:";"Date de création:"	
"Total Quantity:";"Quantité totale:"	
Subtotal:;Sous-total:	
"Shipping Fee:";"Frais d'expédition:"	
FREE;GRATUIT	
"Voucher Code:";"Code promotionnel:"	
"Voucher Price Deduction:";"Bon prix déduction:"	
"Total Cost:";"Coût total:"	
"Cancel Order";"Annuler commande"	
"Feedback sent";"Vos commentaires envoyés"	
"Feedback has been successfully submitted.";"Vos commentaires a été soumis avec succès."	
Informatio;Informatio	
"Upload your document";"Télécharger votre document"	
"Only PDF, PNG, JPEG files are accepted";"Seulement, PDF, PNG, JPEG fichiers sont acceptés"	
Upload;Télécharger	
"Uploaded Documents";"Documents téléchargés"	
"Add a feedback to this store to let other people know what you think. Your opinions matter to us.";"Ajouter un commentaire à ce magasin pour faire les autres personnes à savoir ce que vous pensez. Vos opinions nous importent."	
"Communication Rating:";"Evaluation de la communication:"	
"Quality Rating:";"Évaluation de la qualité:"	
"PROMO CODE:";"CODE PROMO:"	
"Terms and Conditions:";"Conditions générales:"	
"Promo Period:";"Période de promo:"	
"SIGN UP NOW";"INSCRIVEZ-VOUS DÈS MAINTENANT"	
"SHOP NOW";"MAGASINEZ MAINTENANT"	
*;*	
"Store Location";"Emplacement du magasin"	
"Need Assistance?";"Besoin d'aide?"	
"SEND MESSAGE";"ENVOYER MESSAGE"	
"Send Message";"Envoyer Message"	
"Enter your message here";"Entrez votre message ici"	
"Unfollow Seller";"Unfollow vendeur"	
"Follow Seller";"Suivez le vendeur"	
About;Sur	
"What People";"Ce que les gens"	
"Are saying";"Dites"	
Products;Produits	
"Store Information";"Stocker des informations"	
Feedbacks;Rétroactions	
"Search For Products";"Recherche de produits"	
"Resend Email Verification";"Renvoyer la vérification Email"	
"Register | YiLinker Online.com";"S'inscrire | YiLinker Online de.com"	
"Sign In | YiLinker Online.com";"Identifiez-vous | YiLinker Online de.com"	
"All in one place";"Tous au même endroit"	
"Shoes in one place";"Chaussures en un seul endroit"	
