"Women Clothing";"Roupa Mulher"
"Sign In &amp";"Iniciar Sessão"
"or sign in with";"ou iniciar sessão com"
Facebook;Facebook
Google+;Google+
"Order Summary";"Resumo do pedido"
"Grand Total";"Total geral"
"Voucher Deduction";"dedução de vale"
"There are no items to checkout.";"Não há artigos na caixa"
"Go back to checkout";"Voltar para caixa"
Congratulations;Parabéns
"Your purchase was a success";"A sua compra tenha realizada com êxito"
"Want to buy more items similar to this?";"Deseja comprar mais artigos semelhantes?"
"Congratulations on a successful purchase! While waiting for your product to arrive, we suggest checking out other related products that you just bought.";"Parabéns pela sua compra! Enquanto você está esperando o seu artigo chegar, nós sugerimos que você dê uma olhada nos outros artigos semelhantes."
"View Transaction";"Visão transação"
or;ou
"Would you like to register an account?";"Deseja se registar uma conta?"
"Based on the information that you've provided in your order, YiLinker already has your basic information that's needed in creating an account. If you'd like to register on our website to receive more exciting news about our upcoming products & other promos, just enter your password and you're all set.";"Com base na informação que nós disponibilizou no seu pedido, YiLinker já tem a sua informação básica necessaria para criar uma conta. Si você deseja registrar no site e receber mais novedades sobre os nossos produtos novos & outras promoções, basta inserir sua senha e já está."
"Sign Up Now";"Inscrever-se agora"
"Consignee Name:";"Nome do destinatário:"
"Justine Carl Duazo";"Justine Carl Duazo"
"Full Address:";"Endereço completo:"
"6F Five E-com Tower, Pacific Drive, Mall of Asia Complex, Pasay City";"6F Five E-com Tower, Pacific Drive, Mall of Asia Complex, Pasay City"
"Mobile Number:";"Número de telemóvel:"
9271234567;9271234567
"City/ Municipality:";"Cidade / Município:"
Manila;Manila
"Transaction Details";"Detalhes de transacção"
"Transaction Number:";"Número de transacção:"
123324234;123324234
"Invoice Number:";"Número de fatura:"
2342q42342q34;2342q42342q34
"Payment Method:";"Método de pagamento:"
"Cash on Delivery";"A pagar na entrega"
"Total Amount:";"Valor total:"
"Transaction Date:";"Data de transacção:"
01/21/2016;01/21/2016
"Your Order Details";"Os seus detalhes de pedido"
Product;Produto
Quantity;Quantidade
"Size :";"Tamanho:"
"Color :";"Cor:"
1;1
"Order Total";"Pedido total"
"Print Receipt";"Cópia de recibo"
"YiLinker adheres to the highest standards when it comes to protecting our user's sensitive data. We currently don't save your Credit/Debit Card details on our website.";"YiLinker cumpre as mais elevadas normas quando se trata dos datos sensíveis dos nossos usuários. No momento, não guardamos a informação de seu cartão de crédito / débito no nosso site."
"Delivery Address:";"Endereço de entrega:"
"Consignee Contact Number:";"Número de teléfone de usuário:"
"Voucher Code";"Código de vale"
"Invalid Or Expired Code";"Código inválido ou expirado"
"Successfully applied code";"O código foi aplicado com êxito"
"Enter your voucher code here";"Introduza o seu código de vale aquí"
Apply;Aplicar
"How Do You Wish To Pay?";"Como deseja pagar?"
"Click one of the options below";"Clique em uma das opções abaixo"
"To ensure that you'll have a smooth shopping & delivery experience, please prepare the exact amount upon the date of delivery.";"Para assegurar que você tem uma compra e entrega muito agradáveis, por favor prepare a quantidade exacta no momento da data de entrega."
"Your payment solution for Over-the-Counter (OTC) payments if you don't have a Credit/Debit card.";"A sua solução de pagamento para os pagos de balção (OTC Over-the-counter) se não tiver um cartão de crédito ou débito."
"The Philippines' leading payment solution for Credit/Debit Card transactions.";"A solução principal de pagamentos das Filipinas para as transacções com os cartões de crédito ou débito."
"Go back";"Regressar"
Continue;Continuar
Consignee;Destinatário
"Ship this transaction with the consignee details below.";"Enviar esta transacção com os detalhes de destinatário debaixo."
Name;Nome
"Enter consignee name here";"Inserir aquí o nome de destinatário"
"Contact Number";"Número de teléfone de contacto"
"Enter consignee contact number here";"Inserir aquí o número de telefone do destinatário"
"YiLinker Express is capable of shipping anywhere in the Philippines at affordable rates";"YiLinker Express é capaz enviar em qualquer parte nas Filipinas a preços acessíveis"
"YiLinker Express offers FREE shipping on Metro Manila orders only";"YiLinker Express oferece transporte GRATUITO só aos pedidos em Metro Manila. "
"You'll receive the tracking details for your parcel soon after the dispatch of your order.";"Você receberá o código de tracking da sua encomenda após o envío do seu pedido."
"Ships in";"Envio em"
"No hidden fees";"Não há custos escondidos"
"7 days return policy";"Devolução de 7 dias"
"Mobile number is required";"Número de telemóvel requerido"
"Enter your mobile number here";"Inserir o seu número de telemóvel aquí"
"New Shipping Address";"Novo endereço de entrega"
"Delete Address?";"Eliminar endereço?"
"Are you sure you want to delete this address";"Tem certeza de que deseja eliminar este endereço"
Delete;Eliminar  
"Update Shipping Address";"Actualizar o endereço de envio"
"Shipping address has been successfully updated";"Os endereços de envio foram atualizados com êxito"
Okay;Está bem
"Change Mobile Number";"Modificar o número de telemóvel"
"Invalid contact number";"Número de telefone inválido"
"Enter New Number";"Inserir o novo número de telefone"
"Enter your new number here";"Inserir o novo número de telefone aquí"
Submit;Apresentar
"The code is either invalid or is already expired.";"O código é inválido ou expiró."
Verify;Verificar
"Contact number has been successfully verified.";"O número de telefone tem sido verificado com êxito."
"Check As";"Verificar como"
"Sign In";"Iniciar sessão"
"Guest Checkout";"Finalização de compra de visitante"
"Welcome to YiLinker";"Bem-vindo á YiLinker"
"You cannot use the checkout functionality while you're still unverified.";"Você não pode usar a função de caixa enquando ainda não está verificado."
Back;Voltar
"Back to Home Page";"Voltar para a Página Principal"
"Get Our App for FREE";"Obtenha a nossa aplicação gratis"
"YiLinker - All you need in one place";"YiLinker - tudo de que você precisa em um só local"
"Coming soon";"em breve"
;
"Be a Buyer";"ser um comprador"
"View our Site";"ver o nosso site"
"Be a Seller";"ser um vendedor"
"Join Now";"entrar agora"
"Be an Affiliate";"ser um afiliado"
"Learn More";"saiba mais"
"Stay tuned! You can subscribe to our newsletter to get a notification when we launch!";"Fique atento! Você pode assinar ao nosso boletím para receber uma notificação quando nós abrimos!"
"a notification when we launch!";"uma notificação quando lançamos!"
"Enter your email address here";"Inserir o seu correio eletrónico aquí"
"SUBSCRIBE";"Assinar"
"+63 977-7265481";"+63 977-7265481"
Top Brands;Top marcas
"Shop This Brand";"Comprar esta marca"
"off";"fora"
"Add to wislist";"Adicionar à Lista de Desejos"
"Top Categories";"Categorias Top"
"Shop Now";"Comprar agora"
"Featured Items";"Artigos relacionados"
"view more &rarr";"Ver mais"
"Top Sellers";"Top vendedores"
"Seller Name";"Nome do vendedor"
"Specialty:";"Especialidade:"
"FEATURED";"Destacado"
"Items You May Like";"Artigos que você possa gostar"
"New Arrivals";"Novas chegadas"
"Banner Title";"Título de faixa"
"New Sellers";"Vendedores novos"
"See What Others are Selling";"Ver o que os outros vendem"
"view more sellers";"Ver mais vendedores"
"Our Recommendation";"Nossa recomendação"
"Trending Categories";"Categorias de Tendência"
"Recommended Seller";"Vendedor Recomendado"
"Free Shipping Nationwide";"Envio gratuito em âmbito nacional"
"No minimum purchase required";"Não há mínimo de compra"
"7-day return";"Devolução até 7 dias"
"Money back guaranteed";"Reembolso garantido"
"24/7 Support";"Apoio 24/7"
"Online help";"Ajuda online"
"Safe Shopping";"Compra Segura"
"Product guaranteed";"Produto garantizado"
"20% off";"20% de desconto"
"Thank You!";"Obrigado!"
"See you Soon!";"Até breve!"
"Promo Mechanics:";"Mecânica da promoção:"
"YiLinker";"YiLinker"
"Campaign Period: November 16 to December 13, 2015";"Período de campanha : Novembro 16 até Dezembro 13, 2015"
Prizes;Prémios
"Main Prize:";"Prémio principal:"
"Consolation Prize:";"Prémio de consolação:"
"How to Join?";"Como juntar-se?"
"6F Five E-Com Center Pacific Drive, MOA Complex, Pasay City, Metro Manila, Philippines";"6F Five E-Com Center Pacific Drive, MOA Complex, Pasay City, Metro Manila, Philippines"
"The following are not qualified for the promo:";"O seguinte não poderão concorrer à promoção:"
"Criteria for Claiming the Prize";"Critérios necessários para reclamar o Prémio"
"For a person to qualify, he/she:";"Para poder classificar-se, ele/ela:"
"Users may join the promo by:";"Usuários podem aderir a promoção com:"
"How to Register?";"Como registar?"
"How to Create an Entry?";"Como criar uma entrada?"
"Terms and Condition";"Termos e condições"
"Out of Stock";"em falta"
"7-Day Return";"Devolução até 7 dias"
"Free Shipping";"Envio gratis"
"scroll down";"Descer"
"for more info";"Para mais informação"
"{0} no reviews|{1} %count% review|]1,Inf[ %count% reviews";"não críticas"
"Add to Wishlist";"Adicionar à Lista de Desejos"
"Short Description";"Descrição breve"
Seller;Vendedor
"Free Shipping (Metro Manila only)";"Envio gratis (só Metro Manila)"
"out of stock";"Falta"
"Buy now";"Comprar agora"
"Share this product";"Partilhar este Produto"
Twitter;Twitter
"Description &amp;Specifications";"Descrição;Especificações"
"Payment &amp";"Pagamento"
"Buyer Reviews";"Opiniões de compradores"
"Special Offers";"Ofertas especiais"
Description;Descrição 
"Related Video";"Vídeo relacionado"
Specifications;Especificações
Condition;Condições
SKU;SKU
"tions";"Opções de pagamento"
"We accept all major credit cards through DragonPay &amp";"Aceitamos todos os cartões de crédito através de DragonPay."
"We do not accept other currency in any amount";"Não aceitamos outra moeda em qualquer quantidade"
"Sellers can't require buyers to pay using methods that aren't allowed on YiLinker";"Os vendedores não podem exigir aos compradores pagar através aos metodos não aceitados por YiLinker"
"Shipping &amp";"Envio"
"Not available";"Não disponível"
"Add to wishlist";"Adicionar à Lista de Desejos"
"No rating or review for this product yet";"Ainda não há avaliação ou classificação deste produto"
"Specialty";"Especialidade"
"Mark your Address";"Marque o seu endereço"
Mark Location;Marque a sua locação 
"Feedback for Product";"Opinião do produto"
"Feedback title and content cannot be empty";"Título de opinião e conteúdo não podem estar vazios"
"Let other people know what you think about this product.";"Deixe a sua opinião sobre este produto."
"Rating:";"Avaliação:"
"Title:";"Título:"
"Enter review title here";"Entrar o título aquí"
Comment:;Comentários
"Leave a comment";"Deixe o comentário"
"Feedback for Seller";"Opinião para o vendedor"
"Product List";"Listado de produtos"
SKU:;SKU:
Quantity:;Quantidade:
Details:;Detalhes:
Condition:;Condições:
"Product Price:";"Preço do produto:"
Brand:;Marca
Status:;Status：
Total:;Total：
"Feedback to Seller";"Opinião para o vendedor"
"Go to seller page";"Vá até página de vendedor"
"Activity Log";"Registo de atividades"
Information;Informação
"Followed Seller";"Seguir vendedor"
"Upload Document";"Carregar documentos"
"Followed Sellers";"seguir vendedores"
OOOooops!!!;OOOooops!!!
"It looks like you haven't followed any Sellers yet. Checkout our homepage and follow some of the best Sellers that we have on YiLinker.";"Parece que ainda não há seguido nenhum vendedor. Verifique nossa página e pode seguir alguns dos melhores vendedores que temos em YiLinker."
"My Points";"Meus pontos"
"Basic Information";"Informação básica"
"Email verification sent.";"E-mail de confirmação enviado"
"Something went wront. Please try again later";"Algo saiu errado. Tente novamente mais tarde"
"Information successfully updated.";"Informação atualizada com êxito"
"First Name";"Nome "
"Enter your first name here";"Inserir o seu nome aquí"
"Last Name";"Apelido"
"Enter your last name here";"Inserir o seu apelido aquí"
"Mobile Number";"Número telemóvel"
Change;Modificação
"Mobile number is not yet verified.";"O número de telemóvel ainda não há confirmado."
"Click here to verify";"Clique aquí para verificar"
"Kindly enter your contact number.";"Por favor, insire o número de telefone aquí."
"Verified mobile number";"telemóvel verificado"
"Account Information";"Informação da conta"
"Enter your email here";"Inserir o seu correio electrónico aquí"
"Your Referral Code";"O seu código de referência"
"Copy Link.";"Copiar link."
"Copy Code";"Copiar código"
"Referral Person";"Pessoa de referência"
"Referrers Name:";"Nome de Indicador:"
"Referrers Code:";"Código de Indicador:"
"Save";"Guardar"
"Shipping Address";"Endereço de envío"
"Save Changes";"Guardar modificações"
"New Shippping Address";"Novo endereço de envio"
"Pin your address to map";"Coloca-se o seu endereço no mapa"
"Home Address";"Endereço residencial"
"Unit Number";"Número de unidade"
"Building Name";"Número de prédio"
"Street Number";"Número da rua"
"Street Name";"Nome da rua"
Subdivision;Subdivisão
"Select your province";"Selecionar a sua região"
"Select your city";"Selecionar a sua cidade"
"Select your Barangay";"Selecionar a sua favela"
Zipcode;Código postal
"Select your City";"Selecionar a sua cidade"
"Apply Changes";"Aplicar modificações"
"Change Email Address";"Modificar endereço de correio eletrónico"
"Enter your new email address here";"Inserir o seu endereço novo de correio eletrónico aquí"
"Confirm your new email address here";"Confirmar o seu endereço novo de correio eletrónico aquí"
"Change Password";"Mudança da senha"
"Enter your current password here";"Inserir a sua senha atual aquí"
"Enter your new password here";"Inserir a sua senha nova aquí"
"Confirm your new password here";"Confirmar a sua senha nova aquí"
"My Profile";"Meu perfil"
Transaction;Transacção
"All Transactions";"todas transacções"
On-Delivery;Na entrega
"For Feedback";"Para opinião"
C"rop Photo";"Cortar fotografia"
"Select Products";"Selecionar produtos"
Category;Categoria
"Electronics &amp";"Eletrónicos"
Accessories;Acessórios
"Product to Sell";"Produto em venda"
Search item here;Pesquisar artigos aquí
"All Products";"Todos produtos"
"Sample er wer wer wer we rwe r";"Amostras"
"Your inbox is currently empty.";"Sua caixa de correio esta atualmente vazia."
"Point Earned";"Pontos acumulados"
Breakdown;Desagregação
"""|{1} Point
                                                |]1,Inf[ Pontos"";""__|{1} Point
                                                |]1,Inf[ Pontos""
"
"We understand how frustrating it can be when there's a problem with one of your transactions. One of the benefits of using YiLinker is that you can take advantage of our Resolution Center to help you track, manage and resolve it as quickly as possible with absolute transparency.";"Entendemos como pode ser frustrante quando tem problemas com alguma das transacções. Um dos benefícios de usar YiLinker é que você pode tirar proveito do nosso Centro das Resoluções para pedir ajuda com a localização, gerenciar e resolver todo o mais rápidamente possível e com toda a transparência."
"Before filing for a dispute, please make sure that you've exhausted all efforts in reaching an agreement with the the other party. Decisions made by our specialists will be deemed final and will only be reopened when new evidence has been presented by one of the parties. We try to resolve cases as quickly as possible, but some may take longer depending on its circumstances.";"Antes da apresentação de uma disputa, por favor, certifique-se de que você tenha esgotado todos os esforços para alcançar um acordo com a outra parte. As decisões tomadas pelos nossos especialistas seráõ consideradas finais e só será reabertos quando novas evidências serão apresentadas por uma das partes. Tentamos resolver os casos o mais rápido possível, mas alguns podem levar mais tempo dependendo de suas circunstâncias."
"File a dispute";"Arquivar um litígio"
Cases;Casos
"Search By Case Id";"Pesquisar por Número de Litígio"
Search;Pesquisar 
Filter;Filtrar
"Case ID";"Identificação de litígio"
"Dispute Title";"Título de litígio"
Status;Status
"Other Party";"Outra Parte"
"Date Opened";"A data de abertura"
Open;Aberto
Closed;Fechado
"No case found";"nenhum caso foi encontrado"
"Enter title here";"Inserir titulo aquí"
"Dispute Type";"Tipo de litígio"
"Select dispute type here";"Selecionar tipo de litígio aqui"
"Transaction No.";"Número de transacção"
"Select transaction here";"Selecionar transacção aqui"
"Select reason here";"Selecionar razão aqui"
"Select item to dispute:";"Selecionar artigo de litígio:"
Remarks;Observações
"Leave your remarks here";"Deixe as suas observações aquí"
"Your case has been successfully submitted";"O seu caso foi submetido com sucesso"
"To be approved by Admin.";"Para ser aprovado por Administrador."
OPEN;Aberto
CLOSED;Fechado
"Dispute Details";"Detalhes de litígio"
Reason:;Razão
Items:;Artigos
"No remarks";"Nenhuma observação"
Contacts;Contatos
Notifications;Notificações
"SMS Notifications";"Notificações por SMS"
"Aside from your email, you'll also receive marketing announcements on your mobile by default. You can choose whether you want to receive SMS notifications.";"Além de seu correio eletrónico, você também vai receber anúncios de marketing no seu telemóvel por padrão. Você pode escolher se deseja receber notificações por SMS."
"Account setting";"Definições da conta"
"Deactivate My Account";"Desactivar a conta"
"We'd really hate to see you go but, you still get to decide whether you want to keep your account active or deactivate it. Other people with whom you have transacted with will still have a record of your transactions details including, but not limited to your name & contact number. You will also receive an email that contains a reactivation link should you wish to reactivate your account at a future time.";"Nós realmente odeiamos ver você ir, mas, você ainda tem que decidir se deseja manter sua conta ativa ou desativá-lo. Outras pessoas com quem você tem transacções e com quem ainda terá um registro das suas transações com todos os detalhes, mas não limitados a seu nome e número de contacto. Você também receberá um e-mail que contém um link de ativação, caso deseje reactivar a sua conta em um momento futuro."
"The password you entered is invalid.";"Você inseriu uma senha inválida."
"Please enter your password to confirm your account deactivation.";"Por favor, introduza a sua senha para confirmar a desativação da conta."
Deactivate;Desativar
"Account has been successfully deactivated.";"A sua conta foi desativada com sucesso."
"A reactivation email has been to your email should you wish to reneable your account.You will be logged out now.";"Um e-mail de reativação tem sido enviado ao seu e-mail, caso deseje ativar a sua conta no futuro. Desde agora você será desconectado. "
"Are you sure you want to proceed?";"Você tem certeza de que quer continuar?"
"You are about to change the subscription status of your active mobile number.";"Você está prestes a mudar o estado de assinatura do seu número telemóvel ativo."
"This Year";"Este ano"
"This Week";"Esta semana"
"This Month";"Este mes"
Date;Data
Qty;Quantidade
"Payment Type";"Tipo de pagamento"
"Order Status";"Estado de pedido"
"No transaction available";"Transacção não disponível"
"Go Back";"Voltar"
"Transaction Number";"Número de transacção"
Details;Detalhes
"Payment Type:";"Tipo de pagamento:"
"Date Created:";"Criado em:"
"Total Quantity:";"Quantidade total"
Subtotal:;Subtotal:
"Shipping Fee:";"Taxa de envio:"
FREE;Gratis
"Voucher Code:";"Código de vale:"
"Voucher Price Deduction:";"Dedução de preço de vale:"
"Total Cost:";"Preço final:"
"Cancel Order";"Ordem de cancelamento"
"Feedback sent";"Opinião enviada"
"Feedback has been successfully submitted.";"A sua opinião foi submetida com sucesso."
Informatio;Informação
"Upload your document";"Carregar o seu documento"
"Only PDF, PNG, JPEG files are accepted";"Só arquivos PDF, PNG, JPEG são aceitos"
Upload;Carregar  
"Uploaded Documents";"Documentos carregados"
"Add a feedback to this store to let other people know what you think. Your opinions matter to us.";"Adicionar a opinião a esta loja para que outras pessoas saibam o que você acha. Suas opiniões são importantes para nós."
"Communication Rating:";"avaliação de comunicação" 
"Quality Rating:";"avaliação de qualidade:"
"PROMO CODE:";"Código de promoção"
"Terms and Conditions:";"Termos e condições:"
"Promo Period:";"O período de promoção:"
"SIGN UP NOW";"Inscreva-se já"
"SHOP NOW";"Compre agora"
"*";"*"
"Store Location";"Localização das lojas"
"Need Assistance?";"Precisa de ajuda"
SEND MESSAGE;enviar uma mensagem
"Send Message";"enviar uma mensagem"
"Enter your message here";"Inserir a sua mensagem aquí"
"Unfollow Seller";"Deixar de seguir ao vendedor"
"Follow Seller";"Seguir ao vendedor"
About;Sobre
"What People";"Que pessoas"
"Are saying";"dizem"
Products;produtos
"Store Information";"Informação de loja"
Feedbacks;opiniões
"Search For Products";"Pesquisar os produtos"
"Resend Email Verification";"reenviar a verificação de e-mail"
Register | YiLinker Online.com;registar YiLinker online.com
"Sign In | YiLinker Online.com";"Iniciar sessão YiLinker online.com"
"All in one place";"Tudo em um só lugar"
"Shoes in one place";"Calçado em um só lugar"
"Camera in one place";"Câmara em um só lugar"
"Sign in";"Iniciar sessão  "
Register;Registar
"Password reset success.";"Redefinição de senha com sucesso"
"Email Verified.";"email verificado"
"Failed merging account. Please try again later.";"Avariada a conta de fusão. Tente novamente mais tarde."
"Failed merging account. Account is already registered.";"Avariada a conta de fusão. A conta já existe."
"Enter your email or contact number here";"Inserir o seu email ou número de telefone aquí"
"Remember Me";"Lembrar meus dados"
"Forgot Password?";"Esqueceu a senha?"
"Sign in with social media";"Assinar com mídia social"
"Merge with Social Media Account";"Fundir-se com a conta de mídia social"
"Browse our products";"Ver os nossos produtos"
"Reset Password";"Recuperar senha"
"Featured Products";"Produtos em destaque"
"12% off";"12% de desconto"
"Yilinker - Category";"YiLinker - Categoria"
"Yilinker - Daily Login";"YiLinker - Autenticação diaria"
Mechanics:;Mecánica:
"Yilinker - Flash Sales";"YiLinker - Vendas Flash"
BUY;Comprar
"loading more items";"Carregar mais artigos"
"Yilinker - Product list";"YiLinker - Listado de produtos"
"Yilinker - Store";"YiLinker - Loja"
