"Women Clothing"; "Pakaian perempuan"
Appliance;Alat
"Home Decor"; "Dekor Rumah"
"Bed &amp; Bath"; "Tidur &amp; Bath"
"Kitchen &amp; Dining"; "Dapur &amp; makan"
"Window Treatments"; "Perawatan jendela"
"Tools &amp; Hardware"; "Alat &amp; Hardware"
Stationery;Alat tulis
"You have"; "Anda memiliki"
"on your shopping cart"; "pada keranjang belanja Anda"
"Payment Method"; "Metode pembayaran"
Total;tuntas
"Continue Shopping"; "Lanjutkan belanja"
"Proceed to Checkout"; "Lanjutkan untuk Checkout"
"&nbsp;"; "& nbsp;"
"Schonning Watch (red, metal, large)"; "Schonning tonton(merah, logam, besar)"
"Schonning Watch"; "Schonning tonton"
Size;Ukuran
Color;Warna
Metal;Logam
"Philips Series 500"; "Philips seri 500"
Subtotal;dalam total
"Shipping Fee"; "Biaya pengiriman"
Free;Gratis
"(Metro Manila only)"; "(Metro Manila hanya)"
Small;Kecil
Red;Merah
Steel;Baja
"Add to Cart"; "Tambah ke Keranjang belanja"
"Powered by:"; "Didukung oleh:"
"To Do business"; "Untuk melakukan bisnis"
"Login as seller"; "Login sebagai Penjual"
"Login as affiliate"; "Login sebagai afiliasi"
"Help &amp; Support"; "Bantuan &amp; dukungan"
"Your account"; "Akun"
"Your order"; "Pesanan Anda"
"Resolution Center"; "Resolusi Pusat"
Complaints;Keluhan
"Privacy Policy"; "Kebijakan Privasi"
"Contact Us"; "Hubungi kami"
"Related Links"; "Link terkait"
"Download our app"; "Men-download aplikasi kami"
"Download our app (via QR Code)"; "Men-download aplikasi kami (melalui kode QR)"
"for apple"; "untuk apple"
"for android"; "untuk android"
"Email Newsletter"; "Email Newsletter"
"Get the word out. Make sure you don't miss out on interesting events, sale, and more by joining our newsletter program."; "Mendapatkan kata keluar. Pastikan Anda jangan lewatkan pada peristiwa menarik, penjualan, dan banyak lagi dengan bergabung program newsletter kami."
Subscribe;Berlangganan
"&copy; 2015 YiLinker. Trademarks and brands are the property of their respective owners."; "& menyalin; 2015 YiLinker. Merek dagang dan merek adalah milik dari pemiliknya masing-masing."
FAQ;FAQ
"Shipping &amp; delivery"; "Pengiriman pengiriman &amp;"
"Return Policy"; "Kebijakan pengembalian"
"Terms of use"; "Persyaratan penggunaan"
"Contact us"; "Hubungi kami"
Payment;Pembayaran
"Get the word out. Make sure you didn't miss interesting events, sale, and more by joining our newsletter program."; "Mendapatkan kata keluar. Pastikan Anda tidak ketinggalan peristiwa menarik, penjualan, dan banyak lagi dengan bergabung program newsletter kami."
"Your current browser was developed over a decade ago,"; "Browser Anda saat ini dikembangkan lebih dari satu dekade yang lalu,"
"its like watching TV in black and white in 2015!"; "Hal ini seperti menonton TV hitam putih di tahun 2015!"
"Please view the website in one of these modern browsers"; "Silakan lihat website di salah satu browser modern ini"
download;men-download
"google chrome"; "Google chrome"
"mozilla firefox"; "Mozilla firefox"
"apple safari"; "Apple safari"
Categories;Kategori
Search...;Cari...
"Suggested Search"; "Menyarankan Search"
"(eg. mobile, dress, toys, etc...)"; "(mis. ponsel, pakaian, mainan, dll...)"
English;Inggris
Chinese;Cina
Canada;Kanada
"For Android"; "Untuk Android"
"For IOS"; "Untuk IOS"
"on your wishlist"; "pada daftar harapan Anda"
"0 items"; "0 item"
"on your cart"; "pada keranjang"
"Account Management"; "Pengelolaan rekening"
Settings;Pengaturan
Messages;Pesan
Help;Tolong
Logout;Logout
Sign-Up;mendaftar
Log-In;info masuk
"Filter Area:"; "Bidang penyaring:"
Sub-Category;Sub-Kategori
All;Semua
Price;Harga
"Price Range"; "Kisaran harga"
Brand;Merek
"More Filter"; "Filter lain"
"Sort By:"; "Urutkan oleh:"
Relevance;Relevansi
"New to Old"; "Baru ke lama"
"Old to New"; "Lama ke baru"
Alphabetical;Abjad
Popularity;Popularitas
of;dari
"View By:"; "Melihat dengan:"
"Add to cart"; "Tambah ke keranjang belanja"
"You have 0 items on your wishlist"; "Anda mempunyai 0 item pada daftar harapan Anda"
"All Categories"; "Semua Kategori"
Home;Rumah
"Sub Category:"; "Sub Kategori:"
More;Lebih
Less;Kurang
"view more"; "Lihat lebih"
"Edit Address"; "Mengedit alamat"
"Delete Address"; "Menghapus alamat"
"See More"; "Lihat lebih lanjut"
"Ship To"; "Kapal ke"
"New Address"; "Alamat baru"
Proceed;Melanjutkan
"Guest Checkout allows you to purchase from our website even if you aren't registered. After your purchase has been completed you'll still have the option to register for an account."; "Tamu Checkout memungkinkan Anda untuk membeli dari website kami bahkan jika Anda tidak terdaftar. Setelah pembelian Anda telah selesai Anda masih akan memiliki pilihan untuk mendaftar untuk sebuah account."
"Verify Number"; "Memverifikasi nomor"
"Verification code has been successfully resent"; "Kode verifikasi telah berhasil membenci"
"You are about to change your contact number, please ensure that your mobile phone is within reach before you proceed with this step."; "Anda akan mengubah nomor kontak Anda, pastikan bahwa ponsel dapat dicapai sebelum Anda melanjutkan dengan langkah ini."
"Please enter the 6 digit code that was sent to your mobile phone"; "Masukkan 6 digit kode yang dikirimkan ke ponsel Anda"
"Time Left:"; "Waktu pergi:"
00:00;0:00
"Enter Code"; "Masukkan kode"
"Enter your verification code"; "Masukkan kode verifikasi"
Cancel;Batal
"Resend Code"; "Kirim ulang kode"
"Verify and Continue"; "Memverifikasi dan Lanjutkan"
"Checkout Type"; "Tipe kasir"
Summary;Ringkasan
Overview;Ikhtisar
Email/Mobile;Email Mobile
"Enter your email/mobile here"; "Masukkan Anda email/ponsel di sini"
Password;Sandi
"Enter your password here"; "Masukkan sandi Anda di sini"
"Sign In &amp; Continue"; "Masuk &amp;"
"or sign in with"; "atau login dengan"
Facebook;Facebook
Google+;Google +
"Order Summary"; "Ringkasan pesanan"
"Grand Total"; " Besar total"
"Voucher Deduction"; "Voucher pengurangan"
"There are no items to checkout."; "Ada tidak ada item untuk checkout."
"Go back to checkout"; "Ada tidak ada item untuk checkout."
Congratulations;Selamat
"Your purchase was a success"; "Pembelian Anda adalah sukses"
"Want to buy more items similar to this?"; "Ingin membeli barang-barang yang lebih mirip dengan ini?"
"Congratulations on a successful purchase! While waiting for your product to arrive, we suggest checking out other related products that you just bought."; "Selamat atas pembelian sukses! Sambil menunggu produk Anda tiba, kami sarankan untuk memeriksa produk-produk terkait lainnya yang Anda baru saja membeli."
"View Transaction"; "Lihat transaksi"
or;atau
"Would you like to register an account?"; "Apakah Anda ingin mendaftar account?"
"Based on the information that you've provided in your order, YiLinker already has your basic information that's needed in creating an account. If you'd like to register on our website to receive more exciting news about our upcoming products & other promos, just enter your password and you're all set."; "Berdasarkan informasi yang Anda berikan dalam pesanan Anda, YiLinker sudah memiliki informasi dasar yang diperlukan dalam membuat akun. Jika Anda ingin mendaftar pada website kami untuk menerima berita lebih menarik mengenai produk-produk mendatang kami & promo lainnya, masukkan password Anda dan Anda sudah siap."
"Sign Up Now"; "Sign Up sekarang"
"Consignee Name:"; "Nama penerima barang:"
"Justine Carl Duazo"; "Justine Carl Duazo"
"Full Address:"; "Alamat lengkap:"
"6F Five E-com Tower, Pacific Drive, Mall of Asia Complex, Pasay City"; "6F lima E-com Tower, Pacific Drive, Mall of Asia kompleks, Pasay City"
"Mobile Number:"; "Nomer HP:"
09271234567;9271234567
"City/ Municipality:"; "Kota / kota:"
Manila;Manila
"Transaction Details"; "Rincian transaksi"
"Transaction Number:"; "Nomor transaksi:"
123324234;123324234
"Invoice Number:"; "Faktur Jumlah:"
2342q42342q34;2342q42342q34
"Payment Method:"; "Cara pembayaran:"
"Cash on Delivery"; "Cash on Delivery"
"Total Amount:"; "Jumlah total:"
"Transaction Date:"; "Tanggal transaksi:"
01/21/2016;01/21/2016
"Your Order Details"; "Rincian pesanan Anda"
Product;Produk
Quantity;Kuantitas
"Size :"; "Ukuran:"
"Color :"; "Warna:"
1;1
"Order Total"; "Urutan Total"
"Print Receipt"; "Cetakan tanda terima"
"YiLinker adheres to the highest standards when it comes to protecting our user's sensitive data. We currently don't save your Credit/Debit Card details on our website."; "YiLinker mematuhi standar tertinggi ketika datang untuk melindungi pengguna kami data sensitif. Kami saat ini tidak menyimpan rincian kartu kredit/Debit Anda pada website kami."
"Delivery Address:"; "Alamat Pengiriman:"
"Consignee Contact Number:"; "Consignee nomor kontak:"
"Voucher Code"; "Kode voucher"
"Invalid Or Expired Code"; "Kode tidak sah atau kedaluwarsa"
"Successfully applied code"; "Kode berhasil diterapkan"
"Enter your voucher code here"; "Memasukkan kode voucher"
Apply;Menerapkan
"How Do You Wish To Pay?"; "Bagaimana Anda ingin membayar?"
"Click one of the options below"; "Klik salah satu opsi di bawah"
"To ensure that you'll have a smooth shopping & delivery experience, please prepare the exact amount upon the date of delivery."; "Untuk memastikan bahwa Anda akan memiliki belanja halus & pengiriman pengalaman, harap disiapkan jumlah yang tepat berdasarkan tanggal pengiriman."
"Your payment solution for Over-the-Counter (OTC) payments if you don't have a Credit/Debit card."; "Solusi pembayaran Anda untuk pembayaran luar Bursa (OTC) jika Anda tidak memiliki kartu kredit/Debit."
"The Philippines' leading payment solution for Credit/Debit Card transactions."; "Filipina solusi pembayaran terkemuka untuk transaksi kartu kredit/Debit."
"Go back"; "Kembali"
Continue;Lanjutkan
Consignee;Kontra
"Ship this transaction with the consignee details below."; "Kapal ini transaksi dengan consignee rincian di bawah ini."
Name;Nama
"Enter consignee name here"; "Masukkan nama penerima barang di sini"
"Contact Number"; "Nomor kontak"
"Enter consignee contact number here"; "Masukkan consignee nomor kontak berikut"
"YiLinker Express is capable of shipping anywhere in the Philippines at affordable rates"; "YiLinker Express mampu pengiriman di manapun di Filipina dengan harga yang terjangkau"
"YiLinker Express offers FREE shipping on Metro Manila orders only"; "YiLinker Express menawarkan pengiriman pesanan Metro Manila hanya gratis"
"You'll receive the tracking details for your parcel soon after the dispatch of your order."; "Anda akan menerima rincian pelacakan untuk paket Anda segera setelah pengiriman pesanan Anda."
"Ships in"; "Kapal- di"
"No hidden fees"; "Tidak ada biaya tersembunyi"
"7 days return policy"; "7 hari kembali kebijakan"
"Mobile number is required"; "Nomer HP diperlukan"
"Enter your mobile number here"; "Masukkan nomor ponsel Anda di sini"
"New Shipping Address"; "Alamat pengiriman baru"
"Delete Address?"; "Menghapus alamat?"
"Are you sure you want to delete this address"; "Apakah Anda yakin Anda ingin menghapus alamat ini"
Delete;Hapus
"Update Shipping Address"; "Pemutakhiran alamat pengiriman"
"Shipping address has been successfully updated"; "Alamat pengiriman telah berhasil diperbarui"
Okay;Oke
"Change Mobile Number"; "Ganti nomor HP"
"Invalid contact number"; "Nomor kontak yang tidak valid"
"Enter New Number"; "Masukkan nomor baru"
"Enter your new number here"; "Masukkan nomor baru di sini"
Submit;Kirim
"The code is either invalid or is already expired."; "Kode adalah valid baik atau sudah berakhir."
Verify;Memverifikasi
"Contact number has been successfully verified."; "Nomor kontak telah berhasil diverifikasi."
"Check As"; "Memeriksa sebagai"
"Sign In"; "Tandatangan"
"Guest Checkout"; "Checkout tamu"
"Welcome to YiLinker"; "Selamat datang di YiLinker"
"You cannot use the checkout functionality while you're still unverified."; "Anda tidak dapat menggunakan fungsi checkout sementara kau masih belum diverifikasi."
Back;Kembali
"Back to Home Page"; "Kembali ke halaman rumah"
"Get Our App for FREE"; "Dapatkan kami aplikasi gratis"
"YiLinker - All you need in one place"; "YiLinker - semua yang Anda butuhkan dalam satu tempat"
"Coming soon"; "Segera datang"
;
"Be a Buyer"; "Menjadi pembeli"
"View our Site"; "Lihat situs kami"
"Be a Seller"; "Menjadi Penjual"
"Join Now"; "Bergabung sekarang"
"Be an Affiliate"; "Menjadi afiliasi"
"Learn More"; "Pelajari lebih lanjut"
"Stay tuned! You can subscribe to our newsletter to get"; "Menantikan! Anda dapat berlangganan newsletter kami untuk mendapatkan"
"a notification when we launch!"; "pemberitahuan ketika kita memulai!"
"Enter your email address here"; "Masukkan alamat email Anda di sini"
SUBSCRIBE;BERLANGGANAN
"+63 977-7265481"; "+ 63 977-7265481"
"Top Brands"; "Top merek"
"Shop This Brand"; "Toko merek ini"
off;jauh
"Add to wislist"; "Tambahkan ke wislist"
"Top Categories"; "Top Kategori"
"Shop Now"; "Toko sekarang"
"Featured Items"; "Item Terpilih"
"view more &rarr;"; "Lihat lebih & rarr;"
"Top Sellers"; "Penjual Top"
"Seller Name"; "Nama Penjual"
Specialty:;spesial
FEATURED;KEUNGGULAN
"Items You May Like"; "Item yang Anda mungkin ingin"
"New Arrivals"; "Pendatang baru"
"Banner Title"; "Judul banner"
"New Sellers"; "Pedagang baru"
"See What Others are Selling"; "Lihat apa orang lain yang menjual"
"view more sellers"; "Lihat lebih banyak Penjual"
"Our Recommendation"; "Rekomendasi kami"
"Trending Categories"; "Tren Kategori"
"Recommended Seller"; "Penjual yang direkomendasikan"
"Free Shipping Nationwide"; "Gratis pengiriman Nasional"
"No minimum purchase required"; "Tidak ada minimum pembelian yang diperlukan"
"7-day return"; "7-hari kembali"
"Money back guaranteed"; "Uang kembali dijamin"
"24/7 Support"; "Dukungan 24/7"
"Online help"; "Bantuan online"
"Safe Shopping"; "Belanja aman"
"Product guaranteed"; "Produk dijamin"
"20% off"; "20% off"
"Thank You!"; "Terima kasih!"
"See you Soon!"; "Sampai jumpa lagi!"
"Promo Mechanics:"; "Mekanika Promo:"
YiLinker;YiLinker
"Campaign Period: November 16 to December 13, 2015"; "Periode kampanye: 16 November sampai 13 Desember 2015"
Prizes;Hadiah
"Main Prize:"; "Hadiah utama:"
"Consolation Prize:"; "Hadiah hiburan:"
"How to Join?"; "Bagaimana untuk bergabung?"
"6F Five E-Com Center Pacific Drive, MOA Complex, Pasay City, Metro Manila, Philippines"; "6F lima E-Com pusat Pasifik Drive, kompleks MOA, Pasay City, Metro Manila, Filipina"
"The following are not qualified for the promo:"; "Berikut tidak memenuhi syarat untuk promo:"
"Criteria for Claiming the Prize"; "Kriteria untuk mengklaim hadiah"
"For a person to qualify, he/she:"; "Bagi seseorang untuk memenuhi syarat, dia:"
"Users may join the promo by:"; "Pengguna dapat bergabung dengan promo dengan:"
"How to Register?"; "Bagaimana untuk mendaftar?"
"How to Create an Entry?"; "Cara membuat sebuah entri?"
"Terms and Condition"; "Syarat dan kondisi"
"Out of Stock"; "Keluar dari saham"
"7-Day Return"; "7-hari kembali"
"Free Shipping"; "Pengiriman gratis"
"scroll down"; "Gulir ke bawah"
"for more info"; "untuk info lebih lanjut"
"{0} no reviews|{1} %count% review|]1,Inf[ %count% reviews"; "{0} tidak reviews| {1} % review| % jumlah] 1, Inf [% jumlah % ulasan"
"Add to Wishlist"; "Tambahkan ke Wishlist"
"Short Description"; "Deskripsi singkat"
Seller;Penjual
"Free Shipping (Metro Manila only)"; "Gratis biaya pengiriman (Metro Manila hanya)"
"out of stock"; "keluar dari saham"
"Buy now"; "Beli sekarang"
"Share this product"; "Berbagi info produk ini"
Twitter;Twitter
"Description &amp; Specifications"; "Deskripsi &amp;"
"Payment &amp; Shipping"; "Pembayaran &amp;"
"Buyer Reviews"; "Pembeli ulasan"
"Special Offers"; "Penawaran khusus"
Description;Deskripsi
"Related Video"; "Video terkait"
Specifications;Spesifikasi
Condition;Kondisi
SKU;SKU
"Payment Options"; "Pilihan pembayaran"
"We accept all major credit cards through DragonPay &amp; PesoPay."; "Kami menerima semua kartu kredit utama melalui DragonPay &amp;"
"We do not accept other currency in any amount"; "Kami tidak menerima mata uang lain dalam jumlah"
"Sellers can't require buyers to pay using methods that aren't allowed on YiLinker"; "Penjual tidak memerlukan pembeli membayar menggunakan metode yang tidak diizinkan pada YiLinker"
"Shipping &amp; Handling"; "Pengiriman &amp;"
"Not available"; "Tidak tersedia"
"Add to wishlist"; "Tambahkan ke wishlist"
"No rating or review for this product yet"; "Tidak ada penilaian atau review untuk produk ini belum"
Specialty;Khusus
"Mark your Address"; "Tandai alamat Anda"
"Mark Location"; "Tandai lokasi"
"Feedback for Product"; "Umpan balik untuk produk"
"Feedback title and content cannot be empty"; "Umpan balik judul dan konten tak boleh kosong"
"Let other people know what you think about this product."; "Biarkan orang lain tahu apa yang Anda pikirkan tentang produk ini."
Rating:;Rating:
Title:;Judul:
"Enter review title here"; "Masukkan judul review di sini"
Comment:;Komentar:
"Leave a comment"; "Tinggalkan komentar"
"Feedback for Seller"; "Umpan balik untuk Penjual"
"Product List"; "Daftar produk"
SKU:;SKU:
Quantity:;Jumlah:
Details:;Rincian:
Condition:;Kondisi:
"Product Price:"; "Harga produk:"
Brand:;Merek:
Status:;statusnya:
Total:;Total:
"Feedback to Seller"; "Umpan balik untuk Penjual"
"Go to seller page"; "Pergi ke halaman Penjual"
"Activity Log"; "Aktivitas Log"
Information;Informasi
"Followed Seller"; "Penjual diikuti"
"Upload Document"; "Meng-upload dokumen"
"Followed Sellers"; "Penjual diikuti"
OOOooops!!!;OOOooops!!!
"It looks like you haven't followed any Sellers yet. Checkout our homepage and follow some of the best Sellers that we have on YiLinker."; "Sepertinya Anda belum mengikuti Penjual apapun belum. Checkout homepage kami dan mengikuti beberapa penjual terbaik yang kita miliki di YiLinker."
"My Points"; "Poin saya"
"Basic Information"; "Informasi dasar"
"Email verification sent."; "Verifikasi email yang dikirim."
"Something went wront. Please try again later"; "Sesuatu yang tidak wront. Harap coba lagi nanti"
"Information successfully updated."; "Informasi berhasil diperbarui."
"First Name"; "Nama pertama"
"Enter your first name here"; "Masukkan nama pertama Anda di sini"
"Last Name"; "Nama belakang"
"Enter your last name here"; "Masukkan nama terakhir di sini"
"Mobile Number"; "Nomer HP"
Change;Perubahan
"Mobile number is not yet verified."; "Nomer tidak belum diverifikasi."
"Click here to verify"; "Klik di sini untuk memverifikasi"
"Kindly enter your contact number."; "Mohon masukan nomor kontak Anda."
"Verified mobile number"; "Nomer HP diverifikasi"
"Account Information"; "Informasi account"
"Enter your email here"; "Masukkan email Anda di sini"
"Your Referral Code"; "Kode referal Anda"
"Copy Link."; "Copy Link."
"Copy Code"; "Salin kode"
"Referral Person"; "Arahan orang"
"Referrers Name:"; "Nama Referer:"
"Referrers Code:"; "Referer kode:"
Save;Simpan
"Shipping Address"; "Alamat pengiriman"
"Save Changes"; "Simpan perubahan"
"New Shippping Address"; "Alamat Shippping baru"
"Pin your address to map"; "PIN alamat peta"
"Home Address"; "Alamat rumah"
"Unit Number"; "Jumlah unit"
"Building Name"; "Nama Gedung"
"Street Number"; "Jalan"
"Street Name"; "Nama jalan"
Subdivision;Subdivisi
"Select your province"; "Pilih Propinsi Anda"
"Select your city"; "Pilih kota Anda"
"Select your Barangay"; "Pilih Barangay Anda"
Zipcode;Kodepos
"Select your City"; "Pilih kota Anda"
"Apply Changes"; "Menerapkan perubahan"
"Change Email Address"; "Ubah Alamat Email"
"Enter your new email address here"; "Masukkan alamat email yang baru di sini"
"Confirm your new email address here"; "Konfirmasi alamat email yang baru di sini"
"Change Password"; "Ubah sandi"
"Enter your current password here"; "Masukkan sandi Anda saat ini di sini"
"Enter your new password here"; "Masukkan sandi baru di sini"
"Confirm your new password here"; "Konfirmasi password baru di sini"
"My Profile"; "Profil saya"
Transaction;Transaksi
"All Transactions"; "Semua transaksi"
On-Delivery;On-pengiriman
"For Feedback"; "Untuk umpan balik"
"Crop Photo"; "Foto tanaman"
"Select Products"; "Pilih produk"
Category;Kategori
"Electronics &amp; Gadgets"; "Elektronik &amp;"
Accessories;Aksesoris
"Product to Sell"; "Produk untuk Jual"
"Search item here"; "Mencari item di sini"
"All Products"; "Semua produk"
"Sample er wer wer wer we rwe r"; "Sampel er wer wer wer kami rwe r"
"Your inbox is currently empty."; "Kotak masuk Anda saat ini kosong."
"Point Earned"; "Titik yang diterima"
Breakdown;Rincian
"|{1} Point"
"                                                |]1,Inf[ Points"; "| Titik {1}"
"                                                |]1,Inf[ Points"
"We understand how frustrating it can be when there's a problem with one of your transactions. One of the benefits of using YiLinker is that you can take advantage of our Resolution Center to help you track, manage and resolve it as quickly as possible with absolute transparency."; "Kami mengerti bagaimana membuat frustrasi itu dapat ketika ada masalah dengan salah satu transaksi Anda. Salah satu manfaat menggunakan YiLinker adalah bahwa Anda dapat mengambil keuntungan dari pusat resolusi kami untuk membantu Anda melacak, mengelola dan menyelesaikannya secepat mungkin dengan transparansi mutlak."
"Before filing for a dispute, please make sure that you've exhausted all efforts in reaching an agreement with the the other party. Decisions made by our specialists will be deemed final and will only be reopened when new evidence has been presented by one of the parties. We try to resolve cases as quickly as possible, but some may take longer depending on its circumstances."; "Sebelum mengajukan sengketa, Harap pastikan bahwa Anda telah kehabisan semua upaya mencapai kesepakatan dengan pihak lain. Keputusan yang dibuat oleh spesialis kami akan dianggap final dan akan hanya dibuka kembali pada saat bukti baru telah disajikan oleh salah satu pihak. Kami mencoba untuk menyelesaikan kasus-kasus secepat mungkin, tetapi beberapa dapat lebih lama tergantung keadaan Nya"
"File a dispute"; "Mengajukan sengketa"
Cases;Kasus
"Search By Case Id"; "Pencarian dengan kasus  Id"
Search;Cari
Filter;Filter
"Case ID"; "Kasus ID"
"Dispute Title"; "Sengketa judul"
Status;Status
"Other Party"; "Pihak lain"
"Date Opened"; "Tanggal dibuka"
Open;Buka
Closed;Ditutup
"No case found"; "Tidak ditemukan"
"Enter title here"; "Masukkan judul di sini"
"Dispute Type"; "Jenis sengketa"
"Select dispute type here"; "Pilih jenis sengketa di sini"
"Transaction No."; "Transaksi No."
"Select transaction here"; "Pilih transaksi di sini"
"Select reason here"; "Pilih alasan berikut"
"Select item to dispute:"; "Pilih item untuk sengketa:"
Remarks;Komentar
"Leave your remarks here"; "Tinggalkan komentar Anda di sini"
"Your case has been successfully submitted"; "Kasus Anda telah berhasil didaftarkan"
"To be approved by Admin."; "Harus disetujui oleh Admin."
OPEN;BUKA
CLOSED;DITUTUP
"Dispute Details"; "Sengketa rincian"
Reason:;Alasan:
Items:;Item:
"No remarks"; "Tidak ada komentar"
Contacts;Kontak
Notifications;Pemberitahuan
"SMS Notifications"; "Pemberitahuan SMS"
"Aside from your email, you'll also receive marketing announcements on your mobile by default. You can choose whether you want to receive SMS notifications."; "Selain dari email Anda, Anda juga akan menerima pengumuman pemasaran pada ponsel Anda secara default. Anda dapat memilih apakah Anda ingin menerima pemberitahuan SMS."
"Account setting"; "Pengaturan akun"
"Deactivate My Account"; "Menonaktifkan akun saya"
"We'd really hate to see you go but, you still get to decide whether you want to keep your account active or deactivate it. Other people with whom you have transacted with will still have a record of your transactions details including, but not limited to your name & contact number. You will also receive an email that contains a reactivation link should you wish to reactivate your account at a future time."; "Kami akan benar-benar benci untuk melihat Anda pergi, tetapi Anda masih harus memutuskan apakah Anda ingin untuk menjaga account aktif atau menonaktifkannya. Orang lain dengan siapa Anda memiliki ditransaksikan dengan akan masih memiliki catatan detail transaksi Anda termasuk, namun tidak terbatas pada nomor nama & kontak. Anda juga akan menerima email yang berisi pengaktifan kembali link jika Anda ingin mengaktifkan kembali account Anda pada waktu masa depan."
"The password you entered is invalid."; "Sandi yang Anda masukkan tidak valid."
"Please enter your password to confirm your account deactivation."; "Silakan masukkan sandi untuk mengkonfirmasi penonaktifan account Anda."
Deactivate;Menonaktifkan
"Account has been successfully deactivated."; "Account telah berhasil dinonaktifkan."
"A reactivation email has been to your email should you wish to reneable your account.You will be logged out now."; "Email pengaktifan kembali yang telah ke email Anda jika Anda ingin reneable account Anda. Anda akan login sekarang."
"Are you sure you want to proceed?"; "Apakah Anda yakin Anda ingin melanjutkan?"
"You are about to change the subscription status of your active mobile number."; "Anda akan mengubah status langganan nomor ponsel Anda aktif."
"This Year"; "Tahun ini"
"This Week"; "Minggu ini"
"This Month"; "Bulan ini"
Date;Tanggal
Qty;Jml
"Payment Type"; "Jenis pembayaran"
"Order Status"; "statusnya pesanan"
"No transaction available"; "Tidak ada transaksi yang tersedia"
"Go Back"; "Kembali"
"Transaction Number"; "Nomor transaksi"
Details;Rincian
"Payment Type:"; "Jenis pembayaran:"
"Date Created:"; "Tanggal Buat:"
"Total Quantity:"; "Jumlah total:"
Subtotal:;dalam total:
"Shipping Fee:"; "Biaya pengiriman:"
FREE;GRATIS
"Voucher Code:"; "Kode voucher:"
"Voucher Price Deduction:"; "Pemotongan harga voucher:"
"Total Cost:"; "Total biaya:"
"Cancel Order"; "Membatalkan pesanan"
"Feedback sent"; "Umpan balik yang dikirim"
"Feedback has been successfully submitted."; "Umpan balik telah berhasil didaftarkan."
Informatio;Informatio
"Upload your document"; "Meng-upload dokumen Anda"
"Only PDF, PNG, JPEG files are accepted"; "Hanya PDF, PNG, file JPEG yang diterima"
Upload;unggah
"Uploaded Documents"; "Dokumen unggah"
"Add a feedback to this store to let other people know what you think. Your opinions matter to us."; "Tambahkan umpan balik ke toko ini untuk membiarkan orang lain tahu apa yang Anda pikirkan. Pendapat Anda penting bagi kami."
"Communication Rating:"; "Komunikasi Rating:"
"Quality Rating:"; "Kualitas Rating:"
"PROMO CODE:"; "PROMO KODE:"
"Terms and Conditions:"; "Syarat dan ketentuan:"
"Promo Period:"; "Periode promo:"
"SIGN UP NOW"; "SIGN UP SEKARANG"
"SHOP NOW"; "TOKO SEKARANG"
*;*
"Store Location"; "Lokasi Toko"
"Need Assistance?"; "Perlu bantuan?"
"SEND MESSAGE"; "KIRIM PESAN"
"Send Message"; "Kirim pesan"
"Enter your message here"; "Masukkan pesan Anda di sini"
"Unfollow Seller"; "Unfollow Penjual"
"Follow Seller"; "Ikuti Penjual"
About;Tentang
"What People"; "Apa orang"
"Are saying"; "Mengatakan"
Products;Produk
