"Women Clothing";"Damen Bekleidung"
"Need Assistance?";"Brauchen Sie Hilfe?"
"SEND MESSAGE";"NACHRICHT SENDEN"
"Send Message";"Nachricht senden"
"Enter your message here";"Geben Sie Ihre Nachricht hier"
"Unfollow Seller";"Entfolgen Verkäufer"
"Follow Seller";"Folgen Sie der Verkäufer"
About;Über
"What People";"Was die Menschen"
"Are saying";"Sagen"
Products;Produkte
"Store Information";"Shop-Informationen"
Feedbacks;Das Feedback der
"Search For Products";"Suche nach Produkten"
"Resend Email Verification";"E-Mail-Bestätigung erneut senden"
"Register | YiLinker Online.com";"Registrieren | YiLinker-online.de"
"Sign In | YiLinker Online.com";"Anmelden | YiLinker-online.de"
"All in one place";"Alles an einem Ort"
"Shoes in one place";"Schuhe in einem Ort"
"Camera in one place";"Kamera an einem Ort"
"Sign in";"Anmelden"
Register;Registrieren
"Password reset success.";"Kennwort zurücksetzen Erfolg."
"Email Verified.";"E-Mail überprüft."
"Failed merging account. Please try again later.";"Fehler beim Zusammenführen von Konto. Bitte versuchen Sie es später erneut."
"Failed merging account. Account is already registered.";"Fehler beim Zusammenführen von Konto. Konto ist bereits registriert."
"Enter your email or contact number here";"Geben Sie Ihre e-Mail oder Telefonnummer hier"
"Remember Me";"An mich erinnern"
"Forgot Password?";"Vergessen Passwort?"
"Sign in with social media";"Melden Sie sich mit sozialen Medien"
"Merge with Social Media Account";"Mit Social-Media-Account zusammenführen"
"Browse our products";"Durchsuchen Sie unsere Produkte"
"Reset Password";"Passwort zurücksetzen"
"Featured Products";"Empfohlene Produkte"
"12% off";"12%Rabatt"
"Yilinker - Category";"Yilinker - Kategorie"
"Yilinker - Daily Login";"Yilinker - tägliche Login"
Mechanics:;Mechanik:
"Yilinker - Flash Sales";"Yilinker - Blitz-Verkauf"
BUY;KAUFEN
"loading more items";"Laden weitere Artikel"
"Yilinker - Product list";"Yilinker - Produktliste"
"Yilinker - Store";"Yilinker - Store"
