"Women Clothing";"Pakaian wanita"
"Powered by:";"dikuasakan oleh:"
"To Do business";"Untuk menjalankan perniagaan"
"Login as seller";"Log masuk sebagai Penjual"
"Login as affiliate";"Log masuk sebagai affiliate"
"Help &amp; Support";"Bantuan & amp; sokongan"
"Your account";"Akaun anda"
"Your order";"Pesanan anda"
"Resolution Center";"Resolusi Pusat"
Complaints;Aduan
"Privacy Policy";"Dasar privasi"
"Contact Us";"Hubungi kami"
"Related Links";"Pautan berkaitan"
"Download our app";"Muat turun aplikasi kami"
"Download our app (via QR Code)";"Muat turun aplikasi kami (melalui Kod QR)"
"for apple";"untuk apple"
"for android";"untuk android"
"Email Newsletter";"Buletin e-mel"
"Get the word out. Make sure you don't miss out on interesting events, sale, and more by joining our newsletter program.";"Mendapatkan perkataan. Pastikan anda tidak terlepas keluar ke atas menarik peristiwa, jualan, dan banyak lagi dengan menyertai program newsletter kami."
Subscribe;Melanggan
"&copy; 2015 YiLinker. Trademarks and brands are the property of their respective owners.";"& Salin; 2015 YiLinker. Tanda dagangan dan jenama adalah hak milik pemilik mereka masing-masing."
FAQ;SOALAN-SOALAN LAZIM
"Shipping &amp; delivery";"Penghantaran perkapalan & amp;"
"Return Policy";"Polisi pemulangan"
"Terms of use";"Terma-terma penggunaan"
"Contact us";"Hubungi kami"
Payment;Pembayaran
"Get the word out. Make sure you didn't miss interesting events, sale, and more by joining our newsletter program.";"Mendapatkan perkataan. Pastikan anda tidak ketinggalan menarik peristiwa, jualan, dan banyak lagi dengan menyertai program newsletter kami."
"Your current browser was developed over a decade ago,";"Penyemak imbas semasa anda dibangunkan lebih satu dekad yang lalu,"
"its like watching TV in black and white in 2015!";"Ianya seperti pada tahun 2015, menonton dalam hitam dan putih!"
"Please view the website in one of these modern browsers";"Sila lihat di laman web di salah satu daripada pelayar moden ini"
download;Muat turun
"google chrome";"Google chrome"
"mozilla firefox";"pelayar Mozilla firefox"
"apple safari";"Apple safari"
Categories;Kategori
Search...;Carian...
"Suggested Search";"Dicadangkan Cari"
"(eg. mobile, dress, toys, etc...)";"(cth. mudah alih, pakaian, mainan, etc...)"
English;Inggeris
Chinese;Cina
Canada;Kanada
"For Android";"Untuk Android"
"For IOS";"Untuk IOS"
"on your wishlist";"pada senarai harapan anda"
"0 items";"0 barangan"
"on your cart";"atas troli"
"Account Management";"Pengurusan akaun"
Settings;Seting
Messages;Mesej-mesej
Help;Bantuan
Logout;Log keluar
Sign-Up;Pendaftaran
Log-In;Log-In
"Filter Area:";"Keluasan penapis:"
Sub-Category;Sub-kategori
All;Semua
Price;Harga
"Price Range";"Julat harga"
Brand;Jenama
"More Filter";"Lebih banyak penapis"
"Sort By:";"Susun mengikut:"
Relevance;Perkaitan
"New to Old";"Baru ke lama"
"Old to New";"Lama kepada baru"
Alphabetical;Abjad
Popularity;Populariti
of;daripada
"View By:";"Melihat dengan:"
"Add to cart";"Tambah ke dalam troli"
"You have 0 items on your wishlist";"Anda mempunyai 0 item pada senarai harapan anda"
"All Categories";"Semua kategori"
Home;Rumah
"Sub Category:";"Sub Kategori:"
More;Lebih
Less;Kurang
"view more";"maklumat lanjut"
"Edit Address";"Edit alamat"
"Delete Address";"Menghapuskan alamat"
"See More";"Melihat lebih banyak"
"Ship To";"Kapal"
"New Address";"Alamat baru"
Proceed;Teruskan
"Guest Checkout allows you to purchase from our website even if you aren't registered. After your purchase has been completed you'll still have the option to register for an account.";"Tetamu Checkout yang membolehkan anda untuk membeli daripada laman web kami walaupun anda tidak mendaftar. Selepas pembelian anda telah selesai, anda masih akan mempunyai pilihan untuk mendaftar untuk sebuah akaun."
"Verify Number";"Sahkan nombor"
"Verification code has been successfully resent";"Kod pengesahan telah membenci berjaya"
"You are about to change your contact number, please ensure that your mobile phone is within reach before you proceed with this step.";"Anda adalah kira-kira untuk menukar nombor telefon anda, sila pastikan bahawa telefon mudah alih anda adalah dalam jangkauan sebelum anda meneruskan langkah ini."
"Please enter the 6 digit code that was sent to your mobile phone";"Sila masukkan kod 6 digit yang dihantar kepada telefon mudah alih anda"
"Time Left:";"Masa kiri:"
00:00;00:00
"Enter Code";"Masukkan kod"
"Enter your verification code";"Masukkan kod pengesahan anda"
Cancel;Batal
"Resend Code";"Hantar semula kod"
"Verify and Continue";"Mengesahkan dan terus"
"Checkout Type";"Jenis Checkout"
Summary;Ringkasan
Overview;Gambaran keseluruhan
Email/Mobile;E-mel/telefon bimbit
"Enter your email/mobile here";"Masukkan e-mel/telefon mudah alih anda di sini"
Password;Kata laluan
"Enter your password here";"Masukkan kata laluan anda di sini"
"Sign In &amp; Continue";"Masuk & amp;"
"or sign in with";"atau Daftar Masuk dengan"
Facebook;Facebook
Google+;Google +
"Order Summary";"Ringkasan arahan"
"Grand Total";"Jumlah Besar"
"Voucher Deduction";"Potongan baucer"
"There are no items to checkout.";"Terdapat item untuk checkout."
"Go back to checkout";"Kembali ke checkout"
Congratulations;Tahniah
"Your purchase was a success";"Pembelian anda adalah satu kejayaan"
"Want to buy more items similar to this?";"Ingin membeli lebih banyak barangan seperti ini?"
"Congratulations on a successful purchase! While waiting for your product to arrive, we suggest checking out other related products that you just bought.";"Tahniah atas pembelian yang berjaya! Sementara menunggu untuk tiba, kami cadangkan anda menyemak produk lain berkaitan yang anda beli."
"View Transaction";"Paparan urusniaga"
or;atau
"Would you like to register an account?";"Adakah anda ingin untuk mendaftar akaun?"
"Based on the information that you've provided in your order, YiLinker already has your basic information that's needed in creating an account. If you'd like to register on our website to receive more exciting news about our upcoming products & other promos, just enter your password and you're all set.";"Berdasarkan maklumat yang telah anda berikan supaya anda, YiLinker sudah mempunyai maklumat asas yang diperlukan dalam mewujudkan akaun. Jika anda ingin mendaftar di laman web kami untuk menerima Berita yang lebih menarik tentang produk kami akan datang & promosi lain-lain, sila masukkan kata laluan anda dan anda sudah siap."
"Sign Up Now";"Daftarlah sekarang"
"Consignee Name:";"Nama perisian:"
"Justine Carl Duazo";"Justine Carl Duazo"
"Full Address:";"Alamat penuh:"
"6F Five E-com Tower, Pacific Drive, Mall of Asia Complex, Pasay City";"6F lima E-com Tower, Pacific memandu, Pusat membeli-belah kompleks Asia, Pasay City"
"Mobile Number:";"Nombor telefon bimbit:"
09271234567;09271234567
"City/ Municipality:";"Bandaraya / Perbandaran:"
Manila;Manila
"Transaction Details";"Butir-butir transaksi"
"Transaction Number:";"Nombor transaksi:"
123324234;123324234
"Invoice Number:";"Nombor invois:"
2342q42342q34;2342q42342q34
"Payment Method:";"Kaedah pembayaran:"
"Cash on Delivery";"Bayaran tunai semasa penerimaan"
"Total Amount:";"Jumlah besar:"
"Transaction Date:";"Tarikh urus niaga:"
01/21/2016;01/21/2016
"Your Order Details";"Butir-butir pesanan anda"
Product;Produk
Quantity;Kuantiti
"Size :";"Saiz:"
"Color :";"Warna:"
1;1
"Order Total";"Jumlah perintah"
"Print Receipt";"Cetak resit"
"YiLinker adheres to the highest standards when it comes to protecting our user's sensitive data. We currently don't save your Credit/Debit Card details on our website.";"YiLinker mematuhi standard yang tinggi apabila ia datang untuk melindungi data sensitif pengguna kami. Kita kini tidak menyimpan maklumat kad kredit/Debit anda di laman web kami."
"Delivery Address:";"Alamat penghantaran:"
"Consignee Contact Number:";"Nombor telefon perisian:"
"Voucher Code";"Kod Baucar"
"Invalid Or Expired Code";"Kod tidak sah atau telah tamat tempoh"
"Successfully applied code";"Kod berjaya Gunaan"
"Enter your voucher code here";"Masukkan kod baucer anda di sini"
Apply;Memohon
"How Do You Wish To Pay?";"Bagaimana anda hendak bayar?"
"Click one of the options below";"Klik satu daripada opsyen di bawah"
"To ensure that you'll have a smooth shopping & delivery experience, please prepare the exact amount upon the date of delivery.";"Untuk memastikan bahawa anda akan mempunyai yang licin membeli-belah & penghantaran pengalaman, sila sediakan jumlah tepat pada tarikh penghantaran."
"Your payment solution for Over-the-Counter (OTC) payments if you don't have a Credit/Debit card.";"Penyelesaian pembayaran anda bagi pembayaran Over-the-Counter (OTC) Jika anda tidak mempunyai kad kredit/Debit."
"The Philippines' leading payment solution for Credit/Debit Card transactions.";"Filipina terkemuka penyelesaian pembayaran untuk transaksi kad kredit/Debit."
"Go back";"pergi balik"
Continue;Terus
Consignee;konsain
"Ship this transaction with the consignee details below.";"Kapal transaksi ini dengan butir-butir perisian di bawah."
Name;Nama
"Enter consignee name here";"Masukkan nama konsain di sini"
"Contact Number";"Nombor telefon"
"Enter consignee contact number here";"Masukkan nama konsain Nombor telefon di sini"
"YiLinker Express is capable of shipping anywhere in the Philippines at affordable rates";"YiLinker Express tidak mampu penghantaran di mana sahaja di Filipina dengan harga yang berpatutan"
"YiLinker Express offers FREE shipping on Metro Manila orders only";"YiLinker Express menawarkan percuma perkapalan di Metro Manila arahan sahaja"
"You'll receive the tracking details for your parcel soon after the dispatch of your order.";"Anda akan menerima tracking butiran bagi parcel anda sejurus selepas penghantaran pesanan anda."
"Ships in";"Kapal-kapal di"
"No hidden fees";"Tiada yuran tersembunyi"
"7 days return policy";"7 hari kembali polisi"
"Mobile number is required";"Nombor telefon bimbit yang diperlukan"
"Enter your mobile number here";"Masukkan nombor telefon bimbit anda di sini"
"New Shipping Address";"Baru penghantaran alamat"
"Delete Address?";"Menghapuskan alamat?"
"Are you sure you want to delete this address";"Adakah anda pasti anda mahu menghapus alamat ini"
Delete;Hapus
"Update Shipping Address";"Kemaskini Terakhir alamat penghantaran"
"Shipping address has been successfully updated";"Penghantaran alamat telah berjaya dikemaskini"
Okay;Okay
"Change Mobile Number";"Menukar nombor telefon bimbit"
"Invalid contact number";"Nombor telefon tidak sah"
"Enter New Number";"Masukkan nombor baru"
"Enter your new number here";"Masukkan nombor baru anda di sini"
Submit;Mengemukakan
"The code is either invalid or is already expired.";"Kod adalah sama ada tidak sah atau sudah tamat."
Verify;Mengesahkan
"Contact number has been successfully verified.";"Nombor telefon telah diperakui berjaya."
"Check As";"Semak sebagai"
"Sign In";"daftar masuk"
"Guest Checkout";"Tetamu Checkout"
"Welcome to YiLinker";"Selamat datang ke YiLinker"
"You cannot use the checkout functionality while you're still unverified.";"Anda tidak boleh menggunakan fungsi checkout semasa anda masih tidak dikenal pasti."
Back;Kembali 
"Back to Home Page";"Kembali ke Laman Utama"
"Get Our App for FREE";"Mendapatkan aplikasi kami secara percuma"
"YiLinker - All you need in one place";"YiLinker - semua yang anda perlukan dalam satu tempat"
"Coming soon";"akan hadir dalam"
;
"Be a Buyer";"Pembeli boleh"
"View our Site";"Lihat Laman web kami"
"Be a Seller";"Menjadi Penjual"
"Join Now";"sertai sekarang"
"Be an Affiliate";"Menjadi Affiliate"
"Learn More";"belajar lagi"
"Stay tuned! You can subscribe to our newsletter to get";"Harap sabar menunggu! Anda boleh melanggan newsletter kami untuk mendapatkan"
"a notification when we launch!";"pemberitahuan apabila kami melancarkan!"
"Enter your email address here";"Masukkan alamat email anda di sini"
SUBSCRIBE;MELANGGAN
"+63 977-7265481";"+ 63 977-7265481"
"Top Brands";"Jenama utama"
"Shop This Brand";"Kedai jenama ini"
off;off
"Add to wislist";"Menambah kepada wislist"
"Top Categories";"Kategori utama"
"Shop Now";"Membeli-belah sekarang"
"Featured Items";"Item-item yang diketengahkan"
"view more &rarr;";"Lihat lebih banyak & rarr;"
"Top Sellers";"Penjual"
"Seller Name";"Nama penjual"
Specialty:;Khusus
FEATURED;AGAR
"Items You May Like";"Item-item yang mungkin anda suka"
"New Arrivals";"Pendatang baru"
"Banner Title";"Tajuk banner"
"New Sellers";"Penjual baru"
"See What Others are Selling";"Lihat apa lain-lain jualan"
"view more sellers";"Lihat lebih banyak Penjual"
"Our Recommendation";"Saranan kami"
"Trending Categories";"Kategori lontaran"
"Recommended Seller";"Penjual yang disyorkan"
"Free Shipping Nationwide";"Penghantaran percuma di seluruh negara"
"No minimum purchase required";"Tiada pembelian minimum yang diperlukan"
"7-day return";"pulangan 7 hari"
"Money back guaranteed";"Wang balik jaminan"
"24/7 Support";"Sokongan 24/7"
"Online help";"Bantuan dalam talian"
"Safe Shopping";"Selamat membeli-belah"
"Product guaranteed";"Produk yang dijamin"
"20% off";"20% off"
"Thank You!";"terima kasih!"
"See you Soon!";"jumpa awak nanti!"
"Promo Mechanics:";"Mekanik promosi:"
YiLinker;YiLinker
"Campaign Period: November 16 to December 13, 2015";"Tempoh kempen: 16 November hingga 13 Disember 2015"
Prizes;Hadiah
"Main Prize:";"Hadiah Utama:"
"Consolation Prize:";"Hadiah Saguhati:"
"How to Join?";"Bagaimana untuk menyertai?"
"6F Five E-Com Center Pacific Drive, MOA Complex, Pasay City, Metro Manila, Philippines";"6F lima E-Com Pusat memandu Pacific, Kompleks MOA, Pasay City, Metro Manila, Filipina"
"The following are not qualified for the promo:";"Yang berikut adalah tidak layak untuk promosi ini:"
"Criteria for Claiming the Prize";"Kriteria bagi menuntut Hadiah"
"For a person to qualify, he/she:";"Bagi seseorang untuk layak, dia:"
"Users may join the promo by:";"Pengguna boleh menyertai Promosi oleh:"
"How to Register?";"Bagaimana hendak mendaftar?"
"How to Create an Entry?";"Bagaimana untuk mencipta enri?"
"Terms and Condition";"Terma dan syarat"
"Out of Stock";"Tiada dalam stok"
"7-Day Return";"Pulangan 7 hari"
"Free Shipping";"Penghantaran percuma"
"scroll down";"Skrol ke bawah"
"for more info";"untuk maklumat lanjut"
"{0} no reviews|{1} %count% review|]1,Inf[ %count% reviews";"{0} tidak reviews| {1} % kiraan % review|] 1, Inf [% kiraan % Ulasan"
"Add to Wishlist";"Tambah ke senarai harapan"
"Short Description";"Huraian ringkas"
Seller;Penjual
"Free Shipping (Metro Manila only)";"Penghantaran percuma (Metro Manila sahaja)"
"out of stock";"Tiada dalam stok"
"Buy now";"Beli sekarang"
"Share this product";"Berkongsi produk ini"
Twitter;Twitter
"Description &amp; Specifications";"Keterangan & amp;"
"Payment &amp; Shipping";"Pembayaran & amp;"
"Buyer Reviews";"Pembeli Ulasan"
"Special Offers";"Tawaran Istimewa"
Description;Description/kawalan
"Related Video";"Video berkaitan"
Specifications;Spesifikasi
Condition;Keadaan
SKU;SKU
"Payment Options";"Pilihan pembayaran"
"We accept all major credit cards through DragonPay &amp; PesoPay.";"Kami menerima semua kad kredit utama melalui DragonPay & amp;"
"We do not accept other currency in any amount";"Kami tidak menerima matawang lain dalam apa-apa amaun"
"Sellers can't require buyers to pay using methods that aren't allowed on YiLinker";"Penjual tidak boleh menghendaki pembeli untuk membayar menggunakan kaedah yang tidak dibenarkan pada YiLinker"
"Shipping &amp; Handling";"Penghantaran & amp;"
"Not available";"Tidak terdapat"
"Add to wishlist";"Tambah ke senarai harapan"
"No rating or review for this product yet";"Tiada penilaian atau kajian untuk produk ini lagi"
Specialty;Khusus
"Mark your Address";"Tanda alamat"
"Mark Location";"Tandakan lokasi"
"Feedback for Product";"Maklum balas bagi produk"
"Feedback title and content cannot be empty";"Tajuk maklumbalas dan kandungan tidak boleh kosong"
"Let other people know what you think about this product.";"Biar orang lain tahu apa yang anda fikirkan tentang produk ini."
Rating:;Penilaian:
Title:;Tajuk:
"Enter review title here";"Masukkan tajuk kajian di sini"
Comment:;Komen:
"Leave a comment";"Tinggalkan Komen"
"Feedback for Seller";"Maklumbalas untuk Penjual"
"Product List";"Senarai produk"
SKU:;SKU:
Quantity:;Kuantiti:
Details:;Butiran:
Condition:;Keadaan:
"Product Price:";"Harga produk:"
Brand:;Jenama:
Status:;Status:
Total:;Jumlah keseluruhan:
"Feedback to Seller";"Maklum balas kepada Penjual"
"Go to seller page";"Pergi ke halaman Penjual"
"Activity Log";"Log aktiviti"
Information;Maklumat
"Followed Seller";"Penjual yang diikuti"
"Upload Document";"Muat naik dokumen"
"Followed Sellers";"Penjual yang diikuti"
OOOooops!!!;OOOooops!!!
"It looks like you haven't followed any Sellers yet. Checkout our homepage and follow some of the best Sellers that we have on YiLinker.";"Ia kelihatan seperti anda tidak pernah mengikuti mana-mana Penjual lagi. Checkout homepage kami dan mengikut beberapa penjual terbaik yang kita ada pada YiLinker."
"My Points";"Mata saya"
"Basic Information";"Maklumat asas"
"Email verification sent.";"E-mel pengesahan dihantar."
"Something went wront. Please try again later";"Sesuatu yang pergi wront. Sila cuba lagi nanti"
"Information successfully updated.";"Maklumat berjaya dikemaskini."
"First Name";"Nama pertama"
"Enter your first name here";"Masukkan nama pertama anda di sini"
"Last Name";"Nama bapa/keluarga"
"Enter your last name here";"Masukkan nama terakhir anda di sini"
"Mobile Number";"Nombor telefon bimbit"
Change;Perubahan
"Mobile number is not yet verified.";"Nombor telefon bimbit tidak disahkan lagi."
"Click here to verify";"Klik di sini untuk mengesahkan"
"Kindly enter your contact number.";"Sila masukkan nombor telefon anda."
"Verified mobile number";"Nombor telefon bimbit yang disahkan"
"Account Information";"Maklumat akaun"
"Enter your email here";"Masukkan email anda di sini"
"Your Referral Code";"Kod rujukan anda"
"Copy Link.";"Salin pautan."
"Copy Code";"Salin kod"
"Referral Person";"Rujukan orang"
"Referrers Name:";"Nama perujuk terbaik:"
"Referrers Code:";"Kod perujuk terbaik:"
Save;Simpan
"Shipping Address";"Alamat penghantaran"
"Save Changes";"Simpan perubahan"
"New Shippping Address";"Alamat Shippping baru"
"Pin your address to map";"PIN alamat anda untuk memetakan"
"Home Address";"Alamat rumah"
"Unit Number";"Jumlah unit"
"Building Name";"Nama bangunan"
"Street Number";"Nombor jalan"
"Street Name";"Nama jalan"
Subdivision;Pecah sempadan
"Select your province";"Pilih jajahan anda"
"Select your city";"Pilih bandar anda"
"Select your Barangay";"Pilih Barangay anda"
Zipcode;Kod zip
"Select your City";"Pilih bandar anda"
"Apply Changes";"Gunakan perubahan"
"Change Email Address";"Tukar alamat e-mel"
"Enter your new email address here";"Masukkan alamat e-mel baru anda di sini"
"Confirm your new email address here";"Mengesahkan alamat emel baru anda di sini"
"Change Password";"Tukar kata laluan"
"Enter your current password here";"Masukkan kata laluan anda di sini"
"Enter your new password here";"Masukkan kata laluan baru anda di sini"
"Confirm your new password here";"Sahkan kata laluan baru anda di sini"
"My Profile";"Profil saya"
Transaction;Urus niaga
"All Transactions";"Semua urus niaga yang"
On-Delivery;Pada penghantaran
"For Feedback";"Untuk mendapatkan maklum balas"
"Crop Photo";"Foto tanaman"
"Select Products";"Pilih produk"
Category;Kategori
"Electronics &amp; Gadgets";"Elektronik & amp;"
Accessories;Aksesori
"Product to Sell";"Produk untuk menjual"
"Search item here";"Item carian di sini"
"All Products";"Semua produk"
"Sample er wer wer wer we rwe r";"Cubalah er kuasa kuasa kuasa kita rwe r"
"Your inbox is currently empty.";"Peti Masuk anda adalah kosong buat masa ini."
"Point Earned";"Titik yang diperolehi"
Breakdown;Pecahan
"|{1} Point"
"                                                |]1,Inf[ Points";"|{1} Point"
"                                                |]1,Inf[ Points"
"We understand how frustrating it can be when there's a problem with one of your transactions. One of the benefits of using YiLinker is that you can take advantage of our Resolution Center to help you track, manage and resolve it as quickly as possible with absolute transparency.";"Kami faham bagaimana mengecewakan ia boleh apabila terdapat masalah dengan salah satu daripada urus niaga anda. Salah satu faedah menggunakan YiLinker adalah bahawa anda boleh mengambil kesempatan daripada Pusat resolusi kami untuk membantu anda menjejaki, mengurus dan menyelesaikannya secepat mungkin dengan ketelusan yang mutlak."
"Before filing for a dispute, please make sure that you've exhausted all efforts in reaching an agreement with the the other party. Decisions made by our specialists will be deemed final and will only be reopened when new evidence has been presented by one of the parties. We try to resolve cases as quickly as possible, but some may take longer depending on its circumstances.";"Sebelum pemfailan bagi pertikaian, sila pastikan bahawa anda telah habis semua usaha dalam mencapai satu perjanjian dengan pihak pihak yang satu lagi. Keputusan yang dibuat oleh pakar-pakar kami akan dianggap muktamad dan akan hanya dibuka semula apabila bukti baru telah diserahkan oleh salah satu pihak. Kami cuba untuk selesaikan kes secepat mungkin, tetapi sesetengah mungkin mengambil masa yang lama bergantung pada keadaan yang."
"File a dispute";"Fail pertikaian"
Cases;Kes
"Search By Case Id";"Cari mengikut kes Id"
Search;Cari
Filter;Penapis
"Case ID";"Kes ID"
"Dispute Title";"Pertikaian Hakmilik"
Status;Status
"Other Party";"Pihak yang satu lagi"
"Date Opened";"Tarikh dibuka"
Open;Terbuka
Closed;Ditutup
"No case found";"Tiada kes yang ditemui"
"Enter title here";"Masukkan tajuk di sini"
"Dispute Type";"Jenis pertikaian"
"Select dispute type here";"Pilih jenis pertikaian di sini"
"Transaction No.";"Urus niaga No."
"Select transaction here";"Pilih urus niaga di sini"
"Select reason here";"Sebab pilih di sini"
"Select item to dispute:";"Pilih item untuk mempertikaikan:"
Remarks;Kata
"Leave your remarks here";"Meninggalkan kata-kata anda di sini"
"Your case has been successfully submitted";"Kes anda telah berjaya diserahkan"
"To be approved by Admin.";"Hendaklah diluluskan oleh admin."
OPEN;TERBUKA
CLOSED;DITUTUP
"Dispute Details";"Butir-butir pertikaian"
Reason:;Sebab:
Items:;Item:
"No remarks";"Tiada kata-kata"
Contacts;Orang hubungan
Notifications;Pemberitahuan
"SMS Notifications";"Makluman SMS"
"Aside from your email, you'll also receive marketing announcements on your mobile by default. You can choose whether you want to receive SMS notifications.";"Selain daripada e-mel anda, anda juga akan menerima pengumuman pemasaran di telefon bimbit anda secara lalai. Anda boleh memilih sama ada anda hendak menerima pemberitahuan SMS."
"Account setting";"Penetapan akaun"
"Deactivate My Account";"Menyahaktifkan akaun saya"
"We'd really hate to see you go but, you still get to decide whether you want to keep your account active or deactivate it. Other people with whom you have transacted with will still have a record of your transactions details including, but not limited to your name & contact number. You will also receive an email that contains a reactivation link should you wish to reactivate your account at a future time.";"Kita akan benar-benar benci untuk melihat anda pergi tetapi, anda masih boleh membuat keputusan sama ada anda mahu menyimpan akaun anda aktif atau menyahaktifkan. Dengan siapa anda telah dilakukan dengan kehendak orang lain masih mempunyai rekod butiran transaksi anda, termasuk, tetapi tidak terhad kepada nombor nama & kenalan anda. Anda juga akan menerima e-mel yang mengandungi pautan disebabkan jika anda ingin mengaktifkan akaun anda pada masa hadapan."
"The password you entered is invalid.";"Kata laluan yang anda masukkan tidak sah."
"Please enter your password to confirm your account deactivation.";"Sila masukkan kata laluan anda untuk mengesahkan penyahaktifan akaun anda."
Deactivate;Menyahaktifkan
"Account has been successfully deactivated.";"Akaun telah berjaya Menyahaktifkan"
"A reactivation email has been to your email should you wish to reneable your account.You will be logged out now.";"E-mel disebabkan yang telah ke email anda jika anda merancang untuk reneable akaun anda. Anda akan dilog sekarang."
"Are you sure you want to proceed?";"Adakah anda pasti hendak meneruskan?"
"You are about to change the subscription status of your active mobile number.";"Anda akan mengubah status langganan nombor telefon bimbit anda aktif."
"This Year";"Tahun ini"
"This Week";"Minggu ini"
"This Month";"Bulan ini"
Date;Tarikh
Qty;Qty
"Payment Type";"Jenis bayaran"
"Order Status";"Status pesanan"
"No transaction available";"Sebarang transaksi yang disediakan"
"Go Back";"pergi balik"
"Transaction Number";"Bilangan Transaksi"
Details;Butir-butir
"Payment Type:";"Jenis bayaran:"
"Date Created:";"Tarikh Dicipta:"
"Total Quantity:";"Jumlah kuantiti:"
Subtotal:;Jumlah kecil:
"Shipping Fee:";"Kos penghantaran:"
FREE;PERCUMA
"Voucher Code:";"Kod baucer:"
"Voucher Price Deduction:";"Baucer potongan harga:"
"Total Cost:";"Jumlah kos:"
"Cancel Order";"Batalkan Ketenteraman"
"Feedback sent";"Maklum balas yang dihantar"
"Feedback has been successfully submitted.";"Maklum balas telah berjaya dikemukakan."
Informatio;Informatio
"Upload your document";"Muat naik dokumen"
"Only PDF, PNG, JPEG files are accepted";"Hanya PDF, PNG, JPEG fail yang diterima"
Upload;Muat naik
"Uploaded Documents";"Dokumen-dokumen yang dimuat naik"
"Add a feedback to this store to let other people know what you think. Your opinions matter to us.";"Tambah maklum balas ke kedai ini untuk membenarkan orang lain tahu apa yang anda fikirkan. Pendapat anda perkara itu kepada kami."
"Communication Rating:";"Penilaian komunikasi:"
"Quality Rating:";"Penilaian Kualiti:"
"PROMO CODE:";"KOD PROMOSI:"
"Terms and Conditions:";"Terma dan syarat:"
"Promo Period:";"Tempoh promosi:"
"SIGN UP NOW";"DAFTARLAH SEKARANG"
"SHOP NOW";"MEMBELI-BELAH SEKARANG"
*;*
"Store Location";"Lokasi Stor"
"Need Assistance?";"Perlukan bantuan?"
"SEND MESSAGE";"MENGHANTAR MESEJ"
"Send Message";"Menghantar mesej"
"Enter your message here";"Masukkan mesej anda di sini"
"Unfollow Seller";"Ikut Penjual"
"Follow Seller";"Mengikut Penjual"
About;Kira-kira
"What People";"Apa yang orang"
"Are saying";"Katakan"
