"Women Clothing";"အမ်ဳိးသမီး အဝတ္အထည္"
Subtotal;စုစုေပါင္း
"Shipping Fee";"ပို႕ေဆာင္ခ"
Free;အခမဲ့
"(Metro Manila only)";"(Metro Manila တြင္သာ)"
Small;အေသး
Red;အနီ
Steel;စတီး
"Add to Cart";"ေစ်းဝယ္လွည္းထဲ ေပါင္းထည့္ပါ"
"Powered by:";"ျပဳလုပ္ေဆာင္ရြက္သည္ :"
"To Do business";"လုပ္ငန္းလုပ္ရန္"
"Login as seller";"ေရာင္းခ်သူအျဖစ္ ဝင္ပါ"
"Login as affiliate";"တြဲဖက္အျဖစ္ ဝင္ပါ"
"Help &amp; Support";"အကူအညီ &amp; ပံ့ပိုးမႈ"
"Your account";"သင့္အေကာင့္"
"Your order";"သင့္ေအာ္ဒါ"
"Resolution Center";"ေျဖရွင္းေရး စင္တာ"
Complaints;တိုင္ၾကားမႈမ်ား
"Privacy Policy";"ကိုယ္ေရးအခ်က္အလက္ လုံျခံဳေရး မူဝါဒ"
"Contact Us";"ကၽြန္ုပ္တို႔ကို ဆက္သြယ္ပါ"
"Related Links";"ဆက္ႏြယ္ေနေသာ လင့္ခ္မ်ား"
"Download our app";"ကၽြန္ုပ္တို႕၏ အပလီေကးရွင္းကို ေဒါင္းေလာဒ့္ဆြဲပါ"
"Download our app (via QR Code)";"ကၽြန္ုပ္တို႕၏ အပလီေကးရွင္းကို ေဒါင္းေလာဒ့္ဆြဲပါ (QR ကုဒ္ျဖင့္)"
"for apple";"Apple အတြက္"
"for android";"Android အတြက္"
"Email Newsletter";"အီးေမးလ္ သတင္းလႊာ"
"Get the word out. Make sure you don't miss out on interesting events, sale, and more by joining our newsletter program.";"သတင္းအသစ္မ်ားကို ရယူပါ စိတ္ဝင္စားဖြယ္ရာ ပြဲမ်ား၊ ေရာင္းခ်မႈမ်ားစသည္တို႕ကို သတင္းလႊာ ပရိုဂရမ္ကို ပူးေပါင္းျခင္းျဖင့္ လႊဲေခ်ာ္မႈ မရွိေတာ့မွာ အေသအခ်ာပါပဲ။"
Subscribe;လက္ခံပါ
"&copy; 2015 YiLinker. Trademarks and brands are the property of their respective owners.";"&မူပိုင္ခြင;့္ 2015 YiLinker. ကုန္အမွတ္တံဆိပ္မ်ားႏွင့္ ကုန္ပစၥည္းအမည္မ်ားသည္ ၎တို႕၏ သက္ဆိုင္ရာ ပိုင္ရွင္မ်ား၏ ပိုင္ဆိုင္မႈမ်ား ျဖစ္ၾကသည္။"
FAQ;FAQ
"Shipping &amp; delivery";"ပို႕ေဆာင္မႈ &amp; ေပးပို႕မႈ"
"Return Policy";"ျပန္လည္ေပးပို႕မႈ မူဝါဒ"
"Terms of use";"အသုံးျပဳမႈ စည္းမ်ဥ္းမ်ား"
"Contact us";"ကၽြန္ုပ္တို႔ကို ဆက္သြယ္ပါ"
Payment;ေငြေပးေခ်မႈ
"Get the word out. Make sure you didn't miss interesting events, sale, and more by joining our newsletter program.";"သတင္းအသစ္မ်ားကို ရယူပါ စိတ္ဝင္စားဖြယ္ရာ ပြဲမ်ား၊ ေရာင္းခ်မႈမ်ားစသည္တို႕ကို သတင္းလႊာ ပရိုဂရမ္ကို ပူးေပါင္းျခင္းျဖင့္ လႊဲေခ်ာ္မႈ မရွိေတာ့မွာ အေသအခ်ာပါပဲ။"
"Your current browser was developed over a decade ago,";"သင့္လက္ရွိ ဘေရာက္ဇာကို လြန္ခဲ့ေသာ ၁၀စုႏွစ္ေက်ာ္က ဖန္တီးခဲ့ပါသည္။"
"its like watching TV in black and white in 2015!";"ဒါဟာ ၂၀၁၅မွာ တီဗီြကို အျဖဴအမည္းနဲ႕ ၾကည့္ေနရတာနဲ႔ တူသလိုပဲ။"
"Please view the website in one of these modern browsers";"ေက်းဇူးျပဳ၍ ေခတ္ေပၚဘေရာက္ဇာမ်ားထဲမွ တစ္ခုျဖင့္ ဝက္ဘ္ဆိုဒ္ကို ၾကည့္ရႈပါ"
download;ေဒါင္းေလာဒ့္
"google chrome";"google chrome"
"mozilla firefox";"mozilla firefox"
"apple safari";"apple safari"
Categories;အမ်ဳိးအစားမ်ား
Search...;ရွာေဖြပါ...
"Suggested Search";"အၾကံျပဳထားေသာ ရွာေဖြမႈ"
"(eg. mobile, dress, toys, etc...)";"(ဥပမာ- မိုဘိုင္း၊ ဂါဝန္၊ ကစားစရာ စသျဖင့္ ...)"
English;အဂၤလိပ္
Chinese;တရုတ္
Canada;ကေနဒါ
"For Android";"Android အတြက္"
"For IOS";"IOS အတြက္"
"on your wishlist";"သင့္ဆႏၵရွိသည့္စာရင္းတြင္"
"0 items";"ကုန္ပစၥည္း 0 ခု"
"on your cart";"သင့္ေစ်းဝယ္လွည္းတြင္"
"Account Management";"အေကာင့္ မန္ေနဂ်ာ"
Settings;ခ်ိန္ညိွခ်က္မ်ား
Messages;မက္ေဆ့ဂ်္မ်ား
Help;အကူအညီ
Logout;ထြက္ပါ
Sign-Up;စာရင္းသြင္းပါ
Log-In;ဝင္ပါ
"Filter Area:";"စစ္ထုတ္ ဧရိယာ :"
Sub-Category;အမ်ဳိးအစားခြဲ
All;အားလုံး
Price;ေစ်းႏႈန္း
"Price Range";"ေစ်းႏႈန္း အကန္႔အသတ္"
Brand;ကုန္အမွတ္တံဆိပ္
"More Filter";"ပိုမို စစ္ထုတ္ပါ"
"Sort By:";"စီပါ :"
Relevance;ပတ္သက္ဆက္ႏြယ္မႈ
"New to Old";"အသစ္ မွ အေဟာင္း"
"Old to New";"အေဟာင္း မွ အသစ္"
Alphabetical;အကၡရာစဥ္
Popularity;လူၾကိဳက္မ်ားမႈ
of;၏
"View By:";"ၾကည့္ပါ :"
"Add to cart";"ေစ်းဝယ္လွည္းထဲ ေပါင္းထည့္ပါ"
"You have 0 items on your wishlist";"သင္ဆႏၵရွိသည့္စာရင္းတြင္ ကုန္ပစၥည္း 0 ခု ရွိပါသည္။"
"All Categories";"အမ်ဳိးအစားအားလုံး"
Home;ပင္မ
"Sub Category:";"အမ်ဳိးအစား ခြဲ :"
More;ပို၍
Less;ေလ်ာ့၍
"view more";"ပိုၾကည့္ပါ"
"Edit Address";"လိပ္စာကို တည္းျဖတ္ပါ"
"Delete Address";"လိပ္စာကို ဖ်က္ပါ"
"See More";"ပို၍ ၾကည့္ရႈပါ"
"Ship To";"ပို႔ေဆာင္ပါ"
"New Address";"လိပ္စာ အသစ္"
Proceed;လုပ္ေဆာင္ပါ
"Guest Checkout allows you to purchase from our website even if you aren't registered. After your purchase has been completed you'll still have the option to register for an account.";"ဧည့္သည္ ေငြေပးေခ်မႈက သင္သည္ မွတ္ပုံမတင္ထားလွ်င္ေတာင္ ကၽြန္ုပ္တို႔ဝက္ဘ္ဆိုဒ္မွ ဝယ္ယူခြင့္ ေပးပါသည္။ သင့္ဝယ္ယူမႈ ျပီးဆုံးျပီးေနာက္ အေကာင့္အတြက္ မွတ္ပုံတင္ရန္ ေရြးခ်ယ္မႈ ရွိေနပါလိမ့္မည္။"
"Verify Number";"နံပါတ္ကို အတည္ျပဳပါ"
"Verification code has been successfully resent";"အတည္ျပဳ ကုဒ္ကို ေအာင္ျမင္စြာျဖင့္ ျပန္လည္ ေ႔ပးပို႕ျပီးပါျပီ"
"You are about to change your contact number, please ensure that your mobile phone is within reach before you proceed with this step.";"သင္၏ ဆက္သြယ္ရန္ နံပါတ္ကို ေျပာင္းလဲရန္ ဤအဆင့္ျဖင့္ မလုပ္ေဆာင္မီ သင့္မိုဘိုင္းဖုန္းကို ေခၚဆိုႏိုင္ပါေစ။"
"Please enter the 6 digit code that was sent to your mobile phone";"ေက်းဇူးျပဳ၍ သင့္မိုဘိုင္းဖုန္းသို႔ ေပးပို႕ထားေသာ ဂဏန္း ၆လုံးကုဒ္ကို ျဖည့္ပါ။"
"Time Left:";"က်န္ရွိခ်ိန္ :"
00:00;0:00
"Enter Code";"ကုဒ္ထည့္သြင္းပါ"
"Enter your verification code";"သင္၏ အတည္ျပဳကုဒ္ကို ျဖည့္ပါ"
Cancel;ပယ္ဖ်က္ပါ
"Resend Code";"ကုဒ္ကို ျပန္ပို႕ပါ"
"Verify and Continue";"အတည္ျပဳျပီး ဆက္လုပ္ပါ"
"Checkout Type";"ေငြေပးေခ်မႈ အမ်ဳိးအစား"
Summary;အက်ဥ္းခ်ဳံး
Overview;ေယဘုယ် ေလ့လာမႈ
Email/Mobile;အီးေမးလ္/မိုဘိုင္း
"Enter your email/mobile here";"သင့္အီးေမးလ္/မိုဘိုင္းကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
Password;စကားဝွက္
"Enter your password here";"သင့္စကားဝွက္ကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
"Sign In &amp; Continue";"ဝင္ပါ &amp"
"or sign in with";"သို႕မဟုတ္ ဤအေကာင့္တို႔မွ ဝင္ပါ &amp;"
Facebook;Facebook
Google+;Google+
"Order Summary";"ေအာ္ဒါ အက်ဥ္းခ်ဳံ႕"
"Grand Total";"စုစုေပါင္း"
"Voucher Deduction";"ေဘာက္ခ်ာ ႏုတ္ယူမႈ"
"There are no items to checkout.";"ေငြေပးေခ်ရန္ မည္သည့္ ပစၥည္းမွ မရွိပါ။"
"Go back to checkout";"ေငြေပးေခ်ရန္သို႕ ျပန္သြားပါ"
Congratulations;ဂုဏ္ယူပါတယ္
"Your purchase was a success";"သင့္ဝယ္ယူမႈ ေအာင္ျမင္ပါသည္"
"Want to buy more items similar to this?";"ဤအရာႏွင့္ အလားသ႑ာန္တူေသာ အျခားအရာမ်ားကို ဝယ္လိုပါသလား။"
"Congratulations on a successful purchase! While waiting for your product to arrive, we suggest checking out other related products that you just bought.";"ေအာင္ျမင္ေသာ ဝယ္ယူမႈအတြက္ ဂုဏ္ယူပါတယ္။ သင့္ကုန္ပစၥည္းကို ေစာင့္ေနစဥ္ သင္ဝယ္ယူခဲ့သည္ႏွင့္ ဆက္စပ္သည့္ အျခားကုန္ပစၥည္းမ်ားကို ရွာေဖြၾကည့္ရႈရန္ အၾကံျပဳပါသည္။"
"View Transaction";"အေရာင္းအဝယ္ကို ၾကည့္ပါ"
or;သို႕မဟုတ္
"Would you like to register an account?";"အေကာင့္တစ္ခုကို မွတ္ပုံတင္လိုပါသလား။"
"Based on the information that you've provided in your order, YiLinker already has your basic information that's needed in creating an account. If you'd like to register on our website to receive more exciting news about our upcoming products & other promos, just enter your password and you're all set.";"သင့္ေအာ္ဒါတြင္ သင္ေပးထားေသာ အခ်က္အလက္မ်ားကို အေျခခံ၍ အေကာင့္ဖန္တီးရန္ လိုအပ္ေသာ အေျခခံ အခ်က္အလက္မ်ား YiLinker တြင္ ရွိျပီးပါျပီ။ ပိုမို စိတ္လႈပ္ရွားဖြယ္ရာ အသစ္ထြက္ ကုန္ပစၥည္းမ်ားႏွင့္ အျခားေသာ ပရိုမိုတို႔၏ သတင္းမ်ားကို ရယူရန္ ကၽြန္ုပ္တို႕၏ ဝက္ဘ္ဆိုဒ္တြင္ မွတ္ပုံတင္လိုပါက သင့္စကားဝွက္ကို ျဖည့္လိုက္ရုံႏွင့္ အားလုံးကို သတ္မွတ္ျပီး ျဖစ္ပါလိမ့္မည္။"
"Sign Up Now";"ယခုပင္ စာရင္းသြင္းလိုက္ပါ"
"Consignee Name:";"လက္ခံသူ အမည္ :"
"Justine Carl Duazo";"Justine Carl Duazo"
"Full Address:";"အမည္ အျပည့္အစုံ :"
"6F Five E-com Tower, Pacific Drive, Mall of Asia Complex, Pasay City";"6F Five E-com Tower, Pacific Drive, Mall of Asia Complex, Pasay City"
"Mobile Number:";"မိုဘိုင္း နံပါတ္ :"
09271234567;9271234567
"City/ Municipality:";"ျမိဳ႕/ ကိုယ္ပိုင္အုပ္ခ်ဳပ္ေဒသ :"
Manila;Manila
"Transaction Details";"အေရာင္းအဝယ္ အေသးစိတ္"
"Transaction Number:";"အေရာင္းအဝယ္ နံပါတ္ :"
123324234;123324234
"Invoice Number:";"ေျပစာ နံပါတ္ :"
2342q42342q34;2342q42342q34
"Payment Method:";"ေငြေပးေခ်မႈ နည္းလမ္း :"
"Cash on Delivery";"အိမ္အေရာက္ ေငြေခ်မႈ စနစ္"
"Total Amount:";"စုစုေပါင္း ပမာဏ :"
"Transaction Date:";"အေရာင္းအဝယ္ ေန႕ရက္ :"
01/21/2016;01/21/2016
"Your Order Details";"သင့္ေအာ္ဒါ အေသးစိတ္"
Product;ကုန္ပစၥည္း
Quantity;အေရအတြက္
"Size :";"ဆိုဒ္ :"
"Color :";"အေရာင္ :"
1;1
"Order Total";"ေအာ္ဒါ စုစုေပါင္း"
"Print Receipt";"ေျပစာကို ပရင့္ထုတ္ပါ"
"YiLinker adheres to the highest standards when it comes to protecting our user's sensitive data. We currently don't save your Credit/Debit Card details on our website.";"YiLinker သည္ အျမင့္မားဆုံး စံႏႈန္းျဖင့္ အစဥ္အျမဲ လုပ္ေဆာင္ေနျပီး ကၽြန္ုပ္တို႔၏ အသုံးျပဳသူ၏ ထိခိုက္လြယ္ေသာ အခ်က္အလက္မ်ားကို ကာကြယ္ေပးပါသည္။ ကၽြန္ုပ္တို႕သည္ သင္၏ အေၾကြးဝယ္ကဒ္/ ၾကိဳတင္ေငြေပးေခ်ကဒ္မ်ားကို လက္ရွိကာလ၌ ကၽြႏ္ုပ္တို႕၏ ဝက္ဘ္ဆိုဒ္တြင္ မသိႏိုင္ပါ။"
"Delivery Address:";"ေပးပို႕ရမည့္ လိပ္စာ :"
"Consignee Contact Number:";"လက္ခံသူ၏ ဆက္သြယ္ရန္ နံပါတ္ :"
"Voucher Code";"ေဘာက္ခ်ာကုဒ္"
"Invalid Or Expired Code";"မခိုင္မာေသာ သို႕မဟုတ္ သတ္မွတ္ရက္ေက်ာ္လြန္သြားေသာ ကုဒ္"
"Successfully applied code";"ကုဒ္ကို ေအာင္ျမင္စြာ ထည့္သြင္းျပီးသြားပါျပီ"
"Enter your voucher code here";"သင္၏ ေဘာက္ခ်ာကုဒ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
Apply;ထည့္သြင္းပါ
"How Do You Wish To Pay?";"သင္မည္ကဲ့သို႕ ေငြေပးေခ်လိုပါသလဲ။"
"Click one of the options below";"ေအာက္ပါ ေရြးခ်ယ္မႈမ်ားထဲမွ တစ္ခုကို ႏွိပ္ပါ"
"To ensure that you'll have a smooth shopping & delivery experience, please prepare the exact amount upon the date of delivery.";"သင့္တြင္ ျပည့္စုံေခ်ာေမြ႕ေသာ ဝယ္ယူ ေပးပို႕မႈ အေတြ႕အၾကံဳ ရလာေစဖို႕ ေက်းဇူးျပဳ၍ ေပးပို႕ရက္ေပၚမူတည္၍ တိက်သည့္ ေငြပမာဏကို ျပင္ဆင္ထားပါ။"
"Your payment solution for Over-the-Counter (OTC) payments if you don't have a Credit/Debit card.";"သင့္တြင္ အေၾကြးဝယ္ကဒ္/ ၾကိဳတင္ေငြေပးေခ်ကဒ္ မရွိပါက သင့္ေငြေပးေခ်မႈကို ေတြ႕ဆုံကာ ေျဖရွင္းႏိုင္ပါသည္။"
"The Philippines' leading payment solution for Credit/Debit Card transactions.";"အေၾကြးဝယ္ကဒ္/ ၾကိဳတင္ေငြေပးေခ်ကဒ္ အေရာင္းအဝယ္အတြက္ ဖိလစ္ပိုင္၏ ဦးေဆာင္ေနေသာ ေငြေပးေခ်မႈ ေျဖရွင္းခ်က္"
"Go back";"ျပန္သြားပါ"
Continue;ဆက္လုပ္ပါ
Consignee;လက္ခံသူ
"Ship this transaction with the consignee details below.";"ေဖာ္ျပပါ လက္ခံသူ၏ အေသးစိတ္ အခ်က္အလက္မ်ားျဖင့္ ဤ အေရာင္းအဝယ္ကို ပို႕ေဆာင္ပါ"
Name;အမည္
"Enter consignee name here";"လက္ခံသူအမည္ကို ဤေနရာတြင္ ထည့္ပါ"
"Contact Number";"ဆက္သြယ္ရန္ နံပါတ္"
"Enter consignee contact number here";"လက္ခံသူ၏ ဆက္သြယ္ရန္ နံပါတ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"YiLinker Express is capable of shipping anywhere in the Philippines at affordable rates";"YiLinker အျမန္ေခ်ာပို႕သည္ သင့္ေတာ္ေသာေစ်းႏႈန္းျဖင့္ ဖိလစ္ပိုင္ရွိ မည္သည့္ေနရာတြင္မဆို ေပးပို႕ႏိုင္ပါသည္"
"YiLinker Express offers FREE shipping on Metro Manila orders only";"YiLinker အျမန္ေခ်ာပို႕သည္ Metro Manila ေအာ္ဒါမ်ားကိုသာ အခမဲ့ ေပးပို႕ေပးပါသည္"
"You'll receive the tracking details for your parcel soon after the dispatch of your order.";"သင့္ေအာ္ဒါကို ေပးပို႕ျပီးေနာက္ သင့္ပါဆယ္အတြက္ လမ္းေၾကာင္းလိုက္မႈ အေသးစိတ္ကို သင္လက္ခံရရွိပါလိမ့္မည္။"
"Ships in";"ေပးပို႕ပါ"
"No hidden fees";"ကြယ္ဝွက္ထားေသာ ကုန္က်စရိတ္မရွိပါ"
"7 days return policy";"၇ရက္အတြင္း ျပန္လည္ေပးပို႕မႈ ေပၚလစီ"
"Mobile number is required";"မိုဘိုင္းနံပါတ္ကို လိုအပ္ပါသည္"
"Enter your mobile number here";"သင့္မိုဘိုင္းနံပါတ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
"New Shipping Address";"ပို႔ေဆာင္ရန္ လိပ္စာအသစ္"
"Delete Address?";"လိပ္စာကို ဖ်က္မလား။"
"Are you sure you want to delete this address";"ဤလိပ္စာအား ဖ်က္ပစ္လိုသည္မွာ ေသခ်ာပါသလား။"
Delete;ဖ်က္ပါ
"Update Shipping Address";"ပို႔ေဆာင္ရန္ လိပ္စာကို အပ္ဒိတ္လုပ္ပါ"
"Shipping address has been successfully updated";"ေပးပို႕မႈလိပ္စာကို ေအာင္ျမင္စြာ အပ္ဒိတ္လုပ္ျပီးပါျပီ"
Okay;အိုေက
"Change Mobile Number";"မိုဘိုင္း နံပါတ္ကို ေျပာင္းပါ"
"Invalid contact number";"မခိုင္မာေသာ ဆက္သြယ္ရန္ နံပါတ္ "
"Enter New Number";"နံပါတ္အသစ္ကို ထည့္ပါ"
"Enter your new number here";"သင့္နံပါတ္အသစ္ကို ဤေနရာတြင္ ျဖည့္ပါ"
Submit;ထည့္သြင္းပါ
"The code is either invalid or is already expired.";"ကုုဒ္သည္ မခိုင္မာပါ သို႕မဟုတ္ သတ္မွတ္ရက္ထက္ ေက်ာ္လြန္သြားပါျပီ။"
Verify;အတည္ျပဳပါ
"Contact number has been successfully verified.";"ဆက္သြယ္ရန္နံပါတ္ကို ေအာင္ျမင္စြာ အတည္ျပဳျပီးပါျပီ။"
"Check As";"စစ္ေဆးပါ"
"Sign In";"ဝင္ပါ"
"Guest Checkout";"ဧည့္သည္ ေငြေပးေခ်မႈ"
"Welcome to YiLinker";"YiLinker မွ ၾကိဳဆိုပါသည္"
"You cannot use the checkout functionality while you're still unverified.";"သင္သည္ အတည္မျပဳရေသးခင္ ေငြေပးေခ်မႈလုပ္ငန္းကို အသုံးမျပဳႏိုင္ပါ။"
Back;ေနာက္
"Back to Home Page";"ပင္မစာမ်က္ႏွာသို႕ျပန္သြားပါ"
"Get Our App for FREE";"ကၽြန္ုပ္တို႕၏ အပလီေကးရွင္းကို အခမဲ့ ရယူပါ"
"YiLinker - All you need in one place";"YiLinker - သင္လိုတာအားလုံးကို တစ္ေနရာတည္းမွာ ရႏိုင္တဲ့ ေနရာ"
"Coming soon";"မၾကာမီလာမည္"
;
"Be a Buyer";"ဝယ္သူ အျဖစ္"
"View our Site";"ကၽြန္ုပ္တို႕ဆိုဒ္ကို ၾကည့္ပါ"
"Be a Seller";"ေရာင္းခ်သူ အျဖစ္"
"Join Now";"ယခုပင္ ပူးေပါင္းပါ"
"Be an Affiliate";"တြဲဖက္ အျဖစ္"
"Learn More";"ပိုမိုေလ့လာပါ"
"Stay tuned! You can subscribe to our newsletter to get";"အဆက္အသြယ္ရွိေနပါေစ။ ကၽြန္ုပ္တို႕ ထုတ္လုပ္မိတ္ဆက္သည့္အခါ အသိေပးခ်က္ကို "
"a notification when we launch!";"ရယူရန္ ကၽြန္ုပ္တို႕၏ သတင္းလႊာကို ရယူပါ။"
"Enter your email address here";"သင့္အီးေမးလ္လိပ္စာကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
SUBSCRIBE;လက္ခံပါ
"+63 977-7265481";"+63 977-7265481"
"Top Brands";"နာမည္ၾကီး ကုန္အမွတ္တံဆိပ္မ်ား"
"Shop This Brand";"ဤကုန္အမွတ္တံဆိပ္ကို ဝယ္ရေအာင္"
off;ေလွ်ာ့
"Add to wislist";"ဆႏၵရွိသည့္စာရင္းထဲ ေပါင္းထည့္ပါ"
"Top Categories";"ေရပန္းစားသည့္ အမ်ဳိးအစားမ်ား"
"Shop Now";"ယခုပင္ ဝယ္လိုက္ပါ"
"Featured Items";"အထူး ကုန္ပစၥည္းမ်ား"
"view more &rarr;";"ပိုမို ၾကည့္ရႈပါ &rarr"
"Top Sellers";"ထိပ္တန္း ေရာင္းခ်သူမ်ား &rarr;"
"Seller Name";"ေရာင္းခ်သူ အမည္"
Specialty:;အထူးစပါယ္ရွယ္ :
FEATURED;အထူး
"Items You May Like";"သင္ၾကိဳက္ႏွစ္သက္ႏိုင္သည့္ ကုန္ပစၥည္းမ်ား"
"New Arrivals";"အသစ္ေရာက္ရွိသည္မ်ား"
"Banner Title";"ဘန္နာေခါင္းစဥ္"
"New Sellers";"ေရာင္းခ်သူ အသစ္"
"See What Others are Selling";"အျခားေသာ ေရာင္းခ်ေနသည္မ်ားကို ၾကည့္ပါ"
"view more sellers";"ေရာင္းခ်သူမ်ားအား ၾကည့္ရႈပါ"
"Our Recommendation";"ကၽြန္ုပ္တို႕၏ အၾကံျပဳခ်က္"
"Trending Categories";"အလားအလာရွိေသာ အမ်ဳိးအစားမ်ား"
"Recommended Seller";"အၾကံျပဳထားေသာ ေရာင္းခ်သူ"
"Free Shipping Nationwide";"ကမာၻအႏွံ႕ အခမဲ့ ပို႕ေဆာင္မႈ"
"No minimum purchase required";"အနည္းဆုံး ဝယ္ယူမႈ မလိုအပ္ပါ"
"7-day return";"၇-ရက္အတြင္း ျပန္လည္ေပးပို႕မႈ"
"Money back guaranteed";"ေငြျပန္အမ္း အာမခံ"
"24/7 Support";"24/7 ပံ့ပိုးမႈ"
"Online help";"အြန္လိုင္း အကူအညီ"
"Safe Shopping";"လုံျခံဳစိတ္ခ်ရေသာ ေစ်းဝယ္မႈ"
"Product guaranteed";"ကုန္ပစၥည္း အာမခံ"
"20% off";"20% ေလွ်ာ့ေစ်း"
"Thank You!";"ေက်းဇူးတင္ပါတယ္။"
